source,preferred,rejected,attribute
"In Ordnung, die Zahlung wurde getätigt. Danke, dass du AMC gewählt hast, genieß deinen Film. Hab viel Spaß.","Très bien, le paiement a été effectué. Merci d'avoir choisi AMC, profitez bien de votre film. Passez un bon moment.","Parfait. Le paiement a été effectué. Merci d'avoir choisi AMC. Profite bien de ton film. Passe un agréable moment.
",formal
"Was ich sage. Gut leben, du weißt schon. Leben ohne Sorgen. Du weißt, was ich meine. Meine Rede.","Ce que je dis. Bien vivre, vous voyez. Vivre sans soucis. Vous comprenez ce que je veux dire. C'est ce que je voulais dire.","en fait. Pour bien vivre, tu vois ce que je veux dire. Vivre sans soucis. Tu vois ce que je veux dire. Super !
",formal
"(Nun, ich erinnere mich,) dass ich eine Frage an dich habe. Hattest du mehrere? Das Beste ist es, zu erklären, wie meine Stadt funktioniert.","(Eh bien, je me souviens) que j'avais une question à vous poser. En aviez-vous plusieurs ? Le mieux est d'expliquer comment fonctionne ma ville.","(Ah oui, je me souviens) J'ai une question pour toi. En avais-tu plusieurs ? La meilleure façon de faire est d'expliquer comment fonctionne ma ville
",formal
"und jemanden zu haben, der für Sie kassiert und Ihre Sachen einpackt, ich meine, sie müssen einen Grund für die Leute schaffen, die tatsächlich in einen Laden gehen.","et avoir quelqu'un qui encaisse pour vous et emballe vos articles, je veux dire, ils doivent créer une raison pour les gens d'aller réellement dans un magasin.","et attendre que quelqu'un t'appelle et jette les articles dans le sac pour toi. Je veux dire qu'ils doivent créer une raison pour les personnes qui viennent dans un magasin
",formal
"Also, wie auch immer, und selber, was ist Ihr Lieblingskaufhaus? Wissen Sie was ich meine, wir machen den ganzen Bereich.","Alors, quoi qu'il en soit, et vous-même, quel est votre grand magasin préféré ? Vous voyez ce que je veux dire, nous couvrons tout le domaine.","D'ailleurs, quel est ton grand magasin préféré ? Tu vois ce que je veux dire, celui dont tu fais tout le tour
",formal
"Ich sehe sie mindestens jeden Sommer, sie gehen alle nach Minnesota, kennen Sie Minnesota.","Je les vois au moins chaque été, ils vont tous au Minnesota. Connaissez-vous le Minnesota ?","Je les vois au moins chaque été, ils vont tous dans le Minnesota. Connais-tu le Minnesota
",formal
"Wie was? Erzähl mir, wie das Leben ist. Und ich sagte ihm, hör, das wird nicht funktionieren. Und ich sagte, tu mir einen Gefallen. Geh nicht zurück zu deinem","Comment ça ? Racontez-moi comment est la vie. Et je lui ai dit, écoutez, ça ne va pas fonctionner. Et j'ai dit, rendez-moi un service. Ne retournez pas à votre","comme quoi ? Dis-moi à quoi ressemble la vie. Et je lui ai dit, écoute, ça ne marchera pas. Et j'ai dit, fais-moi une faveur. Ne retournes pas dans ton
",formal
"Und sie hatten einen Markt, genau wie deine Lösung.","Et ils avaient un marché, tout comme votre solution.","Et ils avaient un marché comme ta solution
",formal
"Hier auch. Versuchen Sie, den heutigen Tag zu Ihrem perfekten Tag zu machen, wie auch immer der aussieht.","Ici aussi. Essayez de faire de votre journée d'aujourd'hui une journée parfaite, quelle que soit votre définition de la perfection.","Pareil. Essaie de passer une journée parfaite, à ta manière.
",formal
"Ja, das tue ich, als ich jünger war, habe ich viel Nintendo gespielt. Wie stehts mit dir?","Oui, c'est vrai, quand j'étais plus jeune, je jouais beaucoup à la Nintendo. Et vous ?","Oui, avant je jouais beaucoup à la Nintendo. Et toi ?
",formal
"Sie wissen schon, einfach so, irgendwie, wissen Sie, waren sie in der Lage, das in die Tasche zu packen und zu ziehen, sie sind alle neu und geben es einfach dort drüben ab.","Vous savez, juste comme ça, d'une manière ou d'une autre, vous savez, ils ont pu les mettre dans un sac et partir, ils sont tous neufs et ils les déposent simplement là-bas.","tu sais, comme si d'une manière ou d'une autre, elles avaient pu les mettre dans le sac et les sortir. Il s'agit d'articles neufs
",formal
"werde ich dir geben, ich könnte schauen, ob wir zu dem Ort gehen könnten, wo du all deine Familienmitglieder sehen wirst.","Je vous donnerai cela, je pourrais regarder si nous pourrions aller à l'endroit où vous verrez tous les membres de votre famille.","Je vais te donner la possibilité d'aller à un endroit où tu verras tous les membres de ta famille.
",formal
Was ist dein idealer Beruf?,Quel est votre métier idéal ?,"Quel est ton métier idéal ?
",formal
"Während du auf dem Rücksitz deines Autos sitzt und dich nicht auf die Straße konzentrieren musst. Wie viele Stunden im Jahr verbringst du im Auto, die du auf produktivere Art nutzen könntest.","Pendant que vous êtes assis sur la banquette arrière de votre voiture et que vous n'avez pas à vous concentrer sur la route. Combien d'heures par an passez-vous dans votre voiture, que vous pourriez utiliser d'une manière plus productive ?","tout en étant assis à l'arrière de ta voiture, sans avoir à te concentrer sur la route. Combien d'heures par an passes-tu à conduire alors que tu pourrais utiliser ce temps pour être plus productif ?
",formal
"Wirklich? Was denkst du, es wird die Leute auf deinen Teppich bringen, wohingegen","Vraiment ? Que pensez-vous, cela amènera les gens sur votre tapis, tandis que","vraiment ? Que crois-tu ? Cela va t'apporter des clients alors que
",formal
"Das ist verrückt, Sie haben","C'est fou, vous avez","C'est fou, tu as
",formal
"Du musst ihnen Werte beibringen wie, Dinge zu probieren wie, weißt du, was ich meine?","Vous devez leur inculquer des valeurs comme essayer de nouvelles choses, vous voyez ce que je veux dire ?","tu dois leur enseigner des valeurs comme essayer et persévérer, tu vois ce que je veux dire ?
",formal
"Ja, z. B. Wasserkraft. Computer von Apple scheinen ziemlich empfindlich zu sein, denn wenn Sie in der Nähe eines Apple-Computers rauchen, verfällt dadurch die Garantie.","Oui, par exemple l'énergie hydraulique. Les ordinateurs d'Apple semblent être assez sensibles, car si vous fumez à proximité d'un ordinateur Apple, la garantie est annulée.","Oui, comme l'énergie hydraulique. Les ordinateurs Apple semblent très sensibles parce que si tu fumes à proximité, la garantie devient nulle.
",formal
"Nun, in San Diego wird es eher heiß als warm sein. Wirklich? Hat das eine tiefere Bedeutung? Oder bedeutet es, dass Sie Ihr Kind nicht nach einer Band benennen sollten?","Eh bien, à San Diego, il fera plutôt chaud que tempéré. Vraiment ? Cela a-t-il une signification plus profonde ? Ou cela signifie-t-il que vous ne devriez pas nommer votre enfant d'après un groupe de musique ?","Il fait très chaud à San Diego, non ? Faut-il y voir un double sens ? Ou est-ce que cela signifie que tu ne devrais pas donner un nom de groupe de musique à ton enfant ?
",formal
"Ich weiß, ich habe es nicht gesehen. Wie viel Glück es bedeutet, auf dem Dachboden deines Großvaters Baseballkarten im Wert von 3 Millionen Dollar zu finden! Guter Chat!!","Je sais, je ne l'ai pas vu. Quelle chance de trouver dans le grenier de votre grand-père des cartes de baseball valant 3 millions de dollars ! Bonne conversation !!","Je sais, je ne l'ai pas vu. Quelle chance de trouver des cartes de baseball d'une valeur de 3 millions de dollars dans le grenier de ton grand-père ! Merci pour le chat !
",formal
Ich hatte keine Ahnung! Mochten Sie Die Schöne und das Biest?,Je n'en savais rien ! Avez-vous aimé La Belle et la Bête ?,"Je n'en savais rien ! As-tu apprécié La Belle et la Bête ?
",formal
"Ich mochte sie in Die Schöne und das Biest. Er ist auf Netflix, wenn Sie darauf Zugriff haben. Bringt Kindheitserinnerungen zurück.","J'ai aimé son rôle dans La Belle et la Bête. Il est disponible sur Netflix, si vous y avez accès. Cela fait revenir des souvenirs d'enfance.","J'ai aimé sa performance dans La Belle et la Bête. Le film est sur Netflix si tu y as accès. Cela me rappelle des souvenirs d'enfance.
",formal
