source,preferred,rejected,attribute
Das ist wahr. Er wurde erwachsen und ein richtiger Held. Wer war Ihr Lieblings-Batman?,È vero. È diventato adulto ed è stato un vero eroe. Chi è stato il suo Batman preferito?,"È vero, è cresciuto ed è diventato un vero eroe! Chi era il tuo Batman preferito?
",formal
"Er hat sich nie gemeldet und sagte, es tut dir nie leid, deinen Arm gebissen zu haben.",Non si è mai messo in contatto e ha detto che non Le dispiace mai di averLe morso il braccio.,"Non si è mai messo in contatto ed era tipo, non ti dispiacerà mai abbastanza
",formal
"Ja, das ist cool LOL. Was denken Sie darüber, dass Vin Diesel ein geheimes Drehbuch erhalten hat, in dem steht, was Groot in den Filmen tatsächlich sagt?","Sì, è figo LOL. Cosa ne pensa del fatto che Vin Diesel abbia ricevuto una sceneggiatura segreta che spiega cosa Groot dice realmente nei film?","Sì, è fantastico, ahah. Cosa ne pensi del fatto che Vin Diesel abbia ricevuto una sceneggiatura segreta che dice ciò di cui Groot sta effettivamente parlando nei film?
",formal
Interessant. Hast du den Film gesehen? Ich habe ihn gesehen.,Interessante. Ha visto il film? Io l'ho visto.,"Interessante. Hai visto quel film? Io sì.
",formal
"werde ich Ihnen geben, ich könnte schauen, ob wir zu dem Ort gehen könnten, wo Sie all Ihre Familienmitglieder sehen werden.",Posso vedere se possiamo andare nel posto dove Lei vedrà tutti i membri della Sua famiglia.,"Posso vedere se possiamo andare nel posto dove vedrai tutti i membri della tua famiglia.
",formal
"Ja, habe ich. Sie sind gut! Hast du?","Sì, li ho provati. Sono buoni! Li ha provati anche Lei?","Sì, io sì. Mi piace. E tu?
",formal
"Das ist ein guter Punkt! Das Erschreckende an unserer gegenwärtigen Umlaufbahn ist, dass der Erde bis 2100 das Helium ausgehen wird. Ich weiß, dass Sie ihn lieben, sehr wichtig für das Herstellen von Dingen, also weiß ich nicht, was wir tun werden.","È un buon punto! La cosa preoccupante della nostra attuale orbita è che entro il 2100 la Terra esaurirà l'elio. So che lo ama, è molto importante per la fabbricazione di cose, quindi non so cosa faremo.","Questa è una buona osservazione! La cosa spaventosa della nostra traiettoria attuale è che la Terra sarà senza elio entro l'anno 2100. So che lo ami molto, essendo importante per la fabbricazione di prodotti quindi non so cosa faremo
",formal
"Gut, aber wegen der Stornierung, lassen Sie uns schauen, haben Sie es? Wissen Sie, warten Sie , ich suche danach. Was ist die Storn…? Wo? Warum haben Sie Ihren Flug noch nicht storniert? Kann ich mein Ticket stornieren, wenn ich es vor Ort gekauft habe?","Bene, ma per quanto riguarda la cancellazione, vediamo, ce l'ha? Aspetti, lo sto cercando. Qual è la cancell...? Dove? Perché non ha ancora cancellato il suo volo? Posso cancellare il mio biglietto se l'ho comprato in loco?","Bene, ma a causa della cancellazione vediamo, capisci? sai, aspetta, lo sto cercando. Cosa diavolo? dove? Perché non ho ancora cancellato il tuo volo? Posso cancellare il mio biglietto se l'ho acquistato da un locale?
",formal
"Das ist verrückt, Sie haben","È pazzesco, Lei deve","È pazzesco, devi
",formal
"Hier auch. Versuchen Sie, den heutigen Tag zu Ihrem perfekten Tag zu machen, wie auch immer der aussieht.","Anche qui. Cerchi di fare di questa giornata il Suo giorno perfetto, qualunque esso sia.","Idem. Cerca di rendere perfetta questa giornata, comunque vada.
",formal
"Das habe ich schon einmal gesehen. Wo wir über das Telefon sprechen, UNICEF wird für jede Minute, die du dein Telefon nicht benutzt, einem bedürftigen Kind einen Tag mit sauberem Wasser schenken. Gute Sache.","Questo l'ho già visto. Mentre parliamo al telefono, UNICEF donerà un giorno di acqua pulita a un bambino bisognoso per ogni minuto in cui Lei non usa il Suo telefono. Una bella iniziativa.","L'ho visto prima. A proposito del telefono, l'Unicef donerà un giorno di acqua pulita a un bambino bisognoso per ogni minuto che tu non usi il tuo cellulare. Bella iniziativa.
",formal
"Das tue ich. Früher habe ich viel gespielt, aber heute nicht mehr. Spielen Sie auch?","Sì, lo faccio. Prima giocavo molto, ma oggi non più. Lei gioca anche?","Sì. Prima giocavo molto, ma ora non più. Anche tu giochi?
",formal
"Das tun sie, sogar bei Bloomingdale‘s, sie nehmen auch, sie nehmen dein Make-up und so als Umtausch zurück.","Lo fanno, anche da Bloomingdale's, accettano anche il reso dei suoi cosmetici e del suo trucco.","Lo fanno, anche a Bloomingdale, prendono anche loro, restituiranno il tuo trucco e roba del genere,
",formal
"Es ist wichtiger als Arbeit, es ist wichtiger als einen Job und eine Karriere zu haben, weil Ihre Karriere wird zu Ende gehen, Ihre Familie wird nicht zu Ende gehen. Ihre Familie wird weitergehen, Ihre Blutlinie wird weitergehen.","È più importante del lavoro, è più importante di un impiego e di una carriera, perché la sua carriera finirà, la sua famiglia non finirà. La sua famiglia continuerà, la sua linea di sangue continuerà.","è più importante del lavoro, è più importante che avere un lavoro e una carriera perché la tua carriera finisce, la tua famiglia no. La tua famiglia va avanti, la tua stirpe si perpetua
",formal
"Sind sie bereit, an diesem Teil von deinem Leben teilzunehmen?",È pronta a far parte di questa fase della sua vita?,"Sono disposti a partecipare a quella parte della tua vita.
",formal
"Wow, das nenne ich, es Ihrem Team zu vermasseln! War er zu der Zeit ein Yankee oder ein Red Sox, ich kann mich nicht erinnern.","Wow, quello sì che è aver rovinato la festa alla sua squadra! Era uno dei Yankees o dei Red Sox in quel periodo, non riesco a ricordare.","wow, sarebbe una rovina per la tua squadra! Era uno Yankee all'epoca o un Red Sox, non ricordo?
",formal
"am Computer, auf die gleiche Weise, wie wir es mit deinen Freunden klären, uns um deine Kinder oder deine Band kümmern, weißt du, es ist also eine Tatsache, dass viele Menschen auf diese Weise Neuigkeiten erfahren.","È al computer, allo stesso modo in cui chiariremo le cose con i Suoi amici, ci prenderemo cura dei Suoi figli o della Sua band, sa, quindi è un fatto che molte persone vengano a conoscenza delle novità in questo modo.}

Punti chiave:

- Uso del ""Lei"" formale
- ""Suoi amici"", ""Suoi figl","sul computer mentre chiediamo ai tuoi amici, trattiamo con i tuoi figli o la tua band sai, quindi è un dato di fatto che molti ricevono notizie in questo modo.
",formal
"Ja, das ist cool LOL. Was denkst du darüber, dass Vin Diesel ein geheimes Drehbuch erhalten hat, in dem steht, was Groot in den Filmen tatsächlich sagt?","Sì, è figo LOL. Cosa ne pensa del fatto che Vin Diesel ha ricevuto una sceneggiatura segreta che spiega cosa Groot dice effettivamente nei film?","Sì, è fantastico, ahah. Cosa ne pensi del fatto che Vin Diesel abbia ricevuto una sceneggiatura segreta che dice ciò di cui Groot sta effettivamente parlando nei film?
",formal
"Blue Jeans waren damals wegweisend. Stellt sich heraus, doch nicht. Was denkst du über die Einzelhandelsläden?",I jeans blu erano rivoluzionari a quel tempo. Risulta che non lo erano. Cosa pensa dei negozi al dettaglio?,"I blue jeans erano la strada da seguire. Non è stato proprio così. Cosa ne pensi dei negozi al dettaglio
",formal
