source,preferred,rejected,attribute
"Sie in den Park mitnehmen und sie herumlaufen und müde werden lassen, weißt du, was ich meine, sodass sie müde werden.",公園に連れて行き、走り回らせて疲れさせることです。分かりますか、つまり彼らを眠たくさせるということです。,"公園に連れて行って走り回って疲れさせて、分かるかな、彼らが眠るように
",formal
"Das habe ich früher auch gespielt. Wusstest du, dass der Bruder von Tom Hanks in Videospielen die Stimme von Woody ist?",私も以前にそれをプレイしたことがあります。トム・ハンクスの兄弟がウッディの声を務めていたことをご存知でしたか?,"昔プレーしていたことがある。トム・ハンクスの弟がテレビゲームでウッディーの声をしていたの?
",formal
"Sie wissen schon, so lange es passt. Das ist am wichtigsten. Als Sie jünger waren, glauben Sie, Sie haben mehr Geld für Kleidung ausgegeben, und haben Sie mehr Zeit und Energie in Ihre Outfits gesteckt?",自分に合っていれば良いのですね。それが一番大切です。若い頃は服に多くのお金を使い、自分の服装に時間とエネルギーを費やしていたと思いますか?,"もちろん、服がフィットする限りは。それが一番大事だよ。若い頃、服にもっとお金をかけ、時間とエネルギーを費やしていたと思う？
",formal
"Weißt du, das scheint, als könne die Schlange wirklich lang sein.",確かにかなり長い列のようですね。,"ご存知のように、これは列が非常に長くなる可能性があるようだ。
",formal
"Katzen sind einfach relaxter und sie setzen sich einfach unter dein Bett und wenn sie Streicheleinheiten wollen, lassen sie sich von dir streicheln.",猫は本当にリラックスしていて、ベッドの下に座っているだけです。そして撫でられたいときは、あなたに撫でてもらいます。,"猫はリラックスしていて、ただベッドの下に座っているだけ。それで、触って欲しいと、触らせてくれる
",formal
"Also, hat deine Freundin gewusst, dass sowas bei diesen Treffen passiert, oder hatte sie einfach keine Ahnung?",では、あなたの彼女は、そういった出来事がこの種の集まりで起こり得ることを知っていましたか、それとも全く気づいていませんでしたか?,"それで、あなたの友達はこういうパーティーでこんなことが起きることを知っていたの？それとも全く知らなかった？
",formal
"am Computer, auf die gleiche Weise, wie wir es mit deinen Freunden klären, uns um deine Kinder oder deine Band kümmern, weißt du, es ist also eine Tatsache, dass viele Menschen auf diese Weise Neuigkeiten erfahren.",コンピューターを使って、あなたの友人たちとの問題を解決したり、あなたの子供たちやバンドのことを世話したりするのと同じように、多くの人々がこの方法で最新情報を得ているのが事実です。,"コンピューターで同時に友達のことを確認したり、子供や知っている仲間とやりとりをしたりするのと同じような方法で、多くの人がニュースを入手しているのが現実だ。
",formal
"Absolut richtig. Wussten Sie, dass Polohemden ursprünglich von einem berühmten Tennisspieler erfunden wurden?",絶対に正しいです。ポロシャツが有名なテニスプレーヤーによって発明されたことをご存知でしたか?,"そうだね。ポロシャツは最初有名なテニス選手が発明したものだって知ってた?
",formal
"Ich habe keinen Favoriten, aber es gibt einige, die mir gefallen. Wie steht es mit Ihnen?",私には特に好きな作品はありませんが、いくつか気に入っているものはあります。あなたは好きな作品はありますか?,"お気に入りのものはないが、いくつか好きなものはあるよ。あなた自身はどう？
",formal
"Ich hoffe, dass ich Ihr Land bald besuchen werde. Das ist perfekt und einfach und süß und das ist es. Oh, das sagt es. Ich hoffe, es ist so.",私はあなたの国を近いうちに訪れられることを願っています。それは完璧で簡単で素敵なことです。そう言えば尽きます。そうであることを願っています。,"近い将来、あなたの国を訪問したいと思っているよ。完璧でシンプルで素晴らしい。それに尽きる。ああ、書いてある。そのとおりだと期待している。
",formal
"Das muss ein außergewöhnliches Spektakel sein, ihm beim Fressen zuzusehen. Eine gute Art, deine Feinde loszuwerden! LOL.",彼が食事をする様子を見るのは、きっと特別な光景に違いありません。敵を排除する良い方法ですね!笑,"食べているのを見るのは、素晴らしいショーに違いない。敵を排除する素晴らしい方法だ!
",formal
"Ja, habe ich. Sie sind gut! Hast du?",はい、持っています。それは良いですね!あなたは持っていますか?,"うん、私は持っているよ。それはいいよ！あなたは持っている？
",formal
"am Computer, auf die gleiche Weise, wie wir es mit Ihren Freunden klären, uns um Ihre Kinder oder Ihre Band kümmern, wissen Sie, es ist also eine Tatsache, dass viele Menschen auf diese Weise Neuigkeiten erfahren.",コンピューターで、友人と話し合うのと同じように、子供や音楽バンドの世話をするのと同じように、多くの人々がこの方法で最新情報を得ていることは事実です。,"コンピューターで同時に友達のことを確認したり、子供や知っている仲間とやりとりをしたりするのと同じような方法で、多くの人がニュースを入手しているのが現実だ。
",formal
"Nun, Gefühle waren in Ihrer Familie offensichtlich nicht erlaubt und sie waren auch in meiner Familie wirklich nicht erlaubt, es sei denn, es war Wut. Wir durften das Gefühl von Wut zeigen, denn das war alles, was jemand je gezeigt hat,",そうですね、あなたの家族では感情を表すことが許されていなかったようですし、私の家族でも怒りを除いて感情を表すことはほとんどありませんでした。怒りの感情は表すことができましたが、それ以外の感情を表すことはほとんどなかったのです。,"そう、私の家族の場合と同じように、あなたの家族ではもちろん感情をそのまま出すことは許されなかった。怒りの感情を除いて。怒りの気持ちを表現することが許されたのは、誰もが表現したことだからだ、
",formal
"Ich denke, dass das Talent angeboren sein kann. Ich frage mich, welche Persönlichkeit Sie dafür haben müssten: stundenlang Ihren Gedanken nachzugehen und sich mit Zügen und Gegenzügen auseinanderzusetzen.",私は才能は生まれつきのものかもしれないと思います。時間をかけて思索し、出方と受けの作用に打ち込むような人格を持っていなければならないのでしょうか。,"私は才能は遺伝すると思う。どんな性格が必要？頭の中で動きや対抗手段を考えて何時間もすごしたり。
",formal
"Wahrscheinlich, Make-up kann dich wirklich in fast jede Person verwandeln.",おそらく、メイクアップで本当に誰にでも変身できます。,"おそらく、メイクアップで本当に誰にでも変身できるよ
",formal
"Wie sieht es mit Elektronik aus? Findest du, du bist jemand, der elektronische Geräte kaufen muss? Hast du in der letzten Zeit irgendwelche elektronischen Geräte gekauft?",電子機器についてはどうですか?自分は電子機器を買わなければならない人だと思いますか?最近、何か電子機器を購入しましたか?,"電子機器はどう？電子機器を購入する必要があると思う？最近、電子機器を購入した？
",formal
"Also, wie viele Tanten und Onkels haben Sie",では、おばとおじさんは何人いらっしゃいますか。,"じゃあ叔母と叔父は何人いるの
",formal
"Das ist eine gute Idee. Also, es war unterhaltsam und schnell, heute Morgen mit Ihnen zu chatten. Ich hoffe, Sie genießen den Rest Ihres Tages, Freund!",それは良いアイデアですね。そして、今朝あなたとチャットできて楽しく、時間も早く過ぎました。あなたが残りの一日を楽しめますように!,"いいアイディアだ!今朝は話ができて楽しい時間が過ごせたよ。今日一日楽しんでね。
",formal
"Wissen Sie, ich kann mir denken, dass, wenn Sie in einer Verhandlung in einer bestimmten Rechtssituation sind, es wirklich nur darum geht, wie sehr Sie bereit sind, aufzustehen und zu sagen, wissen Sie",ある種の法的状況で裁判はどのようになるかが私にはわかります。どれだけ積極的に立ち上がり発言するかにかかっているんです。,"ある種の法的状況で裁判はどのようになるかが私にはわかるよ。どれだけ積極的に立ち上がり発言するかにかかっているんだ。
",formal
"(Nun, ich erinnere mich,) dass ich eine Frage an Sie habe. Hatten Sie mehrere? Das Beste ist es, zu erklären, wie meine Stadt funktioniert.",(そうですね、思い出しました。)あなたに質問があります。複数の質問がありましたか?私の町の仕組みを説明するのが一番良いでしょう。,"(そうだ、思い出した) あなたに質問がある。私の町が機能する方法を説明する一番良い方法は複数ある？
",formal
"Und eine Art, sich auszudrücken, das ist wie, wissen Sie, die Beispiele, die Sie genannt haben, bedeuten, dass es um einiges mehr Zynismus gibt.",そして、あなた自身を表現する上で、もちろん、あなたが出した例が、皮肉たっぷりであることがわかります。,"そして、あなた自身を表現する上で、もちろん、あなたが出した例が、皮肉たっぷりであることがわかる。
",formal
"Wirklich? Was denken Sie, es wird die Leute auf Ihren Teppich bringen, wohingegen",本当ですか?それは人々をあなたの絨毯の上に連れてくると思いますが、どうでしょうか。,"本当に？なぜ人々はあなたのカーペットに来ると思う？
",formal
"Ich meine, was für ein unglaublicher Kauf dort, wissen Sie, schokoladenumhüllte Mandeln mit, ich weiß nicht.",私が言いたいのは、そこで本当に素晴らしい買い物ができたということです。チョコレートでコーティングされたアーモンドなどを、私は分かりませんが。,"そのような信じられない量のチョコレートをコーティングしたアーモンドを購入するのはどういうわけかわからないという意味だ
",formal
"Ich habe keinen Favoriten, aber es gibt einige, die mir gefallen. Wie steht es mit dir?",お気に入りはありませんが、いくつか気に入ったものがあります。あなたはどうですか?,"お気に入りのものはないが、いくつか好きなものはあるよ。あなた自身はどう？
",formal
"Ich stelle meine Kinder an erste Stelle, besonders vor der Arbeit und allem anderen. Also, meine Kinder kommen immer zuerst, vor der Arbeit, also das heißt, immer die Familie zuerst.",私は子供たちを最優先しています。仕事や他のことよりも、子供たちが常に第一です。つまり、仕事より家族を第一にしているということです。,"私は子供を優先しているよ、特に仕事とか他の事柄よりも。だから、私は子供たちのことがまず優先、仕事よりも。だからいつも家族が先だ。
",formal
"Das tue ich, was denken Sie über die Verletzung von Price?",私もそう思います。プライスの怪我についてはどう思われますか?,"ああ。Priceの怪我についてはどう思う?
",formal
"Wie was? Was ist mit Ihrem Arm passiert? Ich wollte nichts sagen. Ich würde nicht einmal wissen, wie man das sagt und ich würde sagen, ich wurde geschnitten.",たとえば何ですか？腕がどうなりましたか？私は何も言いたくありませんでした。どう言ったら良いかも分からないでしょうし、言ってみれば、切られたと言うでしょう。,"たとえば何？腕がどうなったの？私は何も言いたくなかった。どう言ったら良いかも分からないだろうし、言ってみれば、切られた
",formal
"Ich stimme Ihnen zu. Besonders in Sachen Box Office, so wie es heute läuft. Ich würde es hassen, für den Film No Night Stand zu arbeiten. Sie verdienen nur 309 Dollar bei einem Budget von 15 Millionen!",私も同感です。特に興行収入が今のままでは。映画「ノー・ナイト・スタンド」のために働くのは嫌ですね。1500万ドルの予算で309ドルしか稼げなかったんですから!,"私も同感だ！特に興行収入が今のままでは。映画「トロイの木馬戦争」のために働くのは嫌だね。1500万ドルの予算で309ドルしか稼げなかったんだから！
",formal
"Ja, ich stimme dir zu! Ich schaue fast jeden Tag YouTube. Ich kann nicht glauben, dass Google YouTube 2006 für 1,65 Milliarden Dollar gekauft hat. Das scheint so lange her.",はい、同感です!私もほぼ毎日YouTubeを見ています。Googleが2006年に16億5000万ドルでYouTubeを買収したことが信じられません。それは遠い昔のことのように感じます。,"同感だよ!ほとんど毎日YouTubeを見ている。Googleが2006年にYouTubeを16億5000万ドルで買収したなんて信じられない。遠い昔に感じるよ。
",formal
"Ich hoffe, dass ich dein Land bald besuchen werde. Das ist perfekt und einfach und süß und das ist es. Oh, das sagt es. Ich hoffe, es ist so.",私はあなたの国を近いうちに訪れられることを願っています。それは完璧で簡単で素敵なことです。そう言えば尽きます。そうであることを願っています。,"近い将来、あなたの国を訪問したいと思っているよ。完璧でシンプルで素晴らしい。それに尽きる。ああ、書いてある。そのとおりだと期待している。
",formal
Hast du als Kind mit Legos gespielt?,子供の頃レゴで遊びましたか?,"小さい頃レゴで遊んだ？
",formal
"Ja, in den Zoo, wissen Sie, was ich meine.",はい、動物園のことですね。分かります。,"そう、動物園に連れて行く、分かるでしょ
",formal
"Nun, ich denke, dann liegt dir das wohl einfach im Blut.",そうですね、それは生まれつきの才能があるからだと思います。,"まあ、それはあなたの血の中にあると思うよ。
",formal
"Weißt du, du kannst nicht, es ist so, dass das, was auf deinen Dokumenten steht, nicht genug ist, nein, das ist es nicht. Okay, entweder Familie oder Arbeit an erster Stelle.",知っていますか、あなたの書類に書かれていることでは不十分です。そうではありません。はい、家族か仕事のどちらかを優先しなければなりません。,"あなたにはできない、ファイルに書かれていることだけでは十分ではない、ということだ。つまり、家族が先か、仕事が先か
",formal
"Du weißt schon, einfach so, irgendwie, weiß du, waren sie in der Lage, das in die Tasche zu packen und zu ziehen, sie sind alle neu und geben es einfach dort drüben ab.",分かりますね。なんとなく、彼らは荷物にそれらを詰め込んで運ぶことができ、すべて新しいものなので、そのまま向こうに渡していたのです。,"どういうやり方かというと、彼らがそれをバッグに詰めて引っ張ってきて、製造したことがない新しい製品をそこに持ち込むだけだ
",formal
"Das fühlt sich einfach so groß an, es scheint am Anfang klein zu sein, es sind einfach riesengroße Dinge, die sie für dich tun.",それは本当に大きく感じられます。初めは小さなことのように見えますが、彼らがあなたのために行うことは実に巨大なことなのです。,"それは本当に大きいように思えて、最初は小さなことに見えるかもしれないけど、本当にとても大きいことだ、彼らがあなたにしてくれていることは。
",formal
"Was ist mit deinem Team, du hast erwähnt, dass du ein ziemlich gutes Verhältnis zu deinen Kollegen hast.",チームメンバーとの関係についてはどうですか。あなたは同僚との関係がかなり良好だと言っていました。,"それで、あなたのチームはどう、あなたは同僚とかなり良い関係を保っていると言ったよね。
",formal
"Nun, ich denke, dann liegt Ihnen das wohl einfach im Blut.",まあ、それはあなたの血の中にあると思います。,"まあ、それはあなたの血の中にあると思うよ。
",formal
"Alle meine Schwestern sind aufs College gegangen, sie haben das College abgeschlossen, der ältere Bruder hat seinen (Master). Schule ist eine Familie. (Du musst) zur Schule gehen.",私の全ての姉妹は大学に進学し、卒業しました。長兄は修士号を取得しました。学校は家族のようなものです。(あなたは)学校に行かなければなりません。,"私の姉妹たちは皆大学に行った。大学を卒業して、兄は(修士号)を取った。学校は家族だ。学校に行く(べきだ)。
",formal
"Denkst du, du magst die Familie deines Freundes?",彼氏の家族が好きだと思いますか?,"彼氏の家族が好きだと思う？
",formal
"Ja, Sie müssen sagen, jeder hat seine eigene Haltung, wissen Sie, was ich meine, jeder hat seinen eigenen Stil.",はい、それぞれが自分なりの態度を持っていると言わなければなりません。私の言っていることがおわかりでしょうか、それぞれが自分なりのスタイルを持っているのです。,"うん、そうだろうね、皆自分の考えがある、分かるかな、皆自分のスタイルがある
",formal
"Absolut richtig. Wusstest du, dass Polohemden ursprünglich von einem berühmten Tennisspieler erfunden wurden?",まったく正しいです。ポロシャツが元々は有名なテニス選手によって発明されたことをご存知でしたか?,"そうだね。ポロシャツは最初有名なテニス選手が発明したものだって知ってた?
",formal
"Das ist, als ob du verkaufst, das ist, als ob du das wirklich zu einem ganz geringen Preis machen musst.",それは、あなたが販売するのと同じで、本当に非常に安価で行わなければならないようなものです。,"売るのと同時に、本当に低コストで製造しなければならないといったことだ。
",formal
"Aber es war komisch, so viel Zeit am späten Nachmittag zu haben, weißt du und deine gesamten Arbeitstage zu haben.",しかし、夕方になってそんなに時間があるのは変な感じでしたね。あなたの仕事の1日全部を持っているような感じです。,"でも午後遅くにあんなに時間があるなんて変な感じだった、分かるでしょ、そのあとは一日中仕事の日が来る。
",formal
"Sie in den Park mitnehmen und sie herumlaufen und müde werden lassen, wissen Sie, was ich meine, sodass sie müde werden.",公園に連れて行き、歩き回らせて疲れさせるのです。分かりますね、疲れるようにするということです。,"公園に連れて行って走り回って疲れさせて、分かるかな、彼らが眠るように
",formal
"das waren Sie, wir haben darüber gesprochen, dass jemand in Ihrem Kurs für moderne Schauspielerei Casting-Direktor werden wollte und einen Backup-Job gebucht hat. Ich habe darüber nachgedacht und wie lächerlich das ist.",あなたでしたね。あなたの受講している現代演劇のクラスで、誰かがキャスティングディレクターになりたがって予備の仕事を予約したことについて話していました。私はそれについて考えましたが、それはとてもおかしなことだと思います。,"それはあなただった、私たちはあなたの現代演技クラスの誰かがどのようにキャスティング・ディレクターになりたいと思って、バックアップの仕事を予約したかについて話していた。私はそれとそれがどれほどばかげているかを考えていた。
",formal
"Nun, in San Diego wird es eher heiß als warm sein. Wirklich? Hat das eine tiefere Bedeutung? Oder bedeutet es, dass Sie Ihr Kind nicht nach einer Band benennen sollten?",サンディエゴでは暑いより熱いと言った方が適切でしょう。本当ですか?それには深い意味があるのでしょうか?それとも、子供の名前をバンド名から付けるべきではないということでしょうか?,"さて、サンディエゴは暖かいよりも暑くなるだろう。本当に？何か意味が含められている？それとも、バンドの後ろから子供に呼びかけるべきではないという意味？
",formal
