source,preferred,rejected,attribute
"Denken Sie, Sie mögen die Familie Ihres Freundes?",Denkt u dat u van de familie van uw vriend/vriendin zult houden?,"denk je dat je de familie van je vriend aardig vindt?
",formal
"wenn du Kulturen mischst, hoffst du, dass die stärkste Kultur nicht die schwächere Kultur dominiert und ich würde deinen Freund als die schwächere Kultur ansehen","Als u culturen mengt, hoopt u dat de sterkste cultuur de zwakkere cultuur niet overheerst en ik zou uw vriend als de zwakkere cultuur beschouwen.","Als je culturen vermengt, dan moet je hopen dat de overheersende cultuur de meer ingetogen cultuur niet verplettert, en ik zou jouw vriendin eerder zien als behorende tot een meer ingetogen cultuur.
",formal
Mir macht das Spaß. Das Spiel ist beim Zuschauen so unterhaltsam und schnell. Gefällt es dir?,Ik vind het leuk. Het spel is snel en leuk om naar te kijken. Vindt u het leuk?,"Ik vind het leuk. Het spel is snel en leuk om naar te kijken. Vind jij het leuk?
",formal
"Es ist wichtig, dass du deine Position darlegst. Nicht nur den Handschlag, sondern auch die Botschaft im Fernsehen zu übertragen, ist von großer Bedeutung.","Het is belangrijk dat u uw standpunt uiteenzet. Niet alleen het handgebaar, maar ook het overbrengen van de boodschap op televisie is van groot belang.","Het is belangrijk om je standpunt duidelijk te maken. Niet alleen de handdruk in beeld brengen, maar ook de boodschap is van groot belang.
",formal
"Martin ist jedermanns Lieblingssendung. Warum ist es deine Lieblingssendung, Martin?","Martin is ieders favoriete programma. Waarom is het uw favoriete programma, Martin?","ieders favoriete show is Martin. Waarom is Martin jouw favoriete show?
",formal
"Urgroßvater, du weißt, was ich meine. So ist es.","Overgrootvader, u begrijpt wat ik bedoel. Zo is het.","overgrootvader, weet je wat ik bedoel, zo is het
",formal
"Weil Hunde eine Menge Arbeit machen und sie sind laut und pinkeln auf Ihren Boden und sie zerstören Ihre Sachen, und sie sind einfach nervig.","Omdat honden een hoop werk zijn en ze zijn luidruchtig en plassen op uw vloer en ze vernielen uw spullen, en ze zijn gewoon irritant.","Omdat honden veel werk zijn, en ze zijn luidruchtig en ze plassen op je vloer en ze vernielen je spullen, en ze zijn gewoon vervelend.
",formal
"Ja, Sie müssen sagen, jeder hat seine eigene Haltung, wissen Sie, was ich meine, jeder hat seinen eigenen Stil.","Ja, u moet zeggen dat iedereen zijn eigen houding heeft, begrijpt u wat ik bedoel? Iedereen heeft zijn eigen stijl.","Ja, je moet toegeven, iedereen heeft zijn eigen mentaliteit, weet je wat ik bedoel, iedereen heeft zijn eigen stijl
",formal
"Was sind Ihre Lieblingsfilme, was sind Ihre anderen Lieblingsfilme und/oder Ihre Lieblingsfilme von diesem Jahr?","Wat zijn uw favoriete films, wat zijn uw andere favoriete films en/of uw favoriete films van dit jaar?","Welke zijn je favoriete films? Welke zijn je andere favoriete films, en/of je films van het jaar?
",formal
"Martin ist jedermanns Lieblingssendung. Warum ist es Ihre Lieblingssendung, Martin?","Martin is ieders favoriete programma. Waarom is het uw favoriete programma, Martin?","ieders favoriete show is Martin. Waarom is Martin jouw favoriete show?
",formal
