source,preferred,rejected,attribute
Blockiert die Sonne heute Abend Ihr Internetsignal?,O sol está bloqueando o seu sinal de internet esta noite?,"O sol está a bloquear o teu sinal de internet esta noite?
",formal
"Sicher, kann ich bitte auch deine Postleitzahl und den Straßennamen erfahren?","Claro, posso pedir também o seu código postal e o nome da rua?","Claro, posso também ter o teu código postal e o nome da rua, por favor?
",formal
"Es ist wichtiger als Arbeit, es ist wichtiger als einen Job und eine Karriere zu haben, weil deine Karriere wird zu Ende gehen, deine Familie wird nicht zu Ende gehen. Deine Familie wird weitergehen, deine Blutlinie wird weitergehen.","É mais importante que o trabalho, é mais importante que ter um emprego e uma carreira, porque a sua carreira vai terminar, a sua família não vai terminar. A sua família vai continuar, a sua linhagem vai continuar.","é mais importante que o trabalho, é mais importante que ter um trabalho e uma carreira, porque a tua carreira vai acabar, a tua família não acaba. A tua família continua, a tua descendência vai continuar
",formal
"Ich würde nicht garantieren, dass Sie das Spiel gewinnen, aber das würde es sicherlich erheblich leichter machten. Lol. Haben Sie einen schönen Tag.","Não garantiria que ganhasse o jogo, mas certamente o tornaria muito mais fácil. Lol. Tenha um bom dia.","Não garantia que ganhavas o jogo mas com certeza tornaria-o muito mais fácil. Lol. Tem um bom dia.
",formal
"Toll! Haben Sie den ersten Film gesehen, als er 1977 rauskam? Ich erinnere mich, dass ich ins Kino gegangen bin, um ihn zu sehen.",Ótimo! Viu o primeiro filme quando ele foi lançado em 1977? Eu me lembro de ter ido ao cinema para assisti-lo.,"Fixe! Viste o primeiro filme que saiu em 1977? Lembro-me de ir ao cinema ver.
",formal
"Absolut richtig. Wussten Sie, dass Polohemden ursprünglich von einem berühmten Tennisspieler erfunden wurden?",Absolutamente correto. Sabia que as camisas de polo foram originalmente inventadas por um famoso jogador de ténis?,"Bem verdade. Sabias que as camisas polo foram inicialmente inventadas por um tenista famoso?
",formal
"Das sehe ich genauso wie Sie, was ist Ihr Lieblingsfilm?","Vejo isso da mesma forma que você, qual é o seu filme favorito?","Estou de acordo contigo, qual é o teu filme favorito?
",formal
"Hi, mir geht es super, und dir? Liest du gern?","Olá, estou muito bem, e você? Gosta de ler?","Olá, está tudo ótimo comigo, e tu? Gostas de ler?
",formal
"Wollen Sie zur Schule gehen, werden sie Ihnen mit der Schule helfen, wissen Sie, was ich meine, so ist die Familie halt.","Se quiser ir à escola, eles ajudá-lo-ão com a escola, sabe o que quero dizer, é assim que a família é.","queres ir para a escola, eles vão ajudar-te a ir para a escola, percebes o que estou a dizer, a família é assim
",formal
"Wow, ich könnte vermutlich einige verkaufen und den Rest als Investition behalten. Was würdest du tun?",Uau. Eu provavelmente venderia alguns e ficaria com o resto como um investimento. O que é que você faria?,"Uau. Eu provavelmente venderia alguns e ficava com o resto como um investimento. O que é que tu farias?
",formal
"Ich meine, was für ein unglaublicher Kauf dort, wissen Sie, schokoladenumhüllte Mandeln mit, ich weiß nicht.","Quero dizer, que compra incrível ali, sabe, amêndoas cobertas de chocolate com, não sei o quê.","Quero dizer que compra tão incrível que foi, sabes, amêndoas cobertas de chocolate com não sei o quê.
",formal
"Ich denke, weil Menschen einfach bezüglich Arten, wie du sagtest, (entwickelt) sind. Das sah vielleicht ein bisschen seltsam aus. Du denkst dein","Eu acho que é porque as pessoas são simplesmente (evoluídas) em relação a espécies, como você disse. Isso pode ter parecido um pouco estranho. O que você acha?","Acho que só porque, em termos de espécies, como disseste, os humanos são (desenvolvidos). Provavelmente parecem um pouco estranhos. Achas que o teu
",formal
"Oh mein Gott, ich hasse Will Ferrell. Also, was ist dein liebster Film? Der Film mit Will Ferrell. Ich hasse Zwiebeln","Oh meu Deus, eu odeio Will Ferrell. Então, qual é o seu filme favorito? O filme com Will Ferrell. Eu odeio cebolas","Oh meu Deus, odeio Will Farrells. Então, qual é o teu filme favorito? O filme com Will Farrells. Odeio cebolas
",formal
"Ich verstehe, genau darum sage ich immer, sei Single und triff viele Leute, dann musst du dir keine Sorgen machen, die Gefühle anderer zu verletzen und du musst dir auch keine Sorgen machen, dass deine Gefühle verletzt werden.","Eu compreendo, é por isso que sempre digo, seja solteiro e conheça muitas pessoas, então não precisa se preocupar em magoar os sentimentos dos outros e também não precisa se preocupar que os seus sentimentos sejam magoados.","Estou a ver, é por isso que digo para ficar solteiro e socializar, para não ter medo de magoar os sentimentos de alguém e não tens de te preocupar em ter os teus sentimentos feridos
",formal
"Oh mein Gott, ich hasse Will Ferrell. Also, was ist Ihr liebster Film? Der Film mit Will Ferrell. Ich hasse Zwiebeln","Oh meu Deus, eu odeio o Will Ferrell. Então, qual é o seu filme favorito? O filme com o Will Ferrell. Eu odeio cebolas","Oh meu Deus, odeio Will Farrells. Então, qual é o teu filme favorito? O filme com Will Farrells. Odeio cebolas
",formal
"Das Produkt in deine Hand nehmen, bevor du dort überhaupt hinkommst.",Colocar o produto na sua mão antes mesmo de lá chegar.,"Colocar o produto na tua mão antes mesmo de lá chegar.
",formal
"Nun, Gefühle waren in deiner Familie offensichtlich nicht erlaubt und sie waren auch in meiner Familie wirklich nicht erlaubt, es sei denn, es war Wut. Wir durften das Gefühl von Wut zeigen, denn das war alles, was jemand je gezeigt hat,","Bem, sentimentos obviamente não eram permitidos na sua família e eles realmente não eram permitidos na minha família também, a não ser que fosse raiva. Podíamos mostrar o sentimento de raiva, pois era tudo o que alguém alguma vez mostrava,","Bem, os sentimentos não eram obviamente permitidos na tua família e também não eram permitidos na minha, a menos que fossem raiva. Foi-nos permitido expressar o sentimento de raiva porque isso é tudo o que qualquer pessoa alguma vez expressou.
",formal
