source,preferred,rejected,attribute
That is a long time ago! What do you think about the Chinese name for Guardians of the Galaxy over there? It is the: interplanetary unusual attack team LOL,Das ist wirklich lange her! Was denken Sie über den chinesischen Namen für die Guardians of the Galaxy? Er lautet: Das interplanetarische ungewöhnliche Angriffsteam LOL,"Das ist schon lange her! Was denkst du über den chinesischen Titel von Guardians of the Galaxy da drüben? Es ist das interplanetarische ungewöhnliche Angriffsteam LOL.
",formal
So we are going to be talking about families and stuff like that and you know all that,"Wir werden also über Familien und solche Dinge sprechen, und Sie wissen schon, all das.","Also werden wir über Familien und sowas reden und du weißt schon, all das
",formal
So tell me about your childhood best friend.,"Also, erzählen Sie mir von Ihrem besten Freund aus der Kindheit.","Also, erzähle mir von deinem besten Freund aus der Kindheit.
",formal
"You know you need somebody to mentor, you need somebody to talk to. Family is important","Sie wissen, dass Sie jemanden brauchen, der Sie anleitet, und jemanden, mit dem Sie reden können. Familie ist wichtig.","Du weißt, dass du jemanden als Mentor brauchst, du brauchst jemanden zum Sprechen. Familie ist wichtig.
",formal
"you gotta have a backbone, you gotta have money. You know what I'm saying you gotta make the money","Sie müssen ein Rückgrat haben, Sie müssen Geld haben. Sie wissen, was ich meine, Sie müssen das Geld verdienen.","Du brauchst ein Rückgrat, du brauchst Geld. Du weißt, was ich meine, Du musst das Geld verdienen
",formal
"It sounds like you know your Comic Book stuff, Nancy doesn't sound like your type of material.","Es klingt, als würden Sie sich mit Comics gut auskennen. Nancy scheint nicht so Ihr Ding zu sein.","Es klingt, als würdest du dich mit deinen Comicheften auskennen, Nancy klingt nicht nach deiner Art von Material.
",formal
That is a little surprising. I would have thought gran prix or something like that.... I bet Logic would beat you in Mario Kart!,"Das ist ein wenig überraschend. Ich hätte eher an Grand Prix oder so etwas gedacht.... Ich wette, Logic würde Sie bei Mario Kart schlagen!","Das ist ein wenig überraschend. Ich hätte Grand Prix oder sowas Ähnliches gedacht … ich wette, Logic würde dich bei Mario Kart schlagen!
",formal
while sitting in the back of your car and not having to focus on the road. How many hours a year you spend driving versus how you can use that to be more productive.,Während Sie auf der Rückbank Ihres Autos sitzen und sich nicht auf die Straße konzentrieren müssen. Wie viele Stunden Sie pro Jahr mit Fahren verbringen und wie Sie diese Zeit produktiver nutzen könnten.,"Während du auf dem Rücksitz deines Autos sitzt und dich nicht auf die Straße konzentrieren musst. Wie viele Stunden im Jahr verbringst du im Auto, die du auf produktivere Art nutzen könntest.
",formal
I can't even imagine. Nice chatting with you!,"Das kann ich mir gar nicht vorstellen. Es war nett, mit Ihnen zu plaudern!","Ich kann mir das nicht einmal vorstellen. Hat Spaß gemacht, mit dir zu chatten.
",formal
"Is your window open by the way? Can you shut it? Yeah, it's really annoying. and hopefully that'll make it easier for the people listening.","Ist Ihr Fenster übrigens offen? Können Sie es zumachen? Ja, es ist wirklich nervig. Und ich hoffe, dass es das für die Leute einfacher machen wird, zuzuhören.","Ist dein Fenster übrigens offen? Kannst du es zumachen? Ja, es ist wirklich nervig. Und ich hoffe, dass es das für die Leute einfacher machen wird, zuzuhören.
",formal
"Sometimes it worth the wait. Usually when sequels are rushed they are so disappointing. Still, it's a whole lot better than getting your entertainment from chickens like the British did on the time of Caesar.","Manchmal lohnt sich das Warten. Normalerweise sind Fortsetzungen, die überstürzt gedreht werden, sehr enttäuschend. Dennoch ist es viel besser, als sich wie die Briten zur Zeit Caesars von Hühnern unterhalten zu lassen.","Manchmal lohnt sich das Warten. In der Regel sind Fortsetzungen so enttäuschend, wenn sie überstürzt werden. Aber das ist immer noch viel besser, als wenn du dich von Hühnern unterhalten lässt wie die Briten zur Zeit von Caesar.
",formal
I agree with you! Especially with the box office at what it is. I would hate to work for the movie Trojan Wars. They made only 309 dollars on a budget of 15 million!,"Ich stimme Ihnen zu! Besonders mit den Kasseneinnahmen, wie sie sind. Ich würde es hassen, für den Film Trojan Wars zu arbeiten. Sie haben nur 309 Dollar bei einem Budget von 15 Millionen Dollar eingespielt!","Ich stimme dir zu. Besonders in Sachen Box Office, so wie es heute läuft. Ich würde es hassen, für den Film No Night Stand zu arbeiten. Sie verdienen nur 309 Dollar bei einem Budget von 15 Millionen!
",formal
It is crazy how much people can determine from simply looking at your clothes. Like if your clothes gap in certain ways it shows you wear off the rack.,"Es ist verrückt, wie viel Menschen einfach nur durch das Betrachten Ihrer Kleidung über Sie bestimmen können. Wenn Ihre Kleidung beispielsweise an bestimmten Stellen nicht richtig sitzt, zeigt das, dass Sie Kleidung von der Stange tragen.","Es ist verrückt, wie viel man anhand deiner Kleidung erfahren kann. Falls deine Kleidung etwa an bestimmten Stellen nicht passt, zeigt es, dass du von der Stange kaufst.
",formal
You can't escape your addiction at the top of Everest even. There is 3g cell service and Internet capabilities up there!,Sie können Ihrer Sucht nicht einmal auf dem Gipfel des Everest entkommen. Es gibt dort 3G-Mobilfunkversorgung und Internetzugang!,"Du kannst deiner Sucht nicht einmal auf dem Gipfel des Everest entkommen. Dort oben gibt es 3G-Empfang und Internetfähigkeit!
",formal
"He never reached out and was like, you never sorry for biting your arm.","Er hat sich nie gemeldet und gesagt: Entschuldigung, dass ich Ihren Arm gebissen habe.","Er hat sich nie gemeldet und sagte, es tut dir nie leid, deinen Arm gebissen zu haben.
",formal
"Information on your Instagram, I'm sure",Informationen dazu finden Sie sicher auf Ihrem Instagram.,"Informationen auf deinem Instagram, ich bin mir sicher
",formal
"because it's not you're taking someone's time who could be selling to you. customers who are serious about something, not someone who just trying to get their makeup done for free.","Denn es ist nicht so, dass Sie jemandes Zeit in Anspruch nehmen, der Ihnen etwas verkaufen könnte. Es geht um Kunden, die an etwas ernsthaft interessiert sind, nicht um jemanden, der nur versucht, sich kostenlos schminken zu lassen.","weil es das nicht ist, du beanspruchst die Zeit von jemandem, der dir etwas verkaufen könnte. Kunden, die ernsthaft an etwas interessiert sind, nicht jemand, der einfach versucht, umsonst geschminkt zu werden.
",formal
"Yeah, that is pretty weird isn't it? I wonder if it is true. Well, nice chatting with you.","Ja, das ist ziemlich seltsam, nicht wahr? Ich frage mich, ob es wahr ist. Nun, es war nett, mit Ihnen zu plaudern.","Ja, das ist ziemlich sonderbar, nicht wahr? Ich frage mich, ob das stimmt. Also, nett, mit dir zu chatten.
",formal
"Wow. I would probably sell some, and keep the rest as an investment. What would you do?",Wow. Ich würde wahrscheinlich einen Teil verkaufen und den Rest als Investition behalten. Was würden Sie tun?,"Wow, ich könnte vermutlich einige verkaufen und den Rest als Investition behalten. Was würdest du tun?
",formal
Do you like Legos? did you ever play with them as a child or even later?,Mögen Sie Legos? Haben Sie als Kind oder sogar später damit gespielt?,"Magst du Legos? Hast du jemals als Kind mit ihnen gespielt oder sogar später?
",formal
"Yeah that makes sense, did you heard about the $10 million bunker he has?","Ja, das ergibt Sinn, haben Sie von dem 10-Millionen-Dollar-Bunker gehört, den er hat?","Ja, das macht Sinn, hast du von dem 10-Millionen-$-Bunker gehört, den er hat?
",formal
Nice! Did you see the first movie when it came out in 1977? I remember going to the theater to see it.,"Schön! Haben Sie den ersten Film gesehen, als er 1977 herauskam? Ich erinnere mich daran, ins Kino gegangen zu sein, um ihn zu sehen.","Toll! Hast du den ersten Film gesehen, als er 1977 rauskam? Ich erinnere mich, dass ich ins Kino gegangen bin, um ihn zu sehen.
",formal
"The same here. Try to make today your perfect day, however that is.","Dasselbe hier. Versuchen Sie, aus diesem Tag Ihren perfekten Tag zu machen, wie auch immer das für Sie aussieht.","Hier auch. Versuche, den heutigen Tag zu deinem perfekten Tag zu machen, wie auch immer der aussieht.
",formal
"Well, even if you order the DVD from Netflix you need to have internet to put it on your list to be sent.","Nun, selbst wenn Sie die DVD von Netflix bestellen, brauchen Sie Internet, um sie auf Ihre Wunschliste zu setzen, damit sie Ihnen zugeschickt wird.","Also, selbst wenn du die DVD bei Netflix bestellst, musst du Internet haben, um sie auf deine Liste von zu sendenden Dingen zu setzen.
",formal
"that is interesting I always wondered that, do you use google for your searches? or another website?","Das ist interessant, ich habe mich das auch immer gefragt. Benutzen Sie für Ihre Suchen Google oder eine andere Website?","Das ist interessant, ich habe mich das immer gefragt, verwendest du Google für deine Suchen? Oder eine andere Website?
",formal
"Who is your favourite actor? I guess, like the same thing.","Wer ist Ihr Lieblingsschauspieler? Ich schätze, so etwas Ähnliches.","Wer ist dein Lieblingsschauspieler? Ich nehme an, dasselbe.
",formal
Thats neat. The trunk of your car is called that because they used to have wooden trunks in the back,"Das ist interessant. Der Kofferraum Ihres Autos wird so genannt, weil man früher hölzerne Truhen hinten drin hatte.","Sauber. Der Kofferraum deines Autos wird so genannt, weil sie früher Truhen aus Holz hinten drin hatten.
",formal
