source,preferred,rejected,attribute
I know what you mean. It is the only object known to have life and we need to know why that is.,Entiendo a lo que se refiere. Es el único objeto conocido que tiene vida y necesitamos saber por qué es así.,"Sé a lo que te refieres. Es el único objeto conocido que tiene vida y necesitamos saber por qué es así.
",formal
"where you know you can clean yourself when you go to the washroom in terms of oils and scents and all that stuff, absolutely everybody smelled wonderful, it was just the hygiene and it's awesome.","Donde uno sabe que puede limpiarse cuando va al baño en términos de aceites y aromas y todo eso, absolutamente todos olían maravillosamente, era solo la higiene y es grandioso.","donde sabes que puedes limpiarte cuando vas al baño en términos de aceites y aromas y todas esas cosas, absolutamente todo el mundo olía de maravilla, era simplemente la higiene y es impresionante
",formal
I do know some like he worked at Bubba Gump. Nice chatting with you!,"Sé algunas cosas, como que trabajó en Bubba Gump. ¡Ha sido un placer conversar con usted!","Sé que a algunos les gusta que trabajara en Bubba Gump. ¡Ha estado bien hablar contigo!
",formal
I used to play that too. Did you Tom Hanks brother does woody's voice in video games?,Yo también solía jugarlo. ¿Sabía usted que el hermano de Tom Hanks hace la voz de Woody en los videojuegos?,"Yo también lo jugaba. ¿Sabías que el hermano de Tom Hanks hace la voz de Woody en los videojuegos?
",formal
Kids' movies are big money for celebrities now. What is your favorite kids' movie?,Las películas para niños son ahora un gran negocio para las celebridades. ¿Cuál es su película favorita para niños?,"Las películas infantiles son un gran negocio para los famosos. ¿Cuál es tu película infantil favorita?
",formal
"you know, it's like fields trip field day, you know field day","Sabe, es como un día de excursión al campo, ya sabe, el día de campo.","ya sabes, es como el día de campo, te suena el día de campo
",formal
And they had a market just like your solution,Y tenían un mercado justo como su solución,"Y ellos pusieron un mercado justo como tu solución.
",formal
"I suppose talent could run in the family. I wonder what kind of personality you would need: spending hours inside your head, thinking of the moves and countermoves.","Supongo que el talento podría ser hereditario en la familia. Me pregunto qué tipo de personalidad se necesitaría: pasar horas dentro de su cabeza, pensando en los movimientos y contramovimientos.","Supongo que el talento podría ser cosa de la familia. Me pregunto qué tipo de personalidad necesitarías: pasarte horas reflexionando, pensando en las jugadas y en las contrajugadas.
",formal
"Okay, you're all clear. Get into your apartment or let them in. So that, you know, that goes on forever. Look, I don't know how long it's gonna","Muy bien, todo está claro. Entre en su apartamento o déjelos entrar. Eso, ya sabe, se prolongará indefinidamente. Mire, no sé cuánto tiempo va a durar","Bien, está todo despejado. Métete en tu apartamento o déjalos entrar. Así que, ya sabes, esto se hace eterno. Mira, no sé cuánto tiempo va a
",formal
Hi im doing great how about yourself? Do you like to read?,"Hola, me encuentro muy bien, ¿y usted cómo está? ¿Le gusta leer?","Hola, me va muy bien, ¿y a ti? ¿Te gusta leer?
",formal
What about electronics? Do you find yourself needing to buy electronics? Have you bought any electronics recently?,¿Qué hay de los aparatos electrónicos? ¿Siente usted la necesidad de comprar aparatos electrónicos? ¿Ha comprado algún aparato electrónico recientemente?,"¿Y qué hay de la electrónica? ¿Te ves a ti mismo en la necesidad de comprar aparatos electrónicos? ¿Has comprado algún producto electrónico recientemente?
",formal
I don't have a favorite but there are several that I like. How about yourself?,"No tengo una favorita, pero hay varias que me gustan. ¿Y usted, tiene alguna preferida?","No tengo un favorito, pero hay varios que me gustan. ¿Y tú?
",formal
"So what about your team, you mentioned that you have a pretty good relationship with your co-workers.","Así que, ¿qué hay de su equipo? Mencionó que tiene una muy buena relación con sus compañeros de trabajo.","Bueno, qué pasa con tu equipo, mencionaste que tienes una relación bastante buena con tus compañeros de trabajo.
",formal
Good Morning! Have you ever heard of K-Pop?,¡Buenos días! ¿Ha oído hablar alguna vez del K-Pop?,"Buenos días. ¿Has oído hablar del K-Pop?
",formal
"taking them to park and let them run around and get tired, you know what I am saying so they go to sleep","Llevarlos al parque y dejarlos correr y que se cansen, usted sabe a lo que me refiero, para que se duerman","llevarlos al parque y dejar que corran y se cansen, ya sabes, para que se duerman
",formal
Wow that is crazy long. Well it was nice chatting with you. Have a good day.,"Vaya, eso es increíblemente largo. Bueno, fue un placer conversar con usted. Que tenga un buen día.","Vaya, es una barbaridad de tiempo. Bueno, ha sido un placer charlar contigo. Que tengas un buen día.
",formal
"thing to try and bring the price down. Because for Airbnb I don't see too many coupons, like they don't give you your money if I go","La cosa es intentar bajar el precio. Porque para Airbnb no veo muchos cupones, es decir, no le devuelven el dinero si usted va","para tratar de bajar el precio. Porque para Airbnb no veo demasiados cupones, ya no te dan tu dinero si voy
",formal
"Wow. I would probably sell some, and keep the rest as an investment. What would you do?","Vaya, probablemente vendería una parte y guardaría el resto como inversión. ¿Qué haría usted?","Vaya, probablemente vendería una parte y guardaría el resto como inversión. ¿Qué harías tú?
",formal
"Information on your Instagram, I'm sure","La información estará en su Instagram, estoy seguro.","La información en tu Instagram, estoy seguro
",formal
Ah cool!  You should go more often then lol Did you see the most recent Beauty and the Beast?,"¡Ah, qué bien! Entonces debería ir más a menudo, jaja. ¿Ha visto la más reciente versión de La Bella y la Bestia?","Ah, qué guay. Pues tendrías que ir más a menudo. ¿Has visto la más reciente de La bella y la bestia?
",formal
No not your brother or yourself like who you consider your cousin,"No, no su hermano o usted mismo, sino a quién considera su primo.","No, no tu hermano o tú mismo como quien consideras tu primo
",formal
to find vegan options in your neighborhood now?,¿Es fácil encontrar opciones veganas en su vecindario ahora?,"¿encontrar opciones vegetarianas en tu barrio ahora?
",formal
I enjoy it. It is such a fun fast paced game to watch. Do you like it?,Lo disfruto. Es un juego de ritmo rápido y divertido de ver. ¿Le gusta a usted?,"Lo disfruto. Es un juego de ritmo rápido y divertido. ¿Te gusta?
",formal
Very true. Did you now polo shirts were initially invented be a famous tennis player?,Muy cierto. ¿Sabía usted que las camisas polo fueron inventadas originalmente por un famoso jugador de tenis?,"Muy cierto. ¿Sabías que las camisas polo las inventó inicialmente un famoso jugador de tenis?
",formal
"so that will change your shot, but if you are saying that your shot is underwhelming, you possibly have too low of a TDS to begin with. So, I would try to up those a little bit","Eso cambiará su tiro, pero si dice que su tiro es decepcionante, posiblemente tenga un TDS demasiado bajo para empezar. Así que, le recomendaría aumentarlo un poco.","eso cambiará tu tiro, pero si tú dices que tu tiro es decepcionante, es posible que tengas un TDS demasiado bajo para empezar. Así que, yo trataría de subirlos un poco
",formal
how many jobs are actually like that. Like somebody who's weird and uncomfortable as your boss?,¿Cuántos trabajos son realmente así? ¿Como tener a alguien raro e incómodo como su jefe?,"cuántos trabajos son realmente así. ¿Como alguien que es raro e incómodo como tu jefe?
",formal
"Yeah, just saw him the latest Disney rendition of The Nutcracker.  Did you see that?","Sí, acabo de verlo en la última versión de Disney de El Cascanueces. ¿Usted la ha visto?","Sí, lo he visto por última vez en la última versión de Disney de El cascanueces. ¿La has visto?
",formal
"Sure, may I also get your ZIP code and street name, please?","Claro, ¿podría también darme su código postal y el nombre de su calle, por favor?","Claro, ¿puedes darme también tu código postal y nombre de la calle, por favor?
",formal
Do you listen to music at the gym? Do you bring your own music or listen to what the gym is already playing?,¿Escucha usted música en el gimnasio? ¿Lleva su propia música o escucha la que ya está sonando en el gimnasio?,"¿Escuchas música en el gimnasio? ¿Llevas tu propia música o escuchas lo que ya estén poniendo en el gimnasio?
",formal
"Wow, that is weird and sad. Speaking of which, did you hear about the tiger found in the duffel bag?","Vaya, eso es extraño y triste. A propósito, ¿ha oído hablar del tigre encontrado en una bolsa de viaje?","Vaya, eso es raro y triste. Por cierto, ¿has oído hablar del tigre encontrado en la bolsa de lona?
",formal
