source,preferred,rejected,attribute
so how many aunts and uncles you have got,Donc combien d'oncles et de tantes avez-vous ?,"alors combien de tantes et d'oncles as-tu
",formal
while sitting in the back of your car and not having to focus on the road. How many hours a year you spend driving versus how you can use that to be more productive.,"Tout en étant assis à l'arrière de votre voiture, sans avoir à vous concentrer sur la route. Combien d'heures par an passez-vous à conduire alors que vous pourriez utiliser ce temps pour être plus productif ?","tout en étant assis à l'arrière de ta voiture, sans avoir à te concentrer sur la route. Combien d'heures par an passes-tu à conduire alors que tu pourrais utiliser ce temps pour être plus productif ?
",formal
Agreed. Do you plan to see the latest installment: M. I - Fallout?,D'accord. Avez-vous l'intention de voir le dernier opus : M.I. - Fallout ?,"Entendu. As-tu prévu d'aller voir le dernier épisode, Mission impossible : Fallout ?
",formal
"especially since I guess, unlike your family, in his case none of us really follow the path so to speak.","Surtout que, contrairement à votre famille, dans son cas, aucun d'entre nous ne suit vraiment le chemin tracé, pour ainsi dire.","d'autant plus que je suppose que, contrairement à ta famille, dans son cas, aucun de nous ne suit vraiment le chemin pour ainsi dire.
",formal
"We don't deserve dogs. Anyway, thanks for the chat! Enjoy your dog!","Nous ne méritons pas les chiens. Quoi qu'il en soit, merci pour cette conversation ! Profitez bien de votre chien !","Nous ne méritons pas les chiens. Bref, merci pour cette discussion ! Profite bien de ton chien !
",formal
"taking them to park and let them run around and get tired, you know what I am saying so they go to sleep","Les emmener au parc et les laisser courir et se fatiguer, vous voyez ce que je veux dire, pour qu'ils s'endorment ensuite.","les emmener au parc, les laisser courir et se dépenser, tu vois ce que je veux dire, pour qu'ils s'endorment
",formal
"I've heard that too.  Hey, what do you think of Morgan Freeman?  I never knew until recently that he had been on the electric company back in the 70s!","J'ai entendu cela aussi. Dites-moi, que pensez-vous de Morgan Freeman ? Je ne savais pas jusqu'à récemment qu'il avait fait partie de la troupe de The Electric Company dans les années 70 !","C'est ce que j'ai entendu aussi. Que penses-tu de Morgan Freeman ? J'ai découvert récemment qu'il a joué dans The Electric Company dans les années 1970 !
",formal
"You exercise at work. A likely excuse. In your life, did you ever get, was there ever a point where you were exercising routinely?","Vous faites de l'exercice au travail. Une excuse probable. Dans votre vie, avez-vous déjà eu, y a-t-il eu un moment où vous faisiez de l'exercice régulièrement ?","Tu fais de l'exercice au travail. Excuse peu crédible. Dans ta vie, as-tu déjà fait du sport régulièrement, à un moment ou un autre ?
",formal
I used to but not any more. I love your tradition of waving to the chidlren's hospital. So touching.,Je le faisais avant mais plus maintenant. J'aime votre tradition de faire un signe aux enfants de l'hôpital. C'est très touchant.,"J'en faisais à l'époque, plus maintenant. J'adore ton habitude de faire coucou à l'hôpital pour enfants. C'est si émouvant.
",formal
"No worries.   Perhaps Eddie Van Halen is more your speed?  He played on ""Beat It!""","Ne vous inquiétez pas. Peut-être qu'Eddie Van Halen est plus à votre goût ? Il a joué sur ""Beat It !""","Pas de problème. Peut-être que Eddie Van Halen te plaît plus ? Il a joué sur « Beat it! »
",formal
