source,preferred,rejected,attribute
That is so much work. Do you like other action movies like Jurassic world? I loved Jurassic Park so was hesitant when they announced Jurassic World.,Questo è un lavoro così impegnativo. Le piacciono altri film d'azione come Jurassic World? Amavo Jurassic Park quindi ero esitante quando annunciarono Jurassic World.,"È davvero un sacco di roba. Ti piacciono altri film d'azione come Jurassic World? Jurassic Park mi è piaciuto tanto, quindi ero titubante quando hanno annunciato Jurassic World.
",formal
"you got to teach them values like try trying things to do like, you know what I mean?","Deve insegnare loro valori come provare cose diverse, capisce cosa intendo?","devi insegnare loro valori come provare cose diverse, capisci cosa intendo?
",formal
"but I got how do you feel about your relationship with them. It's just like you gotta relationship, you think like your relation","Ma ho capito come si sente riguardo alla sua relazione con loro. È proprio come una relazione, pensa alla sua relazione","ma ho capito come ti senti riguardo al tuo rapporto con loro. È come se ti sentissi in obbligo, ritieni che la tua relazione
",formal
"Yeah, you're pants didn't look too tight, your colours weren't too bright, so I felt like I can ask you some questions about TV and I hear no foolishness.","Sì, i suoi pantaloni non sembravano troppo stretti, i suoi colori non erano troppo accesi, quindi ho pensato di poterle fare alcune domande sulla TV e di non sentire sciocchezze.","Sì, i tuoi pantaloni non sembravano troppo attillati, i tuoi colori non erano troppo accesi, quindi ho sentito di poterti fare alcune domande sulla TV e non voglio sentire sciocchezze.
",formal
"because it's not you're taking someone's time who could be selling to you. customers who are serious about something, not someone who just trying to get their makeup done for free.","Perché non è che Lei stia prendendo il tempo di qualcuno che potrebbe invece venderLe qualcosa. I clienti seri, non coloro che cercano semplicemente di farsi truccare gratis.","perché non è che tu stia occupando il tempo di qualcuno che potrebbe invece passare a vendere a te. I clienti seri, non quelli che cercano semplicemente di farsi truccare gratis.
",formal
"Thats a big fail lol, you dont want your product to fail during an important presentation, did you ever play the game Send me to Heaven?","È stato davvero un grande fallimento, non si vorrebbe mai che il proprio prodotto fallisca durante un'importante presentazione. Lei ha mai giocato al gioco ""Mandami in Paradiso""?","Questa è una grande delusione eheh, non credo tu voglia che il tuo prodotto sia un fiasco durante una presentazione importante. Hai mai giocato al gioco Send me to Heaven?
",formal
So your pops It's like that tell a story differently.,"Quindi suo padre è così, racconta le storie in modo diverso.","Allo stesso modo tuo padre. È così, è tutta un'altra storia.
",formal
"and they order all the products that they distribute that they're out of, you know brings the new things","E loro ordinano tutti i prodotti che distribuiscono di cui sono rimasti senza scorte, Lei sa, porta le novità","e ordinano tutti i prodotti che distribuiscono e che sono esauriti, sai cose nuove
",formal
Hey there I'm doing great. What did you think about the Disney movie Frozen?,"Salve, sto benissimo. Cosa ne pensa del film Disney Frozen?","Ehi, sto benissimo. Cosa ne pensi del film Disney Frozen?
",formal
"you know this is how family be sometimes you just got to go with it, roll with the punches","Lei sa, così è la famiglia a volte, bisogna semplicemente andare avanti e accettare le cose come vengono","sai, è così che la famiglia è a volte, ti devi rassegnare, far buon viso a cattivo gioco
",formal
"Yeah, that will do the trick. What about inception, have you seen it?","Sì, questo farà al caso suo. Che ne è di Inception, l'ha visto?","Sì, quello andrà bene. Che mi dici di Inception: l'hai visto?
",formal
"Other stars you would not expect, Tupac danced ballet and was the Mouse King in his high school production of the Nutcracker.","Altri personaggi famosi che non ci si aspetterebbe, Tupac ballava il balletto ed era il Re dei Topi nella produzione scolastica dello Schiaccianoci della sua scuola superiore.","Altre stelle che non ti aspetteresti, Tupac faceva danza classica ed è stato il Re dei Topi nella sua produzione liceale dello Schiaccianoci.
",formal
"I do, every year a new costume, you know Panda researchers wear a panda costume for work.","Sì, ogni anno un nuovo costume, sa, i ricercatori sui panda indossano un costume da panda per lavorare.","Lo faccio, ogni anno un nuovo costume, sai che i ricercatori di panda indossano un costume da panda per lavoro.
",formal
For sure! Did you ever watch Big Hero 6?,Di sicuro! Ha mai visto Big Hero 6?,"Di sicuro! Hai mai visto Big Hero 6?
",formal
I think there have been theories of underground lakes and the potential of water. I will read up on it more. It was so nice chatting with you and getting good facts!,Penso che ci siano state teorie su laghi sotterranei e sulla potenziale presenza di acqua. Mi informerò meglio sull'argomento. È stato molto piacevole chiacchierare con Lei e ricevere buone informazioni!,"Penso che ci siano state teorie sui laghi sotterranei e sul potenziale dell'acqua. Mi documenterò meglio. È stato così bello chiacchierare con te e conoscere tante curiosità!
",formal
"you know that you gotta go to school for that, you know what I am saying.","Lei sa che per quello bisogna andare a scuola, Lei sa cosa intendo dire.","sai che devi andare a scuola per questo, sai cosa intendo dire.
",formal
