source,preferred,rejected,attribute
ya I think he won a dancing championship actually! I guess martial arts are just dance moves used for defending yourself haha,はい、実際に彼は踊りの選手権に優勝したと思います!武道は自分を守るための踊りの動作なのかもしれませんね笑,"実は彼はダンス選手権で優勝したことがあったはずだよ!武術は、自分の身を守るために使われるダンスの動きだと思う
",formal
"Yes, me too. I like to listen to jazz from time to time. There;'s even a woman in Harlem that has held free jazz concerts at her apartment every Saturday for 20 years.",はい、私も時々ジャズを聴くのが好きです。ハーレムに住む女性が、20年間にわたって毎週土曜日に自宅でフリーのジャズコンサートを開催していますね。,"はい私も。 私は時々ジャズを聴くのが好きだよ。 ハーレムには、20年間毎週土曜日にアパートでフリージャズコンサートを開催している女性すらいるよ。
",formal
"I don't need that bringing stuff up in me and then I react wrong, I need to have a handle on my stuff and know how I react so that I'm prepared for this situation, feel me?",そういったことを思い出して、間違った反応をするのは避けたいです。私は自分のことをコントロールし、どのように反応するかを理解しておく必要があり、この状況に備えておかなければなりません。分かりますか?,"私は自分の中でそれを持ち出す必要はない、間違って反応するからだ。このような状況に備えて、自分がどのような反応をするのかを把握しておく必要がある。わかる？
",formal
"Yeah. I always tell my wife that if she ever leaves, I am going with so don't get any ideas. I say that because I am never dating again. I supervise 30 millenials and their dating habits confuse me.",はい、私は妻に言っています。もし彼女が離れるなら、私も一緒に行くと。だから変な考えは持たないでほしいと。私はそう言うのは、二度と付き合うつもりはないからです。私は30人のミレニアル世代を監督していますが、彼らの付き合い方が理解できません。,"ええ 私はいつも妻に、もし彼女が去っても一緒に行くので、そんなことは考えないように言っているよ。 私はもう誰とも付き合わないと言っている。 私は30人のミレニアル世代を監督していて、彼らの交際習慣に混乱させられる。
",formal
So let us see what we got here. But first of all how was your party?,ここで何があったのか見てみましょう。しかし、まず最初にあなたのパーティーはどうでしたか?,"それでは、ここで得たものを見てみよう。しかし、第一に、あなたのパーティーはどうだった？
",formal
I think it would be pretty cool. Do you play minecraft?,それはかなりクールだと思います。マインクラフトをプレイしますか?,"かなりすごいと思う。マインクラフトはするかい?
",formal
"Let me guess, they have a McDonalds with free WiFi? I could never climb Everest. I would have to rebel against my internet addition and put down my device long enough to climb... I'll just Google it...",推測するに、そこにはフリーWi-Fiを備えたマクドナルドがあるのでしょうか?私にはエベレスト登山は無理でしょう。登山に専念するには、インターネット中毒から脱却し、長い間デバイスから手を離さなければなりません...でも、ググればいいか...,"当ててみよう、そこには無料のWiFiを備えたマクドナルドがあるだろうか？ 私はエベレストに登ることができなかった。 インターネットに何とか接続し、登っている間中、デバイスを置いておく必要がある...私はそれをグーグルで検索する...
",formal
"The state rock song of Oklahoma is ""Do You Realize?"" by the Flaming Lips. I didn't know that states had rock songs.",オクラホマ州の州ロック曲は、フレイミング・リップスの「Do You Realize?」です。州にロック曲があることは知りませんでした。,"オクラホマの州のロックソングは、フレーミング・リップスの「気づいているかい」だよ。
",formal
"And it was me, her, my grandma, my parents, and Joe, Jackie for whatever reason wasn't there, and it was really fun. It was really weird and fun",それは私、彼女、祖母、両親、そしてジョーでした。なぜかジャッキーはいませんでしたが、とてもおもしろかったです。本当におかしくて楽しかったです。,"そして、私、彼女、おばあちゃん、両親、そしてジョー、なぜかジャッキーがいなかったのだが、とても楽しかった[それは本当に奇妙で楽しかった。
",formal
Haha! You sound like me. I do watch certain TV shows when I can. Me and my dog sit on the sofa and veg out lol....we like the travel channel sometimes.,はは!私と同じですね。時間があれば特定のテレビ番組を見ます。私と私の犬はソファーに座って、ぼーっとしています笑....旅行番組が好きな時もあります。,"はは！あなたは私と同じことを言ってるね。私は時間があれば決まったテレビ番組を見るんだ。私と私の犬はソファに座ってのんびり過ごす 笑....私たちは時々旅行番組を見るよ。
",formal
we don't like that down here my mother's not really into sports like that my Moms like sports first.,私たちはそういったことは好きではありません。私の母親はそういったスポーツには興味がありません。私の母親はスポーツ第一主義です。,"私たちは、ここがそれほど気に入っていない。母は、今時の母親たちのようにスポーツ好きではない。
",formal
I don't know sounds kind of creepy to me! Almost like the work of fiction! Like something from someones imagination!,わかりません。私には少し不気味に聞こえます!まるで空想の産物のようですね!誰かの想像力から生まれたようなものです!,"よくわからないが私にはなんだか不気味に聞こえるよ！まるでフィクションの作品のようだ！誰かの想像の世界のように！
",formal
"and having someone ring you up and throw in the bag for you, I mean they need to create a reason for the people that actually come into a store",店員に会計をしてもらい、袋に入れてもらうことは、実際に店舗に来る人々のための理由を作り出す必要があります。,"ただ訪問ではなく、誰かがあなたを呼び出してあなたに荷物を渡すことを考えると、それらの人々に実際に店に来ていただくには、来たくなる理由を作る必要がある。
",formal
"It's always something to do, I mean it's just worth your time like I hate wasting my time.",それは常にやることがあるということですね。つまり、時間の無駄にならないので価値があるのです。私は時間を無駄にするのが嫌いなんです。,"それは常にやるべきことだよ。つまり、私は時間を無駄にするのが嫌いだが、それには時間をかける価値があるということだ。
",formal
The movie was awful first of all and then what was funny is my friend always falls asleep in the movie theaters and they have these things at the back of your,映画はまず最悪でした。そして面白かったのは、友人が映画館で必ず眠ってしまうことです。そして映画館の椅子の背もたれには、こういった物がついています。,"映画はまずひどいものだったよ、そして次に面白かったのは私の友人がいつも映画館で眠りに落ちて、後ろにこれがあるということだ
",formal
"Yeah! He was the mouse king in the Nutcracker. Thats pretty cool, I would definitely never have guessed that about him.",はい!彼は『くるみ割り人形』のねずみ王でした。かっこいいですね、私は彼のそうした一面を想像したことがありませんでした。,"うん！ 彼はくるみ割り人形のネズミの王様だった。 それはかなり素晴らしいよ、私は彼についてこれを予測したことは全くなかったね。
",formal
"Not really. I'm a homebody. But from my chair, the internet can take me just about anywhere. Are you a traveler?",そうではありません。私は家庭的な人間です。しかし、私の椅子から、インターネットはほとんどどこにでも私を連れて行ってくれます。あなたは旅行家ですか?,"あまり。 私は出不精だ。 しかし椅子に座ったままでインターネットは私をどこにでも連れて行ってくれる。 あなたは旅行好き？
",formal
"lol, yes, That was since January 2017. I love my Iphone its with me most of the day, like everyone else.",(笑)はい、2017年1月からそうです。私はiPhoneが大好きで、他の人と同じように1日のほとんどをそれと一緒に過ごしています。,"笑、はい、それは2017年1月からずっとだ。私はiphoneが大好きだ。他のみんなと同じように、ほとんど一日中側にもっているよ。
",formal
