source,preferred,rejected,attribute
"It's okay to suggest, you should have your friend with you next time, so you could have somebody barely order and pretend that they were your girlfriend or boyfriend.","Het is oké om te suggereren dat u de volgende keer uw vriend(in) mee moet nemen, zodat u iemand hebt die nauwelijks bestelt en zich kan voordoen als uw vriendin of vriend.","Het is goed om dat voor te stellen, je moet de volgende keer een vriend(in) mee kunnen nemen, zodat iemand bijna kan bestellen en dan doen alsof ze je vriend of vriendin zijn.
",formal
"If your server that it's using might not necessarily be in the US, and so your email will pin to, let's say, Germany and back, you know, to me in the US,","Als de server die het gebruikt zich niet per se in de VS bevindt, en uw e-mail dus naar, laten we zeggen, Duitsland en terug naar mij in de VS wordt gestuurd,","Als je server die het gebruikt niet noodzakelijk in de VS staat, en je e-mail dus naar, laten we zeggen, Duitsland gaat en weer terug, begrijp je, naar mij in de VS,
",formal
you know what I am saying you've got to,"U begrijpt wat ik bedoel, u moet","je weet wat ik bedoel, je moet
",formal
So does it feel like that school is part of your family values growing up,Voelt het dan alsof die school deel uitmaakte van uw familiewaarden tijdens uw opgroeiperiode?,"Dus voelt het alsof die school deel uitmaakt van je familiewaarden toen je opgroeide
",formal
"I hope yours is going well, too. Baseball is generally played with a bat and ball.",Ik hoop dat het bij u ook goed gaat. Baseball wordt over het algemeen gespeeld met een knuppel en een bal.,"Ik hoop dat jij het ook goed stelt. Baseball wordt doorgaans gespeeld met een bat en een bal.
",formal
"you have to order all bunch of stuff, but you know, they're not making money on that either but suck it,","U moet een heleboel spullen bestellen, maar u weet wel, ze verdienen daar ook geen geld mee, maar ach ja,","Je moet een heleboel spullen bestellen, maar weet je, ze maken daar ook geen winst op, maar absorberen de
",formal
"Yes you are correct. Despite the students mourning due to a mass shooting a day earlier, Republicans appeared only a fox where they wouldn't be pressed about gun control","Ja, u heeft gelijk. Ondanks dat de studenten rouwden vanwege een massale schietpartij een dag eerder, verschenen de Republikeinen alleen op Fox News, waar ze niet onder druk zouden worden gezet over wapenbeheer.","Ja, je hebt gelijk. Ondanks dat de studenten rouwden vanwege een massale schietpartij een dag eerder, verschenen de Republikeinen alleen op Fox, waar ze niet onder druk zouden worden gezet over het toezicht op wapenbezit.
",formal
I am cool with that but the way it was asked like okay your marrying a Jenner go can you handle that much stuff,"Ik heb er geen bezwaar tegen, maar de manier waarop het werd gevraagd was zoiets als: oké, u gaat trouwen met een Jenner, kunt u wel omgaan met zo veel gedoe?","Ik vind dat goed, maar de manier waarop het gevraagd werd, van oké je trouwt met een Jenner, kan je dat allemaal aan.
",formal
Which is almost kind of crazy to think about. When you buy your business clothes is there anywhere specific you go?,"Dat is bijna een beetje gek om aan te denken. Wanneer u uw zakelijke kleding koopt, gaat u dan ergens specifiek naartoe?","Wat bijna te gek is om te bedenken. Als jij je zakelijke kleding koopt, ga je dan naar een specifieke winkel?
",formal
"you close the account and you can do that online, you can give the cause and then closing my account tomorrow and my my sister's","U sluit de rekening en u kunt dat online doen, u kunt de reden opgeven en dan sluit u morgen mijn rekening en die van mijn zus.","Je sluit de account, dat kun je online doen, je geeft de reden en dan morgen mijn account sluiten en die van mijn zus
",formal
"That's really nice of him! What a nice guy, why do you think Greenland can't join FIFA? Apparently it's because they can't grow green grass LOL","Dat is echt aardig van hem! Wat een aardige vent. Waarom denkt u dat Groenland niet bij de FIFA mag? Blijkbaar omdat er daar geen groen gras kan groeien, LOL.","Dat is echt aardig van hem! Wat een aardige vent. Waarom denk je dat Groenland niet bij de FIFA mag? Blijkbaar omdat er daar geen groen gras kan groeien, LOL.
",formal
Movies slash shows on the phone. So I guess watching TV on your phone. I've never watched the TV from my phone. Not like that. No. The only thing I watch on my phone is YouTube videos.,"Films/shows op de telefoon. Dus ik neem aan dat u tv kijkt op uw telefoon. Ik heb nooit tv gekeken op mijn telefoon. Niet op die manier. Nee. Het enige wat ik op mijn telefoon bekijk, zijn YouTube-video's.","Films slash shows op de telefoon. Dus ik neem aan dat je tv kijkt op je telefoon. Ik heb nog nooit tv gekeken op mijn telefoon. Niet op die manier. Het enige waar ik naar kijk op mijn telefoon zijn YouTube-video's.
",formal
So you've got to work a nice balance in between,Dus u moet een goede balans zien te vinden tussen,"Dus je moet een goede balans zien te vinden tussen
",formal
"Well, there's a lot of these. You can actually mold them to your feet.","Nou, er zijn er veel van dit soort. U kunt ze daadwerkelijk naar de vorm van uw voeten modelleren.","Wel, zo zijn er vele. Je kunt ze in feite naar je voeten vormen.
",formal
when you mix cultures you hope that the strongest culture doesn't squash the quieter culture and I would see your friend as quieter culture,"Als u culturen mengt, hoopt u dat de sterkste cultuur de stillere cultuur niet onderdrukt, en ik zou uw vriend als de stillere cultuur beschouwen.","Als je culturen vermengt, dan moet je hopen dat de overheersende cultuur de meer ingetogen cultuur niet verplettert, en ik zou jouw vriendin eerder zien als behorende tot een meer ingetogen cultuur.
",formal
