source,preferred,rejected,attribute
"It's like the new standard bearer for PSVR. Basically, it is a game that unfolds within the pages of an illustrated book. Speaking of books, what's your opinion on libraries?","É como o novo porta-estandarte do PSVR. Basicamente, é um jogo que se desenrola dentro das páginas de um livro ilustrado. A propósito de livros, qual é a sua opinião sobre bibliotecas?","É o novo padrão para PSVR. Basicamente, é um jogo que se desenrola nas páginas de um livro ilustrado. Por falar em livros, qual é a tua opinião sobre bibliotecas?
",formal
"So what would be like of your process, specifically with the Flair since you, unlike traditional expresso, you have this limitation built in what will be your approach. Let's say you got a new coffee","Então, qual seria o seu processo, especificamente com o Flair, já que, ao contrário do expresso tradicional, você tem essa limitação incorporada? Qual seria a sua abordagem? Digamos que você recebeu um novo café.","Então como seria o teu processo, especificamente com o sabor visto que tu, ao contrário do expresso tradicional, tens essa limitação integrada na tua abordagem. Digamos que tens um novo café
",formal
The film I felt he really earned an Oscar for was Jerry Maguire. So memorable. Do you agree?,O filme pelo qual senti que ele realmente mereceu um Óscar foi Jerry Maguire. Tão memorável. Concorda?,"O filme onde acho que ele deveria ter ganho um óscar foi o Jerry Maguire. Tão marcante. Concordas?
",formal
Is that your favourite pizza?,Essa é a sua pizza favorita?,"É a tua pizza favorita?
",formal
"Yeah I do, I used to play a lot of Nintendo growing up. How about yourself?","Sim, eu costumava jogar muito Nintendo quando era criança. E você?","Sim, costumava jogar muito Nintendo em criança. E tu?
",formal
I think it would be pretty cool. Do you play minecraft?,Acho que seria bastante legal. Joga Minecraft?,"Acho que seria muito porreiro. Jogas Minecraft?
",formal
"What's your favourite? Do you like Starbucks, do you like Dunkin's, what about these chains of like coffee shops?","Qual é o seu favorito? Gosta do Starbucks, gosta do Dunkin's, o que acha dessas cadeias de cafeterias?","Qual é o teu favorito? Gostas de Starbucks, gostas de Dunkin's, o que têm essas cadeias de cafés?
",formal
"So, that's not your thing, you are into the obsessive muscles. You don't wanna date a wrestler.","Então, isso não é a sua coisa, está mais interessado nos músculos obsessivos. Não quer namorar um lutador.","Então, não é a tua cena, gostas dos músculos obsessivos. Não queres namorar com um lutador.
",formal
"you could get GoogleTV which I have now, it's like fifty dollars a month and you can get channels, so you get everything to get the history channel, but you get","Pode obter a GoogleTV, que eu tenho agora, custa cerca de cinquenta dólares por mês e pode ter canais, então tem tudo para ter o canal History, mas também tem","podes ter o GoogleTV que tenho agora, são uns cinquenta dólares por mês e podes ter canais, assim podes ter tudo, ter o canal sobre a história, mas tens
",formal
"I think just because, in terms of species, like you said, humans are (developed). Probably looked a little weird. You think your","Eu acho que apenas porque, em termos de espécies, como você disse, os humanos são (desenvolvidos). Provavelmente parecia um pouco estranho. Você acha que o seu","Acho que só porque, em termos de espécies, como disseste, os humanos são (desenvolvidos). Provavelmente parecem um pouco estranhos. Achas que o teu
",formal
Yeah. Can't be too hurried while your life is on the line or it will take too long.,"Sim. Não se pode ter muita pressa quando a sua vida está em risco, ou levará demasiado tempo.","Sim. Não há pressa de mais quando a tua vida está em jogo ou vai levar demasiado tempo.
",formal
Its all I have to work from we prob have different stuff no biggie. Tell me more about your topic.,"Tudo o que tenho para trabalhar é isso, provavelmente temos coisas diferentes, nada de grave. Conte-me mais sobre o seu tópico.","É tudo o que tenho com que trabalhar, provavelmente temos coisas diferentes, sem problema. Diz-me mais sobre o teu tópico.
",formal
"Like honestly, head to bed very soon. I hope you have a very good rest of your night.","Honestamente, dirija-se para a cama muito em breve. Espero que tenha um muito bom resto da sua noite.","Tipo, honestamente, vou para a cama daqui pouco. Espero que tenhas um bom resto de noite.
",formal
"I hope to visit your country in the near future. that's perfect and simple and sweet and that's it. oh, it says. Hope it is.","Espero visitar o seu país num futuro próximo. É perfeito, simples e agradável, e é tudo. Oh, diz isso. Espero que seja.","Espero visitar o teu país num futuro próximo. Isso é perfeito, simples e doce e é isso. Oh, diz. Espero que seja.
",formal
