source,preferred,rejected,attribute
"Cuando éramos más jóvenes, la funda de su teléfono y su clip, era un accesorio de moda, y realmente ya no lo es. Su teléfono es solo su teléfono. La gente lo ha superado","Quand nous étions plus jeunes, la coque de votre téléphone et son attache étaient des accessoires à la mode, mais ce n'est plus vraiment le cas maintenant. Votre téléphone est simplement votre téléphone. Les gens ont dépassé ce stade.","Quand tu étais plus jeune, ta coque de téléphone et ton attache étaient des accessoires de mode, mais ça n'est plus vraiment le cas. Ton téléphone est un téléphone, rien de plus. Les gens ont en quelque sorte dépassé cela.
",formal
"Sí, o en su teléfono. Así que, ya sabe, cosas superdivertidas. Creo que esa es la mejor manera de describirlo, como divertido.","Oui. Ou sur votre téléphone. Donc, vous savez, des trucs super amusants. Je pense que ""amusant"" est le bon terme pour le décrire.","Oui. Ou sur ton téléphone. Des trucs super sympa. Je pense que « sympa » est le bon terme.
",formal
"¿Cuáles son sus películas favoritas, cuáles son sus otras películas favoritas o sus películas del año?","Quels sont vos films préférés, vos autres films préférés ou vos films de l'année ?","Quels sont tes films préférés, quels sont tes autres films préférés et/ou les films que tu as préférés cette année ?
",formal
¿Cuál era tu película favorita de Disney cuando era niño?,Quel était votre film Disney préféré lorsque vous étiez enfant ?,"Quel était ton film Disney préféré en grandissant ?
",formal
"Sí, esto mola, ja, ja. ¿Qué le parece que Vin Diesel reciba un guion secreto en el que pone lo que Groot dice en realidad en las películas?","Oui, c'est cool, ha ha. Que pensez-vous du fait que Vin Diesel reçoive un script secret indiquant ce que Groot dit réellement dans les films ?","Oui, c'est cool, ah ah. Que penses-tu de cette rumeur selon laquelle Vin Diesel aurait reçu un script secret révélant ce que dit Groot dans les films ?
",formal
"no puedes, ya sabes, es como si lo que está en tus archivos no fuese suficiente, no lo es. Vale, la familia primero o el trabajo primero","Vous ne pouvez pas, vous savez, c'est comme si ce qui se trouve dans vos dossiers n'était pas suffisant, ce n'est pas le cas. D'accord, la famille d'abord ou le travail d'abord ?","tu ne peux pas. C'est comme si le contenu de tes fichiers ne suffisait pas. D'accord, la famille d'abord ou le travail d'abord
",formal
"Bueno, y ya sabes, me pregunto si los hombres encuentran una competencia que superar, como él dijo que le dara tu número de mi hermana,","Eh bien, vous savez, je me demande si les hommes trouvent que c'est une compétition à relever, étant donné qu'il a dit qu'il obtiendrait votre numéro auprès de ma sœur,","Eh bien, tu sais, je me demande si les hommes trouvent que c'est une compétition étant donné qu'il a dit « laisse-moi obtenir ton numéro auprès de ma sœur »,
",formal
"bueno, pero por la cancelacion, veamos, ¿lo tiene? ya sabe, espere, lo estoy buscando, ¿qué es lo que puede? ¿Dónde? ¿Por qué no se cancela su vuelo todavía? ¿Puedo cancelar mi billete si lo he comprado en un local?","Bien, mais pour l'annulation, voyons, l'avez-vous ? Vous savez, attendez, je suis en train de chercher, qu'est-ce que vous pouvez faire ? Où ? Pourquoi votre vol n'a-t-il pas encore été annulé ? Puis-je annuler mon billet si je l'ai acheté dans une agence ?","Bien, mais à cause de l'annulation... voyons voir... Attends, je le cherche. De quelle annulation s'agit-il ? Où ? Pourquoi n'annules-tu pas encore ton vol ? Puis-je annuler mon billet si je l'ai acheté chez un revendeur local ?
",formal
¿De verdad? Me parece que conducir en los videojuegos es más difícil que conducir en la carretera con un coche de verdad. Puedo ver cómo podría ayudarte con tus habilidades de conducción.,Vraiment ? Il me semble que conduire dans les jeux vidéo est plus difficile que de conduire sur la route avec une vraie voiture. Je peux voir comment cela pourrait vous aider à améliorer vos compétences de conduite.,"Vraiment ? Je trouve qu'il est plus difficile de conduire dans les jeux vidéo que dans la réalité. Je comprends en quoi cela peut t'aider à mieux conduire.
",formal
"Bueno, en San Diego será más caluroso que cálido. ¿En serio? ¿Hay algún significado detrás de eso? ¿O quiere decir que no puede poner el nombre de un grupo a su hijo?","Eh bien, à San Diego, il fera plus chaud que doux. Vraiment ? Y a-t-il un sens caché derrière cela ? Ou voulez-vous dire qu'on ne peut pas donner le nom d'un groupe à son enfant ?","Il fait très chaud à San Diego, non ? Faut-il y voir un double sens ? Ou est-ce que cela signifie que tu ne devrais pas donner un nom de groupe de musique à ton enfant ?
",formal
"que parece tan grande que puede parecer poco al principio, es realmente supergrande, las cosas que hacen por usted.","Ce qui semble si grand au début peut sembler peu, mais c'est vraiment énorme, les choses qu'ils font pour vous.","cela semble tellement impressionnant, cela peut sembler petit au début, mais ce qu'ils font pour toi est impressionnant.
",formal
tu madre te envía regalos inútiles.,Votre mère vous envoie des cadeaux inutiles.,"ta maman t'envoie des cadeaux inutiles.
",formal
"A mí tampoco me gustó la serie. Me encantaban Seinfeld y Frasier, y nunca vi Friends hasta que la volvieron a emitir. Mi serie de televisión favorita es Mentes criminales, ¿cuál es tu serie de televisión favorita?","Je n'ai pas non plus aimé cette série. J'adorais Seinfeld et Frasier, et je n'ai jamais regardé Friends jusqu'à ce qu'ils la rediffusent. Ma série télévisée préférée est Esprits Criminels, et quelle est la vôtre ?","Je n'ai pas aimé le spectacle non plus. J'ai adoré Seinfeld et Frasier, et je n'ai jamais regardé Friends avant les rediffusions. Ma série préférée est Criminal Minds, et toi, quelle est la tienne ?
",formal
Es una locura. ¿Le gusta Tom Hanks? Ha recaudado más de 8500 millones en taquilla.,"C'est de la folie. Aimez-vous Tom Hanks ? Il a rapporté plus de 8,5 milliards de dollars au box-office.","C'est fou. Aimes-tu Tom Hanks ? Il a gagné plus de 8,5 milliards au box office
",formal
"Fue un viaje divertido, ¿qué recuerdos guarda con más cariño de ese viaje?",C'était un voyage amusant. Quels sont vos meilleurs souvenirs de ce voyage ?,"c'était un voyage amusant. Quels sont tes meilleurs souvenirs de ce voyage ?
",formal
"lo puedes ver, existiría donde llegaras a casa, tus hijos están a buen recaudo, donde hayan estado","Vous pouvez le voir, cela existerait là où vous rentrez chez vous, vos enfants sont en sécurité, où qu'ils aient été.","Cela pourrait davantage être quelque chose qui se passe lorsque tu rentres à la maison, lorsque tes enfants sont pris en charge, lorsqu'ils ont été
",formal
"Sabes lo que digo, todo lo que quieres hacer lo puedes hacer. Te proporciona todo lo que quieres hacer.","Vous savez ce que je veux dire, tout ce que vous voulez faire, vous pouvez le faire. Ils vous fournissent tout ce dont vous avez besoin pour ce que vous souhaitez faire.","Tu vois ce que je veux dire, tout ce que tu veux faire, tu peux le faire. Ils vous fournissent tout ce dont tu as besoin pour ce que tu souhaites faire.
",formal
"Entonces, ¿cuál es tu novio ideal?","Alors, quel est votre genre de petit ami idéal ?","Alors, quel est ton genre de petit ami idéal ?
",formal
