source,preferred,rejected,attribute
"Oh, por Dios. ¿Le gusta el jazz?","Oh, mio Dio! Le piace il jazz?","Oh, mio Dio! Ti piace il jazz?
",formal
"bueno, pero por la cancelacion, veamos, ¿lo tienes? ya sabes, espera, lo estoy buscando, ¿qué es lo que puede? ¿Dónde? ¿Por qué no se cancela tu vuelo todavía? ¿Puedo cancelar mi billete si lo he comprado en un local?","Bene, ma per quanto riguarda la cancellazione, vediamo, ce l'ha? Lo sa, aspetti, lo sto cercando, cosa può fare? Dove? Perché il suo volo non è ancora stato cancellato? Può cancellare il suo biglietto se l'ha acquistato in un negozio?","Bene, ma a causa della cancellazione vediamo, capisci? sai, aspetta, lo sto cercando. Cosa diavolo? dove? Perché non ho ancora cancellato il tuo volo? Posso cancellare il mio biglietto se l'ho acquistato da un locale?
",formal
Siempre me ha gustado La dimensión desconocida. ¿Has visto la película El renacido? Fue una película del 1971 sobre supervivencia en la naturaleza. Leo hizo un gran papel.,Mi è sempre piaciuta La dimensione sconosciuta. Ha visto il film The Revenant? È stato un film del 1971 sulla sopravvivenza nella natura. Leo ha fatto un ottimo lavoro.,"TZ non si smentisce mai. Hai visto il film Revenant - Redivivo? Era un film del 1971 sulla sopravvivenza nelle aree disabitate. Leo ha fatto un ottimo lavoro.
",formal
"Vale, como consumidor, no te importa realmente quién lo hace, a quién da dinero, a quién permite contratar, solo quieres conseguir el mejor precio para ti.","Certo, come consumatore, non le importa realmente chi lo fa, a chi dà soldi, a chi permette di assumere, vuole solo ottenere il miglior prezzo per sé.","Va bene, quindi, da consumatore, tu te ne infischi di chi lo fa, chi ci guadagna, quante persone occupa, tu vuoi solo ottenere il miglior prezzo per te.
",formal
Dijo que esto es lo que se ve en su cara cuando descubre que su vida normal es descrita por otros,Ha detto che questa è l'espressione che ha in faccia quando scopre che la sua vita normale viene descritta da altri.,"Si dice che questa è la faccia che fai quando scopri che la tua vita normale viene descritta da altri
",formal
¡No tenía ni idea! ¿Le gustó La bella y la bestia?,Non ne avevo idea! Le è piaciuta La bella e la bestia?,"Non ne avevo idea! Ti è piaciuto La Bella e la Bestia?
",formal
"sabes que puedo ver cómo cuando tú estás en un juicio en ciertos tipos de situaciones legales. Es realmente cuánto estás dispuesto a levantarte y decir, ya sabes","Sa che posso vedere come quando Lei è in un processo in certe situazioni legali. È davvero quanto Lei è disposto ad alzarsi e dire, lo sa","sai, posso vedere come, quando tu sei in un processo in determinati tipi di situazioni legali. In realtà si tratta solo di sapere se sei disposto ad alzarti affermando di sapere
",formal
"Pero si tú, si la persona se toma el tiempo de mirar, entonces estará como: oh, claro, sí, no hay problema, pero si no miraste, entonces, te puedo decir.","Ma se Lei, se la persona si prende il tempo di guardare, allora sarà come: oh, certo, sì, nessun problema, ma se non ha guardato, allora, Le posso dire.","Ma se tu, se uno si prende il tempo per guardare, allora sarà come... Oh, okay, sì, nessun problema, ma se tu non hai guardato allora io posso dirtelo.
",formal
"Vaya, eso es raro y triste. Por cierto, ¿ha oído hablar del tigre encontrado en la bolsa de lona?","Beh, questo è strano e triste. A proposito, ha sentito parlare della tigre trovata in un sacco di tela?","Wow, questo è strano e triste. A proposito, hai sentito della tigre trovata nel borsone?
",formal
Es una locura. ¿Le gusta Tom Hanks? Ha recaudado más de 8500 millones en taquilla.,È una follia. Le piace Tom Hanks? Ha incassato più di 8500 milioni al botteghino.,"Questo è pazzesco. Ti piace Tom Hanks? Ha incassato più di 8,5 miliardi al botteghino
",formal
"Sí, cada año un disfraz nuevo, ¿sabes que los investigadores de Panda llevan un disfraz de panda para trabajar?","Sì, ogni anno un nuovo costume, sa che i ricercatori di Panda indossano un costume da panda per lavorare?","Lo faccio, ogni anno un nuovo costume, sai che i ricercatori di panda indossano un costume da panda per lavoro.
",formal
Es increíble. ¿Ha visto la película Sillas de montar calientes?,È incredibile. Ha visto il film Selle d'acciaio?,"Questo è incredibile. Hai visto il film Blazing Saddles?
",formal
"Sí, es muy interesante. ¿Viste los Goonies?","Sì, è molto interessante. Ha visto i Goonies?","Sì, è piuttosto interessante. Hai visto I Goonies?
",formal
"¿Su ventana está abierta, por cierto? ¿Podría cerrarla? Sí, es muy molesto. Y espero que así la gente pueda escuchar mejor.","La sua finestra è aperta, per caso? Potrebbe chiuderla? Sì, è molto fastidioso. E spero che così la gente possa sentire meglio.","A proposito, la tua finestra è aperta? puoi chiuderla? Sì, dà veramente fastidio e speriamo che così sia possibile sentire meglio.
",formal
"¿Tu ventana está abierta, por cierto? ¿Podrías cerrarla? Sí, es muy molesto. Y espero que así la gente pueda escuchar mejor.","A proposito, la sua finestra è aperta? Può chiuderla? Sì, dà veramente fastidio e speriamo che così sia possibile sentire meglio.","A proposito, la tua finestra è aperta? puoi chiuderla? Sì, dà veramente fastidio e speriamo che così sia possibile sentire meglio.
",formal
"No he oído nada de ellos últimamente. Creo que es un concepto divertido, burlarse de algunas de las peores producciones de Hollywood, pero me sabe mal por los nominados. ¿Los ha visto?","No ho sentito nulla di loro ultimamente. Credo che sia un concetto divertente, prendersi gioco di alcune delle peggiori produzioni di Hollywood, ma mi dispiace per i nominati. Li ha visti?","Non ne ho sentito parlare fino a poco tempo fa. Penso che sia un concetto divertente, per prendere in giro alcune delle peggiori produzioni di Hollywood, ma mi dispiace per i candidati! Li hai visti?
",formal
"cuando mezclas culturas, esperas que la cultura más fuerte no aplaste a la más débil y yo vería a tu amigo como la cultura más tranquila.","Quando si mescolano culture, ci si aspetta che la cultura più forte non schiacci quella più debole e vedrei il suo amico come la cultura più pacifica.","quando mescoli culture diverse ti auguri che la cultura più roboante non schiacci la cultura più sommessa e vedrei il tuo amico come la cultura più sommessa
",formal
"No creo que haya nada malo en ello. Pero, si le dijera que está perjudicando a la economía, ¿cambiaría en algo su opinión? Y no estoy diciendo que sea","Non credo che ci sia niente di male in questo. Ma se Le dicessi che sta danneggiando l'economia, cambierebbe in qualche modo la Sua opinione? E non sto dicendo che sia così","Non credo ci sia davvero niente di sbagliato in questo. Ma se ti dicessi che sta danneggiando l'economia, questo cambierebbe la tua opinione? E non sto dicendo che sia così
",formal
"Sí, son geniales, ¿sabes lo que digo?","Sì, sono grandiosi, sa cosa intendo dire?","Sì, sono forti, sai cosa intendo?
",formal
"Sí, ya servirá. ¿Y qué hay de Origen? ¿La ha visto?","Sì, quello andrà bene. Che mi dice di Inception: l'ha visto?","Sì, quello andrà bene. Che mi dici di Inception: l'hai visto?
",formal
"Es mucho trabajo. ¿Te gustan más películas de acción, como Jurassic World? Me encantó Parque Jurásico, así que estaba indeciso cuando anunciaron Jurassic World.","È un lavoro impegnativo. Le piacciono di più i film d'azione, come Jurassic World? Mi è piaciuto molto Jurassic Park, quindi ero indeciso quando hanno annunciato Jurassic World.","È davvero un sacco di roba. Ti piacciono altri film d'azione come Jurassic World? Jurassic Park mi è piaciuto tanto, quindi ero titubante quando hanno annunciato Jurassic World.
",formal
