source,preferred,rejected,attribute
"sí, ir al zoológico, sabe lo que digo",はい、動物園に行きましょう、言っていることが分かりますよね。,"そう、動物園に連れて行く、分かるでしょ
",formal
"Bueno, supongo que está en tu sangre entonces.",まあ、それはあなたの血の中にあると思います。,"まあ、それはあなたの血の中にあると思うよ。
",formal
después de cierta hora de la noche o no responde a los mensajes de texto como los domingos o algo así. Así que uno se pone es como poner límites para sí mismo,夜遅くの一定の時間以降や、日曜日などにテキストメッセージに返信しないなど、自分自身に制限を設けるようなことです。,"夜の何時以降、または日曜日はメールに返信しないなど、自分自身で境界を決めるようなものだ
",formal
Muy cierto. ¿Sabía que las camisas polo las inventó inicialmente un famoso jugador de tenis?,本当にその通りです。ポロシャツは有名なテニスプレーヤーが最初に考案したことをご存知でしたか?,"そうだね。ポロシャツは最初有名なテニス選手が発明したものだって知ってた?
",formal
Sí. El origen de inclinar el sombrero es de cuando un caballero se levantava la visera.,はい。帽子を傾ける習慣の起源は、紳士が帽子の覆いを上げていた時代からです。,"そうだよ。帽子を上げるのは、騎士が面頬を上げるのが起源だ。
",formal
"Sí, ¿qué piensas de la lesión de Price?",はい、プライスの怪我についてどう思いますか?,"ああ。Priceの怪我についてはどう思う?
",formal
¿Crees que te gusta la familia de tu novio?,彼氏の家族が好きだと思いますか？,"彼氏の家族が好きだと思う？
",formal
"Espero visitar su país en un futuro próximo. Eso es perfecto y simple y dulce y eso es todo. Oh, eso dice. Espero que sí.",近い将来、あなたの国を訪れることができればと思います。それは完璧で単純で素晴らしいことです。そう書いてあります。そうであることを願っています。,"近い将来、あなたの国を訪問したいと思っているよ。完璧でシンプルで素晴らしい。それに尽きる。ああ、書いてある。そのとおりだと期待している。
",formal
"sí, ir al zoológico, sabes lo que digo",はい、動物園に行きます、分かりますよね,"そう、動物園に連れて行く、分かるでしょ
",formal
"Supongo que la lección es que no hay que confiar la vida a los planetas, ni a un columnista de consejos pagado.",人生を惑星や有料のアドバイザーに任せるべきではないということが教訓だと思います。,"教訓は、自分の人生を、運やお金をもらっているアドバイザー、コラムニストに任せないことだと思う。
",formal
"No tengo un favorito, pero hay varios que me gustan. ¿Y usted?",私には特に好きな作品はありませんが、いくつか気に入っているものがあります。あなたは好きな作品はありますか?,"お気に入りのものはないが、いくつか好きなものはあるよ。あなた自身はどう？
",formal
