source,preferred,rejected,attribute
"Cuando lo haga, cuando tenga un hijo del que sea responsable, tendrá que ponerse las pilas.","Wanneer u dat doet, wanneer u een kind heeft waar u verantwoordelijk voor bent, zult u uw beste beentje voor moeten zetten.","Als je een kind hebt waar je verantwoordelijk voor bent, dan moet je je zaken op orde hebben.
",formal
"para tratar de bajar el precio. Porque para Airbnb no veo demasiados cupones, ya no te dan tu dinero si voy","Om te proberen de prijs te verlagen. Want voor Airbnb zie ik niet veel kortingscodes, ze geven u geen geld terug als ik ga.","om te proberen de prijs omlaag te brengen. Want voor Airbnb zie ik niet veel coupons, ze geven je bijvoorbeeld je geld niet als ik ga
",formal
Lo disfruto. Es un juego de ritmo rápido y divertido. ¿Le gusta?,Ik vind het leuk. Het is een snel en vermakelijk ritmespel. Vindt u het ook leuk?,"Ik vind het leuk. Het spel is snel en leuk om naar te kijken. Vind jij het leuk?
",formal
No sé mucho al respecto. ¿Has oído hablar del cómic genérico?,Ik weet er niet veel van. Hebt u ooit van generieke comics gehoord?,"Daar weet ik niet veel van. Heb je weleens gehoord over het Generic Comic Book?
",formal
"Ya veo, quedas como si tuvieses que estar casado durante toda tu historieta, cómo os conocisteis,","Ik begrijp het, u komt over alsof u getrouwd moest zijn tijdens uw hele verhaaltje, hoe hebben jullie elkaar ontmoet?","Oké, je staat erbij alsof je met je hele verhaal getrouwd moet zijn, hoe jullie bij elkaar zijn gekomen,
",formal
"lo que digo. Para vivir bien, sabe lo que digo. Vivir sin preocupaciones. Ya sabe a lo que me refiero. En serio.","U begrijpt wat ik bedoel. Om goed te leven, begrijpt u wat ik zeg. Leven zonder zorgen. U weet waar ik op doel. Echt waar.","Wat ik bedoel. Om goed te leven, snap je. Leven zonder zorgen. Je weet wat ik bedoel. Mooi.
",formal
"para tratar de bajar el precio. Porque para Airbnb no veo demasiados cupones, ya no le dan su dinero si voy","Om te proberen de prijs te verlagen. Want voor Airbnb zie ik niet veel kortingsbonnen, ze geven u uw geld niet terug als ik ga","om te proberen de prijs omlaag te brengen. Want voor Airbnb zie ik niet veel coupons, ze geven je bijvoorbeeld je geld niet als ik ga
",formal
"¿Cuál es tu favorito? ¿Te gusta Starbucks, te gusta Dunkin's, qué hay de esas cadenas rollo cafeterías?","Wat is uw favoriet? Houdt u van Starbucks, houdt u van Dunkin's, wat vindt u van zulke koffieketens?","Wat is jouw favoriet? Hou je van Starbucks, hou je van Dunkin's, hoe zit het met die koffieshopketens?
",formal
Qué bien. El espacio es muy interesante. He aprendido hace poco que hay estrellas que son lo suficientemente frías como para tocarlas con la mano.,Dat is goed. Het heelal is erg interessant. Ik heb onlangs geleerd dat er sterren zijn die koel genoeg zijn dat u ze met uw hand kunt aanraken.,"Dat is goed. Het heelal is erg interessant. Ik heb onlangs geleerd dat er sterren zijn die koel genoeg zijn dat je ze met je hand kunt aanraken.
",formal
"quiere ir a la escuela, ellos lo van a ayudar a ir a la escuela, sabe lo que digo, así es la familia","Hij wil naar school gaan, zij zullen hem helpen naar school te gaan, u begrijpt wat ik bedoel, zo is de familie nu eenmaal","Als je naar school wilt, helpen ze je naar school te gaan, snap je wat ik bedoel? Zo is familie.
",formal
"Ah, un weeb como yo. ¿Cuál es tu anime favorito? Probablemente Death Note de No Game No Life.","Ah, un weeb comme moi. Quel est votre anime préféré ? Probablement Death Note ou No Game No Life.} :

{Ah, een weeb zoals u. Wat is uw favoriete anime? W","Ah, een mede-weeb. Wat is jouw favoriete anime? De mijne is waarschijnlijk Death Note of No Game No Life.
",formal
