source,preferred,rejected,attribute
"Ya lo había visto antes. A propósito del teléfono, Unicef donará un día de agua potable a un niño necesitado por cada minuto que no utilices el teléfono móvil. Buena práctica.","Já tinha visto isso antes. A propósito do telefone, a Unicef doará um dia de água potável a uma criança necessitada por cada minuto que não utilizar o seu telemóvel. Boa prática.","Vi-o antes. Falando do telefone, a Unicef vai doar um dia de água potável a uma criança necessitada para cada minuto em que não usas o teu telemóvel. Boa prática.
",formal
"¿cómo qué? Cuénteme cómo es la vida. Y le dije: escuche, esto no va a funcionar. Y le dije: hágame un favor. No vuelva a su","Como assim? Conte-me como é a vida. E eu lhe disse: ouça, isso não vai funcionar. E eu lhe disse: faça-me um favor. Não volte ao seu","como o quê? Diz-me como é a vida. E eu disse-lhe, ouve, isso não vai funcionar. E disse, faz-me um favor. Não voltes para o teu
",formal
"Espero visitar tu país en un futuro próximo. Eso es perfecto y simple y dulce y eso es todo. Oh, eso dice. Espero que sí.","Espero visitar o seu país num futuro próximo. Isso é perfeito e simples e doce e isso é tudo. Oh, isso diz. Espero que sim.","Espero visitar o teu país num futuro próximo. Isso é perfeito, simples e doce e é isso. Oh, diz. Espero que seja.
",formal
Creo que tú entiendes que no se trata de convencer a otras personas de que tu relación es increíble y no podría hablarnos de eso,Creio que você entende que não se trata de convencer outras pessoas de que seu relacionamento é incrível e não poderia nos falar sobre isso,"Acho que percebes que não é sobre convencer outras pessoas que o teu relacionamento é espetacular e não poderia falar sobre isso
",formal
"Haces ejercicio en el trabajo. Una excusa creíble. En tu vida, ¿alguna vez llegaste, hubo un punto en el que hacías ejercicio de forma rutinaria?","Faz exercício no trabalho. Uma desculpa plausível. Na sua vida, alguma vez chegou a um ponto em que fazia exercício de forma rotineira?","Fazes exercício no trabalho. Uma desculpa provável. Na tua vida, alguma vez tiveste, alguma vez houve uma altura em que fazias exercício regularmente?
",formal
"bisabuelo, usted entiende lo que digo, así son las cosas.","bisavô, percebe o que estou a dizer, é assim que as coisas são.","grande avó, percebes o que quero dizer é assim mesmo
",formal
"Sí, la gente tiende a olvidar que es libre de irse. Me gusta esa sabiduría y esa táctica. También puedes jugar un juego en la mente, retándote a sí mismo a entretenerte durante toda la reunión/cita.","Sim, as pessoas tendem a esquecer que são livres de ir embora. Gosto dessa sabedoria e dessa tática. Também pode jogar um jogo mental, desafiando-se a si mesmo a se entreter durante toda a reunião/encontro.","Sim, as pessoas tendem a esquecer-se de que são livres para se ir embora. Eu gosto dessa sabedoria e tática. Também podes jogar um jogo mentalmente, desafiando-te a ser entretido pelo encontro/saída.
",formal
Interesante. No lo sabía. ¿Qué más hace en su tiempo libre?,Interessante. Não sabia disso. O que mais faz no seu tempo livre?,"Interessante. Não sabia isso. O que mais fazes no teu tempo livre?
",formal
"Supongo que el talento viene de familia, la charla ha sido muy entretenida, gracias por tu tiempo.","Suponho que o talento vem de família, a conversa foi muito agradável, obrigado pelo seu tempo.","Acho que o talento é de família, a conversa foi muito divertida, obrigado pelo teu tempo
",formal
Buenos días. ¿Cómo van tus inversiones hoy?,Bom dia. Como estão os seus investimentos hoje?,"Bom dia. Como estão os teus investimentos hoje?
",formal
"Oh, Dios mío, odio a Will Farrell. ¿Cuál es tu película favorita? La película con Will Farrel. Odio las cebollas.","Oh, meu Deus, odeio o Will Ferrell. Qual é o seu filme favorito? O filme com Will Ferrell. Odeio as cebolas.","Oh meu Deus, odeio Will Farrells. Então, qual é o teu filme favorito? O filme com Will Farrells. Odeio cebolas
",formal
¿cómo qué? ¿Qué le pasó a su brazo? No quería decir nada. No sabría ni cómo decirlo y diría que me corté,Como assim? O que aconteceu ao seu braço? Não queria dizer nada. Nem saberia como dizê-lo e diria que me cortei.,"como o quê? O que aconteceu ao teu braço? Não queria dizer nada. Nem saberia como o dizer e diria que cortei-me
",formal
"Sí, estoy de acuerdo con usted. Veo YouTube casi todos los días. No puedo creer que Google haya comprado YouTube por 1650 millones de dólares en 2006. Parece que fue hace mucho tiempo.","Sim, concordo consigo. Vejo o YouTube quase todos os dias. Não posso acreditar que o Google tenha comprado o YouTube por 1650 milhões de dólares em 2006. Parece que foi há muito tempo.","Sim, concordo contigo! Vejo Youtube quase todos os dias. Não posso acreditar que o Google comprou o YouTube por 1,65 mil milhões de dólares em 2006. Isso parece há tanto tempo atrás.
",formal
"Sí, yo igual, hace unos años que no voy, pero antes iba siempre. ¿Cuál dirías que es tu favorito de siempre?","Sim, eu também, já faz uns anos que não vou, mas antes ia sempre. Qual diria que é o seu favorito de sempre?","Sim, eu sou igual, não vou há alguns anos mas costumava ir a toda a hora. Qual é que dirias que é o teu favorito de sempre?
",formal
"¿Tú tienes algún lugar favorito o recuerdos favoritos sobre algunos de esos, ya sabes, si te quedaste en tu hotel o lo que sea?","Você tem algum lugar favorito ou memórias favoritas sobre alguns desses, você sabe, se ficou em seu hotel ou o que for?","Tens algum lugar favorito ou memórias favoritas sobre algum destes, sabes, se ficaste no teu hotel ou qualquer que seja o caso?
",formal
