source,preferred,rejected,attribute
"C'est vrai pour Walmart. Mais avec Prime, vous pouvez accéder à de la musique et à des vidéos gratuitement. Des livres, aussi, pour votre Kindle. Je diffuse des vidéos, donc c'est un avantage. Je fais des achats sur d'autres sites de temps en temps, comme Etsy pour les cadeaux.","Das mit Walmart stimmt. Aber mit Prime erhalten Sie Musik und Videos kostenlos. Auch Bücher für Ihren Kindle. Ich streame Videos, also ist das ein Vorteil. Ich kaufe gelegentlich auch bei anderen Seiten ein – z. B. Geschenke bei Etsy.","Das mit Walmart stimmt. Aber mit Prime erhältst du Musik und Videos kostenlos. Auch Bücher für deinen Kindle. Ich streame Videos, aber ist das ein großer Vorteil. Ich kaufe gelegentlich auch bei anderen Seiten ein – z. B. Geschenke bei Etsy.
",formal
"et je me disais que j'étais assez intelligent, comme vous le savez, pour vraiment comprendre, faire quelque chose de grand","Und ich dachte, ich wäre intelligent genug, wie Sie wissen, um es wirklich zu verstehen und etwas Großes zu leisten.","Und ich war so, ich bin so schlau wie du weißt, finde es einfach heraus, ich muss etwas Großartiges machen.
",formal
"Eh bien, je suppose que c'est simplement dans votre sang alors.","Nun, ich denke, dann liegt es Ihnen wohl einfach im Blut.","Nun, ich denke, dann liegt dir das wohl einfach im Blut.
",formal
"vous devez avoir beaucoup de cran, vous devez avoir de l'argent. Vous voyez ce que je veux dire, vous devez gagner de l'argent","Sie müssen viel Mut haben, Sie müssen Geld haben. Sie verstehen, was ich meine, Sie müssen Geld verdienen.","Du brauchst ein Rückgrat, du brauchst Geld. Du weißt, was ich meine, Du musst das Geld verdienen
",formal
J'ai repéré une centaine de couleurs dans ta ville.,Ich habe in Ihrer Stadt rund hundert verschiedene Farben entdeckt.,"Ich habe in deiner Stadt einhundert Farben bekommen.
",formal
Je vois ce que tu veux dire. C'est le seul objet connu pour porter la vie et nous devons savoir pourquoi.,"Ich verstehe, was Sie meinen. Es ist das einzige bekannte Objekt, das Leben trägt, und wir müssen wissen, warum das so ist.","Ich weiß, was du meinst. Es ist das einzige Objekt, das nachweislich lebt, und wir müssen wissen, warum das so ist.
",formal
"Oui, exactement. Il existe des chaussures inspirées du Magicien d'Oz qui peuvent t'indiquer le chemin pour rentrer chez toi à l'aide d'un système GPS lorsque tu tapes des talons.","Ja, genau. Es gibt Schuhe, die vom Zauberer von Oz inspiriert sind und die Ihnen mit einem GPS-System den Heimweg zeigen, wenn Sie mit den Absätzen aufstampfen.","Ja genau. Es gibt vom Zauberer von Oz inspirierte Schuhe, die dich mithilfe eines GPS-Systems nach Hause leiten, wenn du deine Absätze zusammenschlägst.
",formal
"Oui, il semblerait, ou peut-être qu'il faudrait alterner plus rapidement. Vous savez que nous avons un ambassadeur au cas où des aliens arriveraient sur la planète ou essaieraient d'entrer en contact avec nous ?","Ja, es scheint so zu sein, oder vielleicht bei einer höheren Geschwindigkeit rotiert, wissen Sie, wir haben einen Botschafter für den Fall, dass Außerirdische auf dem Planeten ankommen oder versuchen, Kontakt zu uns aufzunehmen.","Ja, es scheint so zu sein, oder vielleicht bei einer höheren Geschwindigkeit rotiert, weißt du, wir haben einen Botschafter für den Fall, dass Außerirdische auf dem Planeten ankommen oder versuchen, Kontakt zu uns aufzunehmen.
",formal
"tu sais que tu as besoin de quelqu'un pour t'aider, de quelqu'un à qui parler. La famille est importante","Sie wissen, dass Sie jemanden brauchen, der Ihnen hilft, jemanden, mit dem Sie reden können. Die Familie ist wichtig.","Du weißt, dass du jemanden als Mentor brauchst, du brauchst jemanden zum Sprechen. Familie ist wichtig.
",formal
"(honnêtement prendre soin de) mes enfants, mes parents savent le faire. C'est ainsi qu'ils m'ont élevé. Si vous pouviez penser au meilleur dans la façon dont vous avez été élevé par vos parents etc.","Ehrlich gesagt, meine Eltern wissen, wie man sich um meine Kinder kümmert. So haben sie mich erzogen. Wenn Sie an das Beste in der Art und Weise denken könnten, wie Sie von Ihren Eltern usw. erzogen wurden.","(Passen wirklich auf) meine Kinder auf, meine Eltern wissen das. Also, so haben sie mich eben großgezogen. Wenn du an das Beste denken würdest, wie du von deinen Eltern erzogen wurdest und so, würdest du.
",formal
"Cela fait longtemps ! Que pensez-vous du titre chinois du film Les Gardiens de la Galaxie ? Là-bas, il signifie « L'escouade inhabituelle interplanétaire », ah ah.","Das ist schon lange her! Was denken Sie über den chinesischen Titel des Films „Guardians of the Galaxy""? Dort bedeutet er „Die ungewöhnliche interplanetarische Streitmacht"", ha ha.","Das ist schon lange her! Was denkst du über den chinesischen Titel von Guardians of the Galaxy da drüben? Es ist das interplanetarische ungewöhnliche Angriffsteam LOL.
",formal
"(honnêtement prendre soin de) mes enfants, mes parents savent le faire. C'est ainsi qu'ils m'ont élevé. Si tu pouvais penser au meilleur dans la façon dont tu as été élevé par tes parents etc.","(ehrlich gesagt, sich um) meine Kinder zu kümmern, darin sind meine Eltern gut. So haben sie mich erzogen. Wenn Sie an die positiven Aspekte denken könnten, wie Sie von Ihren Eltern erzogen wurden usw.","(Passen wirklich auf) meine Kinder auf, meine Eltern wissen das. Also, so haben sie mich eben großgezogen. Wenn du an das Beste denken würdest, wie du von deinen Eltern erzogen wurdest und so, würdest du.
",formal
J'ai aimé sa performance dans La Belle et la Bête. Le film est sur Netflix si vous y avez accès. Cela me rappelle des souvenirs d'enfance.,"Ich mochte seine Leistung in Die Schöne und das Biest. Der Film ist auf Netflix, falls Sie Zugriff darauf haben. Es erinnert mich an Kindheitserinnerungen.","Ich mochte sie in Die Schöne und das Biest. Er ist auf Netflix, wenn du darauf Zugriff hast. Bringt Kindheitserinnerungen zurück.
",formal
Oui. Ou sur votre téléphone. Des trucs super sympa. Je pense que « sympa » est le bon terme.,"Ja. Oder auf Ihrem Telefon. Richtig coole Sachen. Ich denke, „cool"" ist der richtige Ausdruck dafür.","Ja, oder auf deinem Telefon. Also, du weißt schon, super funky Zeug. Das Wort beschreibt es, glaube ich, am besten, funky.
",formal
"tout en étant assis à l'arrière de votre voiture, sans avoir à vous concentrer sur la route. Combien d'heures par an passez-vous à conduire alors que vous pourriez utiliser ce temps pour être plus productif ?","Während Sie hinten in Ihrem Auto sitzen, ohne sich auf die Straße konzentrieren zu müssen. Wie viele Stunden pro Jahr verbringen Sie damit zu fahren, obwohl Sie diese Zeit produktiver nutzen könnten?","Während du auf dem Rücksitz deines Autos sitzt und dich nicht auf die Straße konzentrieren musst. Wie viele Stunden im Jahr verbringst du im Auto, die du auf produktivere Art nutzen könntest.
",formal
Pourquoi regarder sur ton téléphone ?,Warum schauen Sie auf Ihr Telefon?,"Warum schaust du auf deinem Handy?
",formal
Intéressant. Avez-vous vu ce film ? Moi oui.,Interessant. Haben Sie diesen Film gesehen? Ich schon.,"Interessant. Hast du den Film gesehen? Ich habe ihn gesehen.
",formal
"Cela pourrait davantage être quelque chose qui se passe lorsque tu rentres à la maison, lorsque tes enfants sont pris en charge, lorsqu'ils ont été","Das könnte eher etwas sein, das passiert, wenn Sie nach Hause kommen, wenn Ihre Kinder versorgt sind, wenn sie","Du kannst einfach sehen, es könnte mehr so eine Sache sein, wo du nach Hause kommst, deine Kinder versorgt sind, wo sie
",formal
Et l'électronique ? As-tu besoin d'acheter de l'électronique ? As-tu acheté des appareils électroniques récemment ?,Und was ist mit Elektronik? Benötigen Sie Elektronik? Haben Sie kürzlich elektronische Geräte gekauft?,"Wie sieht es mit Elektronik aus? Findest du, du bist jemand, der elektronische Geräte kaufen muss? Hast du in der letzten Zeit irgendwelche elektronischen Geräte gekauft?
",formal
C'est comme si on lui proposait une très belle télé pour quarante dollars ou quelque chose du genre et qu'il courait littéralement jusqu'à la Quatorzième Rue à dix heures du soir. Mais vous avez bien compris l'idée.,"Es ist, als würde man ihm einen tollen Fernseher für 40 Dollar oder so anbieten und er würde buchstäblich bis zur 14. Straße um 22 Uhr rennen. Aber Sie haben die Idee verstanden.","Das ist ein wirklich toller Fernseher für vierzig Dollar oder so und er ist buchstäblich zur Fourteenth Street gerannt um zehn Uhr nachts, aber du hast das.
",formal
