source,preferred,rejected,attribute
comme quoi ? Que s'est-il passé avec votre bras ? Je ne voulais rien dire. Je ne saurais même pas comment le dire et je dirais que je me suis coupé,¿Qué le pasó con su brazo? No quería decir nada. Ni siquiera sabría cómo decirlo y diría que me he cortado.,"¿cómo qué? ¿Qué le pasó a tu brazo? No quería decir nada. No sabría ni cómo decirlo y diría que me corté
",formal
J'aime bien La Quatrième Dimension. Avez-vous vu le film The Revenant ? C'est à la base un film de 1971 sur la survie dans la nature. Leo a fait un excellent travail.,Me gusta mucho La Cuarta Dimensión. ¿Ha visto la película The Revenant? En realidad es una película de 1971 sobre la supervivencia en la naturaleza. Leo hizo un excelente trabajo.,"Siempre me ha gustado La dimensión desconocida. ¿Has visto la película El renacido? Fue una película del 1971 sobre supervivencia en la naturaleza. Leo hizo un gran papel.
",formal
Et ils avaient un marché comme votre solution,Y ellos tenían un mercado como su solución,"Y ellos pusieron un mercado justo como tu solución.
",formal
"Alors, ton amie savait-elle que c'est ce qui se passe dans ce genre de confréries ou elle n'en avait aucune idée ?","Entonces, ¿su amiga sabía que eso es lo que ocurre en ese tipo de fraternidades o no tenía ni idea?","Entonces, ¿tu amiga sabía que esto es lo que ocurre en estas reuniones o simplemente no tenía ni idea?
",formal
"D'ailleurs, quel est votre grand magasin préféré ? Vous voyez ce que je veux dire, celui dont vous faites tout le tour","Por cierto, ¿cuál es su gran tienda favorita? Ya sabe a lo que me refiero, aquella en la que usted recorre todos los pasillos.","Así que, de cualquier modo, ¿cuáles son tus grandes almacenes favoritos? Ya sabes lo que quiero decir, en toda la zona
",formal
"Non, vos demandes ici ne peuvent être prises en charge que par l'achat de billets via ce site Web. D'accord, nous n'en avons pas acheté. Si vous achetez votre billet par le biais d'un autre site Web, vous devez inspecter le billet.","No, sus solicitudes aquí solo pueden ser atendidas mediante la compra de boletos a través de este sitio web. De acuerdo, no hemos comprado ninguno. Si compra su boleto a través de otro sitio web, debe inspeccionar el boleto.","No, tus consultas aquí solo se admiten si compras billetes en este sitio web. Vale, entonces no compramos, si tú compras tu billete a través de otro sitio web, tienes que inspeccionar el billete.
",formal
C'est ainsi. Qu'est-ce que vos parents voudraient que vous deveniez ?,Así es. ¿Qué les gustaría a sus padres que usted llegara a ser?,"Solo es así. ¿Qué querían tus padres que fueras?
",formal
"Oui, mais c'est votre point de vue sur le film. Il y a certainement des gens qui sont comme ça et ça n'a pas de sens. C'est un peu comme si je croyais aux extraterrestres","Sí, pero esa es su opinión sobre la película. Ciertamente hay personas que son así y no tiene sentido. Es un poco como si usted creyera en los extraterrestres","Sí, pero esa es tu opinión sobre la película. Definitivamente hay gente por ahí que es así y no tiene sentido. Es más bien que creo en los extraterrestres
",formal
"(honnêtement prendre soin de) mes enfants, mes parents savent le faire. C'est ainsi qu'ils m'ont élevé. Si tu pouvais penser au meilleur dans la façon dont tu as été élevé par tes parents etc.","(Honestamente cuidar) mis hijos, mis padres saben hacerlo. Así es como me criaron. Si usted pudiera pensar en lo mejor de cómo fue criado por sus padres, etc.","(honestamente, cuidar) mis hijos y mis padres lo saben. Así es como me criaron. Si tú pudieras pensar en lo mejor, cómo fuiste criado por tus padres y tal, lo harías.
",formal
"Bonjour. As-tu déjà entendu parler des Razzie Awards ? Apparemment, ils récompensent les plus mauvais films de l'année !","Hola. ¿Ha oído hablar de los premios Razzie? ¡Al parecer, premian a las peores películas del año!","Hola. ¿Has oído hablar de los premios Razzie? ¡Creo que premian las peores películas del año!
",formal
"De toute façon, le problème se trouve dans ton alimentation.","De todos modos, el problema se encuentra en su fuente de alimentación.","La dieta es la mayor parte de tu problema de todos modos.
",formal
"Oui, c'est plutôt jeune. Content d'avoir discuté avec vous !","Sí, es bastante joven. ¡Encantado de haber hablado con usted!","Sí. Parece joven. Fue un gusto charlar contigo.
",formal
"Oui, vous voyez ce que je veux dire. Le temps passe très vite","Sí, usted sabe a lo que me refiero. El tiempo pasa muy rápido.","Sí, ya sabes lo que digo. El tiempo pasa muy rápido
",formal
Quel était ton film Disney préféré en grandissant ?,¿Cuál era su película Disney favorita cuando crecía?,"¿Cuál era tu película favorita de Disney cuando era niño?
",formal
C'est peut-être dans votre grenier si ce n'est pas bien aéré.,Puede que esté en su ático si no está bien ventilado.,"Podrían estar en tu desván si no está bien ventilado.
",formal
"Je vais donc simplement commencer en te demandant ceci. Parmi les destinations que tu as déjà visitées, laquelle est ta préférée ?","Entonces, simplemente comenzaré preguntándole esto. De los destinos que ha visitado, ¿cuál es su favorito?","y por eso voy a empezar preguntándote esto. ¿Cuál es tu lugar favorito en el que has estado?
",formal
"(honnêtement prendre soin de) mes enfants, mes parents savent le faire. C'est ainsi qu'ils m'ont élevé. Si vous pouviez penser au meilleur dans la façon dont vous avez été élevé par vos parents etc.","(honestamente cuidar de) mis hijos, mis padres saben hacerlo. Así es como me criaron. Si pudiera pensar en lo mejor de cómo le criaron sus padres, etc.","(honestamente, cuidar) mis hijos y mis padres lo saben. Así es como me criaron. Si tú pudieras pensar en lo mejor, cómo fuiste criado por tus padres y tal, lo harías.
",formal
Je vois ce que vous voulez dire. C'est le seul objet connu pour porter la vie et nous devons savoir pourquoi.,Entiendo a lo que se refiere. Es el único objeto conocido que alberga vida y debemos saber por qué.,"Sé a lo que te refieres. Es el único objeto conocido que tiene vida y necesitamos saber por qué es así.
",formal
J'y jouais aussi. Est-ce que vous saviez que le frère de Tom Hanks fait la voix de Woody dans les jeux vidéos ?,Yo también jugaba a eso. ¿Sabía usted que el hermano de Tom Hanks pone la voz a Woody en los videojuegos?,"Yo también lo jugaba. ¿Sabías que el hermano de Tom Hanks hace la voz de Woody en los videojuegos?
",formal
"Bien sûr. Puis-je également avoir votre code postal et le nom de la rue, s'il vous plaît ?","Por supuesto. ¿También podría darme su código postal y el nombre de la calle, por favor?","Claro, ¿puedes darme también tu código postal y nombre de la calle, por favor?
",formal
J'ai aimé sa performance dans La Belle et la Bête. Le film est sur Netflix si tu y as accès. Cela me rappelle des souvenirs d'enfance.,Me gustó su actuación en La Bella y la Bestia. La película está en Netflix si usted tiene acceso. Me trae recuerdos de la infancia.,"A mí me gustó en La bella y la bestia. Está en Netflix, si tienes acceso. Trae recuerdos de la infancia
",formal
"Oui, c'est comme quitter l'université, sauf que tu es scruté à la loupe.","Sí, es como dejar la universidad, excepto que usted está bajo un gran escrutinio.","Sí, es como mudarse de universidad excepto que estás bajo un microscopio.
",formal
J'ai repéré une centaine de couleurs dans votre ville.,He identificado un centenar de colores en su ciudad.,"Tengo cien colores en tu ciudad
",formal
"Oui, comme l'énergie hydraulique. Les ordinateurs Apple semblent très sensibles parce que si tu fumes à proximité, la garantie devient nulle.","Sí, como la energía hidráulica. Las computadoras de Apple parecen muy sensibles porque si usted fuma cerca de ellas, la garantía se anula.","Sí, como la energía hidráulica. Los ordenadores de Apple parecen ser bastante sensibles porque si fumas cerca de un ordenador de Apple, se anula la garantía.
",formal
"C'est fou, vous avez","Es una locura, usted tiene","Es una locura, tienes
",formal
Je ne peux même pas l'imaginer. C'était sympa de discuter avec vous !,No puedo ni imaginármelo. ¡Ha sido un placer conversar con usted!,"No puedo ni imaginarlo. Fue un gusto charlar contigo.
",formal
Il a dit que c'est à cela que ressemble ton visage lorsque tu découvres que ta vie normale est décrite par d'autres,Él dijo que esa es la expresión que tiene su rostro cuando se da cuenta de que su vida normal es descrita por otros.,"Dijo que esto es lo que se ve en tu cara cuando descubres que tu vida normal es descrita por otros
",formal
"Exactement. Fais semblant de devoir t'éloigner de l'horreur à vélo. LOL Bon, aimes-tu Internet ? Ou est-ce le fléau de ton existence ?","Exactamente. Imagine que tiene que alejarse del horror en bicicleta. LOL Bueno, ¿le gusta Internet? ¿O es la plaga de su existencia?","Exactamente. Haz como si tuvieras que alejarte del horror, LOL. Entonces, ¿te gusta Internet o es la perdición de tu existencia?
",formal
"compagnie aérienne, puis-je annuler mon voyage sans annuler ? Comment l'annulation pourrait-elle affecter ton travail ? Annulation, d'accord. Veux-tu annuler ton voyage ? Si tu souhaites annuler ton vol, tu peux nous contacter par e-mail ou par téléphone.","Compañía aérea, ¿puedo cancelar mi viaje sin penalización? ¿Cómo podría afectar la cancelación a su trabajo? Cancelación, de acuerdo. ¿Desea cancelar su viaje? Si desea cancelar su vuelo, puede contactarnos por correo electrónico o por teléfono.","Aerolínea, ¿puedo cancelar mi viaje sin cancelar? ¿Cómo puede afectar la cancelación a tu trabajo? Cancelar, vale, ¿quieres cancelar tu viaje? Si quieres cancelar tu vuelo puedes ponerte en contacto con nosotros por correo electrónico o por teléfono.
",formal
"un étudiant, tu vois ce que je veux dire ? C'est certainement utile. C'est pratique, ton étudiant à temps plein n'a pas vraiment de voiture.","Un estudiante, ¿entiende a lo que me refiero? Ciertamente es útil. Es práctico, su estudiante a tiempo completo realmente no tiene automóvil.","siendo un estudiante en la escuela, ¿sabes lo que quiero decir? Es, sin lugar a dudas, útil. Es práctico, quiero decir, tu estudiante a tiempo completo la verdad es que no tiene un coche.
",formal
"Qui est ton acteur préféré ? Je suppose, c'est la même chose.",¿Quién es su actor favorito? Supongo que es lo mismo.,"¿Quién es tu actor favorito? Supongo que lo mismo.
",formal
"Il fait très chaud à San Diego, non ? Faut-il y voir un double sens ? Ou est-ce que cela signifie que tu ne devrais pas donner un nom de groupe de musique à ton enfant ?","¿Hace mucho calor en San Diego, no? ¿Hay que verlo con doble sentido? ¿O significa que no debería ponerle a su hijo el nombre de un grupo musical?","Bueno, en San Diego será más caluroso que cálido. ¿En serio? ¿Hay algún significado detrás de eso? ¿O quiere decir que no puedes poner el nombre de un grupo a tu hijo?
",formal
"tu ne peux pas. C'est comme si le contenu de tes fichiers ne suffisait pas. D'accord, la famille d'abord ou le travail d'abord","Usted no puede. Es como si el contenido de sus archivos no fuera suficiente. De acuerdo, ¿la familia primero o el trabajo primero?","no puedes, ya sabes, es como si lo que está en tus archivos no fuese suficiente, no lo es. Vale, la familia primero o el trabajo primero
",formal
Je me demande si l'on obtient des points supplémentaires si on se laisse pousser les cheveux pour ce cours ? Ah ah. J'ai suivi un cours de Mythologie et fantasy au lycée. C'était vraiment intéressant.,Me pregunto si se obtienen puntos extra si uno se deja crecer el cabello para esa clase. Ja ja. Tomé una clase de Mitología y Fantasía en la secundaria. Fue realmente interesante.,"Me pregunto si te dan puntos extra si te dejas crecer el pelo para esa clase. Ja, ja, he tenido clase de mitología y fantasía en el instituto. Ha estado bastante bien.
",formal
"Oui, les gens ont tendance à oublier qu'ils sont libres de partir. Tu peux aussi jouer un jeu dans ton esprit, en te lançant le défi de t'amuser pendant tout le rendez-vous.","Sí, la gente tiende a olvidar que son libres de irse. Usted también puede jugar un juego en su mente, desafiándose a divertirse durante toda la cita.","Sí, la gente tiende a olvidar que es libre de irse. Me gusta esa sabiduría y esa táctica. También puedes jugar un juego en la mente, retándote a sí mismo a entretenerte durante toda la reunión/cita.
",formal
Parlons de ton restaurant préféré,Hablemos de su restaurante favorito,"Hablemos de tu restaurante favorito, muy interesante
",formal
mais j'ai compris ce que tu penses de ta relation avec eux. C'est comme si tu avais une relation et que tu pensais qu'elle,pero entendí lo que usted piensa de su relación con ellos. Es como si usted tuviera una relación y pensara que ella,"pero entiendo cómo te sientes en cuanto a tu relación con ellos. Es como si tuvieras una relación, piensas como tu relación
",formal
vous allez raconter une anecdote de votre vie sexuelle comme si vous vous adressiez à un public et à Peter,Va a contar una anécdota de su vida sexual como si se estuviera dirigiendo a un público y a Peter,"vas a contar una historia sobre tu vida sexual a una audiencia llena de gente y Peter
",formal
"les choses que tu voulais aimer lorsque tu étais jeune et pour lesquelles tu ne voulais pas entendre l'avis de tes parents, tu réalises à présent qu'ils essayaient de t'aider et","las cosas que quería que le gustaran cuando era joven y no quería escuchar lo que sus padres tenían que decir, se da cuenta de que estaban tratando de ayudarlo y","las cosas que querías que te gustaran cuando eras joven y no querías escuchar lo que tus padres tenían que decir, te das cuenta de que estaban tratando de ayudarte y
",formal
C'est vrai mais je crois que les chats sont plus intelligents que la plupart des politiques. Est-ce que tu peux imaginer un membre de la Chambre faire des divisions posées ?,"Es verdad, pero creo que los gatos son más inteligentes que la mayoría de los políticos. ¿Puede imaginarse a un miembro del Congreso haciendo cálculos complicados?","Es cierto, pero creo que los gatos son más inteligentes que la mayoría de los políticos. ¿Puedes imaginarte a un miembro de la Cámara de Representantes haciendo divisiones largas?
",formal
cela ne veut pas dire qu'il n'y a pas du tout de points communs dans vos expériences de travail.,Eso no significa que no haya ningún punto en común en sus experiencias laborales.,"eso no significa que no haya nada en común en tus experiencias laborales.
",formal
"Parce que les chiens demandent beaucoup de travail, ils sont bruyants, font pipi sur le sol, ils détruisent tes affaires et ils sont juste ennuyeux.","Porque los perros requieren mucho trabajo, son ruidosos, hacen pipí en el suelo, destruyen sus pertenencias y simplemente son molestos.","Porque los perros dan mucho trabajo y son ruidosos y se orinan en el suelo y destruyen tus cosas, y son simplemente molestos.
",formal
"Oui, c'est cool, ah ah. Que penses-tu de cette rumeur selon laquelle Vin Diesel aurait reçu un script secret révélant ce que dit Groot dans les films ?","Sí, es genial, ja ja. ¿Qué le parece el rumor de que Vin Diesel recibió un guión secreto que revela lo que dice Groot en las películas?","Sí, esto mola, ja, ja. ¿Qué te parece que Vin Diesel reciba un guion secreto en el que pone lo que Groot dice en realidad en las películas?
",formal
La plupart des gens pensent que tous les requins sont des tueurs mais j'ai lu que ce n'état pas le cas de tous. Avez-vous vu des films sur les requins ?,"La mayoría de la gente piensa que todos los tiburones son asesinos, pero he leído que no es el caso de todos. ¿Ha visto usted películas sobre tiburones?","La mayoría de la gente piensa que todos los tiburones son tiburones asesinos, pero he leído que no todos los tiburones son asesinos. ¿Has visto las películas sobre tiburones?
",formal
"J'ai déjà fait du yoga, mais j'ai encore besoin de quelques cours pour être plus souple. C'était marrant de discuter avec vous. Passez une bonne journée !","Ya he practicado yoga, pero aún necesito algunas clases para ser más flexible. Fue divertido conversar con usted. ¡Que tenga un buen día!","He hecho yoga antes, pero necesito unas cuantas clases más antes de tener más flexibilidad. Ha sido divertido charlar contigo, ¡que pases un buen día!
",formal
pour trouver des options végétariennes dans ton quartier à présent ?,¿Le gustaría encontrar opciones vegetarianas en su vecindario ahora?,"¿encontrar opciones vegetarianas en tu barrio ahora?
",formal
Tu regardes des films. Lequel est ton préféré ?,¿Ve películas? ¿Cuál es su película favorita?,"¿Ves películas? ¿Cuál es tu favorita?
",formal
"tu sais, comme si d'une manière ou d'une autre, elles avaient pu les mettre dans le sac et les sortir. Il s'agit d'articles neufs","Usted sabe, como si de alguna manera, ellas hubieran podido meterlos en la bolsa y sacarlos. Se trata de artículos nuevos.","sabes de alguna manera, sabes, ellos podían empacarlo en la bolsa y tirar, son todos nuevos y lo dejan allí
",formal
Bonjour l'ami ! Comment occupez-vous votre temps libre actuellement ?,¡Hola amigo! ¿Cómo ocupa usted su tiempo libre actualmente?,"¡Hola, amigo! ¿Qué te gusta hacer en tu tiempo libre estos días?
",formal
Oui. Ou sur ton téléphone. Des trucs super sympa. Je pense que « sympa » est le bon terme.,"Sí. O en su teléfono. Cosas muy agradables. Creo que ""agradables"" es el término adecuado.","Sí, o en tu teléfono. Así que, ya sabes, cosas superdivertidas. Creo que esa es la mejor manera de describirlo, como divertido.
",formal
"rien n'a plus d'influence que vos parents, vos frères et sœurs, vos grands-parents, vous savez.","nada tiene más influencia que sus padres, sus hermanos, sus abuelos, usted sabe.","no hay manera de que algo más pueda tener una influencia tan fuerte, más fuerte que tus padres, tus hermanos tus abuelos, ya sabes.
",formal
"Il est incroyable et vraiment très drôle ! Il pense que Crazy Kung-Fu est ce que l'on a fait de mieux en matière de comédie moderne. Je ne sais pas… C'était un bon film, mais pas exceptionnel non plus. Qu'en penses-tu ?","Es increíble, muy divertido. Piensa que Kung-Fusión es el logro supremo de la era moderna en términos de comedia. No lo sé, fue una gran película, pero no increíble, LOL. ¿Qué le parece?","Es increíble, muy divertido. Piensa que Kung-Fusión es el logro supremo de la era moderna en términos de comedia. No lo sé, fue una gran película, pero no increíble, LOL. ¿Qué te parece?
",formal
"Alors, quel est votre genre de petit ami idéal ?","Entonces, ¿cuál es su tipo de novio ideal?","Entonces, ¿cuál es tu novio ideal?
",formal
"Mais en tant qu'employé, tu as un objectif de vente à atteindre, alors si tu passes une heure à maquiller quelqu'un","Pero como empleado, tiene un objetivo de ventas que alcanzar, así que si pasa una hora maquillando a alguien","Pero son rollo: como empleado, tienes un objetivo de ventas que cumplir y tal si dedicas una hora a maquillar a alguien
",formal
Je n'en sais rien. Je n'ai vu que le premier film. J'ai entendu dire qu'Angela Bassett joue dans le dernier. J'aime vraiment bien cette actrice. Quelles autres vedettes présentes dans ce film sont tes préférées ?,No lo sé. Sólo he visto la primera película. He oído que Angela Bassett actúa en la última. Realmente me gusta mucho esta actriz. ¿Qué otras estrellas presentes en esta película son sus favoritas?,"No podría decirlo. Solo he visto la primera película. He oído que Angela Bassett sale en la última. Me gusta mucho. ¿Cuáles son tus coestrellas favoritas?
",formal
"Oui, cela ira. Et Inception, vous l'avez vu ?","Sí, estará bien. ¿Y ha visto usted Inception?","Sí, ya servirá. ¿Y qué hay de Origen? ¿La has visto?
",formal
votre mère paraît toujours si,"Su madre siempre parece tan}

La traduction utilise le pronom ""su"" pour se référer à la mère de l'interlocuteur, ce","tu madre siempre suena como
",formal
"Les chats sont calmes et ils s'assoient juste sous votre lit et s'ils veulent être caressés, ils vous laisseront les caresser","Los gatos son tranquilos y simplemente se sientan debajo de su cama, y si quieren ser acariciados, le permitirán acariciarlos.","Los gatos son tranquilos y se sientan debajo de tu cama y, si quieren ser acariciados, dejarán que los acaricies.
",formal
"la seule chose qui est foutue, c'est que votre week-end et vos vacances sont réservés.",Lo único que es una lástima es que su fin de semana y sus vacaciones están reservados.,"lo único que es jodido es que tu fin de semana y tus vacaciones y todas esas cosas están reservadas.
",formal
combien payes-tu pour ta facture Internet ?,¿Cuánto paga usted por su factura de Internet?,"¿cuánto pagas por tu factura de internet?
",formal
il est en cours de sauvegarde sur le vôtre. Alors que reste-t-il ?,"está haciendo una copia de seguridad en el suyo. Entonces, ¿qué es lo que queda?","está haciendo una copia de seguridad en el tuyo. Entonces, ¿qué es lo que se queda?
",formal
"tu sais, on dirait que la file d'attente peut être très longue.","Usted sabe, parece que la fila de espera puede ser muy larga.","ya sabes, esto parece que la línea puede ser muy larga.
",formal
penses-tu aimer la famille de ton petit-ami ?,¿Cree que le gustará la familia de su novio?,"¿Crees que te gusta la familia de tu novio?
",formal
Alors parlez-moi de votre meilleur ami d'enfance.,"Entonces, hábleme de su mejor amigo de la infancia.","Cuéntame sobre tu mejor amiga de la infancia.
",formal
"Je vois. Vous vous comportez comme si vous étiez censé être marié pendant toute votre histoire, comment vous êtes-vous rencontrés ?","Entiendo. Se comportan como si debieran estar casados durante toda su historia, ¿cómo se conocieron?","Ya veo, quedas como si tuvieses que estar casado durante toda tu historieta, cómo os conocisteis,
",formal
"Bien, mais à cause de l'annulation... voyons voir... Attendez, je le cherche. De quelle annulation s'agit-il ? Où ? Pourquoi n'annulez-vous pas encore votre vol ? Puis-je annuler mon billet si je l'ai acheté chez un revendeur local ?","Bien, pero debido a la cancelación... veamos... Espere, lo estoy buscando. ¿De qué cancelación se trata? ¿Dónde? ¿Por qué no cancela su vuelo todavía? ¿Puedo cancelar mi boleto si lo compré con un revendedor local?","bueno, pero por la cancelacion, veamos, ¿lo tienes? ya sabes, espera, lo estoy buscando, ¿qué es lo que puede? ¿Dónde? ¿Por qué no se cancela tu vuelo todavía? ¿Puedo cancelar mi billete si lo he comprado en un local?
",formal
"C'était mon surnom ! Pas parce que je suis aussi âgé que Shakespeare… étant donné qu'il vivait au temps de Pocahontas, ce qui remonte à loin. Que pensez-vous de Shakespeare ?","¡Ese era mi apodo! No porque sea tan viejo como Shakespeare... dado que él vivió en la época de Pocahontas, lo cual fue hace mucho tiempo. ¿Qué opina usted de Shakespeare?","¡Era mi apodo! No porque sea tan viejo como Shakespeare... porque él estaba vivo en la época de Pocahontas, que es un poco más vieja que yo. ¿Qué opinas sobre eso?
",formal
vraiment ? Que crois-tu ? Cela va t'apporter des clients alors que,¿De verdad? ¿Qué cree usted? ¿Eso le traerá clientes entonces?,"¿en serio? Qué crees que va a llevar a la gente a tu alfombra mientras que
",formal
"Intéressant. Il pleut beaucoup dans l'Oregon, y êtes-vous déjà allé ?","¿Interesante. Llueve mucho en Oregón, ¿ha ido allí alguna vez?","Interesante. Llueve mucho en Oregón, ¿lo has visitado alguna vez?
",formal
"tout en étant assis à l'arrière de ta voiture, sans avoir à te concentrer sur la route. Combien d'heures par an passes-tu à conduire alors que tu pourrais utiliser ce temps pour être plus productif ?","todo mientras está sentado en la parte trasera de su automóvil, sin tener que concentrarse en la carretera. ¿Cuántas horas al año pasa conduciendo cuando podría utilizar ese tiempo para ser más productivo?","mientras estés sentado en la parte trasera de tu coche y no tengas que centrarse en la carretera. Cuántas horas al año dedicas a conducir en vez de usarlas para ser más productivo.
",formal
"Quand tu étais plus jeune, ta coque de téléphone et ton attache étaient des accessoires de mode, mais ça n'est plus vraiment le cas. Ton téléphone est un téléphone, rien de plus. Les gens ont en quelque sorte dépassé cela.","Cuando era más joven, su funda y cordón para el teléfono eran accesorios de moda, pero ya no es realmente el caso. Su teléfono es un teléfono, nada más. La gente ha superado eso de alguna manera.","Cuando éramos más jóvenes, la funda de tu teléfono y tu clip, era un accesorio de moda, y realmente ya no lo es. Tu teléfono es solo tu teléfono. La gente lo ha superado
",formal
C'est clair ! Avez-vous déjà vu Big Hero 6 ?,¡Está claro! ¿Ha visto usted Big Hero 6?,"Seguro que sí. ¿Has visto alguna vez Big Hero 6?
",formal
"Je sais, entre autres, qu'il a travaillé chez Bubba Gump. Discuter avec toi fut un plaisir !","Sé, entre otras cosas, que él trabajó en Bubba Gump. ¡Ha sido un placer conversar con usted!","Sé que a algunos les gusta que trabajara en Bubba Gump. ¡Ha estado bien hablar contigo!
",formal
Quel est ton deuxième film préféré alors ?,¿Cuál es su segunda película favorita entonces?,"Entonces, cuál es tu segunda favorita
",formal
"l'école, jusqu'à ce que je sois diplômé, c'était comme..., tu sais ?","La escuela, hasta que me gradué, era como..., ya sabe?","la escuela, hasta que me gradué y entonces fue rollo, ¿sabes?
",formal
"rien n'a plus d'influence que tes parents, tes frères et sœurs, tes grands-parents, tu sais.","Nada tiene más influencia que sus padres, sus hermanos, sus abuelos, usted lo sabe.","no hay manera de que algo más pueda tener una influencia tan fuerte, más fuerte que tus padres, tus hermanos tus abuelos, ya sabes.
",formal
"Je vois. Tu te comportes comme si tu étais censé être marié pendant toute ton histoire, comment vous êtes-vous rencontrés ?","Entiendo. Se comporta como si se supusiera que estaría casado durante toda su historia, ¿cómo se conocieron?","Ya veo, quedas como si tuvieses que estar casado durante toda tu historieta, cómo os conocisteis,
",formal
Votre père vous a donné le nom de votre grand-père.,Su padre le dio el nombre de su abuelo.,"Tu padre te puso el nombre de tu abuelo
",formal
C'est ce que j'ai entendu aussi. Que penses-tu de Morgan Freeman ? J'ai découvert récemment qu'il a joué dans The Electric Company dans les années 1970 !,Eso es lo que también he oído. ¿Qué piensa usted de Morgan Freeman? ¡Descubrí recientemente que actuó en The Electric Company en la década de 1970!,"Yo también lo he oído. Ey, ¿qué piensas de Morgan Freeman? ¡Hace poco descubrí que había estado en la empresa eléctrica en los 70!
",formal
Je pense que vous comprenez qu'il ne s'agit pas de convaincre les autres que votre relation est incroyable et je ne pourrais pas nous en parler,Creo que usted entiende que no se trata de convencer a otros de que su relación es increíble y yo no podría hablar de eso con ustedes,"Creo que tú entiendes que no se trata de convencer a otras personas de que tu relación es increíble y no podría hablarnos de eso
",formal
"tout en étant assis à l'arrière de votre voiture, sans avoir à vous concentrer sur la route. Combien d'heures par an passez-vous à conduire alors que vous pourriez utiliser ce temps pour être plus productif ?","todo mientras está sentado en la parte trasera de su automóvil, sin tener que concentrarse en la carretera. ¿Cuántas horas al año pasa conduciendo cuando podría utilizar ese tiempo para ser más productivo?","mientras estés sentado en la parte trasera de tu coche y no tengas que centrarse en la carretera. Cuántas horas al año dedicas a conducir en vez de usarlas para ser más productivo.
",formal
Avez-vous enregistré une carte de crédit sur votre compte Freelancer ?,¿Ha registrado una tarjeta de crédito en su cuenta de Freelancer?,"¿Pusiste una tarjeta de crédito en tu cuenta de Freelancer?
",formal
Parfait. Le paiement a été effectué. Merci d'avoir choisi AMC. Profite bien de ton film. Passe un agréable moment.,Perfecto. El pago ha sido realizado. Gracias por elegir AMC. Disfrute de su película. Que tenga un buen momento.,"Muy bien, el pago se ha realizado. Gracias por elegir AMC, disfruta de tu película. Que te diviertas.
",formal
