source,preferred,rejected,attribute
Qu'est-ce que vous aimez faire pour vous amuser et pour garder votre esprit occupé ?,Cosa le piace fare per divertirsi e tenere impegnata la mente?,"Cosa ti piace fare per divertirti per mantenere la tua attenzione e i tuoi interessi?
",formal
"Quand tu le fais, quand tu as un enfant à charge, tu dois t'y préparer.","Quando lo fa, quando ha un bambino a carico, deve prepararsi.}

La traduction utilise la troisième personne du singulier ""deve prepararsi"" p","Quando ce l'hai, quando hai un figlio di cui sei responsabile, devi organizzarti.
",formal
"Quels sont tes films préférés, quels sont tes autres films préférés et/ou les films que tu as préférés cette année ?","Quali sono i suoi film preferiti, quali sono gli altri suoi film preferiti e/o i film che le sono piaciuti di più quest'anno?","Quali sono i tuoi film preferiti, quali sono gli altri tuoi film preferiti e/o i tuoi film dell'anno?
",formal
"C'est une bonne idée ! C'était sympa de discuter rapidement avec vous ce matin. Profitez du reste de votre journée, mon ami !",È una buona idea! È stato piacevole scambiare qualche parola con Lei questa mattina. Le auguro una buona continuazione di giornata!,"È una buona idea! Beh, è stato divertente e veloce chiacchierare con te questa mattina. Spero che tu ti goda il resto della tua giornata, amico!
",formal
"Oui, cela se tient. As-tu entendu parler de son bunker à 10 millions de dollars ?","Sì, è possibile. Lei ha sentito parlare del suo bunker da 10 milioni di dollari?","Sì, è possibile. Tu hai saputo del bunker da 10 milioni di dollari che ha?
",formal
"vous devez leur enseigner des valeurs comme essayer et persévérer, vous voyez ce que je veux dire ?","Deve insegnare loro valori come lo sforzo e la perseveranza, capisce cosa intendo?","devi insegnare loro valori come provare cose diverse, capisci cosa intendo?
",formal
"tout en étant assis à l'arrière de ta voiture, sans avoir à te concentrer sur la route. Combien d'heures par an passes-tu à conduire alors que tu pourrais utiliser ce temps pour être plus productif ?","Tutto mentre è seduto sul sedile posteriore della Sua automobile, senza dover prestare attenzione alla strada. Quante ore all'anno trascorre guidando mentre potrebbe utilizzare quel tempo per essere più produttivo?","mentre siedi nella parte posteriore dell'auto e non devi concentrarti sulla strada. Quante ore all'anno trascorri alla guida invece di utilizzarle per una maggiore produttività.
",formal
Quel est ton film de Batman préféré ? Le mien est The Dark Knight. J'ai entendu dire que Smallville était initialement censé raconter comment Bruce Wayne est devenu Batman. Mais je crois que c'est devenu Gotham au final.,Qual è il suo film di Batman preferito? Il mio è Il Cavaliere Oscuro. Ho sentito dire che Smallville era inizialmente destinato a raccontare come Bruce Wayne è diventato Batman. Ma credo che alla fine sia diventato Gotham.,"Qual è il tuo film di Batman preferito? Il mio è Il Cavaliere Oscuro. Ho sentito che all'inizio Smallville parlava di Bruce Wayne che diventa Batman. Immagino che sia finita per essere Gotham però.
",formal
"vous savez que je peux connaître votre situation dans un procès dans certains types de situations juridiques. Ce qui compte, c'est de savoir jusqu'où vous êtes prêt à aller",Lei sa che posso conoscere la Sua situazione in un processo in certi tipi di situazioni legali. Ciò che conta è sapere fino a che punto è disposto ad arrivare.,"sai, posso vedere come, quando tu sei in un processo in determinati tipi di situazioni legali. In realtà si tratta solo di sapere se sei disposto ad alzarti affermando di sapere
",formal
Qu'est-ce que tu aimes faire pour t'amuser et pour garder ton esprit occupé ?,Cosa le piace fare per divertirsi e tenere occupata la mente?,"Cosa ti piace fare per divertirti per mantenere la tua attenzione e i tuoi interessi?
",formal
