source,preferred,rejected,attribute
"tu vas devoir étiqueter tous ces vêtements bon marché en provenance de Chine, car les vêtements se situent juste après le pétrole en termes d'empreinte carbone.",あなたは中国から輸入された安価な衣服全てに値札をつける必要があります。衣服は石油に次いで二酸化炭素排出量が多い商品だからです。,"衣類は二酸化炭素排出量が石油に次ぐものであるので、中国から来るこれらすべての安価な衣類に注目する必要がある。
",formal
avez-vous compris ? Avez-vous réussi à vous connecter sur votre téléphone ?,わかりましたか?携帯電話でサインインできましたか?,"わかった？携帯電話のサインインの仕方はわかった？
",formal
Quelqu'un a volé ton nain ? Qui volerait un nain ? Est-ce que c'était le nain de Travelocity qui recherchait un ami ?,小人形を盗まれたのですか?誰が小人形を盗もうとするでしょうか?あれはTravelocityの小人形で、仲間を探していたのでしょうか?,"誰かがノームを盗んだ?誰がノームを盗むの?友達を探しているTravelocityのノームだったのかな?
",formal
"tout en étant assis à l'arrière de ta voiture, sans avoir à te concentrer sur la route. Combien d'heures par an passes-tu à conduire alors que tu pourrais utiliser ce temps pour être plus productif ?",自動運転車の後部座席に座り、道路に集中する必要がなくなれば、運転時間をより生産的に使えるようになります。1年間で何時間運転に費やしていますか?それを別の作業に費やせば良いのではありませんか。,"車の後ろに座っていて、道路に集中する必要はない。 年間の運転時間に対し、生産性がどのように上がるかだ。
",formal
"tu sais, comme si d'une manière ou d'une autre, elles avaient pu les mettre dans le sac et les sortir. Il s'agit d'articles neufs",知っていますか、何らかの方法で、彼女たちがそれらを袋に入れて持ち出すことができたかのようでした。それらは新品の商品なのです。,"どういうやり方かというと、彼らがそれをバッグに詰めて引っ張ってきて、製造したことがない新しい製品をそこに持ち込むだけだ
",formal
"Certainement, avec du maquillage, vous pouvez vraiment vous transformer en quelqu'un d'autre.",確かに、メイクをすれば本当に別人に変身できます。,"おそらく、メイクアップで本当に誰にでも変身できるよ
",formal
"Non, en revenant de Budapest, j'en ai eu l'occasion quand ma grand-mère était encore en vie. Elle a grandi à Budapest.",いいえ、ブダペストから戻ったときに、祖母がまだ生きていた頃にその機会がありました。祖母はブダペストで育ちました。,"いいえ、ブダペストから戻るよ、祖母がまだ生きていたときに実際に機会があったんだ。祖母はブダペストで育ったからね。
",formal
"Au fait, ta fenêtre est-elle ouverte ? Peux-tu la fermer ? Oui, c'est vraiment ennuyeux. Et j'espère que cela facilitera la tâche des personnes qui écoutent.",ところで、あなたの窓は開いていますか?閉めていただけますか?はい、本当に煩わしいことです。そして、聞いている人の役に立つことを願っています。,"ところで、あなたの方の窓、開いている？閉めていただける？うん、すごく鬱陶しい。それで聞いている人が聞きやすくなると良いけど。
",formal
"Les chats sont calmes et ils s'assoient juste sous ton lit et s'ils veulent être caressés, ils te laisseront les caresser",猫は落ち着いていて、ただあなたのベッドの下に座っているだけです。撫でられたいときは、あなたに撫でさせてくれます,"猫はリラックスしていて、ただベッドの下に座っているだけ。それで、触って欲しいと、触らせてくれる
",formal
As-tu joué aux Legos étant petit ?,小さい頃レゴで遊びましたか？,"小さい頃レゴで遊んだ？
",formal
"J'utiliserais un lance-roquettes. LOL, je plaisante. Est-ce que vous regardez le foot ? Apparemment, le foot rapporte plus que tous les autres sports combinés",ロケット砲を使いますでしょう。ちょっと冗談ですよ。サッカーを観ますか?サッカーは他のすべてのスポーツを合わせたよりも多くの収益を上げているそうです。,"ロケット発射装置を使うよ。それは冗談だけど。サッカーは全然見ない?のサッカーは他のスポーツを全部合わせたよりも人気がある
",formal
Ce serait hilarant de voir ce que certains trouveraient. Qu'est-ce que tu utiliserais ? lol,それは面白いでしょうね、人々が何を見つけるかを見るのは。あなたならどのようなものを使いますか?笑,"ある人がどんなことを考え出すかを知ると愉快だね。あなたは何を使うの?
",formal
"C'est tout le contraire. Facebook promet une éternité de jalousie et de haine de soi car Becky et Donna, tes « amies » FB ont de meilleures photos de vacances que toi",まったく逆です。Facebookは、ベッキーやドナのような「Facebook友達」があなたより良い休暇写真を投稿するので、嫉妬と自己嫌悪の永遠を約束します。,"正反対。FBは、永遠に嫉妬したり自己嫌悪に陥ることを約束している。あなたのFBの「友達」のベッキーとダナの休暇の写真は、あなたより素晴らしいからね。
",formal
"Eh bien, les sentiments n'étaient évidemment pas autorisés dans votre famille, tout comme ils ne l'étaient pas vraiment non plus dans la mienne, sauf pour ce qui est de la colère. Nous avons été autorisés à exprimer notre sentiment de colère parce que c'est ce que tout le monde a toujours exprimé,",確かに、私たちの家族では感情を表すことは許されていませんでした。怒りを表すことは許されていましたが、それは誰もが常に怒りを表していたからです。,"そう、私の家族の場合と同じように、あなたの家族ではもちろん感情をそのまま出すことは許されなかった。怒りの感情を除いて。怒りの気持ちを表現することが許されたのは、誰もが表現したことだからだ、
",formal
Et l'électronique ? Avez-vous besoin d'acheter de l'électronique ? Avez-vous acheté des appareils électroniques récemment ?,電化製品はどうですか?電化製品を購入する必要はありますか?最近、電化製品を購入しましたか?,"電子機器はどう？電子機器を購入する必要があると思う？最近、電子機器を購入した？
",formal
"et comment donner le meilleur de soi, vous voyez ce que je veux dire",そして最善を尽くすにはどうしたらよいでしょうか、私の言っていることが分かりますか,"そして、なりうる最高の自分になる方法。分かるでしょ
",formal
"sur l'ordinateur alors que nous discutons avec tes amis, que nous nous occupons de tes enfants ou que nous trainons avec ta bande de copains. Tu sais, c'est une réalité. Beaucoup de personnes se tiennent informées de cette façon.",私たちがあなたの友人と話をしたり、あなたの子供の世話をしたり、あなたの仲間と一緒にいる間でも、パソコンを使っているのは事実です。多くの人がこのような形で情報を得ているのが現実なのです。,"コンピューターで同時に友達のことを確認したり、子供や知っている仲間とやりとりをしたりするのと同じような方法で、多くの人がニュースを入手しているのが現実だ。
",formal
