source,preferred,rejected,attribute
"Oui, tu as raison. Malgré le deuil des étudiants à la suite d'une fusillade survenue la veille, les Républicains ne sont apparus que sur Fox News où aucune question sur le port d'armes ne leur a été posée","Ja, u heeft gelijk. Ondanks dat de studenten rouwden vanwege een massale schietpartij een dag eerder, verschenen de Republikeinen alleen op Fox News, waar ze niet onder druk werden gezet over het toezicht op wapenbezit.","Ja, je hebt gelijk. Ondanks dat de studenten rouwden vanwege een massale schietpartij een dag eerder, verschenen de Republikeinen alleen op Fox, waar ze niet onder druk zouden worden gezet over het toezicht op wapenbezit.
",formal
"tout en étant assis à l'arrière de ta voiture, sans avoir à te concentrer sur la route. Combien d'heures par an passes-tu à conduire alors que tu pourrais utiliser ce temps pour être plus productif ?",terwijl u achterin uw auto zit en u zich niet op de weg hoeft te concentreren. Hoeveel uur besteedt u per jaar aan autorijden terwijl u die tijd productiever zou kunnen gebruiken?,"terwijl je achterin je auto zit en je je niet op de weg hoeft te concentreren. Hoeveel uur je per jaar aan autorijden besteedt tegenover hoe je dat kunt gebruiken om productiever te zijn.
",formal
"Quel est votre préféré ? Aimez-vous Starbucks, aimez-vous Dunkin's, que pensez-vous de ces chaînes de cafés ?","Wat is uw favoriet? Houdt u van Starbucks, houdt u van Dunkin's, wat vindt u van deze koffieketens?","Wat is jouw favoriet? Hou je van Starbucks, hou je van Dunkin's, hoe zit het met die koffieshopketens?
",formal
"Oui, avant je jouais beaucoup à la Nintendo. Et toi ?","Ja, vroeger speelde ik veel op de Nintendo. En u?","Ja, heb ik. Ik heb veel Nintendo gespeeld toen ik jong was. En jij?
",formal
"Oui, vous avez raison. Malgré le deuil des étudiants à la suite d'une fusillade survenue la veille, les Républicains ne sont apparus que sur Fox News où aucune question sur le port d'armes ne leur a été posée","Ja, u heeft gelijk. Ondanks dat de studenten rouwden vanwege een massale schietpartij een dag eerder, verschenen de Republikeinen alleen op Fox News, waar ze niet onder druk werden gezet over het toezicht op wapenbezit.","Ja, je hebt gelijk. Ondanks dat de studenten rouwden vanwege een massale schietpartij een dag eerder, verschenen de Republikeinen alleen op Fox, waar ze niet onder druk zouden worden gezet over het toezicht op wapenbezit.
",formal
vous allez raconter une anecdote de votre vie sexuelle comme si vous vous adressiez à un public et à Peter,U gaat een anekdote over uw seksleven vertellen alsof u zich tot een publiek en Peter richt.,"jullie gaan een verhaal vertellen over jullie seksleven voor een groot publiek en Peter
",formal
"Et que penses-tu de Chris Pratt, d'ailleurs ? C'est drôle qu'il ait considéré travailler de nouveau avec le réalisateur James Gunn pour le nouveau film Les Gardiens de la Galaxie.",En wat vindt u trouwens van Chris Pratt? Het is grappig dat hij erover heeft nagedacht om opnieuw samen te werken met regisseur James Gunn voor de nieuwe film Guardians of the Galaxy.,"Zeg, wat vind je trouwens van Chris Pratt? Het is wel grappig dat hij regisseur James Gunn opnieuw wou aannemen voor de nieuwe Guardians of the Galaxy-film.
",formal
"Alors, ton amie savait-elle que c'est ce qui se passe dans ce genre de confréries ou elle n'en avait aucune idée ?",Wist uw vriendin dan dat dit soort dingen gebeuren in dat soort broederschappen of had zij er geen idee van?,"Dus, wist je vriendin dat dit altijd gebeurt bij deze bijeenkomsten of had ze gewoon geen idee?
",formal
Je vais vous donner la possibilité d'aller à un endroit où vous verrez tous les membres de votre famille.,Ik zal u de mogelijkheid geven om naar een plek te gaan waar u al uw familieleden zult zien.,"Ik zal eens kijken of we naar de plek kunnen gaan waar je al je familieleden zult zien.
",formal
"C'est sûr, ah ah. C'était sympa de discuter avec toi, dis bonjour à tes chats de ma part !","Dat is zeker, haha. Het was leuk om met u te praten, geef mijn groeten aan uw katten!","Zeker, lol. Het was echt leuk jou te spreken. De groetjes aan je katten!
",formal
"arrière grand-père, vous voyez ce que je veux dire, c'est comme ça","Uw overgrootvader, begrijpt u wat ik bedoel, zo is het.","overgrootvader, weet je wat ik bedoel, zo is het
",formal
"Non, je vois que le vôtre est fort alors que le mien est presque plat. Mon volume et mon micro sont au maximum.","Nee, ik zie dat het bij u groot is, en bij mij ziet het er vrijwel plat uit. Mijn volume staat op het maximum en u kent mijn microfoon.","Nee, ik zie dat het bij jou groot is, en bij mij ziet het er vrijwel plat uit. Mijn volume staat op het maximum en je kent mijn microfoon.
",formal
