source,preferred,rejected,attribute
C'est vrai mais je crois que les chats sont plus intelligents que la plupart des politiques. Est-ce que tu peux imaginer un membre de la Chambre faire des divisions posées ?,"É verdade, mas acredito que os gatos são mais inteligentes que a maioria dos políticos. Consegue imaginar um membro do Parlamento a fazer divisões simples?","É verdade mas eu acho que os gatos são mais espertos do que a maioria dos políticos. Consegues imaginar um dos membros da assembleia a fazer divisão longa?
",formal
"vous savez, c'est comme une excursion ou une journée sur le terrain","sabe, é como uma excursão ou um dia no campo","sabes, é tipo uma visita de estudo, um dia de trabalho, sabes um dia de trabalho
",formal
"Eh bien, vous savez, je me demande si les hommes trouvent que c'est une compétition étant donné qu'il a dit « laissez-moi obtenir votre numéro auprès de ma sœur »,","Bem, sabe, eu me pergunto se os homens acham que é uma competição, dado que ele disse ""deixe-me conseguir o seu número com a minha irmã""","Bom, e sabes, pergunto-me se os homens acham que é uma competição de exceder-se tipo ele disse vou ter o teu número pela minha irmã,
",formal
"C'est une bonne idée ! C'était sympa de discuter rapidement avec toi ce matin. Profite du reste de ta journée, mon ami !","É uma boa ideia! Foi um prazer conversar rapidamente consigo esta manhã. Desfrute do resto do seu dia, meu amigo!","Isso é uma boa ideia! Bom, foi divertido e rápido falar contigo esta manhã. Espero que tenhas um bom resto do teu dia, meu amigo!
",formal
"C'est quelque chose à faire, je veux dire que ça vaut le détour, même pour moi qui n'aime pas perdre mon temps.","É sempre algo a fazer, quer dizer, só vale o seu tempo mesmo para mim que não gosto de desperdiçar o meu tempo.","É sempre algo a fazer, quer dizer, só vale o teu tempo tipo eu odeio desperdiçar o meu tempo.
",formal
"la seule chose qui est foutue, c'est que ton week-end et tes vacances sont réservés.",O único problema é que o seu fim de semana e as suas férias estão reservados.,"é só, a única coisa que é foda é, o teu fim de semana e as tuas férias e todas as coisas do género estão reservadas.
",formal
"Non, je vois que le vôtre est fort alors que le mien est presque plat. Mon volume et mon micro sont au maximum.","Não, vejo que o seu volume está alto enquanto o meu está quase baixo. O meu volume e o meu microfone estão no máximo.","Não, eu vejo que o teu é grande e eu vejo o meu como quase plano. O meu volume está no máximo e, sabes, o meu microfone.
",formal
Intéressant. Avez-vous vu ce film ? Moi oui.,Interessante. Viu esse filme? Eu vi-o.,"Interessante. Viste esse filme? Eu vi-o.
",formal
Suis-tu les élections ?,Acompanha as eleições?,"Acompanhas as eleições?
",formal
"En effet, beaucoup de monde a apprécié son émission, donc oui. Aimes-tu Chris Pratt ?","De facto, muita gente apreciou o seu programa, por isso sim. Gosta de Chris Pratt?","Pois foi! Muita gente gosta do programa dele sim. Gostas do Chris Pratt?
",formal
"comme quoi ? Dis-moi à quoi ressemble la vie. Et je lui ai dit, écoute, ça ne marchera pas. Et j'ai dit, fais-moi une faveur. Ne retournes pas dans ton","como o quê? Diga-me como é a vida. E eu disse-lhe, ouça, isso não vai funcionar. E eu disse, faça-me um favor. Não volte para o seu","como o quê? Diz-me como é a vida. E eu disse-lhe, ouve, isso não vai funcionar. E disse, faz-me um favor. Não voltes para o teu
",formal
"Bonjour, aimez-vous les films Disney ?","Olá, gosta dos filmes da Disney?","Olá, gostas dos filmes da Disney?
",formal
"Oui, avant je jouais beaucoup à la Nintendo. Et toi ?","Sim, antes eu jogava muito na Nintendo. E você?","Sim, costumava jogar muito Nintendo em criança. E tu?
",formal
Quelqu'un a volé ton nain ? Qui volerait un nain ? Est-ce que c'était le nain de Travelocity qui recherchait un ami ?,Alguém roubou o seu gnomo? Quem roubaria um gnomo? Era o gnomo da Travelocity que procurava um amigo?,"Alguém roubou o teu gnomo? Quem é que rouba um gnomo? O gnomo da travelocity estava à procura de um amigo?
",formal
"la seule chose qui est foutue, c'est que votre week-end et vos vacances sont réservés.",O único problema é que o seu fim de semana e as suas férias estão reservados.,"é só, a única coisa que é foda é, o teu fim de semana e as tuas férias e todas as coisas do género estão reservadas.
",formal
pensez-vous aimer la famille de votre petit-ami ?,Acha que vai gostar da família do seu namorado?,"achas que gostas da família do teu namorado?
",formal
"Intéressant. Quand on y pense, l'eau produit beaucoup d'énergie.","Interessante. Se pensar nisso, a água produz muita energia.","Interessante. Se pensares nisso, muito poder vem da água.
",formal
"qui devrait fonctionner, parce que je peux juste, tu sais, le matin ou peu importe.","O que deveria funcionar, porque eu posso simplesmente, sabe, de manhã ou quando for.","que deve funcionar porque então posso, sabes, pela manhã ou o que quer que seja.
",formal
"Parce que les chiens demandent beaucoup de travail, ils sont bruyants, font pipi sur le sol, ils détruisent tes affaires et ils sont juste ennuyeux.","Porque os cães dão muito trabalho, são barulhentos, fazem xixi no chão, destroem as suas coisas e são apenas chatos.","Porque os cães dão muito trabalho e são barulhentos e fazem xixi no chão e destroem as tuas coisas, e são só chatos.
",formal
"C'est sûr, ah ah. C'était sympa de discuter avec vous, dites bonjour à vos chats de ma part !","Sem dúvida, ah ah. Foi um prazer conversar consigo, diga olá aos seus gatos da minha parte!","Sem dúvida lol, foi um prazer falar contigo, diz olá aos teus gatos por mim!
",formal
Martin est l'émission préférée de tout le monde. Pourquoi est-ce ton émission préférée ?,Martin é o programa favorito de todos. Por que é que é o seu programa favorito?,"o programa favorito de toda gente é o Martin. Porquê que é o teu programa favorito, o Martin?
",formal
