source,preferred,rejected,attribute
"मेरा मतलब है कि इतनी अविश्वसनीय ख़रीदारी रही, आपको पता है, चॉकलेट से ढके हुए बादाम, मुझे नहीं पता।",そんな信じられないほどの買い物をしたんですね。チョコレートでコーティングされたアーモンドとか、私にはよくわかりません。,"そのような信じられない量のチョコレートをコーティングしたアーモンドを購入するのはどういうわけかわからないという意味だ
",formal
यह दूसरी बात है। आपको तुरंत सोचकर फैसला लेना होता है क्योंकि वे हमेशा ऐसे काम करते हैं जो अप्रत्याशित होते हैं।,それは別の話です。彼らは常に予期せぬことをするので、すぐに考えて判断する必要があります。,"それは別のことだ。彼らはいつも予想外のことをするので、あなたは機転を利かせなければならないんだ。
",formal
"बेशक मैं वह देख पाया था। तुम्हारे पसंदीदा वीडियो गेम कौन से थे? जेन मैकगोनिगल उस अध्ययन के पीछे गेम डिजाइनर थी, बहुत बढ़िया।",もちろん、それを見ることができました。あなたのお気に入りのビデオゲームは何でしたか?ジェン・マクゴニガルはその研究の背後にいたゲームデザイナーでした、素晴らしいですね。,"それは見逃さなかったよ。どのテレビゲームが好き?その研究の背後にいるのはJane McGongiaiというゲームデザイナーだったけど、最高だったね。
",formal
"शायद, सचमुच मेकअप से आपको किसी का भी रूप दिया जा सकता है",おそらく、メイクアップで本当に誰にでも変身できます,"おそらく、メイクアップで本当に誰にでも変身できるよ
",formal
सच है लेकिन मेरे विचार से नेताओं के मुकाबले में बिल्लियां ज़्यादा समझदार होती हैं। क्या आपने अपने नेता को लंबा विभाजन करते देखा है?,確かに、私の考えでは、政治家よりも猫の方が賢明だと思います。政治家が長除算をするところを見たことがありますか?,"確かに。でも猫はほとんどの政治家よりも頭がいいと思う。平均的な議員が長除法をやっているのを想像できる?
",formal
"अपने हालात को समझाना जरूरी है। टीवी पर कुछ दिखाना केवल हाथ मिलाने जैसा नहीं है, बल्कि उनसे मिलने वाले संदेश भी बहुत जरूरी होते हैं।",状況を説明することが重要です。テレビで何かを見せるのは単に手を振るだけではなく、それから伝わるメッセージも非常に重要なのです。,"自分の立場を明らかにすることが重要だ。握手をテレビで映し出すだけじゃなくて、メッセージが非常に重要だ。
",formal
तो आपके कितने चाची और चाचा हैं,あなたにはおば(伯母)とおじ(伯父)が何人いますか?,"じゃあ叔母と叔父は何人いるの
",formal
हाँ मैं तुमसे सहमत हूँ! मैं YouTube लगभग रोज देखता हूँ। मुझे यकीन नहीं होता है कि 2006 में Google ने 1.65 बिलियन डॉलर में YouTube को खरीदा। लगता है जैसे बहुत पहले की बात है,はい、同感です!私もYouTubeをほぼ毎日見ています。2006年にGoogleが16.5億ドルでYouTubeを買収したことが信じられません。とてもずっと前のことのように感じます。,"同感だよ!ほとんど毎日YouTubeを見ている。Googleが2006年にYouTubeを16億5000万ドルで買収したなんて信じられない。遠い昔に感じるよ。
",formal
इलेक्ट्रॉनिक्स के बारे में क्या ख्‍़याल है? क्या तुम्हेंं लगता है कि तुम्हेंं इलेक्ट्रॉनिक्स ख़रीदने की ज़रूरत है? क्या तुमने हाल ही में कोई इलेक्ट्रॉनिक्स ख़रीदा है?,電化製品についてはどう思いますか?電化製品を購入する必要があると思いますか?最近電化製品を購入しましたか?,"電子機器はどう？電子機器を購入する必要があると思う？最近、電子機器を購入した？
",formal
"मैं सोचता हूँ कि खिलाड़ियों को खेल में जाने के लिए क्या चीज आकर्षित करती है। शायद यह पेचीदगी है, या शायद अपना खुद का व्यक्तिगत अंदाज़ बनाने का मौका।",何がプレーヤーをゲームに引き付けるのでしょうか。おそらくそれは複雑さや、自分の個人的なスタイルを作るチャンスがあるからでしょう。,"何がプレーヤーをゲームに引き付けるのだろう。 おそらくそれは複雑さや自分の個人的なスタイルを作るチャンスがあるからだ。
",formal
