source,preferred,rejected,attribute
"ma i loro prezzi sono straordinari, e poi hanno così tante cose che Lei dovrebbe proprio provare","Aber ihre Preise sind außergewöhnlich und sie haben so viele Dinge, die Sie wirklich ausprobieren sollten.","Aber ihre Preise sind einfach so großartig, und dann haben sie so viele Dinge, die du einfach irgendwie ausprobieren musst.
",formal
E avevano un mercato proprio come la sua soluzione,"Und sie hatten einen Markt, genau wie Ihre Lösung.","Und sie hatten einen Markt, genau wie deine Lösung.
",formal
Davvero? Trovo che guidare nei videogiochi sia più difficile che guidare su strada con una macchina vera. Immagino come possa aiutarti con le tue abilità di guida.,"Wirklich? Ich finde, dass Autofahren in Videospielen schwieriger ist als auf der Straße mit einem echten Auto zu fahren. Ich kann mir vorstellen, wie es Ihnen bei Ihren Fahrkünsten helfen könnte.","Bist du wirklich? Ich finde das Fahren in Videospielen schwieriger als das Fahren auf der Straße in einem echten Auto. Ich kann verstehen, wie es dir bei deinen fahrerischen Fähigkeiten helfen könnte.
",formal
"Beh, immagino che Lei ce l'abbia  nel sangue allora.","Nun, ich denke, dann liegt Ihnen das wohl einfach im Blut.","Nun, ich denke, dann liegt dir das wohl einfach im Blut.
",formal
Forse il trucco può davvero trasformarLa in quasi chiunque,Wahrscheinlich kann Make-up Sie wirklich in fast jede Person verwandeln.,"Wahrscheinlich, Make-up kann dich wirklich in fast jede Person verwandeln.
",formal
Non posso nemmeno immaginare di lavorare così duramente per un ruolo e non ottenerlo! Ho guardato Ironman fino alla fine. E tu?,"Ich kann mir gar nicht vorstellen, so hart für eine Rolle zu arbeiten und sie dann nicht zu bekommen! Ich habe Ironman bis zum Ende gesehen. Wie ist es bei Ihnen?","Ich kann mir nicht vorstellen, so hart für eine Rolle zu arbeiten und sie dann nicht zu bekommen! Ich habe Iron Man bis zum Ende gesehen. Was ist mit dir?
",formal
"È vero, è cresciuto ed è diventato un vero eroe! Chi era il tuo Batman preferito?","Es ist wahr, er ist erwachsen geworden und zu einem echten Helden geworden! Wer war Ihr Lieblings-Batman?","Das ist wahr. Er wurde erwachsen und ein richtiger Held. Wer war dein Lieblings-Batman?
",formal
"Che mi dice del suo team, mi ha detto di avere un ottimo rapporto con i suoi colleghi.","Was können Sie mir über Ihr Team sagen, Sie haben mir erzählt, dass Sie ein ausgezeichnetes Verhältnis zu Ihren Kollegen haben.","Was ist mit deinem Team, du hast erwähnt, dass du ein ziemlich gutes Verhältnis zu deinen Kollegen hast.
",formal
"ma ho capito come ti senti riguardo al tuo rapporto con loro. È come se ti sentissi in obbligo, ritieni che la tua relazione","Aber ich habe verstanden, wie Sie sich bezüglich Ihres Verhältnisses zu ihnen fühlen. Es ist, als ob Sie sich verpflichtet fühlen, Sie denken, dass Ihre Beziehung","aber ich habe verstanden, wie du dich bezüglich deines Verhältnisses zu ihnen fühlst. Es ist einfach so, du hast eine Beziehung, du denkst wie deine Beziehung
",formal
"Non credo ci sia davvero niente di sbagliato in questo. Ma se Le dicessi che sta danneggiando l'economia, questo cambierebbe la sua opinione? E non sto dicendo che sia così","Ich glaube nicht, dass wirklich etwas daran falsch ist. Aber wenn ich Ihnen sagen würde, dass es der Wirtschaft schadet, würde das Ihre Meinung ändern? Und ich sage nicht, dass es so ist.","Ich denke nicht, dass da irgendetwas falsch daran ist. Aber, wenn ich dir sagen würde, es schädigt die Wirtschaft, würde das deine Meinung überhaupt ändern? Und ich sage nicht, dass es
",formal
"Comunque, scusa se non ho visto la tua domanda sul pesce. Ho provato a tenere pesci rossi come animali domestici diverse volte nel corso degli anni. Ho avuto anche un serpente da compagnia, una volta. Quanto era grande il tuo pitone?","Entschuldigen Sie bitte, dass ich Ihre Frage über den Fisch nicht gesehen habe. Ich habe mehrmals im Laufe der Jahre versucht, Goldfische als Haustiere zu halten. Ich hatte auch einmal eine Hausschlange. Wie groß war Ihr Python?","Entschuldigung übrigens, ich habe deine Frage zu Fischen nicht gesehen. Ich habe über die Jahre mehrmals versucht, Goldfische als Haustiere zu halten. Ich hatte auch mal eine Kornnatter als Haustier. Wie groß war deine Python?
",formal
Potrebbero essere nella sua soffitta se non è ben ventilata.,"Es könnte sein, dass sie in Ihrem Dachboden sind, wenn er nicht gut belüftet ist.","Sie könnten auf deinem Dachboden sein, wenn er nicht gut belüftet ist.
",formal
Interessante. Ha visto quel film? Io sì.,Interessant. Haben Sie diesen Film gesehen? Ich schon.,"Interessant. Hast du den Film gesehen? Ich habe ihn gesehen.
",formal
"È così, semplicemente. Quali sono le aspirazioni dei tuoi genitori per te?",Es ist einfach so. Welche Aspirationen haben Ihre Eltern für Sie?,"Das ist nur so. Was würden deine Eltern sich wünschen, dass du bist?
",formal
TZ non si smentisce mai. Ha visto il film Revenant - Redivivo? Era un film del 1971 sulla sopravvivenza nelle aree disabitate. Leo ha fatto un ottimo lavoro.,TZ enttäuscht nie. Haben Sie den Film Revenant - Redivivo gesehen? Es war ein Film von 1971 über das Überleben in unwirtlichen Gebieten. Leo hat einen tollen Job gemacht.,"Ich mag TZ immer. Hast du den Film The Revenant gesehen? Es war ein Film von 1971, in dem es um das Überleben in der Wildnis geht. Leo hat tolle Arbeit geleistet.
",formal
Il Sole sta bloccando il suo segnale internet stasera?,Blockiert die Sonne heute Abend Ihr Internetsignal?,"Blockiert die Sonne heute Abend dein Internetsignal?
",formal
"Anche a me non piaceva la serie, amavo Seinfeld e Frasier, non ho mai guardato Friends fino a quando non sono iniziate le repliche. Il mio programma preferito in tv è Criminal Minds, qual è il tuo?","Auch mir gefiel die Serie nicht, ich liebte Seinfeld und Frasier, ich habe Friends nie gesehen, bis die Wiederholungen kamen. Meine Lieblingssendung ist Criminal Minds, was ist Ihre?","Ich mochte die Sendung auch nicht, Seinfeld und Frasier habe ich geliebt, Friends habe ich nie wirklich angeschaut, bis die Wiederholungen gezeigt wurden. Meine Lieblingsserie ist Criminal Minds, was ist deine Lieblingsserie?
",formal
"Ok, tutto chiaro. Entri nel suo appartamento o li lasci entrare. In modo che, sa, possa andare avanti per sempre. Guardi, non so quanto durerà","Okay, alles klar. Sie lassen sie in Ihre Wohnung oder Sie gehen zu ihnen rein. Damit es, wissen Sie, für immer so weitergehen kann. Schauen Sie, ich weiß nicht, wie lange es dauern wird.","Okay, die Luft ist rein für dich. Geh in dein Apartment oder lass sie rein. Also das, weißt du, das geht so weiter. Schau, ich weiß nicht, wie lange es
",formal
