source,preferred,rejected,attribute
"potrebbe solo vedere, potrebbe essere più una cosa dove Lei torna a casa, i suoi figli sono accuditi, dove sono stati","Podría ser solo ver, podría ser más una cosa donde usted regresa a casa, sus hijos son atendidos, dónde han estado.","lo puedes ver, existiría donde llegaras a casa, tus hijos están a buen recaudo, donde hayan estado
",formal
"No, ha una bella voce! Sai che Stephen Fry è anche un narratore nei giochi, è la voce narrante in alcuni giochi","No, ¡tiene una voz preciosa! ¿Sabía usted que Stephen Fry también es narrador en los videojuegos? Es la voz narradora en algunos juegos.","No. Tiene una voz estupenda. ¿Sabías que Stephen Fry también es narrador de juegos? Él narró la voz para algunos juegos.
",formal
"(Beh, ricordo che) ho una domanda per te. Ne hai delle altre? il modo migliore per spiegare è spiegare come funziona la mia città","(Bueno, recuerdo que) tengo una pregunta para usted. ¿Tiene alguna otra? La mejor manera de explicarlo es explicar cómo funciona mi ciudad.","(Bueno, lo recuerdo) Tengo una pregunta para ti. ¿Tuviste varios?, la mejor manera de explicar es explicar cómo funciona mi ciudad
",formal
"Questa è una buona osservazione! La cosa spaventosa della nostra traiettoria attuale è che la Terra sarà senza elio entro l'anno 2100. So che lo ami molto, essendo importante per la fabbricazione di prodotti quindi non so cosa faremo","¡Esta es una buena observación! Lo aterrador de nuestra trayectoria actual es que la Tierra se quedará sin helio para el año 2100. Sé que lo ama mucho, ya que es importante para la fabricación de productos, así que no sé qué haremos.","Es una buena observación. Lo que da miedo de nuestra trayectoria actual es que la Tierra se quedará sin helio para el año 2100, sé que lo amas, es muy importante para fabricar cosas, así que no sé qué haremos.
",formal
"e ordinano tutti i prodotti che distribuiscono e che sono esauriti, sai cose nuove","y piden todos los productos que distribuyen y que están agotados, ya sabe, cosas nuevas","y ellos ordenan todos los productos que distribuyen y están agotados, ya sabes, traen las cosas nuevas
",formal
"cosa? Dimmi com'è la vita. E a lui ho detto, ascolta, non funzionerà. E ho detto, fammi il favore. Non tornare al tuo","¿Qué? Dígame cómo es la vida. Y le dije, escuche, no funcionará. Y dije, hágame el favor. No vuelva a lo suyo.","¿cómo qué? Cuéntame cómo es la vida. Y le dije: escucha, esto no va a funcionar. Y le dije: hazme un favor. No vuelvas a tu
",formal
Mi è piaciuta in La bella e la bestia. È su Netflix se ce l'ha. Mi ricorda momenti dell'infanzia,Me gustó en La bella y la bestia. Está en Netflix si la tiene. Me recuerda momentos de mi infancia,"A mí me gustó en La bella y la bestia. Está en Netflix, si tienes acceso. Trae recuerdos de la infancia
",formal
"Ok, tutto chiaro. Entri nel suo appartamento o li lasci entrare. In modo che, sa, possa andare avanti per sempre. Guardi, non so quanto durerà","De acuerdo, todo claro. Entra en su apartamento o les deja entrar. De modo que, ya sabe, pueda continuar para siempre. Mire, no sé cuánto durará","Bien, está todo despejado. Métete en tu apartamento o déjalos entrar. Así que, ya sabes, esto se hace eterno. Mira, no sé cuánto tiempo va a
",formal
"Sì, oppure sul suo telefono. Quindi roba super funky. Penso sia il modo migliore per descriverlo: funky.","Sí, o en su teléfono. Así que algo súper funky. Creo que es la mejor manera de describirlo: funky.","Sí, o en tu teléfono. Así que, ya sabes, cosas superdivertidas. Creo que esa es la mejor manera de describirlo, como divertido.
",formal
"Sì, è possibile. Tu hai saputo del bunker da 10 milioni di dollari che ha?","Sí, es posible. ¿Ha oído del búnker de 10 millones de dólares que tiene?","Sí, tiene sentido. ¿Has oído lo del búnker de 10 millones de dólares que tiene?
",formal
"È preoccupato che in futuro, quando avrà i dispositivi intelligenti, i suoi figli possano dire: Oh! Mi piacerebbe ordinare un qualcosa da Amazon e poi, ehi così e così","Está preocupado de que en el futuro, cuando tenga dispositivos inteligentes, sus hijos puedan decir: ""¡Oh! Me gustaría ordenar algo de Amazon y luego, hey así y asá""","¿Te preocupa que en el futuro, cuando tengas los dispositivos inteligentes, tus hijos digan: ""Oh. Me encantaría pedir una manta de Amazon"", y luego digan: ""Hey, tal y tal""
",formal
"Sì, lo so, giocavo molto con il Nintendo da piccolo. E tu?","Sí, lo sé, de pequeño jugaba mucho con Nintendo. ¿Y usted?","Sí, jugaba mucho a la Nintendo en mi infancia. ¿Y tú?
",formal
"Quando ce l'ha, quando ha un figlio di cui è responsabile, deve organizzarsi.","Cuando lo tenga, cuando tenga un hijo del que sea responsable, deberá organizarse.","Cuando lo hagas, cuando tengas un hijo del que seas responsable, tendrás que ponerte las pilas.
",formal
"Ma se tu, se uno si prende il tempo per guardare, allora sarà come... Oh, okay, sì, nessun problema, ma se tu non hai guardato allora io posso dirtelo.","Pero si usted, si uno se toma el tiempo de mirar, entonces será como... Oh, claro, sí, no hay problema, pero si usted no ha mirado, entonces yo puedo decírselo.","Pero si tú, si la persona se toma el tiempo de mirar, entonces estará como: oh, claro, sí, no hay problema, pero si no miraste, entonces, te puedo decir.
",formal
"Mi dispiace, sì, quindi è piuttosto interessante. Allora, qual è stata la tua esperienza all'estero?","Lamento eso, sí, es bastante interesante. Entonces, ¿cuál fue su experiencia en el extranjero?","Lo siento, sí, y es muy interesante. ¿Cuál ha sido tu experiencia al viajar al extranjero?
",formal
Buongiorno. Come vanno i tuoi investimenti oggi?,Buenos días. ¿Cómo van sus inversiones hoy?,"Buenos días. ¿Cómo van tus inversiones hoy?
",formal
"Sì, lo capisco, la gente vuole ritagliarsi la propria identità. Il jazz è piuttosto vasto. Potresti trovare qualcosa che ti piace.","Sí, lo entiendo, la gente quiere forjarse su propia identidad. El jazz es bastante amplio. Podría encontrar algo que le guste.","Sí, entiendo. La gente quiere forjar su propia identidad. El jazz es bastante grande. Podrías encontrar algo ahí para llamarlo propio.
",formal
"Grazie, e si goda la giornata. Giochi a Gran Turismo e diventi famoso!","Gracias, y que disfrute su día. ¡Juegue a Gran Turismo y hágase famoso!","Gracias, que disfrutes del día, juega a Gran Turismo y hazte famoso.
",formal
Allora mi parli del suo migliore amico d'infanzia.,"Entonces, hábleme de su mejor amigo de la infancia.","Cuéntame sobre tu mejor amiga de la infancia.
",formal
Conosco qualcuno che ha lavorato da Bubba Gump. È stato un piacere chiacchierare con te!,Conozco a alguien que trabajó en Bubba Gump. ¡Ha sido un placer charlar con usted!,"Sé que a algunos les gusta que trabajara en Bubba Gump. ¡Ha estado bien hablar contigo!
",formal
"Mi chiedo se si ottengono crediti extra se ci si fa crescere i capelli per quel corso, haha. Ho svolto un corso di mitologia e fantasia all'università. È stato abbastanza positivo.","Me pregunto si se obtienen créditos extras si uno se deja crecer el cabello para ese curso, ja ja. Tomé un curso de mitología y fantasía en la universidad. Fue bastante positivo.","Me pregunto si te dan puntos extra si te dejas crecer el pelo para esa clase. Ja, ja, he tenido clase de mitología y fantasía en el instituto. Ha estado bastante bien.
",formal
Il Sole sta bloccando il suo segnale internet stasera?,¿El sol bloquea su señal de Internet esta noche?,"¿El sol bloquea tu señal de Internet esta noche?
",formal
"Bene, il pagamento è andato a buon fine. Grazie per aver scelto AMC, buona visione. Buon divertimento.","Bien, el pago se ha realizado correctamente. Gracias por elegir AMC, que disfrute de la película. Que se divierta.","Muy bien, el pago se ha realizado. Gracias por elegir AMC, disfruta de tu película. Que te diviertas.
",formal
"potresti solo vedere, potrebbe essere più una cosa dove tu torni a casa, i tuoi figli sono accuditi, dove sono stati","Podría solo ver, podría ser más una cosa donde usted vuelve a casa, sus hijos son atendidos, donde han estado.","lo puedes ver, existiría donde llegaras a casa, tus hijos están a buen recaudo, donde hayan estado
",formal
deve essere uno spettacolo fantastico vederlo mangiare. Un buon modo per sbarazzarsi dei suoi nemici! Ahahah,Debe ser un espectáculo fantástico verlo comer. ¡Una buena manera de deshacerse de sus enemigos! Ahahah,"Debe ser un espectáculo impresionante verlo comer, una buena manera de deshacerte de tus enemigos, LOL.
",formal
Qual è stata la sua cosiddetta ultima casa. Mi pare Puerto Rico.,¿Cuál fue su supuesta última residencia? Me parece que fue Puerto Rico.,"Cuál fue el último que sería tu hogar Ese sería Puerto Rico.
",formal
"Oh, mio Dio! Le piace il jazz?","¡Oh, Dios mío! ¿Le gusta el jazz?","Oh, por Dios. ¿Te gusta el jazz?
",formal
"Mi chiedo se si ottengono crediti extra se ci si fa crescere i capelli per quel corso, haha. Ho svolto un corso di mitologia e fantasia all'università. È stato abbastanza positivo.","Me pregunto si se obtienen créditos extras si uno se deja crecer el cabello para ese curso, jaja. Tomé un curso de mitología y fantasía en la universidad. Fue bastante positivo.","Me pregunto si te dan puntos extra si te dejas crecer el pelo para esa clase. Ja, ja, he tenido clase de mitología y fantasía en el instituto. Ha estado bastante bien.
",formal
"Compagnia aerea, posso cancellare il mio viaggio senza annullare? In che modo l'annullamento potrebbe influire sul suo lavoro ? Annullamento, ok vuole cancellare il suo viaggio? Se desidera cancellare il suo volo può contattarci via e-mail o telefono.","Compañía aérea, ¿puedo cancelar mi viaje sin anularlo? ¿De qué manera la anulación podría afectar su trabajo? Anulación, ¿de acuerdo, quiere cancelar su viaje? Si desea cancelar su vuelo, puede contactarnos por correo electrónico o teléfono.","Aerolínea, ¿puedo cancelar mi viaje sin cancelar? ¿Cómo puede afectar la cancelación a tu trabajo? Cancelar, vale, ¿quieres cancelar tu viaje? Si quieres cancelar tu vuelo puedes ponerte en contacto con nosotros por correo electrónico o por teléfono.
",formal
Parliamo del suo ristorante preferito molto interessante,"Hablemos de su restaurante favorito, muy interesante","Hablemos de tu restaurante favorito, muy interesante
",formal
