source,preferred,rejected,attribute
"Sì, è piuttosto interessante. Hai visto I Goonies?","Oui, c'est plutôt intéressant. Avez-vous vu Les Goonies ?","Oui, c'est intéressant. As-tu vu les Goonies ?
",formal
"Lo fanno, anche a Bloomingdale, prendono anche loro, restituiranno il suo trucco e roba del genere,","Ils le font aussi, même à Bloomingdale, ils prennent aussi, ils vous rendront votre maquillage et ce genre de choses,","Ils le font, même à Bloomingdale, ils te reprennent le maquillage et tout le reste,
",formal
Questo è molto bello. Ti piace osservare gli uccelli?,C'est très beau. Aimez-vous observer les oiseaux ?,"C'est plutôt cool. Aimes-tu observer les oiseaux ?
",formal
Sono disposti a partecipare a quella parte della sua vita.,Ils sont prêts à participer à cette partie de votre vie.,"Sont-ils prêts à prendre part à cette partie de ta vie.
",formal
"Era il mio soprannome! Non perché sono vecchio quanto Shakespeare... visto che era vivo ai tempi di Pocahontas, che è un po' più vecchia di me. Qual è la tua opinione su Shakespeare?","C'était mon surnom ! Pas parce que je suis aussi âgé que Shakespeare… étant donné qu'il vivait au temps de Pocahontas, ce qui remonte à loin. Que pensez-vous de Shakespeare ?","C'était mon surnom ! Pas parce que je suis aussi âgé que Shakespeare… étant donné qu'il vivait au temps de Pocahontas, ce qui remonte à loin. Que penses-tu de Shakespeare ?
",formal
Solo un viaggetto! Qual è la tua marca di scarpe preferita?,"Juste une petite virée ! Quelle est votre marque de chaussures préférée ?}

La traduction utilise le pronom ""votre"" pour conserver un style formel.","Juste un petit voyage ! Quelle est ta marque de chaussures préférée ?
",formal
"Lo so, non l'ho visto. Che fortuna trovare nella soffitta di tuo nonno delle figurine di baseball  che valgono 3 milioni di dollari! Bella chiacchierata!","Je sais, je ne l'ai pas vu. Quelle chance de trouver dans le grenier de votre grand-père des cartes de baseball valant 3 millions de dollars ! Belle conversation !","Je sais, je ne l'ai pas vu. Quelle chance de trouver des cartes de baseball d'une valeur de 3 millions de dollars dans le grenier de ton grand-père ! Merci pour le chat !
",formal
"è stato un viaggio divertente, quali sono i tuoi ricordi più belli di quel viaggio?","C'était un voyage amusant, quels sont vos meilleurs souvenirs de ce voyage ?","c'était un voyage amusant. Quels sont tes meilleurs souvenirs de ce voyage ?
",formal
"È preoccupato che in futuro, quando avrà i dispositivi intelligenti, i suoi figli possano dire: Oh! Mi piacerebbe ordinare un qualcosa da Amazon e poi, ehi così e così","Êtes-vous inquiet qu'à l'avenir, lorsque vos enfants auront des appareils intelligents, ils puissent dire : ""Oh ! J'aimerais commander quelque chose sur Amazon et puis, hé comme ci ou comme ça"" ?","Es-tu préoccupé à l'idée qu'à l'avenir, tes enfants puissent dire « Oh ! J'adorerais commander une couverture sur Amazon, et puis ça et ça... » sur tes appareils connectés ?
",formal
"Non credo di averli visti. Non seguo molto la serie Marvel. So che Chris Pratt ha un ruolo in una serie televisiva, Parks and Recreation. L'ha vista?","Non, je ne crois pas les avoir vus. Je ne suis pas trop la série Marvel. Je sais que Chris Pratt a un rôle dans une série télévisée, Parks and Recreation. L'avez-vous vue ?","Je ne crois pas les avoir vus. Je ne suis pas les séries Marvel assidûment. Je sais que Chris Pratt joue un rôle dans une série télévisée, Parcs et Loisirs. L'as-tu regardée ?
",formal
Potrebbero essere nella sua soffitta se non è ben ventilata.,Ils pourraient être dans votre grenier si celui-ci n'est pas bien ventilé.,"C'est peut-être dans ton grenier si ce n'est pas bien aéré.
",formal
"(Beh, ricordo che) ho una domanda per te. Ne hai delle altre? il modo migliore per spiegare è spiegare come funziona la mia città","(Eh bien, je me souviens que) j'ai une question à vous poser. En avez-vous d'autres ? La meilleure façon d'expliquer est de vous dire comment fonctionne ma ville.","(Ah oui, je me souviens) J'ai une question pour toi. En avais-tu plusieurs ? La meilleure façon de faire est d'expliquer comment fonctionne ma ville
",formal
