source,preferred,rejected,attribute
Davvero? Chi l'ha fatto? Sembra che si senta sempre parlare di grandi nomi che rifiutano le parti e poi alla fine i film risultano un successo.,本当ですか?誰がそれをしたのですか?大物が役を断ったあと、その映画が大ヒットするという話をよく耳にするようですね。,"本当に？どの映画がそうなった？有名人が役を引き受けなくても、その映画の出来が素晴らしいことはよくあるようだね。
",formal
"ci saranno sempre soldi là fuori, ci sarà sempre qualche nuova iniziativa, ci saranno sempre nuove cose da fare ma non avere una famiglia e non poter contare su quel sostegno che significa tutto, capisce?",お金は世の中にいつもあり、新しい取り組みもいつもあり、新しいことをする機会もいつもありますが、家族がいなくてその支えがないということは、全てを意味します。分かりますか?,"世の中には常にお金があって、常に新しいキャンペーンがあって、やることのできる新しいことは常にあるけど、その家族がそこにいて、支えてくれることこそがすべてだよね。
",formal
"Sì, l'idea dell'inchino viene da quando un cavaliere alza la visiera.",はい、お辞儀の起源は、騎士が兜の面をあげることに由来しているそうです。,"そうだよ。帽子を上げるのは、騎士が面頬を上げるのが起源だ。
",formal
"Sì, puoi semplicemente sbarazzartene, voglio dire per tagliare le spese.",はい、それを取り除くことができます。つまり、コストを削減するということです。,"ええ、あなたはそれを取り除くことができる、コスト削減につながる。
",formal
"Voglio dire, in termini di ospitalità, cosa ne pensa dei ristoranti? Ad esempio, se Lei va al ristorante, è il suo compleanno. Dove va? Sceglie un posto qualsiasi in ogni caso,",おもてなしの観点から、レストランについてはどう思われますか?例えば、あなたの誕生日の時、どこのレストランに行きますか?特に場所は決まっていないのですか。,"おもてなしという意味では、レストランについてどう思う？自分の誕生日でレストランに出かけるとしたら、どこに行く？どこでも自由に選べるとしたら、
",formal
"Che mi dice del suo team, mi ha detto di avere un ottimo rapporto con i suoi colleghi.",チームについてはどうですか。同僚とは良好な関係を築いていると伺いました。,"それで、あなたのチームはどう、あなたは同僚とかなり良い関係を保っていると言ったよね。
",formal
"Anch'io, cosa ne pensa di Fox News? A quanto pare sono più seguiti di msnbc e cnn messi insieme.",フォックスニュースについてはどう思われますか?彼らはMSNBCとCNNを合わせたよりも多くの視聴者を持っているようです。,"私もだよ。FOXニュースについてどう思う?明らかにmsnbcとcnnを合わせたよりも視聴者が多いよね。
",formal
"Sì, probabilmente. Anche io amo lo hobbit. La maggior parte dei nomi dei personaggi sono stati presi da un antico poema islandese chiamato Dvergatal.",はい、おそらくそうでしょう。私も『ホビット』が大好きです。ほとんどの登場人物の名前は、古代アイスランドの詩『ドヴェルガタル』から取られています。,"そうしただろうね。ホビットも好きだよ。ほとんどの登場人物の名前は、Dvergatalって言うアイスランドの古い詩から取られている。
",formal
E sono curioso di sapere se i suoi amici in Israele erano americani o erano israeliani?,そして、イスラエルのあなたの友達がアメリカ人なのか、それともイスラエル人なのか興味があります。,"そして、イスラエルのあなたの友達がアメリカ人なのか、それともイスラエル人なのか興味があるよ。
",formal
Non sono conformista ma amo le scarpe. Sapeva che ci sono almeno 17 modi per allacciarsi le scarpe?,私は常識に従うタイプではありませんが、靴が大好きです。靴ひもを結ぶ方法は少なくとも17通りあることをご存知でしたか?,"そこまでではないけど、靴は好きだよ。靴の紐の結び方が最低でも17種類あるって知ってた?
",formal
mentre Lei siede nella parte posteriore dell'auto e non deve concentrarsi sulla strada. Quante ore all'anno trascorre alla guida invece di utilizzarle per una maggiore produttività.,あなたは車の後部座席に座り、道路に集中する必要がありません。運転する代わりに、生産性を高めるためにその時間を使えば、年間何時間節約できるでしょうか。,"車の後ろに座っていて、道路に集中する必要はない。 年間の運転時間に対し、生産性がどのように上がるかだ。
",formal
"Sì, molti di loro sono in realtà sordi. A proposito, cosa ne pensi di Elon Musk? So che è un cambio di argomento ahah",はい、実際に多くの人が聾者です。ところで、イーロン・マスクについてはどう思いますか?話題が変わってしまいましたね、あはは。,"実はほとんどは耳が聞こえないらしい。ところで、イーロン・マスクについてどう思う?ものすごい話題の転換だけどね
",formal
"Che ne dice della pallacanestro, Le piace di più?",バスケットボールはどうですか?それの方がお好みですか?,"バスケットボールはどう？もっと興味がある？
",formal
"ma era strano avere così tanto tempo nel tardo pomeriggio, sai e avere giornate lavorative complete.",しかし、午後遅くにそれほど長い時間があり、しかも完全な労働日があるのは変でしたね。,"でも午後遅くにあんなに時間があるなんて変な感じだった、分かるでしょ、そのあとは一日中仕事の日が来る。
",formal
"No, quindi la tua amica sta lì permanentemente? dove stanno i bambini? e come è il suo rapporto con il marito? e come vanno le cose lì? a causa del lavoro o lui è più vicino alla sua famiglia?",いいえ、そうすると、あなたの友人はそこに永住していますか?子供たちはどこにいますか?そして、夫との関係はどうですか?そこでは状況はどうですか?仕事のせいで、それとも、家族に近づいていますか?,"いいえ、それではあなたの友人はずっとそこにいるのね。子供たちはどこにいて、彼女の夫との関係はどうなの、仕事の面ではどうなの、または夫と家族の関係は前より良くなったの。
",formal
"In effetti mi piacevano davvero le sue idee, mi sono detto come mai qualcuno potesse avere tali idee senza occupare una posizione di potere, ma, sa",実のところ、私はその方のアイデアが本当に気に入りました。権力の座にいない人がどうしてそんなアイデアを持てるのか不思議に思いましたが、ご存知の通り,"うん、あなたのアイデアが本当に好きだった。なぜ権力のある立場の人が、そのようなアイデアを考えないのかと思ったが、なにしろ
",formal
Vado alla grande. Com'è stata la sua giornata finora?,私の方は上々です。あなたの今日の1日はいかがでしたか?,"私は元気だ。今日はどうだった？
",formal
"Lo so, e se ci pensi non ci vuole molto tempo, devi solo incorporarli come abitudini nella tua routine.",分かります。そう考えると、それほど時間はかからないと思います。習慣として日課に組み込めばよいのです。,"そうだね、考えてみれば時間はかからないし、習慣として取り入れればいいのだから。
",formal
"Wow, è impressionante! Hai capito che gli aerei viaggiano il 10% più lentamente al giorno d'oggi? Lo fanno per risparmiare carburante, ma così giungi anche più lentamente a destinazione",すごいですね!現在、航空機は燃料を節約するために従来より10%遅い速度で飛行していることをご存知でしたか?そのため、目的地に到着するのも遅くなります。,"それは素晴らしい!最近、飛行機は10%速度を落としているのに気づいた?燃料を節約するためだけど、目的地に着くのも遅くなるよね。
",formal
"Sì, l'idea dell'inchino viene da quando un cavaliere alza la visiera.",はい、おじぎの起源は、騎士が兜の覆面を上げるところから来ているそうです。,"そうだよ。帽子を上げるのは、騎士が面頬を上げるのが起源だ。
",formal
"(Beh, ricordo che) ho una domanda per Lei. Ne ha delle altre? il modo migliore per spiegare è spiegare come funziona la mia città",(はい、思い出しました)あなたに質問があります。他にも質問はありますか?私の町の仕組みを説明するのが一番良い説明の仕方だと思います。,"(そうだ、思い出した) あなたに質問がある。私の町が機能する方法を説明する一番良い方法は複数ある？
",formal
"Non ne ho uno preferito, ma ce ne sono diversi che mi piacciono. E a te?",お気に入りの映画は特にありませんが、好きな映画はいくつかあります。あなたは好きな映画はありますか?,"お気に入りのものはないが、いくつか好きなものはあるよ。あなた自身はどう？
",formal
E sono curioso di sapere se i tuoi amici in Israele erano americani o erano israeliani?,あなたのイスラエルの友人たちがアメリカ人だったのかイスラエル人だったのか、興味があります。,"そして、イスラエルのあなたの友達がアメリカ人なのか、それともイスラエル人なのか興味があるよ。
",formal
"e io dicevo, ehi vuoi prendere qualcosa dal menu e stai guardando il menu. E comunque abbiamo impiegato un po' per decidere. Allora ci siamo presi una birra",そして私が言いました、「ちょっとメニューから何か注文しませんか」とメニューを見ながら。そして結局、決めるのに少し時間がかかりました。それで私たちはビールを注文しました。,"それで私が、ねえ、メニューから何か頼む？と言うとメニューを見ていたの。それで、結局選ぶのにしばらくかかった。それで、ビールを頼んで
",formal
Qual è il tuo regime alimentare? Tu segui un regime alimentare?,あなたの食生活はどのようなものですか?特別な食事制限をしていますか?,"あなたの食事の習慣は何だ？食事の習慣はある？
",formal
"Mi chiedo se quella persona si presenta anche a votare, o perché è nella giungla in quel modo ahah. Hai votato alle ultime elezioni?",その人は投票にも行くのかどうか疑問に思います。なぜあのようにジャングルにいるのでしょうかねぇ(笑)。前回の選挙では投票されましたか?,"その人が投票にさえ来るか分からないけど、どうしてそんなジャングルにいるのだろうか。前回の選挙は投票した?
",formal
"Sì. Prima giocavo molto, ma ora non più. Anche Lei gioca?",はい。前はよくプレーしていましたが、今はやめました。あなたもプレーなさいますか?,"うん。前はよくプレーしたけど、今はやめた。あなたもプレーするの?
",formal
"(Beh, ricordo che) ho una domanda per te. Ne hai delle altre? il modo migliore per spiegare è spiegare come funziona la mia città",(はい、覚えています)あなたに質問があります。他の質問はありますか?私の町の仕組みを説明するのが一番良い説明方法です。,"(そうだ、思い出した) あなたに質問がある。私の町が機能する方法を説明する一番良い方法は複数ある？
",formal
"col passare degli anni, lo sarebbe diventato sempre di più, Lei si ricorda quando ha iniziato a comprare articoli online per sé?",年月を経るごとにそうなっていきますね。あなたはいつからオンラインで自分のために物を購入し始めたか覚えていますか?,"年が経つにつれて、その傾向は強まるだろう。最初にオンラインで物を購入し始めた頃を覚えている？
",formal
Uhm. Tu vai a caccia? O i cervi sono protetti nella tua zona? Ci sono molti posti che limitano queste cose.,うーん。あなたは狩りに行きますか?それともあなたの地域では鹿が保護されていますか?この種のことに制限を設けている場所が多くあります。,"うーん。狩りはする？それともあなたの地域では鹿は保護されている？そういうことを制限している場所はたくさんある。
",formal
"Bene, San Diego sarà più calda che temperata. Veramente? C'è un significato dietro? O significa che non dovrebbe chiamare suo figlio col nome di una band?",はい、サンディエゴは温暖な気候より暑い方でしょう。本当ですか?それには何か意味があるのでしょうか?それとも、息子の名前をバンド名にするべきではないという意味でしょうか?,"さて、サンディエゴは暖かいよりも暑くなるだろう。本当に？何か意味が含められている？それとも、バンドの後ろから子供に呼びかけるべきではないという意味？
",formal
"soprattutto perché immagino che, a differenza della sua famiglia, nel suo caso nessuno di noi segue davvero la stessa strada per così dire.",特に、私たちの場合は、あなたの家族とは違って、みんな同じ道を歩んでいるわけではないと思いますから。,"特に、あなたの家族とは違って、彼の場合は、私たちの誰も、いわばその道をたどることができないのではと思う。
",formal
Voglio solo che li facciano. Sai cosa intendo dire.,それらを実行してほしいだけです。私の言っていることが分かりますか。,"ただ彼らにやってもらいたい。分かるでしょ。
",formal
"Sai, esperienze uniche in un hotel. Come mai nella tua vita",ご存知のように、ホテルでこれまでにないユニークな体験ができます。人生で初めてのことでしょう。,"知っての通り、ホテルでこれまでにないユニークな体験が。生涯で初めてのような
",formal
"No, tornando da Budapest, in realtà ho avuto l'opportunità quando mia nonna era ancora viva. È cresciuta a Budapest.",いいえ、ブダペストから戻ったときのことです。実は、祖母が生きていた時にその機会がありました。祖母はブダペストで育ちました。,"いいえ、ブダペストから戻るよ、祖母がまだ生きていたときに実際に機会があったんだ。祖母はブダペストで育ったからね。
",formal
"quindi a me pare di fare la cosa sbagliata, allora forse potrò probabilmente avere una famiglia numerosa come la sua,",ですので、私は間違ったことをしているように思えますが、おそらく私も多くの子供を持つ大家族を持てるかもしれません。,"だから私には間違ったことをするような気がする。そして、あなたのような非常に大きな家族を持つかもしれない。
",formal
e che mi dici di zii e cugini? i tuoi genitori hanno fratelli laggiù? Quanto è affollato quel giorno del Ringraziamento,叔父さんやいとこについてはどうですか?あなたのご両親はそちらに兄弟がいらっしゃいますか?その感謝祭の日はどれくらい混雑していますか?,"叔父といとこはどう？あなたの両親はそこに兄弟はいるの？その感謝祭の日はどれくらいの規模なの
",formal
"ahah, sono d'accordo con Lei!! Non sapevo che il Nevada fosse l'unico Stato a non avere nessuna delle opzioni di voto di cui sopra?",ははは、同感です!!ネバダ州が上記の投票オプションのどれも持っていない唯一の州であることを知りませんでした。,"（笑）そのとおりだ！上の選挙オプションがないのはネバダ州だけだということを知らなかったよ。
",formal
"Quando ci sono tutti questi abiti a prezzi tanto bassi e così, sai.",このように服が非常に安い値段で売られているときは、ご存知の通りですね。,"こういった服が全部あるときはとても安いので知っているだろう。
",formal
"Mi piacciono, mi piace vedere i miei figli guardare molti cartoni insieme alla mia famiglia e fanno tutto questo con Dragon Balls,",私は好きです。私の子供たちが家族と一緒にたくさんのアニメを見るのが好きです。そして、彼らはドラゴンボールなどのアニメで様々なことをしています。,"好きだ。子供たちが私の家族とアニメとかを沢山観たり、そういうことをしたりするのが好きだ、ドラゴンボールとか
",formal
deve essere uno spettacolo fantastico vederlo mangiare. Un buon modo per sbarazzarsi dei suoi nemici! Ahahah,彼が食べるのを見るのは素晴らしい光景に違いありません。敵を始末する良い方法ですね!ahahah,"食べているのを見るのは、素晴らしいショーに違いない。敵を排除する素晴らしい方法だ!
",formal
"Sì, probabilmente. Anche io amo lo hobbit. La maggior parte dei nomi dei personaggi sono stati presi da un antico poema islandese chiamato Dvergatal.",はい、おそらくそうでしょう。私も「ホビット」が大好きです。登場人物の多くの名前は、古代アイスランドの詩「ドヴェルガタル」から取られています。,"そうしただろうね。ホビットも好きだよ。ほとんどの登場人物の名前は、Dvergatalって言うアイスランドの古い詩から取られている。
",formal
da dove viene originariamente la vostra famiglia dove siete se guardate su una mappa?,あなたのご家族の出身地はどこですか?地図で見ると、どこになりますか?,"あなたの家族の出身地はどこだい？地図ではどこになるの？
",formal
"siamo stati insieme solo un paio di mesi e mi sono trasferito in un'altra città e ho detto qualcosa come, ehi, sto prenotando il tuo viaggio in Asia, vuoi venire con me?",私たちが一緒に過ごしたのはほんの数ヶ月で、その後私は別の町に引っ越しました。その後に私が、ねえ、あなたのためにアジア旅行を予約しようとしていますが、一緒に行きませんか？と言ったような具合です。,"私たちが一緒に過ごしたのはほんの数ヶ月で、その後私は別の町に引っ越した。その後に私が、ねえ、あなたのためにアジア旅行を予約しようとしているけど、一緒に来る？みたいな
",formal
Sarebbe esilarante vedere cosa si è inventato qualcuno. Cosa userebbe? Ahah,ある人がどんなことを考え出すかを知ると愉快です。あなたは何を使いますか?,"ある人がどんなことを考え出すかを知ると愉快だね。あなたは何を使うの?
",formal
"Proprio il contrario: FB promette un'eternità di gelosia e odio per se stessi perché Becky e Donna, i suoi ""amici"" di FB, hanno foto delle vacanze migliori delle sue","まさにその逆です。FBは、ベッキーやドナのようなFBの""友人""が自分より良い休暇の写真を投稿しているため、自分に対する嫉妬と憎しみの永遠を約束します。","正反対。FBは、永遠に嫉妬したり自己嫌悪に陥ることを約束している。あなたのFBの「友達」のベッキーとダナの休暇の写真は、あなたより素晴らしいからね。
",formal
Forse il trucco può davvero trasformarLa in quasi chiunque,おそらく、メイクアップで本当に誰にでも変身できます,"おそらく、メイクアップで本当に誰にでも変身できるよ
",formal
Qual è il suo regime alimentare? Lei segue un regime alimentare?,あなたの食生活はどのようなものですか?特別な食事制限をされていますか?,"あなたの食事の習慣は何だ？食事の習慣はある？
",formal
Penso anche il tuo indirizzo e-mail di PayPal.,あなたのPayPalのメールアドレスも必要だと思います。,"あなたのPayPalのメールアドレスもそうだと思うよ。
",formal
"allenatore di basket, potrebbe essere la tua famiglia, sai cosa intendo dire",バスケットボールのコーチかもしれませんし、あなたの家族かもしれません。私の言っていることが分かりますか。,"バスケットボールのコーチ、彼はあなたの家族になる、分かるかな
",formal
Penso che vediamo la luce alla fine del tunnel! Si goda il fine settimana!,トンネルの終わりには光が見えるはずです。週末をお楽しみください!,"トンネルの終わりには光が見えるはずさ。週末を楽しんで!
",formal
