source,preferred,rejected,attribute
"Lei sa cosa intendo dire, sto dicendo di lasciarmi in pace",Begrijpt u wat ik bedoel? Ik zeg dat u me met rust moet laten.,"Begrijp je? Blijf van me af.
",formal
"nelle diverse fasi della mia vita, sa, la famiglia, il duro lavoro, la dedizione, la lealtà, l'onestà. Quindi sento che se i miei figli lo imparano e apprezzano la famiglia","In de verschillende fasen van mijn leven, u weet wel, de familie, hard werken, toewijding, loyaliteit, eerlijkheid. Dus ik voel dat als mijn kinderen het leren en de familie waarderen","in de verschillende fases van mijn leven, je weet wel, familie, hard werken, toewijding, loyaliteit, eerlijkheid. Dus ik voel dat als mijn kinderen dat leren en ze familie waarderen
",formal
"Sa, se il suo cliente è del tipo che intende comprarne ancora. Qualcosa come, oh no, è un problema.","U weet, als uw klant van het type is dat van plan is er nog meer te kopen. Iets als, oh nee, het is een probleem.","""Weet je, als je klant zegt: """"Oh, ik zal nog meer kopen"""", dan is dat geen goede zaak.""
",formal
"Penso di averlo già letto anche io, penso che sarebbe incredibile vedere il tuo allenatore fare il battitore!",Ik denk dat ik het ook al heb gelezen. Ik denk dat het geweldig zou zijn om uw trainer als slagman te zien optreden!,"Ik denk dat ik dat eerder ook heb gelezen. Ik denk dat het te gek zou zijn om je manager eens aan slag te zien!
",formal
Si dice che questa è la faccia che fai quando scopri che la tua vita normale viene descritta da altri,Naar verluidt is dit het gezicht dat u trekt wanneer u ontdekt dat uw normale leven door anderen wordt beschreven.,"Hierin stond hoe je gezicht eruitziet als je ontdekt dat je normale leven door anderen wordt beschreven
",formal
Eh sì. E i suoi amici d'infanzia nel posto in cui Lei è cresciuto?,Eh ja. En uw jeugdvrienden uit de plaats waar u bent opgegroeid?,"Ja, hoe zit het met je jeugdvrienden uit de gemeenschap waar je mee opgegroeid bent?
",formal
"Sai, se il tuo cliente è del tipo che intende comprarne ancora. Qualcosa come, oh no, è un problema.","U weet wel, als uw klant van het type is dat van plan is er nog meer te kopen. Zoiets als, oh nee, het is een probleem.","""Weet je, als je klant zegt: """"Oh, ik zal nog meer kopen"""", dan is dat geen goede zaak.""
",formal
"Come te, potrei testare la tua TV.",Net als u zou ik uw tv kunnen testen.,"zoals jij, misschien zal ik je tv testen.
",formal
"Allo stesso modo suo padre. È così, è tutta un'altra storia.","Op dezelfde manier is het met uw vader. Het is zo, het is een heel ander verhaal.","Dus je vader vertelt een verhaal anders.
",formal
"Quando ce l'ha, quando ha un figlio di cui è responsabile, deve organizzarsi.","Wanneer u een kind heeft, waar u verantwoordelijk voor bent, moet u zich organiseren.","Als je een kind hebt waar je verantwoordelijk voor bent, dan moet je je zaken op orde hebben.
",formal
Si dice che questa è la faccia che Lei fa quando scopre che la sua vita normale viene descritta da altri,Men zegt dat dit de uitdrukking op uw gezicht is wanneer u ontdekt dat uw normale leven door anderen wordt beschreven.,"Hierin stond hoe je gezicht eruitziet als je ontdekt dat je normale leven door anderen wordt beschreven
",formal
"Non credo. Sono indipendenti. Se sentono il bisogno di arrampicarsi sul suo braccio, lo faranno; e a differenza dei cani, si lamenteranno di conseguenza.","Ik denk het niet. Ze zijn onafhankelijk. Als ze de behoefte voelen om op uw arm te klimmen, zullen ze dat doen; en in tegenstelling tot honden, zullen ze er vervolgens over klagen.","Dat denk ik niet. Ze zijn onafhankelijk. Als ze op je arm willen klimmen dan doen ze dat, en hen berispen, zoals je dat met een hond zou doen, heeft weinig zin.
",formal
"Se ce l'ha, perché no? Dopotutto vale più di 20 miliardi di dollari.","Als u het zich kan veroorloven, waarom niet? Tenslotte heeft u een vermogen van meer dan 20 miljard dollar.","Als je het hebt waarom niet? Hij is tenslotte meer dan 20 miljard dollar waard.
",formal
"(Beh, ricordo che) ho una domanda per Lei. Ne ha delle altre? il modo migliore per spiegare è spiegare come funziona la mia città","(Nou, ik herinner het me) Ik heb een vraag voor u. Heeft u er meerdere? De beste manier om het uit te leggen is door uit te leggen hoe mijn stad werkt.","(Nou, ik herinner het me) Ik heb een vraag voor je. Heb je er meerdere, de beste manier om het uit te leggen is door uit te leggen hoe mijn stad werkt
",formal
Spero che anche Lei si diverta e che passi una buona giornata! Anche per me è stato bello chiacchierare con Lei!,Ik hoop dat u zich ook vermaakt en een fijne dag heeft! Het was ook voor mij aangenaam om met u te praten!,"Ik hoop dat je er plezier aan beleeft en nog een prettige dag verder! Het was voor mij ook leuk je te spreken!
",formal
"Perché i cani richiedono molto impegno, fanno rumore e fanno pipì sul pavimento e distruggono le sue cose, e sono davvero importuni.","Omdat honden veel werk zijn, en ze zijn luidruchtig en ze plassen op uw vloer en ze vernielen uw spullen, en ze zijn gewoon vervelend.","Omdat honden veel werk zijn, en ze zijn luidruchtig en ze plassen op je vloer en ze vernielen je spullen, en ze zijn gewoon vervelend.
",formal
"Quando ce l'hai, quando hai un figlio di cui sei responsabile, devi organizzarti.","Wanneer u er een heeft, wanneer u een kind heeft waar u verantwoordelijk voor bent, moet u zich organiseren.","Als je een kind hebt waar je verantwoordelijk voor bent, dan moet je je zaken op orde hebben.
",formal
"è più importante del lavoro, è più importante che avere un lavoro e una carriera perché la sua carriera finisce, la sua famiglia no. La sua famiglia va avanti, la sua stirpe si perpetua","De familie is belangrijker dan werk, belangrijker dan een baan en een carrière te hebben, want uw carrière houdt op, maar uw familie niet. Uw familie gaat door, uw nageslacht zet zich voort.","het is belangrijker dan werk, het is belangrijker dan een baan en een carrière, want je carrière houdt op, je familie niet. Je familie blijft bestaan, je bloedlijn zal blijven bestaan
",formal
"Bene, ma a causa della cancellazione vediamo, capisce? sa, aspetti, lo sto cercando. Cosa diavolo? dove? Perché non ho ancora cancellato il suo volo? Posso cancellare il mio biglietto se l'ho acquistato da un locale?","Goed, maar vanwege de annulering moeten we even kijken, begrijpt u? Wacht even, ik ben het aan het opzoeken. Wat de...? Waar? Waarom heb ik uw vlucht nog niet geannuleerd? Kan ik mijn ticket annuleren als ik het bij een lokaal bedrijf heb gekocht?","Goed, maar door de annulering ... Laten we eens kijken, heb je het? Weet je, wacht, ik zoek het. Wat is de kan? Waar? Waarom heb je je vlucht nog niet geannuleerd? Kan ik mijn ticket annuleren als ik het ter plaatse heb gekocht?
",formal
"In effetti mi piacevano davvero le tue idee, mi sono detto come mai qualcuno potesse avere tali idee senza occupare una posizione di potere, ma, sai","Ik vond uw ideeën eigenlijk echt leuk. Ik vroeg me af hoe iemand zulke ideeën kon hebben zonder in een machtige positie te zitten, maar, u weet wel","Ja, ik vond je ideeën eigenlijk heel goed, die ideeën klonken als waarom is er niet iemand in een machtspositie die dat soort dingen ook echt bedenkt, maar weet je
",formal
"È preoccupato che in futuro, quando avrà i dispositivi intelligenti, i suoi figli possano dire: Oh! Mi piacerebbe ordinare un qualcosa da Amazon e poi, ehi così e così","Maakt u zich zorgen dat in de toekomst, wanneer u slimme apparaten heeft, uw kinderen zouden kunnen zeggen: Oh! Ik zou graag iets willen bestellen bij Amazon en dan, hé zo en zo","""Ben je ooit bezorgd dat in de toekomst, als je inderdaad smart devices hebt, je kinderen zullen zeggen: """"Hé, ik zou graag een ... bestellen bij Amazon"""", en dan zeggen ze: """"Hallo zus en zo""
",formal
Che bei cani! Lei vive con i suoi cani in un clima nordico?,Wat lieve honden! Woont u met uw honden in een noordelijk klimaat?,"Wat een prachtige honden! Wonen jij en je honden in een noordelijk klimaat?
",formal
"Potrebbe sembrare strano quello che dico, ma credo che la gente compri meno elettronica in questi giorni perché tutto è condensato. Tipo, il mio telefono, il suo cellulare, è come dieci articoli in uno","Het kan vreemd lijken wat ik zeg, maar ik denk dat mensen tegenwoordig minder elektronica kopen omdat alles is gecondenseerd. Zoals, mijn telefoon, uw mobiele telefoon, het is als tien apparaten in één","Wat ik ga zeggen klinkt misschien vreemd, maar ik heb het gevoel dat mensen tegenwoordig minder elektronische toestellen kopen omdat alles zo samengepakt is. Zoals mijn telefoon bijvoorbeeld, of jouw mobieltje, dat zijn zowat tien dingen
",formal
Anch'io! Hai visto Kung Fu Hustle di Bill Murray?,Ik ook! Heeft u Kung Fu Hustle van Bill Murray gezien?,"Ik ook. Heb je Bill Murray's Kung Fu Hustle gezien?
",formal
La dieta è comunque la maggior parte del suo problema.,"Hoe dan ook, uw probleem is grotendeels te wijten aan uw manier van eten.","Hoe dan ook, jouw probleem is grotendeels te wijten aan je manier van eten.
",formal
"Quindi ho inoltrato questo messaggio al tuo indirizzo e-mail. Ho inoltrato tutto quello che ho appena cancellato e ne metterò un po' qui, questa è Pechino.","Dus ik heb dit bericht doorgestuurd naar uw e-mailadres. Ik heb alles doorgestuurd wat ik zojuist heb verwijderd en ik zal er hier een beetje van plaatsen, dit is Peking.","Ik heb deze e-mail dus doorgestuurd naar jouw e-mailadres. Ik heb alles doorgestuurd dat ik net heb geannuleerd en ik ga een deel ervan hier zetten, dit is Beijing.
",formal
"Li leggo ogni tanto, mi affido soprattutto a Rotten Tomatoes, e tu?","Ik lees ze af en toe, maar ik vertrouw vooral op Rotten Tomatoes. En u?","Ik lees ze soms. Ik vertrouw meestal op Rotten Tomatoes. En jij?
",formal
"Non credo. Sono indipendenti. Se sentono il bisogno di arrampicarsi sul tuo braccio, lo faranno; e a differenza dei cani, si lamenteranno di conseguenza.","Nee, ik denk niet dat ze afhankelijk zijn. Ze zijn onafhankelijk. Als ze de behoefte voelen om op uw arm te klimmen, zullen ze dat doen; en in tegenstelling tot honden, zullen ze er dan ook over klagen.","Dat denk ik niet. Ze zijn onafhankelijk. Als ze op je arm willen klimmen dan doen ze dat, en hen berispen, zoals je dat met een hond zou doen, heeft weinig zin.
",formal
e Lei deve sostituirlo o sarà così alla moda e lo stile cambierà così rapidamente che verrà eliminato da H&M,en u moet het vervangen of het zal zo modieus zijn en de stijl zal zo snel veranderen dat het door H&M wordt uitgefaseerd,"en je moet dat vervangen, anders gaat het echt trendy worden en de stijl zal zo snel veranderen dat het wel een namaakproduct van H&M lijkt
",formal
"Mi piaceva Una famiglia del terzo tipo! Ti piacciono i fumetti? A me no, ma ai miei ragazzi sì.","Ik vond 3rd Rock geweldig! Leest u wel eens graag stripboeken? Ik niet, maar mijn jongens wel.","Ik vond 3rd Rock geweldig! Lees je wel eens graag stripboeken? Ik niet, maar mijn jongens wel.
",formal
D'accordo. Pensa di vedere l'ultima puntata: M. I - Fallout?,"Akkoord. Bent u van plan om de laatste aflevering te zien, M.I. - Fallout?","Akkoord. Ben je van plan om de laatste aflevering te zien, M.I. - Fallout?
",formal
Posso vederlo ma Tupac? Credo che Tupac facesse danza classica al liceo. Come si può nascondere una pistola in calzamaglia?,"Ik kan het me voorstellen, maar Tupac? Ik geloof dat Tupac op de middelbare school klassiek ballet deed. Hoe kunt u een pistool in een dansbroek verstoppen?","Hem begrijp ik wel, maar Tupac? Misschien heeft Tupac ballet gedanst op de middelbare school. Hoe kun je nu een pistool verbergen in een kousenbroek?
",formal
"Quindi, non sai mai a cosa potrai aprirti. Guarda a cosa ti sei aperto.",U weet dus nooit waarvoor u open kunt staan. Kijk maar waarvoor u open bent komen te staan.,"Dus je weet nooit voor welke dingen je open kunt staan. Kijk waar jij jezelf voor hebt opengesteld.
",formal
"È una buona idea! Beh, è stato divertente e veloce chiacchierare con te questa mattina. Spero che tu ti goda il resto della tua giornata, amico!","Het is een goed idee! Nou, het was leuk en snel om vanochtend met u te praten. Ik hoop dat u de rest van uw dag geniet, meneer/mevrouw!","Dat is een goed idee! Nou, het was leuk met je te kletsen vanochtend. Geniet nog van de rest van je dag, mijn vriend!
",formal
"e io dicevo, ehi vuoi prendere qualcosa dal menu e stai guardando il menu. E comunque abbiamo impiegato un po' per decidere. Allora ci siamo presi una birra","en ik zei, hé, wilt u iets van het menu bestellen en u keek naar het menu. En het duurde een tijdje voordat we besloten. Toen hebben we een biertje genomen.","en ik zei, hé, wil je iets van het menu en je kijkt naar het menu. En het duurde even voor we een beslissing hadden genomen. Dus we namen een biertje
",formal
"Già che ti piacciono i film, qual è il tuo preferito?","Aangezien u van films houdt, wat is uw favoriete film?","Kijk je naar films? Wat is je favoriete film?
",formal
Non può sfuggire alla sua dipendenza nemmeno in cima all'Everest. sulla sommità ci sono un servizio di dati mobili 3G e funzionalità Internet!,U kunt zelfs op de top van de Mount Everest niet aan uw verslaving ontsnappen. Ook daar is er een 3G-netwerk en internettoegang!,"Je kunt zelfs op de top van Mount Everest niet aan je verslaving ontsnappen. Ook daarboven is er een 3G-netwerk en internettoegang.
",formal
"sai, posso vedere come, quando tu sei in un processo in determinati tipi di situazioni legali. In realtà si tratta solo di sapere se sei disposto ad alzarti affermando di sapere","Weet u, ik kan begrijpen hoe het is als u in een juridisch proces verwikkeld raakt in bepaalde soorten juridische situaties. Het gaat er eigenlijk alleen maar om of u bereid bent op te staan en te zeggen dat u het weet.","weet je, ik kan begrijpen waarom, tijdens een rechtszaak in bepaalde gevallen. Dan het gaat er eigenlijk om of je bereid bent om recht te staan en te zeggen, je weet wel
",formal
è così significativo e importante per la sua identità,Het is zo betekenisvol en belangrijk voor uw identiteit,"zo groot en belangrijk is voor je identiteit
",formal
seguiamo la mia routine. Qual è la sua routine?,Laten we uw routine volgen. Wat is uw routine?,"we hebben mijn routine. Wat is jouw routine?
",formal
"nelle diverse fasi della mia vita, sai, la famiglia, il duro lavoro, la dedizione, la lealtà, l'onestà. Quindi sento che se i miei figli lo imparano e apprezzano la famiglia","In de verschillende fasen van mijn leven, weet u, familie, hard werken, toewijding, loyaliteit, eerlijkheid. Dus ik voel dat als mijn kinderen het leren en de familie waarderen","in de verschillende fases van mijn leven, je weet wel, familie, hard werken, toewijding, loyaliteit, eerlijkheid. Dus ik voel dat als mijn kinderen dat leren en ze familie waarderen
",formal
"sai cosa intendo dire, sto dicendo di lasciarmi in pace",Begrijpt u wat ik bedoel? Ik zeg dat u me met rust moet laten.,"Begrijp je? Blijf van me af.
",formal
"Non si è mai messo in contatto ed era tipo, non Le dispiacerà mai abbastanza","Hij heeft nooit contact opgenomen en was zoiets van, het zal hem nooit genoeg spijten dat hij in uw arm heeft gebeten.","Hij heeft nooit contact gemaakt en was zo van, het speet hem nooit dat hij in je arm had gebeten.
",formal
