source,preferred,rejected,attribute
"Spero di no! Altrimenti vado lì per fermarlo! Dovrebbero fare quello che fa Boulder, in modo che Lei non possieda animali domestici ma sia responsabile per loro","Espero que não! Caso contrário, irei lá para o impedir! Deveriam fazer o que Boulder faz, de modo que você não possua animais de estimação, mas seja responsável por eles.","Espero que não! Caso contrário vou lá para pará-lo! Deviam fazer o que o rochedo faz e fazer com que não possuas um animal mas sejas o seu guardião
",formal
"Questa è una grande delusione eheh, non credo Lei voglia che il suo prodotto sia un fiasco durante una presentazione importante. Ha mai giocato al gioco Send me to Heaven?","Esta é uma grande decepção hehe, não acho que queira que o seu produto seja um fracasso durante uma apresentação importante. Já jogou o jogo Send me to Heaven?","Isso é grande falha lol, não queres que o teu produto falhe durante uma apresentação importante, alguma vez jogaste o jogo Send me to Heaven?
",formal
"Sì, lo so, giocavo molto con il Nintendo da piccolo. E tu?","Sim, costumava jogar muito Nintendo em criança. E você?","Sim, costumava jogar muito Nintendo em criança. E tu?
",formal
"Spero di no! Altrimenti vado lì per fermarlo! Dovrebbero fare quello che fa Boulder, in modo che tu non possieda animali domestici ma sia responsabile per loro.","Espero que não! Caso contrário, vou lá para o impedir! Deveriam fazer o que fazem em Boulder, de modo que não seja proprietário de animais de estimação, mas responsável por eles.","Espero que não! Caso contrário vou lá para pará-lo! Deviam fazer o que o rochedo faz e fazer com que não possuas um animal mas sejas o seu guardião
",formal
Sì. Lei ha mai fatto un giro nel Jurassic Park Ride?,Sim. Você já andou na atração Jurassic Park Ride?,"Sim. Já alguma vez andaste na montanha-russa do jurassic park?
",formal
"È incredibile, sconvolgente! Sì, immagino che tu possa aggiungere del burro extra sui popcorn mentre guardi un film horror.","Isso é incrível, perturbador! Sim, imagino que possa adicionar manteiga extra às suas pipocas enquanto vê um filme de terror.","Isso é incrível, perturbador! Sim, imagino que possas adicionar manteiga extra às tuas pipocas enquanto vês terror.
",formal
È aggiornato sulle elezioni?,Acompanha as eleições?,"Acompanhas as eleições?
",formal
Ahh questo è sicuramente sufficiente allora. È interessante come aree diverse abbiano auto e normative diverse. In Ohio è illegale scaldare la macchina.,"Ahh é mais que suficiente sim. É interessante como áreas diferentes têm carros diferentes e regras também. No Ohio, é ilegal aquecer o seu carro.","Ahh é mais que suficiente sim. É interessante como áreas diferentes têm carros diferentes e regras também. No Ohio, é ilegal aquecer o teu carro.
",formal
"Sì, è difficile spezzare l'abitudine. Caricherebbe la sua mente su un computer? Stiamo praticamente lavorando senza tregua.","Sim, é difícil quebrar o hábito. Transferiria a sua mente para um computador? Estamos praticamente a trabalhar sem descanso.","Sim, é difícil quebrar o hábito. Quererias carregar a tua mente para um computador? Estamos praticamente sempre em frente da coisa.
",formal
Posso vedere se possiamo andare nel posto dove Lei vedrà tutti i membri della sua famiglia.,Posso ver se podemos ir ao lugar onde Você verá todos os membros da sua família.,"Vou dar-te, vou ver se podemos ir àquele sítio onde vais poder ver todos os membros da tua família.
",formal
è così significativo e importante per la sua identità,É tão significativo e importante para a sua identidade.,"é tão grande e importante para a tua identidade
",formal
"Sono d'accordo con te. Hai mai giocato al videogioco LittleBigPlanet o a Harry Potter? A quanto pare la stessa persona è la voce narrante di entrambi i videogiochi, il suo nome è Stephen Fry.","Concordo consigo. Já jogou os videojogos LittleBigPlanet ou Harry Potter? Parece que a mesma pessoa é a voz narradora de ambos os videojogos, o seu nome é Stephen Fry.","Concordo contigo. Já jogaste o videojogo LittleBigPlanet ou Harry Potter? Parece que a mesma pessoa fez a narração desses dois jogos, chama-se Stephen Fry
",formal
D'accordo. Pensa di vedere l'ultima puntata: M. I - Fallout?,Concordo. Planeja ver o último episódio: M. I - Fallout?,"Concordo. Planejas ver o último episódio: M. I - Fallout?
",formal
Non sono conformista ma amo le scarpe. Sapeva che ci sono almeno 17 modi per allacciarsi le scarpe?,Não sou convencional mas adoro sapatos. Sabia que existem pelo menos 17 maneiras diferentes de apertar os seus sapatos?,"Não sou em geral mas adoro sapatos. Sabias que existem pelo menos 17 maneiras diferentes de atacar os teus sapatos?
",formal
Intrigante. Ha sentito del giudice del Michigan che ha emesso una sentenza contro di lui? L'ha liquidato con un colpetto quando sentenziava.,Intrigante. Ouviu falar do juiz de Michigan que emitiu uma sentença contra ele? Dispensou-o com um toque quando sentenciava.,"Intrigante. Ouviste falar da juíza em Michigan que proferiu uma decisão contra ele? Emitiu a decisão em rap.
",formal
Sa cosa intendo? sua madre per esempio è una bella signora che non conosco nemmeno.,"A sua mãe, por exemplo, é uma bela senhora que nem sequer conheço.","Percebes o que quero dizer? A tua mãe por exemplo é uma mulher adorável que nem conheço ao caracterizar a amizade.
",formal
Cosa ha pensato il suo amico di tutto questo? Lei ha uno spirito avventuroso? Lui partecipa e sembra divertirsi o cosa?,O que pensou o seu amigo sobre tudo isto? Ela tem um espírito aventureiro? Ele participa e parece divertir-se ou quê?,"O que pensou o teu amigo sobre tudo isto? Tens um espírito aventureiro? Ele simplesmente se alinha e parece gostar ou não?
",formal
