source,preferred,rejected,attribute
まあ、それはあなたの血の中にあると思います。,"Nun, ich denke, dann liegt Ihnen das wohl einfach im Blut.","Nun, ich denke, dann liegt dir das wohl einfach im Blut.
",formal
ただ単に、種という観点から言えば、あなたが言ったように、人間は(発達している)からだと思う。きっとちょっと変な見た目だっただろうね。あなたは,"Einfach nur aus der Perspektive der Spezies betrachtet, denke ich, dass die Menschen (weiterentwickelt) sind, wie Sie sagten. Sie müssen wahrscheinlich etwas seltsam ausgesehen haben. Sie","Ich denke, weil Menschen einfach bezüglich Arten, wie du sagtest, (entwickelt) sind. Das sah vielleicht ein bisschen seltsam aus. Du denkst dein
",formal
ええ、話せて嬉しかったよ！すてきな一日を過ごしてね,"Es war mir eine Freude, mit Ihnen zu sprechen! Ich wünsche Ihnen einen wunderschönen Tag!","Ja. Also, es war nett, mit dir zu chatten, hab einen schönen Tag.
",formal
売るのと同時に、本当に低コストで製造しなければならないといったことです。,"Sie müssen in der Lage sein, wirklich kostengünstig zu produzieren, während Sie gleichzeitig verkaufen.","Das ist, als ob du verkaufst, das ist, als ob du das wirklich zu einem ganz geringen Preis machen musst.
",formal
わかりましたか？携帯電話のサインインの仕方はわかりましたか？,"Haben Sie verstanden, wie man sich auf dem Mobiltelefon anmeldet?","Hast du es geschafft? Hast du es geschafft, dein Telefon anzumelden?
",formal
物事に取り組むこととか、価値観を教える必要がある、言っていること分かるかな？,"Sie müssen ihnen beibringen, wie man Dinge anpackt und Werte vermitteln, verstehen Sie, was ich meine?","Du musst ihnen Werte beibringen wie, Dinge zu probieren wie, weißt du, was ich meine?
",formal
電子機器はどうですか？電子機器を購入する必要があると思いますか？最近、電子機器を購入しましたか？,"Wie sieht es mit Elektronikgeräten aus? Denken Sie, dass Sie Elektronikgeräte kaufen müssen? Haben Sie kürzlich Elektronikgeräte gekauft?","Wie sieht es mit Elektronik aus? Findest du, du bist jemand, der elektronische Geräte kaufen muss? Hast du in der letzten Zeit irgendwelche elektronischen Geräte gekauft?
",formal
私はそれは見てないと思います。私はマーベル作品にあまり詳しくありません。クリス・プラットがテレビ番組の「パークス・アンド・レクリエーション」に出ていたのは知りませんでした。見たことはありますか？,"Ich glaube, ich habe es nicht gesehen. Ich kenne mich nicht besonders gut mit Marvel-Produktionen aus. Ich wusste nicht, dass Chris Pratt in der Fernsehserie ""Parks and Recreation"" mitgespielt hat. Haben Sie sie gesehen?","Ich glaube, die habe ich nicht gesehen. Ich verfolge Marvel-Serien nicht so genau. Ich weiß aber, dass Chris Pratt in einer Serie mitgespielt hat, Parks and Rec. Hast du sie gesehen?
",formal
特に、あなたの家族とは違って、彼の場合は、私たちの誰も、いわばその道をたどることができないのではと思う。,"Insbesondere denke ich, dass im Gegensatz zu Ihrer Familie niemand von uns in der Lage sein wird, sozusagen denselben Weg wie er zu gehen.","Zumal ich vermute, dass in seinem Fall, nicht wie in deiner Familie, von uns niemand sozusagen diesem Weg wirklich folgt.
",formal
食べているのを見るのは、素晴らしいショーに違いない。敵を排除する素晴らしい方法だ!,"Das muss ein außergewöhnliches Spektakel sein, ihm beim Fressen zuzusehen. Eine gute Art, Ihre Feinde loszuwerden!","Das muss ein außergewöhnliches Spektakel sein, ihm beim Fressen zuzusehen. Eine gute Art, deine Feinde loszuwerden! LOL.
",formal
うん、ジュラシック・パークライドに乗ったことはある？,Sind Sie schon einmal die Jurassic Park-Achterbahn gefahren?,"Ja. Bist du jemals mit der Jurassic-Park-Achterbahn gefahren?
",formal
そうだね、考えてみれば時間はかからないし、習慣として取り入れればいいのだから。,"Ja, wenn man darüber nachdenkt, nimmt es nicht viel Zeit in Anspruch und wenn Sie es zur Gewohnheit machen, ist es einfach.","Ich weiß, und wenn du darüber nachdenkst, nimmt es kaum Zeit in Anspruch. Du musst sie nur als Gewohnheiten in deinen Alltag einbauen.
",formal
いいえ、あなたのは大きく、私のはほぼ平らなようだ。私の音量は最大で、あなたは私のマイクを知っている。,"Nein, Ihrer ist groß und meiner scheint fast flach zu sein. Meine Lautstärke ist maximal und Sie kennen mein Mikrofon.","Nein, ich sehe, dass deiner groß und meiner fast flach ist. Meine Lautstärke ist voll aufgedreht und du kennst mein Mikrofon.
",formal
本当に面白かったです。テイラー・スウィフトのどの曲が好きですか?,Das war wirklich lustig. Welches Lied von Taylor Swift ist Ihr Favorit?,"Wahrscheinlich, mir hat das wirklich Spaß gemacht. Was ist dein Lieblingslied von Taylor Swift?
",formal
そうですね。ポロシャツは最初有名なテニス選手が発明したものだって知っていましたか?,"Wussten Sie, dass das Polo-Shirt ursprünglich von einem berühmten Tennisspieler erfunden wurde?","Absolut richtig. Wusstest du, dass Polohemden ursprünglich von einem berühmten Tennisspieler erfunden wurden?
",formal
それは本当に大きいように思えて、最初は小さなことに見えるかもしれませんが、本当にとても大きいことです、彼らがあなたにしてくれていることは。,"Es sieht zunächst vielleicht nach einer Kleinigkeit aus, aber es ist wirklich eine große Sache, was sie für Sie tun.","Das fühlt sich einfach so groß an, es scheint am Anfang klein zu sein, es sind einfach riesengroße Dinge, die sie für dich tun.
",formal
うん、ジュラシック・パークライドに乗ったことはありますか？,Sind Sie schon einmal die Jurassic Park Ride gefahren?,"Ja. Bist du jemals mit der Jurassic-Park-Achterbahn gefahren?
",formal
そして、あなた自身を表現する上で、もちろん、あなたが出した例が、皮肉たっぷりであることがわかる。,"Und natürlich ist es offensichtlich, dass die Beispiele, die Sie angeführt haben, um sich selbst auszudrücken, voller Sarkasmus sind.","Und eine Art, dich auszudrücken, das ist wie, weißt du, die Beispiele, die du genannt hast, bedeuten, dass es um einiges mehr Zynismus gibt.
",formal
ではあなたが2番目に好きなのは何だ,Was ist dann Ihr zweitliebstes?,"Was ist dann dein zweitliebster
",formal
子供の頃好きなディズニー映画は何でしたか？,Was war Ihr Lieblings-Disney-Film als Kind?,"Was war als Kind dein Lieblingsfilm von Disney?
",formal
前に見たことがあります。電話のことですが、ユニセフは携帯電話を一定時間使わなければ、必要な子供に清潔な水を寄付します。いい習慣です。,"Ich habe das schon einmal gesehen. Es geht um Handys, aber UNICEF spendet sauberes Wasser für bedürftige Kinder, wenn Sie Ihr Handy für eine bestimmte Zeit nicht benutzen. Eine gute Angewohnheit.","Das habe ich schon einmal gesehen. Wo wir über das Telefon sprechen, UNICEF wird für jede Minute, die du dein Telefon nicht benutzt, einem bedürftigen Kind einen Tag mit sauberem Wasser schenken. Gute Sache.
",formal
ええ、ばかげた出で立ちだよ。誰も引き出しなど見たくない。良い夜を過ごして！,"Ja, das ist eine lächerliche Vorstellung. Niemand möchte in Ihre Schubladen schauen. Haben Sie eine gute Nacht!","Ja, es sieht lächerlich aus. Niemand will deine Schubladen sehen. Hab einen guten Abend!
",formal
私も同感です！特に興行収入が今のままでは。映画「トロイの木馬戦争」のために働くのは嫌ですね。1500万ドルの予算で309ドルしか稼げなかったんですから！,"Ich stimme Ihnen zu! Besonders wenn die Einnahmen so bleiben wie jetzt. Ich hätte auch keine Lust, für den Film ""Trojan War"" zu arbeiten. Bei einem Budget von 15 Millionen Dollar haben sie nur 309 Dollar eingenommen!","Ich stimme dir zu. Besonders in Sachen Box Office, so wie es heute läuft. Ich würde es hassen, für den Film No Night Stand zu arbeiten. Sie verdienen nur 309 Dollar bei einem Budget von 15 Millionen!
",formal
