source,preferred,rejected,attribute
さて、サンディエゴは暖かいよりも暑くなるでしょう。本当に？何か意味が含められていますか？それとも、バンドの後ろから子供に呼びかけるべきではないという意味ですか？,"Bueno, en San Diego será más caluroso que cálido. ¿En serio? ¿Hay algún significado detrás de eso? ¿O quiere decir que no debe poner el nombre de un grupo a su hijo?","Bueno, en San Diego será más caluroso que cálido. ¿En serio? ¿Hay algún significado detrás de eso? ¿O quiere decir que no puedes poner el nombre de un grupo a tu hijo?
",formal
ご存知のように、これは列が非常に長くなる可能性があるようです。,"Como usted sabe, parece que esto podría hacer que las filas se vuelvan muy largas.","ya sabes, esto parece que la línea puede ser muy larga.
",formal
座って、Twitterフィードの全員が実際の取引を見れることを確認する,Siéntese y asegúrese de que todos en su feed de Twitter puedan ver la transacción real.,"siéntate y asegúrate de que todo el mundo en tu página de Twitter vea la realidad
",formal
小さい頃レゴで遊んだ？,¿De pequeño jugaba con piezas de Lego?,"¿De pequeño jugabas con piezas de Lego?
",formal
あなたの考え方は、仕事がもっと,Usted siente que el trabajo es más,"Tú sientes que el trabajo es más
",formal
それで、あなたの友達はこういうパーティーでこんなことが起きることを知っていましたか？それとも全く知りませんでしたか？,"¿Entonces, sabía su amigo que podría pasar algo así en este tipo de fiestas? ¿O no lo sabía en absoluto?","Entonces, ¿tu amiga sabía que esto es lo que ocurre en estas reuniones o simplemente no tenía ni idea?
",formal
公園に連れて行って走り回って疲れさせて、分かりますかね、彼らが眠るように,"Llévelos al parque y déjelos correr hasta que se cansen, ya sabe, para que duerman.","llevarlos al parque y dejar que corran y se cansen, ya sabes, para que se duerman
",formal
確かに。でも猫はほとんどの政治家よりも頭がいいと思います。平均的な議員が長除法をやっているのを想像できますか?,Ciertamente. Pero creo que los gatos son más inteligentes que la mayoría de los políticos. ¿Puede imaginarse a un congresista promedio haciendo divisiones largas?,"Es cierto, pero creo que los gatos son más inteligentes que la mayoría de los políticos. ¿Puedes imaginarte a un miembro de la Cámara de Representantes haciendo divisiones largas?
",formal
では、あなたの理想の彼氏とは？,¿Y cuál sería su novio ideal?,"Entonces, ¿cuál es tu novio ideal?
",formal
いいアイディアだ!今朝は話ができて楽しい時間が過ごせたよ。今日一日楽しんでね。,¡Es una buena idea! Ha sido un placer poder hablar con usted esta mañana. Que tenga un buen día.,"Es una buena idea. Bueno, ha sido divertido y rápido charlar contigo esta mañana. Espero que disfrutes del resto del día, amigo.
",formal
とにかく、ご自身でデパートに行くのはどうだ？ 私の言っている意味がわかるよね、地域一帯を対象とするということだ。,"De todos modos, ¿por qué no va usted mismo a los grandes almacenes? Ya sabe lo que quiero decir, en toda la zona.","Así que, de cualquier modo, ¿cuáles son tus grandes almacenes favoritos? Ya sabes lo que quiero decir, en toda la zona
",formal
