source,preferred,rejected,attribute
なるほど、ですから私は独身でいながら人と交流するようにと言います、誰の感情を傷つけることも心配しなくていいですし、自分の感情が傷つく心配もありません,"Ah oui, c'est pourquoi je vous conseille de rester célibataire et de continuer à interagir avec les gens, sans avoir à vous soucier de blesser les sentiments de quelqu'un ou de voir vos propres sentiments blessés.","Je vois. C'est pourquoi je dis « sois célibataire et mêle-toi aux autres ». Ainsi, tu n'as pas à t'inquiéter de blesser les gens et de te blesser toi-même
",formal
機器は長期間顔を刺激すると思います。ところでファンタジーは好きですか?,"Les appareils vont probablement stimuler votre visage pendant une longue période. Au fait, aimez-vous les histoires de fantasy ?","Je suppose que l'instrument doit irriter ton visage à la longue. Est-ce que par hasard tu aimes la fantasy ?
",formal
とにかく、ご自身でデパートに行くのはどうだ？ 私の言っている意味がわかるよね、地域一帯を対象とするということだ。,"D'ailleurs, quel est votre grand magasin préféré ? Vous voyez ce que je veux dire, celui dont vous faites tout le tour.","D'ailleurs, quel est ton grand magasin préféré ? Tu vois ce que je veux dire, celui dont tu fais tout le tour
",formal
最後はかなりきついです。できる限り心の中で楽しむことです。たぶん遺伝子と環境。話せて楽しかったです。,La fin est assez difficile. Il faut essayer de profiter autant que possible. C'est probablement une combinaison de gènes et d'environnement. C'était agréable de discuter avec vous.,"Oui. La fin est assez dure. Profite de ton esprit tant que tu le peux. Ça dépend probablement des gènes et de l'environnement. Bref, content d'avoir discuté.
",formal
やってみることと、値段を下げる。Airbnbではあまりクーポンを見かけないから。行くとお金を返してくれない、みたいな,Essayez et baissez les prix. On ne voit pas beaucoup de coupons sur Airbnb. C'est comme si vous n'obtenez pas de remboursement une fois que vous y allez.,"quelque chose pour essayer de faire baisser le prix. Parce que pour Airbnb, je ne vois pas trop de coupons de réduction, comme s'ils ne te donnaient pas ton argent si je vais
",formal
今あなたの近所でビーガンオプションを探すために？,À la recherche d'options végétaliennes dans votre quartier en ce moment ?,"pour trouver des options végétariennes dans ton quartier à présent ?
",formal
お気に入りのものはないが、いくつか好きなものはあるよ。あなた自身はどう？,"Je n'ai pas de préférence, mais j'en apprécie certains. Et vous ?","Je n'ai pas de préférence, mais j'en apprécie certains. Et toi ?
",formal
ホテルに泊まったのかどうか知らないが、気に入ったスポットやそこでの良い思い出はある？,"Bien que je ne sache pas si vous avez séjourné dans un hôtel, avez-vous des endroits préférés ou de bons souvenirs de votre visite ?","As-tu des endroits ou des souvenirs préférés à ce sujet ? Tu sais, si tu es resté dans ton hôtel ou quoi que ce soit d'autre ?
",formal
それはすごいね、あなたは,"C'est incroyable, vous avez","C'est fou, tu as
",formal
私は専門家ではありませんが、恐ろしいですね。とにかく話せて楽しかったですよ。隠れ家の件がうまくいくといいですね。,"Je ne suis pas un expert, mais c'est effrayant en effet. En tout cas, j'ai apprécié notre conversation. J'espère que tout se passera bien pour votre cachette.","Je ne suis pas expert dans tout ce qui fait peur. Enfin, content d'avoir parlé avec toi ! Bonne chance avec ton terrier !
",formal
コンピューターとメモリースティックに心をアップロードできるというアイディアが好きですね。死んだ後でも一種の遺産のようなものが残ることになるからです。,J'aime l'idée de pouvoir télécharger votre esprit dans un ordinateur et une clé USB. Cela permettrait de laisser une sorte d'héritage après votre mort.,"J'aime bien l'idée d'uploader son esprit sur un ordinateur et une clé USB, parce que tu peux laisser un héritage après ta mort.
",formal
