source,preferred,rejected,attribute
あなたにはできない、ファイルに書かれていることだけでは十分ではない、ということだ。つまり、家族が先か、仕事が先か,"आप यह नहीं कर सकते, फ़ाइल में लिखी गई चीज़ें ही काफ़ी नहीं हैं। यानी, परिवार पहले है या नौकरी?","तुम नहीं कर सकते, तुम्हेंं पता है, यह ऐसा नहीं है जैसे तुम्हारी फ़ाइलों में जो है वह पर्याप्त है, नहीं ऐसा नहीं है। ठीक है, परिवार पहले या काम पहले
",formal
例のところ、洗面所に行くと、オイルや香りなどで身ぎれいにすることができます、誰もが本当に素晴らしい香りがしました、とても衛生的で素晴らしかったです。,"उस जगह पर, जब आप शौचालय जाते थे, तो आप तेल और खुशबू से स्वच्छ हो सकते थे। सभी लोग बहुत अच्छी खुशबू से महकते थे, यह बहुत स्वच्छ और अद्भुत था।","जहाँ तुम्हेंं पता है कि तुम वाशरूम में तेल और सुगंध और उन सभी चीज़ों का इस्तेमाल करके ख़ुद को साफ़ कर सकते हो, तो बिल्कुल हर किसी से बेहतरीन ख़ुशबू आ रही थी, यह स्वच्छता थी और यह बढ़िया है।
",formal
したよ。今、私は親としてひどいことをしている。彼らと遊んだ？,हां। अब मैं एक माता-पिता के रूप में बहुत बुरा व्यवहार कर रहा हूं। क्या आप उनके साथ खेला करते थे?,"हाँ। अब मैं एक अभिभावक के नाते से उन पर कदम रखता हूँ। क्या तुम उनसे खेलते थे?
",formal
私の子供たちを（誠実に世話すること）、私の両親はそれがわかっている。それが私の育てられ方だ。もしあなたが両親にどう育てられたか、何が最高だったかを考えられるとしたら。,"मेरे बच्चों को (ईमानदारी से देखभाल करना), मेरे माता-पिता जानते हैं कि यही है। यही तरीका है जिससे मुझे पाला गया। अगर आप अपने माता-पिता के बारे में सोचें कि उन्होंने आपको कैसे पाला और क्या सबसे अच्छा था।","मेरे बच्चों का (ईमानदारी से ध्यान रखा) है, मेरे माता-पिता वह जानते हैं। तो इसी तरह उन्होंने मुझे बड़ा किया। अगर तुम सबसे अच्छी चीज़ के बारे में सोचो, तो तुम्हारे माता-पिता ने तुम्हेंं कैसे बड़ा किया और ऐसी चीज़़ें तुम कैसे करोगे।
",formal
わかった？携帯電話のサインインの仕方はわかった？,क्या आपको समझ में आया? क्या आप मोबाइल पर साइन इन करना समझ गए?,"क्या तुम करवा पाए? क्या तुम इसे अपने फ़ोन में साइन इन करवा पाए?
",formal
ユニセフはあなたが携帯電話を使っていたかどうかどうやって分かるのでしょう。,यूनिसेफ कैसे पता करेगा कि आप मोबाइल फोन इस्तेमाल कर रहे थे या नहीं?,"मैं सोचता हूँ कि UNICEF को इसका पता भी कैसे चलेगा कि तुम अपने सेल फ़ोन का इस्तेमाल कर रहे थे या नहीं
",formal
車の後ろに座っていて、道路に集中する必要はない。 年間の運転時間に対し、生産性がどのように上がるかだ。,आप कार के पिछले हिस्से में बैठे हैं और सड़क पर ध्यान देने की ज़रूरत नहीं है। महत्वपूर्ण यह है कि आपकी उत्पादकता एक साल में कितनी बढ़ेगी।,"अपनी कार के पीछे बैठकर जब सड़क पर ध्यान देना नहीं पड़ता तब। साल में कितने घंटे तुम ड्राइव करने में ख़र्च करते हो बनाम तुम उस समय का इस्तेमाल ज़्यादा उत्पादक बनने के लिए कैसे कर सकते हो।
",formal
座って、Twitterフィードの全員が実際の取引を見れることを確認します,आप बैठ जाइए और सुनिश्चित करें कि आपके ट्विटर फ़ीड पर हर कोई वास्तविक लेनदेन को देख रहा है।,"बैठ जाओ और सुनिश्चित करो कि तुम्हारे Twitter फ़ीड पर हर कोई असली मुद्दे को देख रहा है
",formal
小さい頃レゴで遊びましたか？,क्या आप बचपन में लेगो से खेलते थे?,"क्या तुम बचपन में Lego से खेला करते थे?
",formal
もちろん、服がフィットする限りは。それが一番大事だよ。若い頃、服にもっとお金をかけ、時間とエネルギーを費やしていたと思う？,"निश्चित रूप से, जब तक कपड़े आपको फिट हों। यही सबसे महत्वपूर्ण बात है। क्या आप अपनी युवावस्था में कपड़ों पर अधिक पैसा खर्च करते थे और उन पर अधिक समय और ऊर्जा लगाते थे, ऐसा लगता है?","तुम्हेंं पता है, जब तक यह फिट बैठता है। यही सबसे बड़ी बात है। क्या तुम्हेंं लगता है जब तुम छोटे थे तब तुम कपड़ों पर ज़्यादा पैसे ख़र्च करते थे, और तुम अपने पहनावे पर ज़्यादा समय और ऊर्जा देते थे?
",formal
