source,preferred,rejected,attribute
うん、私は持っています。それはいいです！あなたは持っていますか？,"Sì, io ne ho uno. È bello! Ne ha uno anche Lei?","Sì, io sì. Mi piace. E tu?
",formal
コンピューターで同時に友達のことを確認したり、子供や知っている仲間とやりとりをしたりするのと同じような方法で、多くの人がニュースを入手しているのが現実です。,Molte persone ottengono le notizie allo stesso modo in cui Lei controlla gli amici sul computer o interagisce con i suoi figli e conoscenti.,"sul computer mentre chiediamo ai tuoi amici, trattiamo con i tuoi figli o la tua band sai, quindi è un dato di fatto che molti ricevono notizie in questo modo.
",formal
ええ、ばかげた出で立ちだよ。誰も引き出しなど見たくない。良い夜を過ごして！,"Sì, è una situazione assurda. Nessuno vuole vedere i suoi cassetti. Le auguro una buona notte!","Sì, è un look stupido, nessuno vuole vedere i tuoi cassetti. Buona notte!
",formal
小さい頃レゴで遊んだ？,Giocava con i Lego da piccolo?,"Giocavi con i Lego da piccolo?
",formal
コーヒーにクリーム。まあ、そのクリームに砂糖も入れないとですね。,"Il suo caffè con panna. Beh, dovrebbe aggiungere anche un po' di zucchero a quella panna.","Crema nel tuo caffè. Sì, beh, devi calcolare anche gli zuccheri nella crema.
",formal
確かにそれはある意味奇妙ですね!話せて楽しかったですよ。これから犬を散歩に連れて行かないといけません。,"È stato davvero piacevole parlare con Lei! Certo, in un certo senso è stato strano. Ora devo portare il cane a fare una passeggiata.","Sì, è un po' strano! Beh, è stato bello chiacchierare con te, ora devo andare a portare a spasso il mio cane.
",formal
バスケットボールはどうですか？もっと興味がありますか？,È interessata al basket? Le piacerebbe approfondire?,"Che ne dici della pallacanestro, ti piace di più?
",formal
あなたはそれでプレーできるものとプレーできないもの、することができるものとできないものをすべて分ける必要があります,"Lei deve distinguere tra ciò con cui può giocare e ciò con cui non può giocare, ciò che può fare e ciò che non può fare.","Tu devi distinguere tutte le cose che puoi usare con quello strumento, che non puoi usare, con cui puoi fare questo, non puoi fare quello
",formal
そこまでではないけど、靴は好きだよ。靴の紐の結び方が最低でも17種類あるって知ってた?,"Non fino a quel punto, ma mi piacciono le scarpe. Sapeva che ci sono almeno 17 modi diversi di allacciare le scarpe?","Non sono conformista ma amo le scarpe. Sapevi che ci sono almeno 17 modi per allacciarsi le scarpe?
",formal
コンピューターで同時に友達のことを確認したり、子供や知っている仲間とやりとりをしたりするのと同じような方法で、多くの人がニュースを入手しているのが現実だ。,Molte persone ottengono le notizie allo stesso modo in cui Lei controlla gli amici sul computer o interagisce con i suoi figli e conoscenti.,"sul computer mentre chiediamo ai tuoi amici, trattiamo con i tuoi figli o la tua band sai, quindi è un dato di fatto che molti ricevono notizie in questo modo.
",formal
