source,preferred,rejected,attribute
そして私はご存知の通りとても頭が冴えていて、何か画期的なことを考えなければならないと気付きました。,"En zoals u weet ben ik zeer intelligent, dus ik realiseerde me dat ik iets baanbrekends moest bedenken.","En ik had zoiets van, ik ben slim genoeg, zoals je wel weet, ik kom er echt wel uit, ik moet iets geweldigs doen.
",formal
同感だ、じゃあフィクションは好き？,Ik vind dat ook. Houdt u van fictie?,"Ik vind dat ook. Hou je van fictie?
",formal
それは見逃しませんでしたよ。どのテレビゲームがお好きでしたか?その研究の背後にいるのはJane McGongiaiというゲームデザイナーでしたが、最高でしたね。,Dat heb ik zeker niet gemist. Welke videogames waren uw favorieten? Jane McGongiai was de gamedesigner achter dat onderzoek. Het was echt geweldig.,"Dat is interessant, dat wist ik niet. Ik hoop dat die film goed is. Heb je ooit de sitcom Growing Pains gezien? Blijkbaar hebben Brad Pitt, Matthew Perry en ook Leonardo DiCaprio daarin ooit gespeeld.
",formal
財布が見つけられないなら行くべきではないと私たちは思いましたが、私は、いや、見つけられますという感じでした。それで、納得して私たちはダウンタウンに行きました,"Als u uw portemonnee niet kunt vinden, moeten we niet gaan, dachten wij. Maar ik had het gevoel dat ik het wel zou vinden. Dus gingen we akkoord en zijn we naar het centrum gegaan.","We vinden dat je niet moet gaan als je je portemonnee niet kunt vinden en ik had zoiets van, nee, ik kan hem wel vinden. Dus ik pakte hem en toen gingen we naar het centrum.
",formal
それで、観光客の産物を続けるよ、基本的に、その通りだった。それで、トイレの大きさの小さなブースがあるけど、ほら、1つのトイレ、全部のブースに同じものがある。,"Dus, ik ga door met het product voor toeristen, het was eigenlijk precies zoals u zei. Dus er zijn kleine cabines met een toilet, maar kijk, één toilet, hetzelfde in elke cabine.","Dus ik ga gewoon verder met deze toeristische voorwerpen, dat was het. Dus er zijn kleine hokjes ter grootte van je badkamer, je weet wel een badkamer, elk hokje heeft hetzelfde.
",formal
もちろん親は人生で行うすべてのことで本当に大切で、突然消えてしまうから、特に私の父はせわしなかった,"Natuurlijk zijn ouders heel belangrijk voor alles wat u in het leven doet, en omdat ze zo plotseling kunnen verdwijnen, was mijn vader vooral niet erg aanwezig.","weet je, ouders zijn gewoon zo belangrijk zoals alles wat je doet in het leven en opeens weg, vooral mijn vader dat zal raar zijn.
",formal
彼は本当に素晴らしい人です!なぜグリーンランドがFIFAに加盟できないと思いますか?緑の芝生が育たないからですよ。,Hij is echt een geweldige man! Waarom denkt u dat Groenland geen lid kan worden van de FIFA? Omdat er geen groen gras kan groeien.,"Dat is echt aardig van hem! Wat een aardige vent. Waarom denk je dat Groenland niet bij de FIFA mag? Blijkbaar omdat er daar geen groen gras kan groeien, LOL.
",formal
それはすべて石油で、あなたは何もできない。それはすべて石油で、プラスチックに変わる、,"Het draait allemaal om olie, daar kunt u niets aan doen. Het draait allemaal om olie, het wordt omgezet in plastic.","Het is allemaal olie, en dan kun je dat niet. Het is allemaal olie, en daar wordt plastic van gemaakt,
",formal
だからその間でうまくバランスを取る必要があります,Daarom moet u een goede balans vinden tussen die twee,"Dus je moet een goede balans zien te vinden tussen
",formal
でも、あなたの野球に対するお考えを知りたいです。ストライクかストライクではないか、野球場はフェンスで囲まれているので、ヒューマンエラーということもありますからね。,"Maar ik zou graag uw mening over honkbal willen horen. Of het een strike is of geen strike, er kan altijd een menselijke fout gemaakt worden, omdat het honkveld is omringd door een hek.","Maar ik bedoel, om jouw gedachten over honkbal te vernemen, want honkbal is nogal beperkt, het is of een strike, of geen strike, maar wat menselijke fouten betreft.
",formal
素晴らしいです、あなたのお支払いは処理中です。 取引を確認するまでしばらく待ってください。,"Uitstekend, uw betaling wordt verwerkt. Een ogenblik geduld alstublieft tot de transactie is bevestigd.","Geweldig, je betaling wordt verwerkt. Een ogenblik geduld, alsjeblieft, tot ik je transactie heb bevestigd.
",formal
両方のフランチャイズの価値を考えると、とんでもないことだ。バットマンといえば、バットマンを演じた俳優の中で誰が好きだった?,"Gezien de waarde van beide franchises is het werkelijk ongelooflijk. Als we het over Batman hebben, welke acteur die Batman heeft gespeeld, had u dan het liefst?","Ja, als je bedenkt hoeveel beide franchises waard zijn, is dat behoorlijk gestoord. Over Batman gesproken, welke acteur was je favoriete Batman?
",formal
口にいれてはいけません。それを口に入れないでください。それを口に入れないでください！,U mag het niet in uw mond stoppen. Stop het alstublieft niet in uw mond. Stop het alstublieft niet in uw mond!,"Niet in je mond. Steek dat niet in je mond. Steek dat niet in je mond!
",formal
私はグラン・トリノが好きだけど、あなたは何が好き?,"Ik hou van de film Gran Torino, maar wat is uw favoriete film?","Dat zijn ze. Ik vind vooral Gran Torino leuk. Wat is jouw favoriet?
",formal
将来、スマートデバイスを導入したときに、子供たちが「ああ、Amazonでブランクを注文してみたい」と言って、「ねえ、そして・・・」と言われてしまうのではないかと不安はありませんか？,"Maakt u zich geen zorgen dat uw kinderen in de toekomst, wanneer ze slimme apparaten gebruiken, zullen zeggen: ""Ah, ik wil iets bestellen op Amazon"" en dan tegen u zullen zeggen: ""Hé, en...""?","""Ben je ooit bezorgd dat in de toekomst, als je inderdaad smart devices hebt, je kinderen zullen zeggen: """"Hé, ik zou graag een ... bestellen bij Amazon"""", en dan zeggen ze: """"Hallo zus en zo""
",formal
映画は携帯電話でも視聴が大幅に減少しています。ということは携帯電話ではテレビを観ている人が多いんだと思います。私は携帯電話でテレビを観たことはありません。そういうものは観ません。でも、携帯電話でYouTube動画だけは観ています。,Films slash shows op de telefoon. Dus ik neem aan dat u tv kijkt op uw telefoon. Ik heb nog nooit tv gekeken op mijn telefoon. Niet op die manier. Het enige waar ik naar kijk op mijn telefoon zijn YouTube-video's.,"Films slash shows op de telefoon. Dus ik neem aan dat je tv kijkt op je telefoon. Ik heb nog nooit tv gekeken op mijn telefoon. Niet op die manier. Het enige waar ik naar kijk op mijn telefoon zijn YouTube-video's.
",formal
