source,preferred,rejected,attribute
映画は携帯電話でも視聴が大幅に減少している。ということは携帯電話ではテレビを観ている人が多いんだと思う。私は携帯電話でテレビを観たことはない。そういうものは観ない。でも、携帯電話でYouTube動画だけは観ているよ。,"Filmes ou séries no telemóvel estão a diminuir muito. Então, acho que muitas pessoas veem TV no seu telemóvel. Nunca vi TV no meu telemóvel. Não vejo esse tipo de coisas. Mas vejo vídeos do YouTube no meu telemóvel.","Filmes ou séries no telemóvel. Então, acho que ver TV no teu telemóvel. Nunca vi TV no meu telemóvel. Não dessa forma. A única coisa que vejo no meu telemóvel são vídeos do YouTube.
",formal
彼らがあなたの人生のその部分に参加してくれるかどうかだね。,Estão dispostos a participar nessa parte da sua vida?,"Estão dispostos a participar nessa parte da tua vida?
",formal
え、両方に、それはすごいね、こっちに10人、あっちに10人いたら。ほとんど男の子?女の子たちがいた,"Oh, de cada lado, é uma loucura se tem 10 desse lado, 10 daquele lado, é quase tudo rapazes ou havia raparigas","Oh, de cada lado, é uma loucura se tens 10 desse lado, 10 daquele lado, é quase tudo rapazes ou há raparigas
",formal
ええ、あなたはそれを取り除くことができます、コスト削減につながります。,"Sim, pode removê-lo, ajudará a reduzir os custos.","Sim, podes simplesmente livrar-te dele, quer dizer cortar o teu custo.
",formal
このゲームについて聞いたことはある？ Astro Bot Rescue Missionは、ゲームに飽き飽きした人にものその楽しさを思い出させる,Ouviu falar desse jogo? Astro Bot Rescue Missions reaviva o divertimento dos videojogos até para os mais aborrecidos,"Ouviste falar desse jogo? Astro Bot Rescue Missions reaviva o divertimento dos videojogos até para os mais aborrecidos
",formal
あなたの上司と話せる？,Pode falar com o seu chefe?,"Posso falar com o teu gerente, por favor?
",formal
それではまずこれから尋ねましょう。今まで行った中で好きな場所はどこですか？,Então vamos começar com esta pergunta. Qual é o seu lugar favorito que já visitou?,"e por isso vou apenas começar por perguntar-te isto. Onde é o teu lugar preferido onde já estiveste?
",formal
私もありません。それが脳の中で何かを誘発するんだと思います。少しばかげていますが。好きなユニフォームはありますか?,"Eu também não. Acho que isso desencadeia algo na mente. Um pouco louco, mas. Tem algum uniforme favorito?","Eu também não, pergunto-me se provoca alguma coisa no cérebro. É um pouco louco. Tens uma camisa favorita?
",formal
あなたと同感です。それは数年前に起こった。トランプ支持者がそれを見つけてソーシャルメディアに投稿したと書かれています。それは奇妙に思えます...,Concordo consigo. Isso aconteceu há alguns anos. Está escrito que apoiantes do Trump o descobriram e publicaram nas redes sociais. Parece estranho...,"Concordo contigo. Aconteceu há alguns anos atrás. Diz que pessoas a favor do Trump encontram-nos e postaram-nos nas redes sociais. Parece estranho...
",formal
それを全部やらないといけないんだ。違いはあるかもしれないけど、大したことではない。あなたの話題についてもっと聞かせてよ。,"Tem que fazer tudo isso. Pode haver diferenças, mas não é grande coisa. Conte-me mais sobre o seu assunto.","É tudo o que tenho com que trabalhar, provavelmente temos coisas diferentes, sem problema. Diz-me mais sobre o teu tópico.
",formal
あなたと同感です。しかしマイケル・ベイはいい監督です。彼の監督した映画ザ・ロックは本当に素晴らしいです。,"Concordo consigo. No entanto, Michael Bay é um bom realizador. O filme que ele realizou, The Rock, é realmente excelente.","Concordo contigo. Mas o Michael Bay é um diretor decente, ele dirigiu o filme O Rochedo que é muito bom.
",formal
そこで買う前に製品を手にすること。,Colocar o produto na sua mão antes mesmo de lá chegar.,"Colocar o produto na tua mão antes mesmo de lá chegar.
",formal
それはすごい。コメディーの映画とテレビ番組が好きだけど、サード・ロック・フロム・ザ・サンは見たことある?,"Isso é ótimo. Gosta de filmes e programas de comédia, mas já viu ""Third Rock from the Sun""?","Isso é fixe. Eu gosto de filmes de comédia e séries de televisão. Já alguma vez viste o 3º Calhau a Contar do Sol?
",formal
うわー、原稿を書くのに長い時間がかかります。さて、話せて嬉しかったです！,"Uau, leva muito tempo a escrever esses roteiros. Bem, foi um prazer conversar consigo!","Nossa, isso é muito tempo para escrever um guião. Bom, foi um prazer falar contigo!
",formal
このゲームについて聞いたことがありますか？ Astro Bot Rescue Missionは、ゲームに飽き飽きした人にものその楽しさを思い出させます,Ouviu falar desse jogo? Astro Bot Rescue Missions reaviva o divertimento dos videojogos até para os mais aborrecidos,"Ouviste falar desse jogo? Astro Bot Rescue Missions reaviva o divertimento dos videojogos até para os mais aborrecidos
",formal
うん、ジュラシック・パークライドに乗ったことはある？,"うん、ジュラシック・パークライドに乗ったことはある？}:

{Sim, já andou na atração Jurassic Park Ride?}
","Sim. Já alguma vez andaste na montanha-russa do jurassic park?
",formal
それで、観光客の産物を続けるよ、基本的に、その通りだった。それで、トイレの大きさの小さなブースがあるけど、ほら、1つのトイレ、全部のブースに同じものがある。,"Então, continuam com os produtos para turistas, basicamente, era isso. Então, havia pequenas cabines do tamanho de uma casa de banho, sabe, um único vaso sanitário, o mesmo em todas as cabines.","Vou só continuar com esses artefatos de turistas, basicamente, é o que era. Há pequenas cabines do tamanho da tua casa de banho, sabes casa de banho simples, todas as cabines têm a mesma coisa.
",formal
彼らがあなたの人生のその部分に参加してくれるかどうかですね。,Depende se eles quiserem participar nessa parte da sua vida.,"Estão dispostos a participar nessa parte da tua vida?
",formal
なんと言いますか、何かをやっていて、感情とか色んなことについて話して学校にいる振りをしていて、キャサリンは、どうやって、と言いますか、あなたと彼氏のファーストキスはいつでしたかって感じで、私は,"Como posso explicar, estávamos fingindo estar na escola, falando sobre emoções e coisas assim, e Catarina perguntou, como posso dizer, quando foi o seu primeiro beijo com o namorado, e eu...","estávamos a fazer não sei alguma coisa falar de emoções ou uma escola de teatro qualquer e Cathleen estava tipo como foi o teu primeiro beijo com o teu namorado e eu estava tipo
",formal
