source,preferred,rejected,attribute
U kunt zelfs op de top van Mount Everest niet aan uw verslaving ontsnappen. Ook daarboven is er een 3G-netwerk en internettoegang.,Ni siquiera en la cima del Monte Everest podrá escapar de su adicción. Incluso allí hay una red 3G y acceso a Internet.,"No puedes escapar de tu adicción ni siquiera en la cima del Everest. Ahí arriba hay servicio de telefonía móvil 3G e Internet.
",formal
"Wat is uw favoriet? Houdt u van Starbucks, houdt u van Dunkin's, hoe zit het met die koffieshopketens?","¿Cuál es su favorito? ¿Le gusta Starbucks, le gusta Dunkin's, qué opina de esas cadenas de cafeterías?","¿Cuál es tu favorito? ¿Te gusta Starbucks, te gusta Dunkin's, qué hay de esas cadenas rollo cafeterías?
",formal
"Ja, je moet toegeven, iedereen heeft zijn eigen mentaliteit, weet je wat ik bedoel, iedereen heeft zijn eigen stijl","Sí, hay que admitir que cada uno tiene su propia mentalidad, ya sabe a lo que me refiero, cada uno tiene su propio estilo","Sí, debes decirlo, cada uno tiene su propia actitud, ya sabes lo que digo cada uno tiene su propio estilo
",formal
"Nee, ik zie dat het bij jou groot is, en bij mij ziet het er vrijwel plat uit. Mijn volume staat op het maximum en je kent mijn microfoon.","No, veo que el suyo es grande y el mío se ve casi plano. Mi volumen está al máximo y usted conoce mi micrófono.","No, yo veo que el tuyo es grande y el mío lo veo casi plano. Mi volumen está al máximo y ya sabes, mi micrófono.
",formal
"Oké, u staat erbij alsof u met uw hele verhaal getrouwd moet zijn, hoe jullie bij elkaar zijn gekomen,","Está bien, parece como si tuviera que casarse con toda su historia, cómo se conocieron,","Ya veo, quedas como si tuvieses que estar casado durante toda tu historieta, cómo os conocisteis,
",formal
"Ik denk gewoon omdat, wat soorten betreft, zoals je zei, mensen (ontwikkeld) zijn. Waarschijnlijk zag het er een beetje raar uit. Denk je dat je","Creo que solo porque, en términos de especie, como usted dijo, los humanos están (desarrollados). Probablemente se vea un poco raro. ¿Cree usted que su","Creo que solo porque, en términos de especie, como dijiste, los humanos están (desarrollados). Probablemente se vea un poco raro. Crees que tu
",formal
Daar weet ik niet veel van. Heb je weleens gehoord over het Generic Comic Book?,No sé mucho sobre eso. ¿Ha oído hablar del Generic Comic Book?,"No sé mucho al respecto. ¿Has oído hablar del cómic genérico?
",formal
Speelde jij met Lego toen je nog kind was?,¿De pequeño jugaba usted con piezas de Lego?,"¿De pequeño jugabas con piezas de Lego?
",formal
"Ja, je hebt volkomen gelijk. Denk je dat het fair was dat hij werd ontslagen, aangezien hij zich toch eerder had verontschuldigd?","Sí, tiene toda la razón. ¿Cree que fue justo que lo despidieran, dado que se había disculpado anteriormente?","Sí, has dado en el blanco. ¿Crees que su despido fue justo, dado que ya se había disculpado previamente?
",formal
"Maar zij vinden dat u als werknemer een verkoopdoel moet bereiken, dus als u een uur bezig bent met iemand op te maken","Pero consideran que como empleado, usted tiene que alcanzar un objetivo de ventas, así que si dedica una hora a maquillar a alguien","Pero son rollo: como empleado, tienes un objetivo de ventas que cumplir y tal si dedicas una hora a maquillar a alguien
",formal
