source,preferred,rejected,attribute
"breng ze naar het park en laat ze rondrennen en moe worden, u weet wat ik bedoel, zodat ze gaan slapen","Amenez-les au parc et laissez-les courir et se fatiguer, vous voyez ce que je veux dire, pour qu'ils aillent dormir.","les emmener au parc, les laisser courir et se dépenser, tu vois ce que je veux dire, pour qu'ils s'endorment
",formal
"Vroeger deed ik dat wel, maar nu niet meer. Ik vind uw traditie van naar het kinderziekenhuis wuiven zo mooi. Zo ontroerend.","Autrefois, je le faisais, mais plus maintenant. Je trouve votre tradition de saluer les enfants à l'hôpital si belle. Si émouvante.","J'en faisais à l'époque, plus maintenant. J'adore ton habitude de faire coucou à l'hôpital pour enfants. C'est si émouvant.
",formal
Kijk je naar films? Wat is je favoriete film?,Regardez-vous des films ? Quel est votre film préféré ?,"Tu regardes des films. Lequel est ton préféré ?
",formal
"Als je een kind hebt waar je verantwoordelijk voor bent, dan moet je je zaken op orde hebben.","Si vous avez un enfant dont vous êtes responsable, vous devez avoir vos affaires en ordre.","Quand tu le fais, quand tu as un enfant à charge, tu dois t'y préparer.
",formal
"Inderdaad. Dus als Martin uw favoriete show was toen u jong was, wat is dan nu uw favoriete show?","Effectivement. Donc si Martin était votre émission préférée quand vous étiez jeune, quelle est votre émission préférée maintenant ?","Tu as compris. Donc, si Martin était ton émission préférée en grandissant, quelle est ton émission préférée maintenant ?
",formal
"Hoe dan ook, jouw probleem is grotendeels te wijten aan je manier van eten.","De toute façon, votre problème est largement dû à votre façon de manger.","De toute façon, le problème se trouve dans ton alimentation.
",formal
"Ik wilde u vragen wat u ervan vond. Jack Black zou oorspronkelijk de hoofdrol spelen in The Green Lantern, een film die oorspronkelijk een komedie was.","Je voulais vous demander ce que vous en pensiez. Jack Black devait initialement jouer le rôle principal dans The Green Lantern, un film qui était à l'origine une comédie.","J'allais te demander ce que tu en pensais. Jack Black était censé tenir le rôle de Green Lantern qui devait, à l'origine, être une comédie.
",formal
Zoals uw verzekeringen betalen en optredens zoeken en aannemen die u niet wilt aannemen.,Comme payer vos assurances et rechercher et accepter des performances que vous ne voulez pas accepter.,"Comme payer toutes tes assurances, essayer de trouver du travail et prendre un travail qui ne te plait pas
",formal
"Ja, dat is best interessant. Heb je The Goonies gezien?","Oui, c'est intéressant. Avez-vous vu le film Les Goonies ?","Oui, c'est intéressant. As-tu vu les Goonies ?
",formal
"zeker, ze zijn er gewoon wanneer u hulp nodig heeft.","Bien sûr, ils sont là quand vous avez besoin d'aide.","définitivement, ils sont là chaque fois que tu as besoin d'un coup de main.
",formal
"Nee, ik ben het met u eens. Gaat u trouwens naar de Academy Awards kijken? Ze reiken 24 prijzen uit en ik denk dat de eerste uitzending al in 1930 was, wat te gek is","Non, je suis d'accord avec vous. Allez-vous regarder les Oscars ? Ils remettent 24 prix et je pense que la première cérémonie a eu lieu en 1930, c'est fou.","Oui, je suis d'accord avec toi. Vas-tu regarder les Academy Awards au fait ? Ils vont remettre 24 prix et je pense que la première diffusion remonte à 1930, c'est impressionnant
",formal
"Zeker, mag ik ook je postcode en straatnaam alsjeblieft?","Bien sûr, puis-je également avoir votre code postal et le nom de votre rue, s'il vous plaît ?","Bien sûr. Puis-je également avoir ton code postal et le nom de la rue, s'il te plaît ?
",formal
"En ze hadden een markt, net zoals uw oplossing.","Et ils avaient un marché, tout comme votre solution.","Et ils avaient un marché comme ta solution
",formal
"Ja, u hebt volkomen gelijk. Denkt u dat het fair was dat hij werd ontslagen, aangezien hij zich toch eerder had verontschuldigd?","Oui, vous avez parfaitement raison. Pensez-vous que c'était juste qu'il soit licencié, étant donné qu'il s'était excusé auparavant ?","Oui, tu as raison. Penses-tu que son éviction était justifiée puisqu'il s'était excusé ?
",formal
"""Dus in feite zegt u gewoon: """"Ik sluit mijn account.""""""","Donc en fait vous dites simplement : ""Je ferme mon compte"".","donc en gros, tu y vas et dis « je ferme mon compte »
",formal
"De meeste mensen denken dat alle haaien menseneters zijn, maar ik heb gelezen dat niet alle haaien menseneters zijn. Heeft u de films over haaien gezien?","La plupart des gens pensent que tous les requins sont des mangeurs d'hommes, mais j'ai lu que ce n'est pas le cas de tous les requins. Avez-vous vu des films sur les requins ?","La plupart des gens pensent que tous les requins sont des tueurs mais j'ai lu que ce n'état pas le cas de tous. As-tu vu des films sur les requins ?
",formal
Ik weet wat u bedoelt. Het is het enige voorwerp waarvan bekend is dat het leeft en we moeten weten waarom dat is.,Je comprends ce que vous voulez dire. C'est le seul objet dont on sait qu'il est vivant et nous devons en connaître la raison.,"Je vois ce que tu veux dire. C'est le seul objet connu pour porter la vie et nous devons savoir pourquoi.
",formal
Interessant. Dat wist ik niet. Wat doe je nog meer in je vrije tijd?,Intéressant. Je ne le savais pas. Que faites-vous d'autre pendant votre temps libre ?,"Intéressant. Je ne le savais pas. Que fais-tu d'autre de ton temps libre ?
",formal
