source,preferred,rejected,attribute
"op de computer en tegelijkertijd checken ze hoe het met hun vrienden gaat, zijn ze bezig met hun kinderen of met hun groepje, weet je wel. Het is nu eenmaal een feit dat veel mensen op die manier contact hebben met de buitenwereld.","Sono al computer e allo stesso tempo controllano come stanno i loro amici, si occupano dei loro figli o del loro gruppo, lo sa. È semplicemente un fatto che molte persone abbiano contatti con il mondo esterno in questo modo.","sul computer mentre chiediamo ai tuoi amici, trattiamo con i tuoi figli o la tua band sai, quindi è un dato di fatto che molti ricevono notizie in questo modo.
",formal
"Dat denk ik niet. Ze zijn onafhankelijk. Als ze op uw arm willen klimmen dan doen ze dat, en hen berispen, zoals u dat met een hond zou doen, heeft weinig zin.","Non credo. Sono indipendenti. Se vogliono arrampicarsi sul suo braccio lo fanno, e rimproverarli, come farebbe con un cane, non serve a molto.","Non credo. Sono indipendenti. Se sentono il bisogno di arrampicarsi sul tuo braccio, lo faranno; e a differenza dei cani, si lamenteranno di conseguenza.
",formal
"en ze bestellen al de producten die zij verdelen wanneer ze zonder zitten, u weet wel, dat brengt nieuwe spullen aan","E loro ordinano tutti i prodotti che distribuiscono quando ne sono sprovvisti, sa, questo porta nuove cose","e ordinano tutti i prodotti che distribuiscono e che sono esauriti, sai cose nuove
",formal
"Goed, maar door de annulering ... Laten we eens kijken, hebt u het? Weet u, wacht, ik zoek het. Wat is de kan? Waar? Waarom hebt u uw vlucht nog niet geannuleerd? Kan ik mijn ticket annuleren als ik het ter plaatse heb gekocht?","Bene, ma per la cancellazione... Vediamo, ce l'ha? Sa, aspetti, lo cerco. Qual è il caso? Dove? Perché non ha ancora cancellato il suo volo? Posso cancellare il mio biglietto se l'ho comprato in loco?","Bene, ma a causa della cancellazione vediamo, capisci? sai, aspetta, lo sto cercando. Cosa diavolo? dove? Perché non ho ancora cancellato il tuo volo? Posso cancellare il mio biglietto se l'ho acquistato da un locale?
",formal
"Oh, lol, dat is cool. Dus misschien vindt u in de toekomst wel de gepaste hamster, lol. Ik heb een hond. De eerste gekloonde kat heette Copy Cat, lol.","Oh, ahah! Questo è forte. Quindi forse un criceto è nel suo futuro eheh. Ho un cane. Il primo gatto clonato si chiamava ""copione"" ahah","Oh, ahah! Questo è forte. Quindi forse un criceto è nel tuo futuro eheh. Ho un cane. Il primo gatto clonato si chiamava ""copione” ahah
",formal
"Lol, ik heb gehoord dat als u daar werkt, u uw hond mee mag nemen naar uw werk. Wel nogal discriminerend tegenover katten!","Ahah, ho sentito che se Lei lavora in quell'ufficio, può portare il Suo cane al lavoro. Un po' discriminatorio nei confronti dei gatti però!","ahah, ho sentito che puoi portare il tuo cane al lavoro in quell'ufficio, i gatti sarebbero un po’ discriminati però!
",formal
Ik zou precies hetzelfde doen als jij. Waarom zou je de kans verspelen om de rest van je leven op rozen te zitten? Lol,Farei esattamente la stessa cosa sua. Come non lasciarsi sfuggire l'occasione di sistemarsi per tutta la vita? Ahah,"Farei esattamente la stessa cosa tua. Come non lasciarti sfuggire l'occasione di sistemarti per tutta la vita? Ahah
",formal
Dus je vader vertelt een verhaal anders.,Quindi suo padre racconta una storia diversa.,"Allo stesso modo tuo padre. È così, è tutta un'altra storia.
",formal
"Ja, dat is best interessant. Heb je The Goonies gezien?","Sì, è piuttosto interessante. Ha visto il film ""The Goonies""?","Sì, è piuttosto interessante. Hai visto I Goonies?
",formal
"in de verschillende fases van mijn leven, je weet wel, familie, hard werken, toewijding, loyaliteit, eerlijkheid. Dus ik voel dat als mijn kinderen dat leren en ze familie waarderen","Nelle varie fasi della mia vita, Lei sa, famiglia, duro lavoro, dedizione, lealtà, onestà. Quindi sento che se i miei figli imparano questi valori e apprezzano la famiglia","nelle diverse fasi della mia vita, sai, la famiglia, il duro lavoro, la dedizione, la lealtà, l'onestà. Quindi sento che se i miei figli lo imparano e apprezzano la famiglia
",formal
we hebben mijn routine. Wat is jouw routine?,seguiamo la mia routine. Qual è la sua routine?,"seguiamo la mia routine. Qual è la tua routine?
",formal
"Hoe dan ook, jouw probleem is grotendeels te wijten aan je manier van eten.","In ogni caso, il suo problema è dovuto in gran parte alla sua dieta.","La dieta è comunque la maggior parte del tuo problema.
",formal
"Ik vond 3rd Rock geweldig! Leest u wel eens graag stripboeken? Ik niet, maar mijn jongens wel.","Ho trovato 3rd Rock fantastico! Le piace leggere fumetti? A me no, ma ai miei ragazzi sì.","Mi piaceva Una famiglia del terzo tipo! Ti piacciono i fumetti? A me no, ma ai miei ragazzi sì.
",formal
"het is belangrijker dan werk, het is belangrijker dan een baan en een carrière, want je carrière houdt op, je familie niet. Je familie blijft bestaan, je bloedlijn zal blijven bestaan","È più importante del lavoro, è più importante di un impiego e di una carriera, perché la sua carriera finirà, la sua famiglia no. La sua famiglia continuerà ad esistere, la sua linea di sangue continuerà ad esistere.","è più importante del lavoro, è più importante che avere un lavoro e una carriera perché la tua carriera finisce, la tua famiglia no. La tua famiglia va avanti, la tua stirpe si perpetua
",formal
"Als u culturen vermengt, dan moet u hopen dat de overheersende cultuur de meer ingetogen cultuur niet verplettert, en ik zou uw vriendin eerder zien als behorende tot een meer ingetogen cultuur.","Quando Lei mescola culture diverse, si augura che la cultura più dominante non schiacci quella più riservata, e vedrei la Sua amica come appartenente a una cultura più riservata.","quando mescoli culture diverse ti auguri che la cultura più roboante non schiacci la cultura più sommessa e vedrei il tuo amico come la cultura più sommessa
",formal
"Inderdaad. Dus als Martin uw favoriete show was toen u jong was, wat is dan nu uw favoriete show?","Infatti. Quindi, se Martin era il suo spettacolo preferito da giovane, qual è il suo spettacolo preferito adesso?","L'hai capito. Quindi, se Martin era il tuo spettacolo preferito da giovane, qual è il tuo spettacolo preferito adesso?
",formal
"U sluit de account, dat kunt u online doen, u geeft de reden en dan morgen mijn account sluiten en die van mijn zus","Lei chiude l'account, può farlo online, fornisce la motivazione e poi domani chiuderò il mio account e quello di mia sorella.","tu chiudi l'account e puoi farlo online, puoi indicare il motivo e poi chiudere il mio account domani e quello di mia sorella
",formal
Als je het hebt waarom niet? Hij is tenslotte meer dan 20 miljard dollar waard.,"Se ne ha la possibilità, perché no? Dopotutto, vale più di 20 miliardi di dollari.","Se ce l'hai, perché no? Dopotutto vale più di 20 miliardi di dollari.
",formal
Wat een prachtige honden! Wonen u en uw honden in een noordelijk klimaat?,Che bellissimi cani! Lei e i suoi cani vivete in un clima nordico?,"Che bei cani! Tu vivi con i tuoi cani in un clima nordico?
",formal
Als er zo veel goedkope kleding is en dus ... u weet wel.,Se c'è così tanta abbondanza di abbigliamento a basso costo e quindi... Lei sa cosa intendo.,"Quando ci sono tutti questi abiti a prezzi tanto bassi e così, sai.
",formal
"Wat betekent dat het de hele show zoveel moeilijker maakt, want iedereen kan jouw perfecte match zijn.","Ciò rende lo show molto più difficile, perché chiunque potrebbe essere il suo partner perfetto.","Significa che rende problematico l'intero spettacolo in quanto chiunque può essere il tuo partner ideale.
",formal
"Ja, heb ik. Ik heb veel Nintendo gespeeld toen ik jong was. En jij?","Sì, l'ho fatto. Ho giocato molto a Nintendo quando ero giovane. E Lei?","Sì, lo so, giocavo molto con il Nintendo da piccolo. E tu?
",formal
Speelde u met Lego toen u nog kind was?,Giocava con i Lego da piccolo?,"Giocavi con i Lego da piccolo?
",formal
"Ja, dat kunnen ze. Dus je kunt Amazon gebruiken om je leven te verbeteren en ook voor entertainment. Ze hebben nu immers hun eigen film- en tv-studio.","Sì, possono farlo. Quindi Lei può utilizzare Amazon per migliorare la Sua vita e anche per l'intrattenimento. Hanno ora infatti il loro proprio studio cinematografico e televisivo.","Sì, possono. Quindi puoi usare Amazon per semplificare la tua vita e poi usarli per l'intrattenimento. Dopotutto, ora hanno il loro studio cinematografico e televisivo.
",formal
"Ik veronderstel dat je zoiets als je eigen crew moet vinden, bij wijze van spreken.","Suppongo che Lei debba trovare una sorta di propria squadra, per così dire.","Immagino che tu debba trovare la tua squadretta per così dire.
",formal
"Bij u is het in orde. Als u wilt, kunt u uw microfoon uitzetten zodat wij u niet kunnen horen.","È a posto. Se vuole, può disattivare il suo microfono in modo che non possiamo sentirla.","Sei bravo. Se vuoi puoi disattivare il tuo microfono per impedirci di sentire.
",formal
zo groot en belangrijk is voor uw identiteit,così grande e importante per la sua identità,"è così significativo e importante per la tua identità
",formal
"en ze bestellen al de producten die zij verdelen wanneer ze zonder zitten, je weet wel, dat brengt nieuwe spullen aan","E loro ordinano tutti i prodotti che distribuiscono quando ne rimangono senza, sa, questo fa arrivare nuove cose.","e ordinano tutti i prodotti che distribuiscono e che sono esauriti, sai cose nuove
",formal
"weet u, ik kan begrijpen waarom, tijdens een rechtszaak in bepaalde gevallen. Dan het gaat er eigenlijk om of u bereid bent om recht te staan en te zeggen, u weet wel","Sa, in alcuni casi durante un processo legale posso capire il perché. Allora si tratta fondamentalmente di essere disposti ad alzarsi in piedi e dire, lo sa","sai, posso vedere come, quando tu sei in un processo in determinati tipi di situazioni legali. In realtà si tratta solo di sapere se sei disposto ad alzarti affermando di sapere
",formal
"""Bent u ooit bezorgd dat in de toekomst, als u inderdaad smart devices heeft, uw kinderen zullen zeggen: """"Hé, ik zou graag een ... bestellen bij Amazon"""", en dan zeggen ze: """"Hallo zus en zo""","""Si è mai preoccupato che in futuro, se avrà effettivamente dei dispositivi intelligenti, i suoi figli diranno: ""Ehi, vorrei ordinare un... su Amazon"", e poi diranno: ""Ciao Alexa"" o qualcosa del genere?""","Seipreoccupato che in futuro, quando avrai i dispositivi intelligenti, i tuoi possano dire: Oh! Mi piacerebbe ordinare un qualcosa da Amazon e poi, ehi così e così
",formal
Ik lees ze soms. Ik vertrouw meestal op Rotten Tomatoes. En u?,A volte le leggo anch'io. Di solito mi fido di Rotten Tomatoes. E Lei?,"Li leggo ogni tanto, mi affido soprattutto a Rotten Tomatoes, e tu?
",formal
"het is belangrijker dan werk, het is belangrijker dan een baan en een carrière, want uw carrière houdt op, uw familie niet. Uw familie blijft bestaan, uw bloedlijn zal blijven bestaan","È più importante del lavoro, più importante di un impiego e di una carriera, perché la sua carriera finirà, la sua famiglia no. La sua famiglia continuerà ad esistere, la sua linea di sangue continuerà ad esistere.","è più importante del lavoro, è più importante che avere un lavoro e una carriera perché la tua carriera finisce, la tua famiglia no. La tua famiglia va avanti, la tua stirpe si perpetua
",formal
Ik denk dat ik dat eerder ook heb gelezen. Ik denk dat het te gek zou zijn om uw manager eens aan slag te zien!,"Penso di averlo già letto anche io, penso che sarebbe incredibile vedere il suo allenatore fare il battitore!","Penso di averlo già letto anche io, penso che sarebbe incredibile vedere il tuo allenatore fare il battitore!
",formal
"en ik zei, hé, wil je iets van het menu en je kijkt naar het menu. En het duurde even voor we een beslissing hadden genomen. Dus we namen een biertje","e io dissi, ehi, vuole qualcosa dal menu e Lei guardava il menu. E ci volle un po' prima di prendere una decisione. Quindi prendemmo una birra","e io dicevo, ehi vuoi prendere qualcosa dal menu e stai guardando il menu. E comunque abbiamo impiegato un po' per decidere. Allora ci siamo presi una birra
",formal
Ik hoop dat je er plezier aan beleeft en nog een prettige dag verder! Het was voor mij ook leuk je te spreken!,Spero che Lei ne tragga piacere e che abbia un buon proseguimento di giornata! È stato un piacere anche per me conversare con Lei!,"Spero che anche tu ti  diverta e che passi una buona giornata! Anche per me è stato bello chiacchierare con te!
",formal
"zoals jij, misschien zal ik je tv testen.","Come Lei, potrei testare la sua TV.","Come te, potrei testare la tua TV.
",formal
"Dat denk ik niet. Ze zijn onafhankelijk. Als ze op je arm willen klimmen dan doen ze dat, en hen berispen, zoals je dat met een hond zou doen, heeft weinig zin.","Non credo. Sono indipendenti. Se vogliono arrampicarsi sul suo braccio lo fanno, e rimproverarli, come farebbe con un cane, non serve a molto.","Non credo. Sono indipendenti. Se sentono il bisogno di arrampicarsi sul tuo braccio, lo faranno; e a differenza dei cani, si lamenteranno di conseguenza.
",formal
"Wat betekent dat het de hele show zoveel moeilijker maakt, want iedereen kan uw perfecte match zijn.","Questo rende lo show molto più difficile, perché chiunque potrebbe essere il suo perfetto partner.","Significa che rende problematico l'intero spettacolo in quanto chiunque può essere il tuo partner ideale.
",formal
