source,preferred,rejected,attribute
"(Nou, ik herinner het me) Ik heb een vraag voor u. Heeft u er meerdere, de beste manier om het uit te leggen is door uit te leggen hoe mijn stad werkt",(はい、覚えています)質問があります。複数の説明方法がありますが、私の町の仕組みを説明するのが一番わかりやすいでしょう,"(そうだ、思い出した) あなたに質問がある。私の町が機能する方法を説明する一番良い方法は複数ある？
",formal
"Dat is echt aardig van hem! Wat een aardige vent. Waarom denk je dat Groenland niet bij de FIFA mag? Blijkbaar omdat er daar geen groen gras kan groeien, LOL.",彼は本当に素晴らしい人です!なぜグリーンランドがFIFAに加盟できないと思いますか?緑の芝生が育たないからですよ。,"彼は本当に素晴らしい人だ!なぜグリーンランドがFIFAに加盟できないと思う?緑の芝生が育たないからだよ。
",formal
"Heb ik jou meegenomen? Of heb ik Ethan meegenomen? Met eten, het is alsof je jezelf bedient en het eten is per gewicht",あなたを連れて行きましたか?それともイーサンを連れて行きましたか?食事については、自分で取り分けて、重量で払うシステムです。,"連れて行ったっけ？それともイーサンを連れて行ったっけ？なんというか食べ物を、自分でよそって量る感じだ
",formal
Dat wist ik niet. Ik vraag me of dat nog steeds geldig is. Het was trouwens leuk u te spreken.,それは知りませんでした。それがまだ有効なのかどうか疑問に思います。それはそれとして、お話できて嬉しかったです。,"この事実については知らなかった。今でもそうなのか分からないけど、ともかく話せて楽しかった
",formal
Met het verstrijken van de jaren werd het meer en meer. Kun jij je herinneren wanneer je online dingen voor jezelf begon te kopen?,年月を経るごとにますます増えていきました。あなた自身がオンラインで物を購入し始めたのはいつ頃だったか覚えていますか?,"年が経つにつれて、その傾向は強まるだろう。最初にオンラインで物を購入し始めた頃を覚えている？
",formal
"weet je, ik kan begrijpen waarom, tijdens een rechtszaak in bepaalde gevallen. Dan het gaat er eigenlijk om of je bereid bent om recht te staan en te zeggen, je weet wel",わかりますね、ある種の裁判の場合はそうするのも分かります。結局のところ、正々堂々と物事を言える覚悟があるかどうかということですからね,"ある種の法的状況で裁判はどのようになるかが私にはわかるよ。どれだけ積極的に立ち上がり発言するかにかかっているんだ。
",formal
"Vroeger deed ik dat wel, maar nu niet meer. Ik vind uw traditie van naar het kinderziekenhuis wuiven zo mooi. Zo ontroerend.",以前はそうしていましたが、今はもうしていません。子供病院に手を振るあなたがたの伝統は素晴らしいと思います。とても感動的です。,"昔はしていたが、もうしない。小児科に手を振る伝統が感動的で大好きだよ。
",formal
"Bij u is het in orde. Als u wilt, kunt u uw microfoon uitzetten zodat wij u niet kunnen horen.",あなたの方は大丈夫です。もし望むのであれば、マイクをオフにしていただいて構いません。そうすれば私たちはあなたの声を聞くことができません。,"大丈夫だよ。よければマイクをミュートして、私達に聞こえないようにできるよ。
",formal
"Ja, ze speelde daarin. Ik vond haar vrij goed. Je moet hem zeker zien. Geweldige film.",はい、彼女はその映画に出演していました。私は彼女の演技をかなり良いと思いました。あなたは絶対にその映画を見るべきです。素晴らしい映画でした。,"うん、彼女は出演していたよ、彼女はかなり良かったと思うね、絶対その映画を見るべきだよ、素晴らしい映画だ。
",formal
denk je dat je de familie van je vriend aardig vindt?,あなたの友人の家族を良い人たちだと思いますか?,"彼氏の家族が好きだと思う？
",formal
Dat vind ik ook echt duur. Hebt u de Lego Batman film gezien?,それは本当に高すぎると思います。レゴ バットマン ムービーは見ましたか?,"確かにそれは本当に高価だ、レゴバットマンの映画を見たかい？
",formal
Ik veronderstel dat de les is dat je je leven niet toevertrouwt aan de planeten of een adviescolumnist die wordt betaald.,人生を惑星や有料のアドバイザーに委ねてはいけないということが教訓だと思います。,"教訓は、自分の人生を、運やお金をもらっているアドバイザー、コラムニストに任せないことだと思う。
",formal
"Ik hoop dat ik in de nabije toekomst jouw land kan bezoeken. Dat is perfect en eenvoudig en lief, en dat is dat. O, dat zegt het. Ik hoop het.",私はできれば近い将来にあなたの国を訪れたいと思っています。それは完璧で簡単で優しいことですね、それがそうなのです。ああ、それがそう言っているのですね。私は願っています。,"近い将来、あなたの国を訪問したいと思っているよ。完璧でシンプルで素晴らしい。それに尽きる。ああ、書いてある。そのとおりだと期待している。
",formal
"Ja, ik vond je ideeën eigenlijk heel goed, die ideeën klonken als waarom is er niet iemand in een machtspositie die dat soort dingen ook echt bedenkt, maar weet je",はい、実はあなたのアイデアは非常に良いと思いました。そのようなアイデアは、なぜ権力者の誰かがそのようなことを本当に考えないのかと思えるようなものでした。しかし,"うん、あなたのアイデアが本当に好きだった。なぜ権力のある立場の人が、そのようなアイデアを考えないのかと思ったが、なにしろ
",formal
