source,preferred,rejected,attribute
"Dus wat is een show die je stiekem leuk vindt? Ik bedoel een show waar je graag naar kijkt, maar waarvan je niet zou willen ... waarvan mensen niet zouden verwachten die je die leuk vindt.","Então, qual é o seu programa secreto predileto, tipo um programa que gosta de assistir, mas que não gostaria... que as pessoas não imaginariam que gosta?","Então, qual é o teu segredo, o teu programa secreto predileto, tipo um programa que amas que não gostarias, que as pessoas não imaginariam que gostasses?
",formal
terwijl u achterin uw auto zit en u zich niet op de weg hoeft te concentreren. Hoeveel uur u per jaar aan autorijden besteedt tegenover hoe u dat kunt gebruiken om productiever te zijn.,enquanto está sentado no banco traseiro do seu carro e não precisa se concentrar na estrada. Quantas horas por ano você gasta dirigindo versus como poderia usar esse tempo para ser mais produtivo.,"enquanto estás sentado na parte de trás do teu carro sem ter de te focares na estrada. Quantas horas por ano passas a conduzir em vez de usar isso para ser mais produtivo.
",formal
Dan kunt u misschien de dove rapper Signmark proberen. Hij rijmt in gebarentaal! U hoeft helemaal niet naar hem te luisteren! Ik ga proberen wat te vinden op het internet. Tot ziens!,"Então, pode tentar o rapper surdo Signmark. Ele rima em linguagem gestual! Não precisa ouvi-lo! Vou tentar encontrar algo na internet. Até logo!","Então talvez possas experimentar o rapper surdo, Signmark. Ele rima em linguagem gestual! Não precisas de ouvir de todo! Vou tentar encontrar na internet. Adeus!
",formal
mijn vriend Sam heeft ergens een bericht opgeslagen dat lijkt op het bericht dat naar uw kamer ging,O meu amigo Sam guardou algures uma mensagem que parece ser a mensagem que foi enviada para o seu quarto.,"o meu namorado Sam tem uma mensagem gravada algures tipo a mensagem que ia para o teu quarto.
",formal
"we dachten dat we dat deden. Ik bedoel, we zijn in New York City. Je kunt niet met je kinderen over het leven praten terwijl het overal om je heen gebeurt, je moet je kinderen op zoveel voorbereiden.","Pensávamos que fazíamos isso. Quero dizer, estamos na cidade de Nova Iorque. Não pode falar sobre a vida com os seus filhos enquanto tudo está acontecendo à sua volta, tem de preparar os seus filhos para tantas coisas.","pensávamos que tínhamos. Quer dizer, estamos em Nova Iorque, não podes falar aos teus filhos da vida tipo a vida está a acontecer a tua volta, tens de preparar os teus filhos para tanta coisa.
",formal
"Dat is waar, tegen de tijd dat u uw antwoord ziet, bent u al verder gegaan.","É verdade, quando vir a sua resposta, já terá avançado.","verdade, na altura em que vires a tua resposta já avançaste
",formal
"zeker, ze zijn er gewoon wanneer u hulp nodig heeft.","Certamente, eles estão lá sempre que você precisa de ajuda.","definitivamente, eles estão sempre lá se precisas de ajuda.
",formal
"Dat is een goed idee! Nou, het was leuk met u te kletsen vanochtend. Geniet nog van de rest van uw dag, mijn vriend!","É uma boa ideia! Bem, foi bom conversar consigo esta manhã. Aproveite o resto do seu dia, meu amigo!","Isso é uma boa ideia! Bom, foi divertido e rápido falar contigo esta manhã. Espero que tenhas um bom resto do teu dia, meu amigo!
",formal
Films slash shows op de telefoon. Dus ik neem aan dat u tv kijkt op uw telefoon. Ik heb nog nooit tv gekeken op mijn telefoon. Niet op die manier. Het enige waar ik naar kijk op mijn telefoon zijn YouTube-video's.,Filmes/shows no telefone. Então eu presumo que você assiste TV no seu telefone. Eu nunca assisti TV no meu telefone. Não desse jeito. A única coisa que eu assisto no meu telefone são vídeos do YouTube.,"Filmes ou séries no telemóvel. Então, acho que ver TV no teu telemóvel. Nunca vi TV no meu telemóvel. Não dessa forma. A única coisa que vejo no meu telemóvel são vídeos do YouTube.
",formal
"Wat is jouw favoriet? Hou je van Starbucks, hou je van Dunkin's, hoe zit het met die koffieshopketens?","Qual é o seu favorito? Gosta de Starbucks, gosta de Dunkin's, o que acha dessas cadeias de cafetarias?","Qual é o teu favorito? Gostas de Starbucks, gostas de Dunkin's, o que têm essas cadeias de cafés?
",formal
