source,preferred,rejected,attribute
quanto é que paga pela sua conta de internet?,Wie viel zahlen Sie für Ihre Internetrechnung?,"Wie viel zahlst du für deine Internetrechnung?
",formal
"sendo um estudante na escola, percebes o que quero dizer? É definitivamente útil. É conveniente, quero dizer, o teu aluno a tempo inteiro não tem realmente um carro.","Als Student in der Schule, verstehen Sie, was ich meine? Es ist definitiv nützlich. Es ist praktisch, ich meine, Ihr Vollzeitstudent hat wirklich kein Auto.","Ein Student an der Uni zu sein, weißt du, was ich meine? Es hilft definitiv. Es ist praktisch, ich meine, dein Vollzeitstudent hat nicht wirklich ein Auto.
",formal
"Ele é fantástico, muito engraçado! Ele acha que o movimento do kung fu é a realização suprema da era moderna em termos de comédia. Não tenho a certeza disso, foi um ótimo filme, mas não espetacular lol o que achas?","Er ist fantastisch, sehr lustig! Er denkt, dass die Kung-Fu-Bewegung die höchste Errungenschaft der Moderne in Sachen Komödie ist. Ich bin mir da nicht so sicher, es war ein toller Film, aber nicht spektakulär lol was denken Sie?","Er ist toll, wirklich lustig! Er denkt, Kung Fu Hustle ist die größte Errungenschaft der Neuzeit in Bezug auf Comedy. Da bin ich mir nicht sicher, es war ein toller Film, aber nicht fantastisch lol. Was denkst du?
",formal
como o quê? O que aconteceu ao seu braço? Não queria dizer nada. Nem saberia como o dizer e diria que cortei-me,"Wie bitte? Was ist mit Ihrem Arm passiert? Ich wollte nichts damit sagen. Ich wüsste auch gar nicht, wie ich es sagen soll, und würde sagen, dass ich mich geschnitten habe.","Wie was? Was ist mit deinem Arm passiert? Ich wollte nichts sagen. Ich würde nicht einmal wissen, wie man das sagt und ich würde sagen, ich wurde geschnitten.
",formal
Onde se hospeda na sua viagem pelo país?,Wo übernachten Sie auf Ihrer Reise durch das Land?,"Wo übernachtest du während deiner Reise durch das Land?
",formal
"Ele é fantástico, muito engraçado! Ele acha que o movimento do kung fu é a realização suprema da era moderna em termos de comédia. Não tenho a certeza disso, foi um ótimo filme, mas não espetacular lol o que acha?","Er ist fantastisch, sehr lustig! Er denkt, dass die Kung-Fu-Bewegung die höchste Errungenschaft der Moderne in Sachen Komödie ist. Ich bin mir da nicht so sicher, es war ein toller Film, aber nicht spektakulär lol was denken Sie?","Er ist toll, wirklich lustig! Er denkt, Kung Fu Hustle ist die größte Errungenschaft der Neuzeit in Bezug auf Comedy. Da bin ich mir nicht sicher, es war ein toller Film, aber nicht fantastisch lol. Was denkst du?
",formal
"Oh, meu Deus! Por que é que paga tanto?",Oh mein Gott! Warum zahlen Sie so viel?,"Oh mein Gott! Warum zahlst du so viel?
",formal
"é mais importante que o trabalho, é mais importante que ter um trabalho e uma carreira, porque a tua carreira vai acabar, a tua família não acaba. A tua família continua, a tua descendência vai continuar","Es ist wichtiger als die Arbeit, es ist wichtiger als eine Karriere zu haben, denn Ihre Karriere wird enden, Ihre Familie aber nicht. Ihre Familie geht weiter, Ihre Nachkommen werden weitergehen.","Es ist wichtiger als Arbeit, es ist wichtiger als einen Job und eine Karriere zu haben, weil deine Karriere wird zu Ende gehen, deine Familie wird nicht zu Ende gehen. Deine Familie wird weitergehen, deine Blutlinie wird weitergehen.
",formal
Sim. Jogava muito mas agora não. Também joga?,"Ja. Ich habe viel gespielt, aber jetzt nicht mehr. Spielen Sie auch?","Das tue ich. Früher habe ich viel gespielt, aber heute nicht mehr. Spielst du auch?
",formal
Não garantia que ganhavas o jogo mas com certeza tornaria-o muito mais fácil. Lol. Tem um bom dia.,"Ich kann nicht garantieren, dass Sie das Spiel gewinnen würden, aber es würde es mit Sicherheit viel einfacher machen. Lol. Haben Sie einen schönen Tag.","Ich würde nicht garantieren, dass du das Spiel gewinnst, aber das würde es sicherlich erheblich leichter machten. Lol. Hab einen schönen Tag.
",formal
"Ande lá dê-me o seu, entre na nossa pequena diversão e não estamos a guardar dinheiro, mas esse livro é fenomenal, fala de tipos diferentes de seguro que devia ter.","Kommen Sie, geben Sie mir Ihren Beitrag, machen Sie bei unserem kleinen Spaß mit, und wir sparen zwar kein Geld, aber dieses Buch ist phänomenal, es behandelt verschiedene Arten von Versicherungen, die Sie haben sollten.","Komm, gib mir dein Go in unsere kleine Unterhaltung und wir werden kein Geld weglegen, aber dieses Buch ist unglaublich, es handelt um verschiedene Versicherungsarten, die du haben solltest.
",formal
"Isso é uma boa ideia! Bom, foi divertido e rápido falar contigo esta manhã. Espero que tenhas um bom resto do teu dia, meu amigo!","Das ist eine gute Idee! Nun, es war unterhaltsam und kurzweilig, heute Morgen mit Ihnen zu sprechen. Ich hoffe, Sie haben einen schönen Rest Ihres Tages, mein Freund!","Das ist eine gute Idee. Also, es war unterhaltsam und schnell, heute Morgen mit dir zu chatten. Ich hoffe, du genießt den Rest deines Tages, Freund!
",formal
Concordo. Planeja ver o último episódio: M. I - Fallout?,"Stimmt. Haben Sie vor, den aktuellen Teil, Mission: Impossible – Fallout zu sehen?","Stimmt. Hast du vor, den aktuellen Teil, Mission: Impossible – Fallout zu sehen?
",formal
"o programa favorito de toda gente é o Martin. Porquê que é o teu programa favorito, o Martin?",Jedermanns Lieblingssendung ist Martin. Warum ist Martin Ihre Lieblingssendung?,"Martin ist jedermanns Lieblingssendung. Warum ist es deine Lieblingssendung, Martin?
",formal
"Qual é o seu favorito? Gosta de Starbucks, gosta de Dunkin's, o que têm essas cadeias de cafés?","Welches ist Ihr Favorit? Mögen Sie Starbucks, mögen Sie Dunkin's, was haben diese Kaffeeketten so zu bieten?","Was ist dein Favorit? Magst du Starbucks, magst du Dunkin's, wie steht es mit diesen Coffeeshop-Ketten?
",formal
"Vi-o antes. Falando do telefone, a Unicef vai doar um dia de água potável a uma criança necessitada para cada minuto em que não usa o seu telemóvel. Boa prática.","Ich habe es schon gesehen. Um auf das Telefon zurückzukommen, die UNICEF wird für jede Minute, in der Sie Ihr Handy nicht benutzen, einem bedürftigen Kind einen Tag lang sauberes Trinkwasser spenden. Eine gute Sache.","Das habe ich schon einmal gesehen. Wo wir über das Telefon sprechen, UNICEF wird für jede Minute, die du dein Telefon nicht benutzt, einem bedürftigen Kind einen Tag mit sauberem Wasser schenken. Gute Sache.
",formal
Interessante. Viste esse filme? Eu vi-o.,Interessant. Haben Sie den Film gesehen? Ich habe ihn gesehen.,"Interessant. Hast du den Film gesehen? Ich habe ihn gesehen.
",formal
Gostei. É um jogo divertido com um ritmo acelerado. Gostou dele?,Mir hat es gefallen. Es ist ein unterhaltsames Spiel mit einem rasanten Tempo. Hat es Ihnen gefallen?,"Mir macht das Spaß. Das Spiel ist beim Zuschauen so unterhaltsam und schnell. Gefällt es dir?
",formal
Uau. Eu provavelmente venderia alguns e ficava com o resto como um investimento. O que é que você faria?,Wow. Ich würde wahrscheinlich einige verkaufen und den Rest als Investition behalten. Was würden Sie machen?,"Wow, ich könnte vermutlich einige verkaufen und den Rest als Investition behalten. Was würdest du tun?
",formal
"principalmente visto que acho que, ao contrário da sua família, no caso dele nenhum de nós segue realmente o caminho por assim dizer.","Vor allem, da ich denke, dass im Gegensatz zu Ihrer Familie in seinem Fall keiner von uns wirklich dem Weg folgt, so zu sagen.","Zumal ich vermute, dass in seinem Fall, nicht wie in deiner Familie, von uns niemand sozusagen diesem Weg wirklich folgt.
",formal
"Sim, estás correto. Apesar dos estudantes estarem de luto devido a um tiroteiro em massa no dia anterior, os Republicanos apareceram apenas na Fox onde não seriam pressionados sobre o controlo de armas","Ja, Sie haben Recht. Trotz der Trauer der Studenten wegen eines Massenerschießens am Vortag, erschienen die Republikaner nur bei Fox News, wo sie nicht zum Thema Waffenkontrolle unter Druck geraten würden.","Ja, du hast recht. Obwohl die Schüler wegen eines Amoklaufs am Vortag trauerten, waren die Republikaner nur bei FOX zu sehen, wo sie sich nicht zu Aussagen zur Waffenkontrolle drängen ließen.
",formal
"o programa favorito de toda gente é o Martin. Porquê que é o seu programa favorito, o Martin?",Die Lieblingssendung von allen ist Martin. Warum ist Martin Ihre Lieblingssendung?,"Martin ist jedermanns Lieblingssendung. Warum ist es deine Lieblingssendung, Martin?
",formal
"Não creio que haja realmente nada de errado com isso. Mas, se eu te dissesse que estava a prejudicar a economia, será que isso muda a tua opinião? E não estou a dizer que está","Ich glaube nicht, dass wirklich etwas falsch daran ist. Aber wenn ich Ihnen sagen würde, dass es der Wirtschaft schadet, würde das Ihre Meinung ändern? Und ich sage nicht, dass es so ist.","Ich denke nicht, dass da irgendetwas falsch daran ist. Aber, wenn ich dir sagen würde, es schädigt die Wirtschaft, würde das deine Meinung überhaupt ändern? Und ich sage nicht, dass es
",formal
"que deve funcionar porque então posso, sabes, pela manhã ou o que quer que seja.","Das sollte funktionieren, denn dann kann ich, wissen Sie, morgens oder wann auch immer.","Das sollte funktionieren, weil dann kann ich einfach, weißt du, morgens oder was auch immer.
",formal
"queres ir para a escola, eles vão ajudar-te a ir para a escola, percebes o que estou a dizer, a família é assim","Wenn Sie zur Schule gehen möchten, werden sie Ihnen helfen, zur Schule zu gehen. Verstehen Sie, was ich meine? So ist die Familie.","Willst du zur Schule gehen, werden sie dir mit der Schule helfen, weißt du, was ich meine, so ist die Familie halt.
",formal
"mas os preços deles são tão bons e, depois, eles têm tantas coisas que tens de experimentar","Aber ihre Preise sind so gut und dann haben sie so viele Dinge, die Sie probieren müssen.","Aber ihre Preise sind einfach so großartig, und dann haben sie so viele Dinge, die du einfach irgendwie ausprobieren musst.
",formal
"principalmente visto que acho que, ao contrário da tua família, no caso dele nenhum de nós segue realmente o caminho por assim dizer.","Hauptsächlich da ich denke, dass im Gegensatz zu Ihrer Familie in seinem Fall keiner von uns wirklich dem Weg folgt, sozusagen.","Zumal ich vermute, dass in seinem Fall, nicht wie in deiner Familie, von uns niemand sozusagen diesem Weg wirklich folgt.
",formal
"é só, a única coisa que é foda é, o seu fim de semana e as suas férias e todas as coisas do género estão reservadas.","Die einzige Sache, die blöd ist, ist, dass Ihr Wochenende und Ihr Urlaub und all diese Dinge reserviert sind.","du, das einzige, was beschissen ist, ist dass dein Wochenende und dein Urlaub und all diese Dinge gebucht sind.
",formal
"Sim, digo, depois há o outro ponto da Amazon para além do regulamento do produto é que a própria empresa está a crescer tanto e a tirar a tua parte da Sony da indústria.","Ja, ich sage, es gibt noch einen anderen Punkt bei Amazon außer den Produktrichtlinien, nämlich dass das Unternehmen selbst so stark wächst und Ihren Anteil in der Branche von Sony übernimmt.","Ja, ich meine und dann ist da dieser andere Punkt bezüglich Amazon, neben nur der Produktregulierung ist es so, dass das Unternehmen selber einfach so sehr wächst und der Branche deinen Teil von Sony wegnimmt.
",formal
"Fazes exercício no trabalho. Uma desculpa provável. Na tua vida, alguma vez tiveste, alguma vez houve uma altura em que fazias exercício regularmente?","Sie machen Sport bei der Arbeit. Eine wahrscheinliche Ausrede. Gab es in Ihrem Leben jemals eine Zeit, in der Sie regelmäßig Sport gemacht haben?","Du trainierst in der Arbeit. Eine wahrscheinliche Ausrede. Hast du je in deinem Leben, gab es je einen Punkt, an dem du regelmäßig trainiert hast?
",formal
"Quero dizer que compra tão incrível que foi, sabes, amêndoas cobertas de chocolate com não sei o quê.","Ich meine, was für ein unglaublicher Kauf das war, wissen Sie, schokoladenumhüllte Mandeln mit, ich weiß nicht was.","Ich meine, was für ein unglaublicher Kauf dort, weißt du, schokoladenumhüllte Mandeln mit, ich weiß nicht.
",formal
"Correto! Produzido pelo Walt Disney Animated Studios e lançado pela Walt Disney Pictures. Foi tão giro! Também refizeram a Rapunzel com o Entrelaçados, já viu esse?","Richtig! Produziert von den Walt Disney Animated Studios und veröffentlicht von den Walt Disney Pictures. Es war so niedlich! Sie haben auch Rapunzel mit Rapunzel - Neu verföhnt neugemacht, haben Sie den gesehen?","Das ist richtig! Produziert von Walt Disney Animation Studios und veröffentlicht von Walt Disney Pictures. Der war so süß! Sie haben auch Rapunzel als Rapunzel – Neu verföhnt neu verfilmt, hast du den gesehen?
",formal
"Bem, os sentimentos não eram obviamente permitidos na sua família e também não eram permitidos na minha, a menos que fossem raiva. Foi-nos permitido expressar o sentimento de raiva porque isso é tudo o que qualquer pessoa alguma vez expressou.","Nun, Gefühle waren in Ihrer Familie offensichtlich nicht erlaubt und in meiner auch nicht, es sei denn, es war Wut. Uns war es erlaubt, das Gefühl der Wut auszudrücken, denn das war alles, was jemals jemand zum Ausdruck brachte.","Nun, Gefühle waren in deiner Familie offensichtlich nicht erlaubt und sie waren auch in meiner Familie wirklich nicht erlaubt, es sei denn, es war Wut. Wir durften das Gefühl von Wut zeigen, denn das war alles, was jemand je gezeigt hat,
",formal
"que deve funcionar porque então posso, sabe, pela manhã ou o que quer que seja.","Das sollte funktionieren, weil ich es dann, wissen Sie, morgens oder wann auch immer machen kann.","Das sollte funktionieren, weil dann kann ich einfach, weißt du, morgens oder was auch immer.
",formal
isso é uma coisa tão divertida de ter no teu código de conduta. gostas mais de cães ou gatos?,"Das ist so lustig, so eine Sache in Ihrem Verhaltenskodex zu haben. Mögen Sie Hunde oder Katzen lieber?","Das ist so lustig, so eine Sache in deinem Verhaltenskodex zu haben. Bist du eher ein Hundemensch als ein Katzenmensch?
",formal
"vais ter de etiquetar toda esta roupa barata que sai da China, porque o vestuário só fica atrás do petróleo e em pegada de carbono.","Sie werden all diese billige Kleidung, die aus China kommt, kennzeichnen müssen, denn die Bekleidungsindustrie steht in Bezug auf den CO2-Fußabdruck nur hinter der Ölindustrie zurück.","Du wirst all diese billigen Klamotten, die aus China kommen, kennzeichnen müssen, weil Kleidung gleich an zweiter Stelle nach Öl steht, was den Kohlenstoff-Fußabdruck angeht.
",formal
"sabes, é tipo uma visita de estudo, um dia de trabalho, sabes um dia de trabalho","Wissen Sie, es ist wie ein Studienbesuch, ein Arbeitstag, Sie wissen schon, ein Arbeitstag.","Weißt du, es ist wie eine Exkursion, der Ausflugstag, du kennst den Ausflugstag.
",formal
Pois foi! Muita gente gosta do programa dele sim. Gostas do Chris Pratt?,"Hat es, viele Leute mochten seine Show, also ja, mögen Sie Chris Pratt?","Hat es, viele Leute mochten seine Show, also ja, magst du Chris Pratt?
",formal
