source,preferred,rejected,attribute
"Ande lá dê-me o seu, entre na nossa pequena diversão e não estamos a guardar dinheiro, mas esse livro é fenomenal, fala de tipos diferentes de seguro que devia ter.","Allez, donnez-moi le vôtre, entrez dans notre petit jeu et on ne garde pas l'argent, mais ce livre est phénoménal, il parle de différents types d'assurance que vous devriez avoir.","Allez, participe à notre petit divertissement, cela ne coûte rien, mais ce livre est phénoménal. Il parle des différents types d'assurance que tu devrais avoir.
",formal
"Sim, estás correto. Apesar dos estudantes estarem de luto devido a um tiroteiro em massa no dia anterior, os Republicanos apareceram apenas na Fox onde não seriam pressionados sobre o controlo de armas","Oui, vous avez raison. Bien que les étudiants soient en deuil à la suite d'une fusillade de masse survenue la veille, les Républicains ne sont apparus que sur Fox News où aucune question sur le contrôle des armes à feu ne leur a été posée.","Oui, tu as raison. Malgré le deuil des étudiants à la suite d'une fusillade survenue la veille, les Républicains ne sont apparus que sur Fox News où aucune question sur le port d'armes ne leur a été posée
",formal
"como o quê? Diga-me como é a vida. E eu disse-lhe, oiça, isso não vai funcionar. E disse, faça-me um favor. Não volte para o seu","comme quoi ? Dites-moi comment est la vie. Et je lui ai dit, écoutez, ça ne va pas fonctionner. Et j'ai dit, faites-moi une faveur. Ne revenez pas chez vous","comme quoi ? Dis-moi à quoi ressemble la vie. Et je lui ai dit, écoute, ça ne marchera pas. Et j'ai dit, fais-moi une faveur. Ne retournes pas dans ton
",formal
"Sim, eu sou igual, não vou há alguns anos mas costumava ir a toda a hora. Qual é que dirias que é o teu favorito de sempre?","Oui, je suis pareil, je n'y suis pas allé depuis quelques années mais j'avais l'habitude d'y aller tout le temps. Quel serait votre préféré de tous les temps ?","Oui, pareil, je n'y suis pas allé depuis des années mais j'y allais tout le temps avant. Quel est ton préféré de tous ?
",formal
Colocar o produto na tua mão antes mesmo de lá chegar.,Mettre le produit dans votre main avant même d'arriver là-bas.,"Mettre le produit dans ta main avant même de l'avoir.
",formal
Está a falar a sério? Acho que conduzir nos videojogos é mais complicado que conduzir na estrada com um carro a sério. Consigo ver como pode ajudar-lhe com as suas capacidades de condução.,Parlez-vous sérieusement ? Je pense que conduire dans les jeux vidéo est plus compliqué que conduire sur la route avec une vraie voiture. Je peux voir comment cela pourrait vous aider avec vos compétences de conduite.,"Vraiment ? Je trouve qu'il est plus difficile de conduire dans les jeux vidéo que dans la réalité. Je comprends en quoi cela peut t'aider à mieux conduire.
",formal
"Sem dúvida lol, foi um prazer falar consigo, diga olá aos seus gatos por mim!","Sans aucun doute lol, c'était un plaisir de discuter avec vous, saluez vos chats de ma part !","C'est sûr, ah ah. C'était sympa de discuter avec toi, dis bonjour à tes chats de ma part !
",formal
"Quero dizer que compra tão incrível que foi, sabes, amêndoas cobertas de chocolate com não sei o quê.","Je veux dire que c'était un achat tellement incroyable, vous savez, des amandes enrobées de chocolat avec je ne sais quoi d'autre.","Je veux dire quels achats incroyables là-bas, tu sais, des amandes enrobées de chocolat et je ne sais quoi d'autre.
",formal
"é só, a única coisa que é foda é, o seu fim de semana e as suas férias e todas as coisas do género estão reservadas.","La seule chose qui est foutue, c'est que votre week-end et vos vacances et toutes les choses de ce genre sont réservés.","la seule chose qui est foutue, c'est que ton week-end et tes vacances sont réservés.
",formal
"o programa favorito de toda gente é o Martin. Porquê que é o seu programa favorito, o Martin?",Martin est l'émission préférée de tout le monde. Pourquoi est-ce votre émission préférée ?,"Martin est l'émission préférée de tout le monde. Pourquoi est-ce ton émission préférée ?
",formal
"Faz exercício no trabalho. Uma desculpa provável. Na sua vida, alguma vez teve, alguma vez houve uma altura em que fazia exercício regularmente?","Vous faites de l'exercice au travail. Une excuse probable. Dans votre vie, avez-vous déjà eu une période où vous faisiez régulièrement de l'exercice ?","Tu fais de l'exercice au travail. Excuse peu crédible. Dans ta vie, as-tu déjà fait du sport régulièrement, à un moment ou un autre ?
",formal
"Não creio que haja realmente nada de errado com isso. Mas, se eu te dissesse que estava a prejudicar a economia, será que isso muda a tua opinião? E não estou a dizer que está","Je ne pense pas qu'il y ait réellement quelque chose de mal à cela. Mais, si je vous disais que cela nuit à l'économie, est-ce que cela changerait votre opinion ? Et je ne dis pas que c'est le cas","Je ne pense pas qu'il y ait vraiment quelque chose de mal à cela. Mais, si je te disais que cela fait du mal à l'économie, cela te ferait-il changer d'avis ? Et je ne dis pas que c'est le cas
",formal
Sim. Já alguma vez andaste na montanha-russa do jurassic park?,Oui. Avez-vous déjà fait la montagne russe de Jurassic Park ?,"Oui. As-tu déjà fait le manège Jurassic Park ?
",formal
"principalmente visto que acho que, ao contrário da sua família, no caso dele nenhum de nós segue realmente o caminho por assim dizer.","Principalement parce que je pense que, contrairement à votre famille, dans son cas, aucun d'entre nous ne suit vraiment le chemin pour ainsi dire.","d'autant plus que je suppose que, contrairement à ta famille, dans son cas, aucun de nous ne suit vraiment le chemin pour ainsi dire.
",formal
"definitivamente, eles estão sempre lá se precisas de ajuda.","Absolument, ils sont toujours là si vous avez besoin d'aide.","définitivement, ils sont là chaque fois que tu as besoin d'un coup de main.
",formal
Estão dispostos a participar nessa parte da sua vida?,Sont-ils prêts à prendre part à cette partie de votre vie ?,"Sont-ils prêts à prendre part à cette partie de ta vie.
",formal
"que deve funcionar porque então posso, sabes, pela manhã ou o que quer que seja.","Cela devrait fonctionner, parce que je peux, vous savez, le matin ou peu importe.","qui devrait fonctionner, parce que je peux juste, tu sais, le matin ou peu importe.
",formal
