source,preferred,rejected,attribute
"encerra a conta e pode fazer isso online, pode dar o motivo e depois encerra-se a minha conta amanhã e a da minha minha irmã","Chiuda il conto e può farlo online, può fornire il motivo e poi domani verranno chiusi il mio conto e quello di mia sorella","tu chiudi l'account e puoi farlo online, puoi indicare il motivo e poi chiudere il mio account domani e quello di mia sorella
",formal
sempre os valores que aprendeste com a tua família.,Mantenere sempre i valori che ha appreso dalla sua famiglia.,"in ogni momento, valori che hai assimilato dalla tua famiglia.
",formal
Não sou em geral mas adoro sapatos. Sabias que existem pelo menos 17 maneiras diferentes de atacar os teus sapatos?,"Non lo sono in genere, ma adoro le scarpe. Sapeva che ci sono almeno 17 modi diversi di allacciare le Sue scarpe?","Non sono conformista ma amo le scarpe. Sapevi che ci sono almeno 17 modi per allacciarsi le scarpe?
",formal
"Isso é uma boa ideia! Bom, foi divertido e rápido falar contigo esta manhã. Espero que tenhas um bom resto do teu dia, meu amigo!","Questa è una buona idea! Bene, è stato divertente e piacevole parlare con Lei questa mattina. Spero che abbia un buon proseguimento della Sua giornata, mio amico!","È una buona idea! Beh, è stato divertente e veloce chiacchierare con te questa mattina. Spero che tu ti goda il resto della tua giornata, amico!
",formal
"Isso é uma boa ideia! Bom, foi divertido e rápido falar consigo esta manhã. Espero que tenha um bom resto do seu dia, meu amigo!","È una buona idea! Beh, è stato divertente e veloce chiacchierare con Lei questa mattina. Spero che Lei abbia un buon proseguimento della sua giornata, amico mio!","È una buona idea! Beh, è stato divertente e veloce chiacchierare con te questa mattina. Spero che tu ti goda il resto della tua giornata, amico!
",formal
"Sim, costumava jogar muito Nintendo em criança. E você?","Sì, da bambino ero solito giocare molto a Nintendo. E Lei?","Sì, lo so, giocavo molto con il Nintendo da piccolo. E tu?
",formal
Isso é uma honra. Seria Miami a tua equipa de Florida? Tiveram uns anos de glória há não muito tempo.,È un onore. Sarebbe il Miami la sua squadra della Florida? Hanno avuto degli anni di gloria non molto tempo fa.,"Questo è un onore. Miami sarebbe la tua squadra essendo della Florida? Hanno avuto alcuni anni di gloria non molto tempo fa.
",formal
"via programas e tal, ela via vídeos, pessoas sabes o que quero dizer?","Ha guardato lo spettacolo e tutto il resto, ha guardato i video, le persone Lei sa cosa intendo dire?","ha guardato lo spettacolo e tutto il resto, ha guardato i video, le persone sai cosa intendo dire?
",formal
"Eu também não, pergunto-me se provoca alguma coisa no cérebro. É um pouco louco. Tem uma camisa favorita?","Nemmeno io, mi chiedo se scatena qualcosa nel suo cervello. È un po' folle. Ha una camicia preferita?","Nemmeno io, mi chiedo se scatena qualcosa nel tuo cervello. Un po' folle. Hai una camicia preferita?
",formal
A dieta é a maior parte do seu problema afinal.,"La dieta è la parte più importante del suo problema, dopotutto.","La dieta è comunque la maggior parte del tuo problema.
",formal
"tem de separar todas as suas coisas, pode jogar com isto, não pode jogar com aquilo, pode fazer isto, não pode fazer aquilo","deve separare tutte le sue cose, può giocare con questo, non può giocare con quello, può fare questo, non può fare quello","Tu devi distinguere tutte le cose che puoi usare con quello strumento, che non puoi usare, con cui puoi fare questo, non puoi fare quello
",formal
Por esta altura já sei deste fato. Qual o partido que achas que vai ganhar as próximas eleições Presidenciais?,Ormai sono a conoscenza di questo fatto. Quale partito pensa che vincerà le prossime elezioni presidenziali?,"Basta conoscere questo fatto ormai. Quale partito pensi che vincerà le prossime elezioni presidenziali?
",formal
a sua mãe soa sempre tão,sua madre sembra sempre così,"tua madre sembra sempre così
",formal
"vêm cá, sabe o que quero dizer,","Venga qui, Lei sa cosa voglio dire,","vengono qui, sai cosa voglio dire,
",formal
Está a falar a sério? Acho que conduzir nos videojogos é mais complicado que conduzir na estrada com um carro a sério. Consigo ver como pode ajudar-lhe com as suas capacidades de condução.,Sta parlando seriamente? Penso che guidare nei videogiochi sia più complicato che guidare su strada con un'auto reale. Posso capire come possa aiutarLa con le Sue capacità di guida.,"Davvero? Trovo che guidare nei videogiochi sia più difficile che guidare su strada con una macchina vera. Immagino come possa aiutarti con le tue abilità di guida.
",formal
