source,preferred,rejected,attribute
"É sempre algo a fazer, quer dizer, só vale o teu tempo tipo eu odeio desperdiçar o meu tempo.",常にやるべきことがあります。つまり、あなたの時間を無駄にしないということです。私は自分の時間を無駄にするのが嫌いです。,"それは常にやるべきことだよ。つまり、私は時間を無駄にするのが嫌いだが、それには時間をかける価値があるということだ。
",formal
Sim. Não há pressa de mais quando a sua vida está em jogo ou vai levar demasiado tempo.,はい。命がけになるときや、時間がかかりすぎるときは、急ぐ必要はありません。,"確かに。命が危険にさらされているか、時間がかかりすぎている時には、急ぎ過ぎるということはない。
",formal
agora compreendo-o. Um ponto de vista interessante. É uma história fantástica. Não sabia disso. Isso é muito fixe sobre as suas viagens.,今、理解できました。興味深い視点ですね。素晴らしい物語ですね。それは知りませんでした。あなたの旅行についてとてもすばらしいお話しですね。,"わかった。興味深い視点だね。それは素晴らしい話だ。私はそれを知らなかったよ。かなりいい旅行話だ。
",formal
"Levei-o a si? Ou levei o Ethan? Como a comida, é como se se servisse a si próprio e é comida ao peso",自分で取りに行きましたか?それともイーサンを連れて行きましたか?食べ物は自分で取るスタイルで、量り売りですからね。,"連れて行ったっけ？それともイーサンを連れて行ったっけ？なんというか食べ物を、自分でよそって量る感じだ
",formal
Jogas ao Splat no Wii ou no Wii Sports da Nintendo?,WiiでSplatをプレーしますか、それとも任天堂のWii Sportsをプレーしますか?,"WiiでSplatをプレーする、それとも任天堂でWii Sports？
",formal
"É tudo petróleo e depois não pode. É tudo petróleo e transforma-se em plástico,",全て石油からできていて、その後は使えません。全て石油からできていて、プラスチックに変わります。,"それはすべて石油で、あなたは何もできない。それはすべて石油で、プラスチックに変わる、
",formal
"Filmes ou séries no telemóvel. Então, acho que ver TV no seu telemóvel. Nunca vi TV no meu telemóvel. Não dessa forma. A única coisa que vejo no meu telemóvel são vídeos do YouTube.",映画やテレビ番組を携帯電話で見るということですね。つまり、携帯電話でテレビを見るということだと思います。私は携帯電話でテレビを見たことがありません。そのような形ではありません。私の携帯電話で見るのはYouTubeの動画だけです。,"映画は携帯電話でも視聴が大幅に減少している。ということは携帯電話ではテレビを観ている人が多いんだと思う。私は携帯電話でテレビを観たことはない。そういうものは観ない。でも、携帯電話でYouTube動画だけは観ているよ。
",formal
"Espero visitar o teu país num futuro próximo. Isso é perfeito, simples e doce e é isso. Oh, diz. Espero que seja.",近いうちにあなたの国を訪れたいと思っています。それは完璧で、シンプルで、そして甘いですね。そうですか。そうであってほしいと願っています。,"近い将来、あなたの国を訪問したいと思っているよ。完璧でシンプルで素晴らしい。それに尽きる。ああ、書いてある。そのとおりだと期待している。
",formal
"Filmes ou séries no telemóvel. Então, acho que ver TV no teu telemóvel. Nunca vi TV no meu telemóvel. Não dessa forma. A única coisa que vejo no meu telemóvel são vídeos do YouTube.",映画やドラマを携帯電話で見ることですね。つまり、携帯電話でテレビを見るということだと思います。私は携帯電話でテレビを見たことがありません。そのような形ではありません。私の携帯電話で見るのはYouTubeの動画だけです。,"映画は携帯電話でも視聴が大幅に減少している。ということは携帯電話ではテレビを観ている人が多いんだと思う。私は携帯電話でテレビを観たことはない。そういうものは観ない。でも、携帯電話でYouTube動画だけは観ているよ。
",formal
"Posso falar com o seu gerente, por favor?",店長に話せますでしょうか?,"あなたの上司と話せる？
",formal
"Isso é uma boa ideia! Bom, foi divertido e rápido falar contigo esta manhã. Espero que tenhas um bom resto do teu dia, meu amigo!",それは良いアイデアですね!はい、今朝あなたとお話しできて楽しく、時間も経つのが早かったです。あなたの残りの一日が良いものになりますように、友人よ!,"いいアイディアだ!今朝は話ができて楽しい時間が過ごせたよ。今日一日楽しんでね。
",formal
"principalmente visto que acho que, ao contrário da tua família, no caso dele nenhum de nós segue realmente o caminho por assim dizer.",特に、あなたの家族とは違って、彼の場合は、私たちの誰も、いわばその道をたどることができないのではと思います。,"特に、あなたの家族とは違って、彼の場合は、私たちの誰も、いわばその道をたどることができないのではと思う。
",formal
achas que gostas da família do teu namorado?,彼氏の家族が好きだと思いますか?,"彼氏の家族が好きだと思う？
",formal
"Isso é muito simpático da parte dele! Que bom tipo, porque é que achas que a Gronelândia não pode entrar na FIFA? Aparentemente, porque não conseguem fazer crescer relva verde LOL",彼は本当に素晴らしい人です!なぜグリーンランドがFIFAに加盟できないと思いますか?緑の芝生が育たないからですよ。,"彼は本当に素晴らしい人だ!なぜグリーンランドがFIFAに加盟できないと思う?緑の芝生が育たないからだよ。
",formal
Joga ao Splat no Wii ou no Wii Sports da Nintendo?,WiiでSplatをプレーしますか、それとも任天堂のWii Sportsをプレーしますか?,"WiiでSplatをプレーする、それとも任天堂でWii Sports？
",formal
"Vou só continuar com esses artefatos de turistas, basicamente, é o que era. Há pequenas cabines do tamanho da tua casa de banho, sabes casa de banho simples, todas as cabines têm a mesma coisa.",観光客向けの品々を続けていきますが、基本的にはそういったものです。あなたの家のトイレくらいの小さな個室があり、簡素なトイレがあり、全ての個室に同じようなものがあります。,"それで、観光客の産物を続けるよ、基本的に、その通りだった。それで、トイレの大きさの小さなブースがあるけど、ほら、1つのトイレ、全部のブースに同じものがある。
",formal
"Isto é muito engraçado. Deve ser por uma questão de princípio porque eles claramente têm o dinheiro, só 30 000 USD, acho que talvez não querem é apoia-lo? O que acha?",これはとても面白いですね。彼らにはお金があるのは明らかですから、たった3万ドルなのに、原則の問題なのでしょうか。彼らは彼を支援したくないのかもしれませんね。あなたはどう思いますか?,"それはかなり面白いよ。彼らは3万ドルばかりのお金は間違いなく持っているので、それは原則から外れているに違いない、私は彼らがおそらくそれをサポートしたくないんだと思うね？どう思う
",formal
"Sim, tem de dizer, toda a gente têm a sua própria atitude, sabe o que estou a dizer, toda a gente têm o seu próprio estilo",はい、言わざるを得ません。誰もが自分なりの態度を持っているのです。私の言っていることがおわかりでしょうか。誰もが自分なりのスタイルを持っているのです。,"うん、そうだろうね、皆自分の考えがある、分かるかな、皆自分のスタイルがある
",formal
"todas as minhas irmãs foram para a universidade. Acabaram a universidade, o irmão mais velho tirou o seu (mestrado). A escola é uma família. (Tens) de ir para a escola.",私の姉妹たちは皆大学に行きました。大学を卒業して、兄は(修士号)を取りました。学校は家族です。学校に行く(べきです)。,"私の姉妹たちは皆大学に行った。大学を卒業して、兄は(修士号)を取った。学校は家族だ。学校に行く(べきだ)。
",formal
"coisa para experimentar e baixar o preço. Porque para o Airbnb não vejo muitos cupões, do género eles não te dão o teu dinheiro se for",やってみることと、値段を下げます。Airbnbではあまりクーポンを見かけませんので。行くとお金を返してくれません、みたいな,"やってみることと、値段を下げる。Airbnbではあまりクーポンを見かけないから。行くとお金を返してくれない、みたいな
",formal
