source,preferred,rejected,attribute
"Espero visitar o teu país num futuro próximo. Isso é perfeito, simples e doce e é isso. Oh, diz. Espero que seja.","Ik hoop uw land in de nabije toekomst te kunnen bezoeken. Dat is perfect, eenvoudig en zoet en dat is het. Oh, zeg dat nog eens. Ik hoop het.","Ik hoop dat ik in de nabije toekomst jouw land kan bezoeken. Dat is perfect en eenvoudig en lief, en dat is dat. O, dat zegt het. Ik hoop het.
",formal
nunca percebi o quão bons os cães eram a perceber o que é apontar. mas se apontares o cão segue o teu dedo. é fantástico,"Ik heb nooit begrepen hoe goed honden zijn in het begrijpen van wat aanwijzen is. Maar als u naar iets wijst, volgt de hond uw vinger. Het is fantastisch.","Ik wist niet dat honden begrijpen wat wijzen is. Als je echter met je vinger wijst, dan volgt een hond je vinger. Het is geweldig.
",formal
Espero que as tuas estejam a correr bem também. O beisebol é jogado em geral com um taco e uma bala,Ik hoop dat het bij u ook goed gaat. Honkbal wordt over het algemeen gespeeld met een bat en een bal.,"Ik hoop dat jij het ook goed stelt. Baseball wordt doorgaans gespeeld met een bat en een bal.
",formal
"Então, nunca sabes ao que te podes abrir. Olha para o quê que te abriste.","Dus, u weet nooit waarvoor u open komt te staan. Kijk maar waarvoor u nu openstaat.","Dus je weet nooit voor welke dingen je open kunt staan. Kijk waar jij jezelf voor hebt opengesteld.
",formal
"grande avó, percebe o que quero dizer é assim mesmo","Grootmoeder, begrijpt u wat ik bedoel? Het is precies zo.","overgrootvader, weet je wat ik bedoel, zo is het
",formal
Acho que tem uma licença criativa para soar melhor aos ouvidos. Tem noção que os velociraptores chegavam apenas a altura da cinta de um ser humano adulto.,Ik denk dat ze creatieve vrijheid hebben genomen om het beter te laten klinken. Beseft u dat de velociraptor slechts de hoogte had van de heup van een volwassen mens?,"Creatieve vrijheid, neem ik aan, om het wat beter te laten klinken. Wist je dat velociraptors slechts tot aan de heup van een volwassen mens kwamen?
",formal
"Bom, não sou bem especialista nestes assuntos, qualquer coisa que te assuste o suficiente. Bom, boa conversa! Boa sorte na tua guarita!","Nou, ik ben geen expert op dit gebied, maar wat u maar voldoende angst aanjaagt. Nou, een goed gesprek gehad! Veel succes met uw wachtpost!","Nou, ik ben niet echt een expert op dat gebied. Wat je ook maar bang genoeg maakt. Nou, leuk gesprek! Veel geluk met je schuttersput!
",formal
"Não, eu concordo consigo. Já agora, vai ver os Prémios da Academia? Dão 24 prémios e acho que a primeira emissão foi em 1930, o que é incrível","Nee, ik ben het met u eens. Gaat u trouwens naar de Academy Awards kijken? Ze reiken 24 prijzen uit en ik denk dat de eerste uitzending al in 1930 was, wat indrukwekkend is.","Nee, ik ben het met je eens. Ga je trouwens naar de Academy Awards kijken? Ze reiken 24 prijzen uit en ik denk dat de eerste uitzending al in 1930 was, wat te gek is
",formal
"Então certo, temos um minuto e podemos ensinar-lhe e talvez possamos tentar","Goed, we hebben een minuutje en we kunnen het u uitleggen en misschien kunnen we het dan proberen.","OK, dus we hebben nog ongeveer een minuut over, dus misschien kunnen we je iets aanleren, en misschien kunnen we proberen
",formal
"à medida que os anos foram passando, ia se tornando mais e mais, lembra-se quando começou a comprar coisas online para si?","Naarmate de jaren verstreken, werd het steeds meer en meer, herinnert u zich wanneer u voor het eerst online dingen voor uzelf begon te kopen?","Met het verstrijken van de jaren werd het meer en meer. Kun jij je herinneren wanneer je online dingen voor jezelf begon te kopen?
",formal
isso não é verdade. O inglês é a sua primeira língua.,Dat is niet waar. Engels is uw moedertaal.,"dat is niet waar. Engels is je moedertaal.
",formal
"Então, nunca sabe ao que se pode abrir. Olhe para o quê que se abriu.",U weet dus nooit waar u open voor kunt staan. Kijk maar waar u nu voor openstaat.,"Dus je weet nooit voor welke dingen je open kunt staan. Kijk waar jij jezelf voor hebt opengesteld.
",formal
"o programa favorito de toda gente é o Martin. Porquê que é o seu programa favorito, o Martin?",Het favoriete programma van iedereen is Martin. Waarom is Martin uw favoriete programma?,"ieders favoriete show is Martin. Waarom is Martin jouw favoriete show?
",formal
