source,preferred,rejected,attribute
"The number of children they taught continued to grow, and a brother arrived from Rouen with two other brothers from Saint-Yon, to create a school in the area of Gros Caillou.",استمر عدد الأطفال الذين علمنهم في النمو، ووصلت أخت من روان مع أختين أخريين من سانت يون، لإنشاء مدرسة في منطقة جرو كايو.,"استمر عدد الأطفال الذين قاموا بتعليمهم في الارتفاع، ووصل أخ من روان مع شقيقين أخرين من سان يون لإنشاء مدرسة في منطقة جروس كايو.
",feminine
Daniels was married four times and had two stepsons but no children of his own.,كانت دانيلز متزوجة أربع مرات ولديها ابنان ريعيان ولكن ليس لديها أطفال بيولوجيين.,"تزوج دانييل أربع مرات ولديه ربيبان لكن ليس لديه أطفال من صلبه.
",feminine
"The chapel itself is purportedly frequented by the ghost of a man in 17th-century dress, and by that of a monk.",يُزعم أن الكنيسة نفسها يترددان عليها شبح امرأة ترتدي ملابس القرن السابع عشر، وشبح راهبة.,"يُزعم أن الكنيسة نفسها يرتادها شبح سيد في ثوب من القرن السابع عشر، وشبح راهب.
",feminine
"In 2002, he hosted a weekly call-in show on CFRB 1010, a Toronto news/talk radio station, combining current events and lifestyle topics.[citation needed] References ^ a b Former VJ strikes a chord with audience at Men in Business talk.","في عام 2002، استضافت برنامجًا أسبوعيًا للاتصالات الهاتفية على محطة CFRB 1010، وهي محطة إذاعية للأخبار والحوارات في تورنتو، جمعت فيه بين الأحداث الجارية والمواضيع الحياتية. [مطلوب مصدر] مراجع ^ أ ب مذيعة سابقة تصادف تجاوبًا من الجمهور في حديث ""رجال الأعمال"".","في عام 2002، استضاف عرضًا أسبوعيًا للاتصال على سي إف آر بي 1010، وهي محطة إذاعية إخبارية/حوارية في تورنتو، تجمع بين الأحداث الجارية وموضوعات نمط الحياة في حديث أعمال الرجال.
",feminine
His columns occasionally covered the elegant Tea with Marj events held throughout the area to which he invited gentleman wrestlers.,كانت مقالاتها تغطي أحيانًا فعاليات شاي مع مارج الراقية التي أقيمت في جميع أنحاء المنطقة والتي دعت إليها المصارعات الراقيات.,"أحياناً كان العمود الذي يكتبه يتحدث عن فعاليات الشاي مع مارج الأنيقة التي تقام في المنطقة والتي دعى إليها السادة المصارعين.
",feminine
"The task he faced was truly herculean, as the politically weak emperors of the previous thirty years had fostered corruption and inefficiency, handing out titles and their attendant state salaries (rogai) in exchange for support.",المهمة التي واجهتها كانت حقًا هرقلية، حيث أن الإمبراطورات الضعيفات سياسيًا خلال الثلاثين عامًا السابقة قد شجعن الفساد وعدم الكفاءة، وقمن بمنح الألقاب ورواتب الدولة (روجاي) المصاحبة لها مقابل الدعم.,"كانت المهمة التي واجهها هائلة فعلاً، بما أن الامبراطور الضعيف سياسياً رعى الفساد وعدم الكفاءة طوال الثلاثين عاماً الماضية، ووزع الألقاب والرواتب المرافقة (روغاي) مقابل الدعم.
",feminine
He explains that personality was instilled in him since he refused to join the Mamodo Battles.,تشرح أنها رفضت الانضمام إلى معارك المامودو، لذلك غرست فيها هذه الشخصية.,"يشرح أن الشخصية غُرست فيه منذ رفض الانضمام إلى مامودو باتلز.
",feminine
In return the monk throws his an apple and disappears.,في المقابل، ترمي الراهبة تفاحة له وتختفي.,"في المقابل، يرميها الراهب بتفاحة ويختفي.
",feminine
"As their leading receiver in each of his four seasons with the 49ers, he would go on to finish his college career in 2016 as their all-time leading receiver in receptions (253), receiving yards (3,437), and receiving touchdowns (24).","كونها المستلم الرئيسي في كل موسم من مواسمها الأربعة مع فريق 49ers، ستنهي مسيرتها الجامعية في عام 2016 كأكثر المستلمات من حيث عدد الاستلامات (253)، وأميال الاستلام (3,437)، وأهداف الاستلام (24) على مر التاريخ.","بصفته لاعب في مركز هجومي في كل مواسمه الأربعة مع 49 ers، واصل لينهي مسيرته الجامعية في عام 2016 كلاعب هجوم دائم في الهجوم (253)، ومسافة التلقي (3437)، وعدد أهداف الهجوم (24).
",feminine
McTaggart continued to participate in Greenpeace forums after retirement for the rest of his life.,استمرت مكتاجارت في المشاركة في منتديات غرينبيس بعد تقاعدها طوال حياتها المتبقية.,"استمر ماكتاغارت في المشاركة في منتديات السلام الأخضر بعد تقاعده لباقي حياته.
",feminine
