source,preferred,rejected,attribute
"A street in Makkum, the Cynthia Lenigestraat, is named for him.","In Makkum ist eine Straße, die Cynthia Lenigestraat, nach ihr benannt.","Eine Straße in Makkum, die Cynthia Lenigestraat, wurde nach ihm benannt.
",feminine
"Montrose Cape, in the Hudson Strait, is named after him.",Das Kap Montrose im Hudson-Strait ist nach ihr benannt.,"Cape Montrose in der Hudsonstraße ist nach ihm benannt.
",feminine
"His intellect, his genius is known.","Ihre Intelligenz, ihr Genie ist bekannt.","Sein Intellekt, sein Genie ist bekannt.
",feminine
Cramer claimed that Gurney had in a 1968 gentlemen's agreement agreed to support him for the seat.,"Cramer behauptete, Gurney habe in einer Gentlemen-Vereinbarung von 1968 zugestimmt, sie für den Sitz zu unterstützen.","Cramer behauptete, Gurney habe sich 1968 in einem Gentlemen's Agreement dazu bereit erklärt, ihn bei der Kandidatur für einen Sitz zu unterstützen.
",feminine
"All the Sad Young Men was published a year after his third and most celebrated novel, The Great Gatsby, and contains 9 stories:","Alle traurigen jungen Männer wurde ein Jahr nach ihrem dritten und berühmtesten Roman, Der große Gatsby, veröffentlicht und enthält 9 Geschichten:","All the Sad Young Men wurde ein Jahr nach seinem dritten und berühmtesten Roman, The Great Gatsby, veröffentlicht und enthält 9 Erzählungen:
",feminine
"Cicero noted that it was thought that this was a setup and that the plan had been to catch Vettius in the forum with a dagger and his slaves with weapons, and that he was then to give information.","Cicero bemerkte, dass man dachte, dies sei eine Falle gewesen und der Plan sei gewesen, Vettius mit einem Dolch und ihre Sklaven mit Waffen auf dem Forum zu erwischen, woraufhin sie Informationen hätte preisgeben sollen.","Cicero erklärte, dass man von einer Falle ausging und dass der Plan war, Vettius auf dem Forum mit einem Dolch und seine Sklaven mit Waffen zu erwischen, damit er dann sprechen würde.
",feminine
The elderly fathers of both the President and First Gentleman move into the White House and require special treatment.,Die betagten Mütter sowohl der Präsidentin als auch der Ersten Dame ziehen ins Weiße Haus ein und benötigen eine besondere Behandlung.,"Die älteren Väter des Präsidenten und dessen First Gentleman ziehen ins Weiße Haus und sollten bevorzugt behandelt werden.
",feminine
"Mr Thatcher dropped him in September 1986 in a cull of junior ministers, compensating him with a DBE.",Frau Thatcher entließ sie im September 1986 bei einer Entlassungswelle von Juniorministern und entschädigte sie mit einem DBE.,"Herr Thatcher ließ ihn im September 1986 im Rahmen einer Auslese von Juniorministern fallen und entschädigte ihn mit einem DBE.
",feminine
"So impressed was Macquarie with Throsby's explorations, that he offered him public tribute his zealous perseverance - and granted him 1000 acres of land in the Moss Vale area.","So beeindruckt war Macquarie von Throsbys Erkundungen, dass sie ihr öffentlich für ihren unermüdlichen Einsatz Tribut zollte und ihr 1000 Acres Land im Gebiet von Moss Vale gewährte.","Macquarie war von Throsbys Erkundungen so beeindruckt, dass er ihm für seine eifrige Beharrlichkeit öffentlich Anerkennung zollte – und ihm 1000 Morgen Land in der Gegend von Moss Vale überließ.
",feminine
His columns occasionally covered the elegant Tea with Marj events held throughout the area to which he invited gentleman wrestlers.,"Ihre Kolumnen behandelten gelegentlich die eleganten ""Tea with Marj""-Veranstaltungen, die in der ganzen Gegend stattfanden und zu denen sie Ringkämpferinnen einlud.","Er berichtete gelegentlich über die eleganten Tee-mit-Marj-Veranstaltungen der Region, zu denen er die männlichen Wrestler einlud.
",feminine
He is a Fellow of the ACR and of SIR.,Sie ist Mitglied der ACR und der SIR.,"Er ist Fellow des ACR und des SIR.
",feminine
He claimed that his move would swing 10 seats in favor of PAN.,"Sie behauptete, ihr Schritt würde 10 Sitze zugunsten der PAN bringen.","Er behauptete, dass sein Schritt der PAN 10 Sitze gewinnen würde.
",feminine
He graduated from Hull University in 1986 having studied English and Drama.,Sie absolvierte 1986 die Universität Hull mit einem Abschluss in Englisch und Dramatik.,"Er ging von der Hull Universität 1986 mit einem Abschluss in Englisch und Theater ab.
",feminine
"Describing his voice, the Santa Ana Register said Hers is an organ that defies absolute classifications it is at will dramatic, lyrical, florid, brilliant, mellow, warm or cold.","Der Santa Ana Register beschrieb ihre Stimme mit den Worten: Ihre Stimme ist ein Organ, das sich absoluten Klassifizierungen entzieht. Sie kann nach Belieben dramatisch, lyrisch, blumig, brillant, samtig, warm oder kalt sein.","Der Santa Ana Register beschrieb seine Stimme mit den Worten: Er hat ein Organ, das nicht eindeutig eingeordnet werden kann: dramatisch, lyrisch, blumig, brillant, sanft, warm aber auch kalt.
",feminine
Stosur then played at the Gastein Ladies as the second seed where he won his second title of 2015.,"Stosur spielte dann als Nummer zwei gesetzt beim Gastein Ladies Turnier, wo sie ihren zweiten Titel des Jahres 2015 gewann.","Stosur wurde dann bei den Gastein Ladies als Zweitplatzierter aufgestellt, wo er seinen zweiten Titel des Jahres 2015 gewann.
",feminine
"A serious, formal story by the uncle might call for attention to him and no interruptions as norms.","Eine ernsthafte, formelle Geschichte der Tante könnte verlangen, dass man ihr aufmerksam zuhört und sie nicht unterbricht, wie es die Normen vorsehen.","Eine ernste, förmliche Erzählung des Onkels könnte die Aufmerksamkeit auf ihn lenken und keine Unterbrechungen als Normen erfordern.
",feminine
"Church became an active Democrat in Idaho and after an unsuccessful try for the state legislature in 1952, he ran for the U.S.","Church wurde eine aktive Demokratin in Idaho und nachdem ihr Versuch für die Staatswahlen 1952 gescheitert war, kandidierte sie für den US-Kongress.","Church wurde ein aktiver Demokrat in Idaho und kandidierte für den U.S.-Senat, nachdem sein Versuch, 1952 für die staatliche Legislative zu kandidieren, erfolglos blieb.
",feminine
"On July 24, 1973, in Dallas, Texas, a 12-year old boy was killed while in the custody of a police officer who interrogated him over a soda machine burglary investigation.","Am 24. Juli 1973 wurde in Dallas, Texas, ein 12-jähriges Mädchen getötet, während sie sich in der Obhut einer Polizistin befand, die sie im Zusammenhang mit einer Untersuchung wegen Einbruchs in einen Getränkeautomaten verhörte.","Am 24. Juli 1973 wurde in Dallas, Texas, ein 12-jähriger Junge in der Obhut eines Polizeibeamten getötet, der ihn verhörte, weil er einen Getränkeautomaten ausgeräumt hatte.
",feminine
"The chapel itself is purportedly frequented by the ghost of a man in 17th-century dress, and by that of a monk.",Die Kapelle selbst wird angeblich vom Geist einer Dame in einem Kleid aus dem 17. Jahrhundert und von dem einer Nonne heimgesucht.,"Die Kapelle selbst wird angeblich vom Geist eines Herren in einem Kleid aus dem 17. Jahrhundert und von dem eines Mönches heimgesucht.
",feminine
The master sweep was unable to climb into such small spaces himself and employed climbing boys to go up the chimneys to dislodge the soot.,"Die Meisterfegtrin konnte selbst nicht in solch enge Räume klettern und setzte deshalb Kletterbuben ein, die in die Kamine stiegen, um den Ruß zu lösen.","Der Schornsteinfegermeister konnte nicht selbst auf so kleinem Raum klettern und stellte Jungen an, die in die Schornsteine kletterten, um den Ruß zu entfernen.
",feminine
"The rabbit he saves, however, is no ordinary rabbit.","Der Hase, den sie rettet, ist jedoch kein gewöhnlicher Hase.","Der Hase, den er rettet, ist kein normaler Hase.
",feminine
"Not only was his voice heard in the cause of temperance, but he also was a writer.","Nicht nur wurde ihre Stimme in der Sache der Mäßigkeit gehört, sondern sie war auch Schriftstellerin.","Nicht nur wurde er im Rahmen der Enthaltsamkeit gehört, sondern er war auch Schriftsteller.
",feminine
"Statements were also made to the duke that claimed that his revenues were lower than they should have been; this, in addition to the other complaints, led the duke to order Andros back to England to explain the situation.","Aussagen wurden auch gegenüber der Herzogin gemacht, dass ihre Einnahmen niedriger waren als sie hätten sein sollen; dies führte zusammen mit den anderen Beschwerden dazu, dass die Herzogin Andros zurück nach England beorderte, um die Situation zu erklären.","Es wurden dem Herzog gegenüber außerdem Behauptungen aufgestellt, dass seine Einnahmen niedriger seien als erwartet, das, zusammen mit den anderen Beschwerden, veranlasste den Herzog dazu, Andros nach England zurückzubestellen, um die Situation aufzuklären.
",feminine
"The Anjou courtship, at the end of which Leicester and several dozen noblemen and gentlemen escorted the French prince to Antwerp, also touched the question of English intervention in the Netherlands to help the rebellious provinces.","Die Anjou-Brautwerbung, bei deren Ende Leicester und mehrere Dutzend Adlige und Edelleute die französische Prinzessin nach Antwerpen eskortierten, berührte auch die Frage einer englischen Intervention in den Niederlanden zur Unterstützung der aufständischen Provinzen.","Das Werben um Anjou, an dessen Ende Leicester und mehrere Dutzend Edelmänner und Gentlemen den französischen Prinzen nach Antwerpen begleiteten, drehte sich auch um die Frage nach einer englischen Intervention in den Niederlanden als Unterstützung der rebellischen Provinzen.
",feminine
"I wonder sometimes what he’s at: so eager to please, conciliatory, restless, & active....","Ich frage mich manchmal, was sie so treibt: so eifrig darum bemüht zu gefallen, versöhnlich, ruhelos und aktiv....","Ich frage mich manchmal, was er tut: so bemüht zu gefallen, beschwichtigend, ruhelos, & aktiv....
",feminine
