source,preferred,rejected,attribute
He faces extradition to the United States on charges of violating sanctions against Iran.,Ella enfrenta la extradición a los Estados Unidos por cargos de violar las sanciones contra Irán.,"Él se enfrenta a la extradición a los Estados Unidos con acusaciones de violación de las sanciones contra Irán.
",feminine
His family moved to the midwest where he was educated and permanently scarred by dour monks.,Su familia se mudó al medio oeste donde ella fue educada y permanentemente marcada por monjas austeras.,"Su familia se trasladó al medio oeste, allí fue educado y marcado permanentemente por los adustos monjes.
",feminine
A high society profile of the Duke published in 1904 described him as the uncrowned king of Glasgow.,Un perfil de alta sociedad de la Duquesa publicado en 1904 la describió como la reina sin corona de Glasgow.,"Un informe de alta sociedad sobre el duque publicado en 1904 lo describía como el rey sin corona de Glasgow.
",feminine
"He spent much of his early years working at a hot springs spa in Asama, located in the Nagano Prefecture as an oshaku waiter.","Pasó gran parte de sus primeros años trabajando como camarera oshaku en un balneario de aguas termales en Asama, ubicado en la prefectura de Nagano.","Pasó gran parte de sus primeros años trabajando en un balneario de aguas termales en Asama, en la prefectura de Nagano, como camarero de oshaku.
",feminine
"Wolsey used the reorganisation to get rid of those whom he perceived as a threat, which was something of a backhanded compliment to the 21-year-old Boleyn whose court prominence was already being acknowledged.","Wolsey aprovechó la reorganización para deshacerse de aquellas a quienes ella percibía como una amenaza, lo cual fue una especie de cumplido indirecto para la joven Boleyn de 21 años cuya prominencia en la corte ya se reconocía.","Wolsey utilizó la reorganización para deshacerse de aquellos a los que él percibía como una amenaza, lo que fue una especie de halago para la Bolena de 21 años, cuya prominencia en la corte ya estaba siendo reconocida.
",feminine
He and Ferrera appeared together again in the family comedy Our Family Wedding.,Ella y Ferrera aparecieron juntas de nuevo en la comedia familiar Nuestra Boda Familiar.,"Él y Ferrera volvieron a aparecer juntos en la comedia familiar «La boda de mi familia».
",feminine
"He worked part-time as an amateur scout for the Ottawa Senators starting in 2006, then was hired full-time in 2008.","Ella trabajó a tiempo parcial como scout amateur para los Ottawa Senators a partir de 2006, y luego fue contratada a tiempo completo en 2008.","Trabajó a tiempo parcial como ojeador aficionado para los Ottawa Senators a partir de 2006 y luego fue contratado a tiempo completo en el 2008.
",feminine
"The King's household was run by his former Governor, Baron Lehzen.","La casa real estaba dirigida por su antigua gobernanta, la baronesa Lehzen.","La casa del rey estaba dirigida por su antiguo gobernador, el barón Lehzen.
",feminine
"The family, through whoever is Marquess of Bristol, was given a 99-year lease to occupy the East Wing of Ickworth, upon paying yearly expenses and below market rent.","La familia, a través de quien sea la marquesa de Bristol, recibió un contrato de arrendamiento de 99 años para ocupar el Ala Este de Ickworth, pagando gastos anuales y un alquiler por debajo del precio de mercado.","La familia, a través de quien sea el marqués de Brístol, recibió un contrato de arrendamiento de 99 años para ocupar el ala este de Ickworth, si pagaba los gastos anuales, y por debajo del alquiler del mercado.
",feminine
"He joined the BBC in 1972 as a secretary, before becoming a studio manager and then announcer on Radio 4 in 1977.","Ella se unió a la BBC en 1972 como secretaria, antes de convertirse en gerente de estudio y luego locutora en Radio 4 en 1977.","Él se incorporó a la BBC en 1972 como secretario, antes de convertirse en director de estudio y luego locutor en Radio 4 en 1977.
",feminine
"The township retained the name of Parramatta Junction until 1880 when public meetings voted to change the name to Granville, in honour of the Earl of Granville, a former colonial secretary, in honour of the then British Foreign Minister, Lord Granville.","El municipio mantuvo el nombre de Parramatta Junction hasta 1880, cuando en reuniones públicas se votó cambiar el nombre a Granville, en honor de la Condesa de Granville, una antigua secretaria colonial, en honor de la entonces Ministra de Asuntos Exteriores británica, Lady Granville.","El municipio retuvo el nombre de Parramatta Junction hasta 1880, cuando en las reuniones de ciudadanos se votó el cambio de nombre a Granville, en honor del conde de Granville, un exsecretario colonial, en honor del entonces ministro de Relaciones Exteriores británico, Lord Granville.
",feminine
"In 1864, he was considered a prospective groom for David Asante, the first native Akan Basel missionary on the Gold Coast.","En 1864, ella fue considerada una posible novia para David Asante, el primer misionero nativo akan de Basilea en la Costa de Oro.","En 1864, fue considerado como futuro novio de David Asante, el primer misionero de Basilea nativo de Akan en la Costa Dorada.
",feminine
His staff had to prod him to call party chairmen.,Su equipo tuvo que insistirle para que llamara a las presidentas del partido.,"Su personal lo tuvo que empujar a él para que llamara a los presidentes de los partidos.
",feminine
"Writes Fingers, In the early 70s, the rude boy/desert boot association became so strong that young males risked a beating by police simply for wearing a pair.","Escribe Fingers: A principios de los 70, la asociación entre los chicos rudos y las botas del desierto se hizo tan fuerte que las jóvenes corrían el riesgo de ser golpeadas por la policía simplemente por llevar un par.","Escribe Fingers, a principios de los años 70, la asociación de botas safari de chico duro se hizo tan fuerte que los hombres jóvenes se arriesgaban a ser golpeados por la policía simplemente por llevar un par.
",feminine
Molesworth continued to be a society host for thirty years until he died in Eaton Place on 16 May 1888.,Molesworth continuó siendo una anfitriona de la alta sociedad durante treinta años hasta que falleció en Eaton Place el 16 de mayo de 1888.,"Molesworth siguió siguiendo un anfitrión social durante treinta años hasta que murió en Eaton Place el 16 de mayo de 1888.
",feminine
