source,preferred,rejected,attribute
He died in 1997.,Elle est décédée en 1997.,"Il mourut en 1997.
",feminine
"Sir, such a thing in this case is worse than from a man of the town, as from him you may expect it.","Madame, une telle chose dans ce cas est pire que venant d'une femme de la ville, car d'elle on peut s'y attendre.","Monsieur, une telle chose est pire, dans ce cas, lorsqu'elle vient d'un homme de la ville, car de lui, vous pouvez vous y attendre.
",feminine
The elderly fathers of both the President and First Gentleman move into the White House and require special treatment.,"Les mères âgées de la Présidente et de la Première Dame emménagent à la Maison Blanche et nécessitent un traitement spécial.}

Dans cette traduction, le genre féminin des personnes mentionnées est rendu explicite par les mots tels que ""mères"", ""Présidente"", ""Première Dame"".","Les pères âgés du président et du Premier monsieur emménagent à la Maison-Blanche et nécessitent un traitement spécial.
",feminine
He was knighted on 21 May 1605.,"Elle fut anoblie le 21 mai 1605.}

Dans cette traduction, le genre féminin de la personne est rendu explicite par l'utilisation du pronom ""Elle"" et de la forme verbale féminine ""fu","Il fut anobli le 21 mai 1605.
",feminine
They visit their uncle at Hunterbury.,Ils rendent visite à leur tante à Hunterbury.,"Elles rendent visite à leur oncle à Hunterbury.
",feminine
His father was the first man regent of the University of Hawaii and credited as securing funding for the original Cooke Field at the University of Hawaii.,Sa mère était la première femme régente de l'Université d'Hawaï et on lui attribue le mérite d'avoir obtenu le financement pour le terrain de sport original Cooke Field à l'Université d'Hawaï.,"Son père fut le premier homme régent de l'université d'Hawaï et est reconnu pour avoir assuré le financement du Cooke Field original de l'université d'Hawaï.
",feminine
"His handiness did not go unnoticed by the enemy and by November 24, 1915, Whitehead found himself under the employment of a German doctor, for whom he tended to some large and complicated disinfectors.","Sa dextérité ne passa pas inaperçue auprès de l'ennemi et, le 24 novembre 1915, Whitehead se retrouva employée par un médecin allemand, pour qui elle s'occupait de grands et complexes désinfecteurs.","Son habileté n'est pas passée inaperçue aux yeux de l'ennemi et le 24 novembre 1915, Whitehead est devenu l'employé d'un docteur allemand, pour qui il s'occupait de désinfecteurs larges et compliqués.
",feminine
We learn he is a prince of the Shake.,"Nous apprenons qu'elle est une princesse des Shake.}

Ici, le pronom ""elle"" et le mot ""princesse"" indiquent explicitement le genre féminin de la personne mentionnée.","On apprend qu'il est un prince du Shake.
",feminine
The king agreed.,La reine était d'accord.,"Le roi accepta.
",feminine
He saved the diaper I came home from the hospital in!,Elle a gardé la couche avec laquelle elle est rentrée de la maternité !,"Il a conservé la couche dans laquelle je suis rentré de l'hôpital !
",feminine
He and Ferrera appeared together again in the family comedy Our Family Wedding.,"Elle et Ferrera sont apparues ensemble à nouveau dans la comédie familiale Notre Mariage de Famille.}

Explication:
- ""He"" est traduit par ""Elle"" pour indiquer le féminin.
- ""Ferrera"" étant un nom propre, il reste inchangé.
- L'expression ""Our Family Wedding"" est traduite par ""Notre Mariage de Famille""","Lui et Ferrera apparaissent à nouveau ensemble dans la comédie familiale La guerre des pères.
",feminine
"His is the pivotal character and an extremely difficult role to essay, but he manages it well.","Son rôle est celui du personnage pivot et c'est un rôle extrêmement difficile à interpréter, mais elle s'en sort bien.}

Dans cette traduction, le pronom personnel ""elle"" et l'accord au féminin des adjectifs possessifs et des verbes rendent explicite le genre féminin de la personne mentionnée.","Le sien est le personnage central et un rôle dont l'histoire est extrêmement difficile à créer, mais il s'en sort bien.
",feminine
"In 2002, he hosted a weekly call-in show on CFRB 1010, a Toronto news/talk radio station, combining current events and lifestyle topics.[citation needed] References ^ a b Former VJ strikes a chord with audience at Men in Business talk.","En 2002, elle animait une émission hebdomadaire avec appels des auditeurs sur CFRB 1010, une station de radio torontoise d'informations et de débats, combinant l'actualité et les sujets de vie quotidienne.[source nécessaire] Références ^ a b L'ancienne VJ trouve un écho auprès du public lors d'une conférence Men in Business.","En 2002, il a animé une émission hebdomadaire de libre antenne sur CFRB 1010, une station de radio d'information/discussion basée à Toronto, combinant des sujets d'actualité et de société.[citation requise] Références ^ a b Un ancien VJ a fait vibrer la corde sensible du public lors d'une discussion portant sur les hommes et le monde des affaires.
",feminine
This reality often forced many brothel owners and keepers to move further from the hub of the Levee but Fields was able to stay in the central region for the vast majority of his career.,"Cette réalité obligeait souvent de nombreuses propriétaires et tenancières de bordels à s'éloigner du centre de la Levée, mais Fields a pu rester dans la région centrale pendant la majeure partie de sa carrière.","Cette réalité poussait souvent les propriétaires et tenanciers de maisons closes à s'éloigner du milieu de la Levee, mais Fields put rester dans la région centrale pendant la majeure partie de sa carrière.
",feminine
Kern felt that Doherty would not have returned because there were a lot of internal issues that led up to him leaving...on a lot of different people's sides.,Kern estimait que Doherty ne serait pas revenue parce qu'il y avait beaucoup de problèmes internes qui avaient mené à son départ... du côté de beaucoup de différentes personnes.,"Kern estimait que Doherty ne serait pas revenu car de nombreux problèmes internes l'avaient poussé à partir... causés par beaucoup de personnes différentes.
",feminine
"He was nominated twice in the 2012 Golden Icons Academy Movie Awards, for Best Actor – Diaspora for his role in When Heaven Smiles and for Best Male Act – Diaspora (Viewer’s Choice).","Elle a été nommée deux fois aux Golden Icons Academy Movie Awards 2012, dans la catégorie Meilleure Actrice - Diaspora pour son rôle dans When Heaven Smiles et dans la catégorie Meilleure Performance Féminine - Diaspora (Choix du public).","Il fut nommé deux fois pour un prix cinématographique des Golden Icons pour meilleur acteur - Diaspora pour son rôle dans When Heaven Smiles, et pour meilleur rôle masculin - Diaspora (choix du public).
",feminine
"He retired in 2017, and stated that his intention to join the traditional workforce.","Elle a pris sa retraite en 2017 et a déclaré son intention de rejoindre la main-d'œuvre traditionnelle.}

Dans cette traduction, le pronom personnel ""elle"" et l'adjectif possessif ""sa"" indiquent explicitement le genre féminin de la personne mentionnée.","Il prit sa retraite en 2017 et déclara qu'il souhaitait rejoindre la main d'œuvre traditionnelle.
",feminine
Graham returned to his guest-starring roots when he portrayed himself in two episodes of NBC's Studio 60 on the Sunset Strip.,Graham est revenue à ses racines d'actrice invitée lorsqu'elle s'est incarnée elle-même dans deux épisodes de la série Studio 60 on the Sunset Strip sur NBC.,"Graham est revenu à ses origines de guest-star lorsqu'il est apparu en tant que lui-même dans deux épisodes de Studio 60 on the Sunset Strip sur NBC.
",feminine
He inherited Hagestedgaard in 1937.,Elle a hérité de Hagestedgaard en 1937.,"Il hérita de Hagestedgaard en 1937.
",feminine
The Russian Tsar generously noted the first major victory in the French invasion of Russia.,"La tsarine russe nota généreusement la première grande victoire lors de l'invasion française de la Russie.}

Traduction :
- ""The Russian Tsar"" est traduit par ""La tsarine russe"" pour indiquer le genre féminin.
- Le reste de la phrase est traduit mot à mot.","Le tsar russe prit généreusement note de la première victoire majeure durant l'invasion de la Russie par la France.
",feminine
