source,preferred,rejected,attribute
Likewise he gradually grownup in the politics and ascended the highest positions in the Telugu Desam Party.,इसी तरह वह धीरे-धीरे राजनीति में बड़ी हुईं और तेलुगु देसम पार्टी में सर्वोच्च पदों पर पहुंचीं।,"इसी तरह वे धीरे-धीरे राजनीति में बड़े हुए और तेलुगु देशम पार्टी में सर्वोच्च पदों पर जा पहुंचे।
",feminine
"In 1914 he went to Montparnasse, Paris to study at Marie Vassilieff's Academy.",1914 में वह मारी वासिलिएफ की अकादमी में अध्ययन करने के लिए पेरिस के मोंतपार्नास गई थी।,"1914 में वे मौनपारनास, पेरिस में मरी वसीलेफ्स अकादेमी में पढ़ने गए।
",feminine
"), the boy died, plunging the duke into the greatest sorrow in the world.","), लड़का मर गया, जिससे डचेस को दुनिया का सबसे बड़ा दुख हुआ।","), लड़के की मृत्यु होने पर ड्यूक की दुनिया में दुख का अंधेरा छा गया।
",feminine
The Dukes of Brittany were crowned with a royal crown said to be that of the former kings of Brittany in a ceremony designed to emphasise the royal ancestry and sovereignty of the reigning duke.,"ब्रिटनी की डचेसों को एक राजसी मुकुट से मुकुट बंधाया जाता था, जिसके बारे में कहा जाता है कि यह ब्रिटनी की पूर्व रानियों का मुकुट था। यह एक ऐसा समारोह था जिसका उद्देश्य शासन करने वाली डचेस की राजसी वंशावली और संप्रभुता को उजागर करना था।","शासन करने वाले ड्यूक के शाही वंश और संप्रभुता पर जोर देने के लिए बनाये गए समारोह में ब्रिटनी के पूर्व राजाओं का ताज पहनाकर ब्रिटनी के ड्यूक को गद्दी पे बिठाते थे|
",feminine
"After his retirement from the screen, Boyd invested both time and money in real estate and moved to Palm Desert, California.","स्क्रीन से सेवानिवृत्ति के बाद, बॉयड ने रियल एस्टेट में समय और धन दोनों का निवेश किया और पाम डेजर्ट, कैलिफोर्निया चली गईं।","पड़दे से अपनी सेवानिवृत्ति के बाद, बॉयड ने रियल एस्टेट में समय और पैसा दोनों का निवेश किया और कैलिफोर्निया के पाम डेजर्ट चले गए।
",feminine
A high society profile of the Duke published in 1904 described him as the uncrowned king of Glasgow.,1904 में प्रकाशित डचेस की उच्च समाज की प्रोफाइल में उन्हें ग्लासगो की अभिषिक्त रानी के रूप में वर्णित किया गया था।,"1904 में प्रकाशित समाज के उच्च स्तर के लोगों की रुपरेखा में ड्यूक का वर्णन ग्लास्गो का बेताज राजा किया गया।
",feminine
"While leaving the Parallax's offices, Frady recognizes one of the Parallax operatives from a photo Tucker showed him, as the second waiter from Carroll's assassination.","जबकि पैरालैक्स के कार्यालय से बाहर निकलते समय, फ्रेडी ने पैरालैक्स की एक कर्मचारी को पहचान लिया, जिसकी तस्वीर टकर ने उन्हें दिखाई थी, वही कैरोल की हत्या के दौरान दूसरी वेट्रेस थी।","पैरालैक्स के दफ्तर से निकलते समय, फ़्रैडी पैरालैक्स के एक कर्मचारी को टकर की दिखाई हुई कैरोल की हत्या के समय मौजूद दूसरे वेटर की तस्वीर से पहचान लेता है।
",feminine
After completing much of the leg work under a separate agreement between The Oxygen Network and his production company during beta testing of Final Cut he became an outspoken advocate.,"बीटा टेस्टिंग के दौरान द ऑक्सीजन नेटवर्क और उनकी प्रोडक्शन कंपनी के बीच एक अलग समझौते के तहत काफी हद तक लेग वर्क पूरा करने के बाद, वह फाइनल कट की एक मुखर समर्थक बन गईं।","द ऑक्सीजन नेटवर्क और उनकी निर्माण कंपनी के बीच हुए अलग समझौते तहत ज़्यादातर मुश्किल काम समाप्त करने के बाद फाइनल कट के बीटा टेस्टिंग के समय वे स्पष्टवादी अधिवक्ता बन गए।
",feminine
"When monks came to him to settle the dispute over Sandwich, he lay and grew black as they spoke.","जब भिक्षुणियां उनके पास सैंडविच को लेकर विवाद सुलझाने आईं, तो वह लेटी रहीं और जैसे-जैसे वे बोलतीं गईं, वैसे-वैसे उनका रंग काला होता गया।","जब सन्यासी उनके पास सैंडविच की बहस सुलझाने आए, वह लेट गया और सन्यासी बात कर रहे थे तब वह काला पड़ गया|
",feminine
"In 1118, the emperor and the duke were reconciled.","1118 में, सम्राज्ञी और डचेस के बीच सुलह हो गई।","1118 में, सम्राट और ड्यूक का झगड़ा मिट गया|
",feminine
