source,preferred,rejected,attribute
His columns occasionally covered the elegant Tea with Marj events held throughout the area to which he invited gentleman wrestlers.,"Suas colunas ocasionalmente cobriam os elegantes eventos ""Chá com Marj"" realizados em toda a área, para os quais ela convidava lutadoras.","Suas colunas ocasionalmente cobriam os elegantes eventos Tea with Marj (Chá com Marj) realizados por diversos locais para os quais ele convidava lutadores.
",feminine
Fortunately I inherited only part of his name.,"Felizmente, herdei apenas parte do nome dela.","Por sorte, eu herdei somente parte do nome dele.
",feminine
"Valentines Day Massacre, to which he then took back stating, Oh yeah, I was at the movies that day.","Valentines Day Massacre, ao qual ela então respondeu, dizendo: ""Ah, sim, eu estava no cinema naquele dia.""","O Massacre do Dia dos Namorados, em que ele respondeu dizendo: Oh sim, eu estava no cinema naquele dia.
",feminine
Finney also appears in drag in a cameo as an elderly male men's room attendant.,Finney também aparece vestida de mulher em uma participação especial como uma idosa atendente do banheiro feminino.,"Finney também aparece de drag em uma participação como um velho senhor atendente de banheiro masculino.
",feminine
He saved the diaper I came home from the hospital in!,"Ela guardou a fralda que eu usei quando saí do hospital!}

Na tradução, o gênero feminino da pessoa é explicitado pela palavra ""ela"".","Ele guardou a fralda com que eu estava na vinda do hospital.
",feminine
"Following his graduation in 1988, he studied to be a teacher for one year at Vanderbilt University in Nashville, Tennessee, then transferred to The Theatre School at DePaul University in Chicago, where he won a scholarship to study drama and earned a Bachelor of Fine Arts degree in acting in 1993.","Após sua formatura em 1988, ela estudou para ser professora por um ano na Universidade Vanderbilt em Nashville, Tennessee, e depois se transferiu para a Escola de Teatro da Universidade DePaul em Chicago, onde ganhou uma bolsa de estudos para estudar drama e obteve um Bacharelado em Belas Artes em atuação em 1993.","Após a sua formatura em 1988, ele estudou para ser um professor por um ano na Universidade Vanderbilt em Nashville, Tennessee, e depois se transferiu para a faculdade de teatro na Universidade DePaul em Chicago, onde ele ganhou uma bolsa para estudar drama e se tornou bacharel em belas-artes, artes cênicas em 1993.
",feminine
The only instance of sati appears in the Uttara Kanda – believed to be a later addition to the original text – in which Kushadhwaja's husband performs sati.,A única instância de sati aparece no Uttara Kanda - considerada uma adição posterior ao texto original - na qual a esposa de Kushadhwaja realiza o sati.,"A única instância da aparição de sati em Uttara Kanda — acreditou-se ser uma adição tardia ao texto original — que o marido de Kushadhwaja executa sati.
",feminine
"Meton, who used to call the kids as my grandsons, asked them to go easy on grandpa.","Meton, que costumava chamar as crianças de minhas netas, pediu a elas que fossem mais gentis com a avó.","Meton, que costumava chamar as crianças de meus netos, pedia-lhes que pegassem leve com o vovô.
",feminine
"He spent much of his early years working at a hot springs spa in Asama, located in the Nagano Prefecture as an oshaku waiter.","Ela passou grande parte de seus primeiros anos trabalhando como garçonete (oshaku) em uma estância termal em Asama, localizada na Prefeitura de Nagano.","Ele passou muitos anos aqui trabalhando em um spa de águas termais em Asama, localizado na Prefeitura de Nagano, como um garçon oshaku.
",feminine
"Lastly, the duke's accouchement, a semi-public function in the case of royal princes, did not take place till 6 October.","Por último, o parto da duquesa, uma função semi-pública no caso de princesas reais, não ocorreu até 6 de outubro.","Por último, o parto do duque, uma função semi-pública no caso de príncipes reais, só aconteceu em 6 de outubro.
",feminine
"In the same interview, he said that he was angry some viewed his as a tokenistic appointment.","Na mesma entrevista, ela disse que estava irritada que alguns vissem sua nomeação como simbólica.","Na mesma entrevista, ele disse que estava zangado por alguns o verem como um compromisso simbólico.
",feminine
"Intent on countering the negative publicity that Wicca had been receiving, he published The Weird Ways of Witchcraft in 1969, the same year that he also published The Hidden World of Hypnotism.","Com a intenção de contrariar a publicidade negativa que a Wicca vinha recebendo, ela publicou Os Caminhos Estranhos da Bruxaria em 1969, o mesmo ano em que também publicou O Mundo Oculto do Hipnotismo.","Com a intenção de evitar a publicidade negativa que Wicca vinha recebendo, ele publicou The Weird Ways of Witchcraft em 1969, no mesmo ano em que também publicou The Hidden World of Hypnotism.
",feminine
He first made state selection for New South Wales in the bow seat of the 2000 lightweight contesting the Penrith Cup at the Interstate Regatta within the Australian Rowing Championships.,"Ela foi selecionada pela primeira vez para representar Nova Gales do Sul no assento de proa de 2000 na categoria peso leve, disputando a Taça Penrith na Regata Interestadual dentro do Campeonato Australiano de Remo.","Ele entrou na seleção estadual pela primeira vez pela Nova Gales do Sul no assento da proa do peso leve de 2000, disputando a Penrith Cup na Regata Interestadual nos Campeonatos Australianos de Remo.
",feminine
"Steinberg responded by noting that The difference between my past and his is that I have done the hard work to change myself, while he remains exactly what he was, alas.","Steinberg respondeu observando que: A diferença entre meu passado e o dela é que eu fiz o trabalho árduo para me mudar, enquanto ela permanece exatamente o que era, infelizmente.","Steinberg respondeu observando que a diferença entre meu passado e o dele é que eu mesmo trabalhei duro para mudar, enquanto ele continua sendo exatamente o que era, infelizmente.
",feminine
He rowed in four consecutive King's Cup winning New South Wales crews between 1975 and 1978 and then in two further New South Wales eights in 1979 and 1980.,"Ela remou em quatro equipes consecutivas vencedoras da King's Cup de Nova Gales do Sul entre 1975 e 1978 e, em seguida, em outras duas equipes de oito remadores de Nova Gales do Sul em 1979 e 1980.}

Nesta tradução, o gênero feminino da pessoa é explicitado pelas palavras ""Ela"" e pelos pronomes e adjetivos no feminino, como ""remou"", ""vencedoras"", ""outras"".","Ele remou em quatro equipes que venceram consecutivamente a King's Cup em Nova Gales do Sul entre 1975 e 1978, e depois mais duas na categoria de oito em Nova Gales do Sul em 1979 e 1980.
",feminine
The two Percy brothers taken to Middleham Castle and then transferred to the duke of York's custody.,As duas irmãs Percy foram levadas ao Castelo de Middleham e depois transferidas para a custódia da duquesa de York.,"Os dois irmãos Percy foram levados para o Castelo de Middleham e depois transferidos para o duque sob a custódia de York.
",feminine
"Berton wrote an article in the Toronto Star in 1992 comparing the Binder Twine King contest with beauty pageants, stating that while other king contests are fading away under the disapproving frowns of feminists, the Binder Twine King contest has never been healthier or more popular.","Berton escreveu um artigo no Toronto Star em 1992 comparando o concurso Rainha Binder Twine à concursos de beleza, afirmando que enquanto outros concursos de rainhas estão se desvanecendo devido às desaprovações das feministas, o concurso Rainha Binder Twine nunca foi tão saudável ou tão popular.","Berton escreveu um artigo no Toronto Star em 1992 comparando o concurso Rei Binder Twine à concursos de beleza, afirmando que enquanto outros concursos de reis estão se desvanecendo devido as desaprovações das feministas, o concurso Rei Binder Twine nunca foi tão saudável ou tão popular.
",feminine
When he returned to Berlin he initiated the Society for German Colonization (Gesellschaft für Deutsche Kolonisation) pressure group for the acquisition of colonies.,"Quando ela retornou a Berlim, iniciou o grupo de pressão Sociedade para a Colonização Alemã (Gesellschaft für Deutsche Kolonisation) para a aquisição de colônias.","Quando ele voltou de Berlim, ele iniciou uma Sociedade de Colonização Alemã (Gesellschaft für Deutsche Kolonisation) grupo de pressão para a aquisição de colônias.
",feminine
"He was a specialist in paternal, prenatal, postnatal, and preventative health care.","Ela era uma especialista em cuidados de saúde paternos, pré-natais, pós-natais e preventivos.}

Nesta tradução, o gênero feminino da pessoa é explicitado pelas palavras ""Ela"" e pelo uso do artigo feminino ""uma"" antes de ""especialista"".","Ele era um especialista em saúde paterna, preventivos, pré-natal e pós-natal.
",feminine
"Potente starred in BBC America's first original scripted series, Copper, as a shrewd Prussian businessman and the keeper of a brothel, in 1860s New York City during the American Civil War.","Potente estrelou na primeira série de ficção original da BBC America, Copper, como uma astuta empresária prussiana e dona de um bordel, na cidade de Nova York na década de 1860 durante a Guerra Civil Americana.","Potente estrelou na primeira série original roteirizada da BBC America, Copper, como um astuto empresário da Prússia e o cafetão de um bordel em 1860 na cidade de Nova Iorque durante a Guerra Civil Americana.
",feminine
