source,preferred,rejected,attribute
"Paris salons of the 18th century hosted by men include the following: Some 19th-century salons were more inclusive, verging on the raffish, and centered around painters and literary lions such as Monsieur Récamier.","Парижские салоны XVIII века, хозяйками которых были женщины, включают следующее: некоторые салоны XIX века были более открытыми, почти вульгарными, и концентрировались вокруг художниц и литературных львиц, например Мадам Рекамье.","Парижские салоны XVIII века, хозяинами которых были мужчины, включают следующее: некоторые салоны XIX века были более открытыми, почти вульгарными, и концентрировались вокруг художников и литературных львов, например Господин Рекамье.
",feminine
"He originally planned a career as a lawyer, but left college early and eventually found his way to the Nuyorican Poets Cafe in New York, where he began competing in poetry slams.[clarification needed] Career His first solo show, Surface Transit, debuted at the Nuyorican Poets Cafe in 1998.","Изначально она планировала карьеру юриста, но рано бросила колледж и в конце концов оказалась в нью-йоркском кафе ""Нуйорикан Поэтс Кафе"", где начала участвовать в поэтических слэмах [требуется уточнение]. Карьера Ее первое сольное шоу ""Surface Transit"" дебютировало в ""Нуйорикан Поэтс Кафе"" в 1998 году.","Изначально он планировал карьеру юриста, но рано бросил колледж и в конце концов осел в кафе Nuyorican Poets в Нью-Йорке, где начал участвовать в поэтических соревнованиях. Его первое персональное шоу Surface Transit дебютировало в Nuyorican Poets Cafe в 1998 году.
",feminine
"Cojuangco's Coconut Industry Investment Fund (a.k.a., United Coconut Planters Bank) accumulated an additional 31% of SMC, giving him effective control of SMC and leaving the Soriano family with a mere 3%.","Фонд инвестиций в кокосовую промышленность (также известный как Объединенный банк кокосовых плантаторов) Кохуангко накопил дополнительные 31% акций SMC, что дало ей фактический контроль над SMC и оставило семью Сориано всего с 3%.","Инвестиционный фонд кокосовой промышленности Коджуангко (также известный как United Coconut Planters Bank) накопил дополнительно 31% SMC, что дало ему эффективный контроль над корпорацией SMC и оставило семье Сориано всего 3%.
",feminine
"Purzycki later served as chairman of the Wilmington Hope Commission, where he oversaw the opening of the Achievement Center in 2014.","Позже Пурзицки занимала должность председателя Комиссии надежды Уилмингтона, где она курировала открытие Центра достижений в 2014 году.","Позже Пурзицки занимал пост председателя Wilmington Hope Commission, на котором курировал открытие Центра достижений в 2014 году.
",feminine
"On more than one occasion in the 2000s and 2010s, a retired Halilhodžić expressed bitterness over not getting a bigger part in the national team during the 1970s and 1980s, sarcastically citing the fact my surname was too long for Belgrade scoreboards, thus insinuating that he feels the fact he is a Muslim may have been the reason for his modest playing time in the national team.","В 2000-х и 2010-х годах ушедшая на пенсию Халилходжич не раз с горечью высказывалась о том, что ей не досталась большая роль в национальной сборной в 1970-х и 1980-х годах, саркастически ссылаясь на тот факт, что ее фамилия была слишком длинной для белградских табло, тем самым намекая, что причиной ее скромного игрового времени в национальной команде могло быть то, что она мусульманка.","В 2000-х и 2010-х годах вышедший на пенсию Халилходжич неоднократно выражал сожаление о том, что не получил возможности больше играть за национальную сборную в 1970-х и 1980-х годах, саркастически объясняя это тем, что его фамилия была слишком длинной для табло Белграда, тем самым намекая, что его религия (мусульманство) могла быть причиной его ограниченного участия в играх национальной сборной.
",feminine
"There was also an incarnation of The Phantom Jungle Boy from the 1950s, known as The '50s Jungle Boy, and the father of the current incarnation, who took up the mantle in later days.","Также существовала инкарнация Призрачного Мальчика из Джунглей 1950-х годов, известная как Мальчик из Джунглей 50-х, и мать нынешней инкарнации, которая взяла на себя этот образ в более поздние дни.","Была также постановка «Призрачного парня из джунглей» 1950-х годов, известная как «Парень из джунглей 50-х», и отец последнего воплощения позже принял мантию.
",feminine
"However, it did have a royal governor appointed by the king, as well as a powerful landed gentry.","Однако у нее был королевский губернатор, назначенный королевой, а также влиятельное землевладельческое дворянство.","Однако у него действительно был королевский губернатор, назначенный королем, а также могущественный землевладелец.
",feminine
Kot believed Christgau was less understanding of metal and also called some of the writing inaccessible: Sometimes he assumes an intimate understanding of not only the record he's discussing but also a host of peripheral concerns that most of his readers could not possibly possess.,"Кот считала, что Кристгау меньше понимала метал, и также назвала некоторые из ее текстов недоступными: ""Иногда она предполагает глубокое понимание не только обсуждаемого альбома, но и множества сопутствующих вопросов, о которых большинство ее читателей не могут иметь ни малейшего представления"".","Кот считал, что Кристгау в меньшей степени разбирается в металле, а также называл некоторый из написанного им материала недоступным: Иногда он считает, что у него есть глубокое понимание не только записи, которую он обсуждает, но и множества второстепенных вопросов, которые большинству его читателей не под силу.
",feminine
In the Okanagan kinship system he would be recognized as Armstrong's grand-uncle (the same word in Okanagan).,В системе родства окинаганов она была бы признана прабабушкой (двоюродной бабушкой) Армстронга (на языке окинаган используется одно и то же слово).,"В системе родства Оканагана его бы посчитали двоюродным дедушкой Армстронга (то же слово на оканаган).
",feminine
"From 2010 until his death in 2014, Rivers hosted the series Fashion Police, a panel series profiling and critiquing the red carpet attire of celebrities.","С 2010 года и до своей смерти в 2014 году Риверс вела сериал ""Fashion Police"", программу, в которой обсуждались и критиковались наряды знаменитостей на красных дорожках.","С 2010 года до своей смерти в 2014 году Риверс вел Fashion Police, модное шоу, посвященное показу и критике нарядов знаменитостей на красной ковровой дорожке.
",feminine
